ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	infeasible	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
603.5585	23.672	9.054	20.276	16.036	1004.0	0	0	0	54	10	45	36	9	6	8	6	0	0.5416710376739502	500	0.5416710376739502	214	57.2	
579.695020747	22.122	8.46473029046	15.0663900415	11.887966805	1021.0	1	0	260	54	17.0	44.0	36.0	5	6.0	8.0	6.0	0	0.1669447422027588	1000	0.708615779876709	300	70.0	
658.225563205	23.19	8.4781420765	14.2213114754	11.2513661202	1021.0	2	0	395	59	17.0	44.0	36.0	1	6.0	8.0	6.0	0	0.17636847496032715	1500	0.8849842548370361	375	75.0	
710.671644937	23.862	8.47989276139	14.0321715818	11.1072386059	1021.0	3	0	523	62	17.0	51.0	41.0	4	6.0	8.0	6.0	0	0.1777198314666748	2000	1.062704086303711	426	78.7	
741.343001211	24.586	8.43523316062	14.0207253886	11.0777202073	1021.0	4	0	638	70	17.0	68.0	55.0	3	6.0	8.0	6.0	0	0.2221388816833496	2500	1.2848429679870605	488	80.48	
750.795589333	25.02	8.54228855721	14.3034825871	11.3208955224	1021.0	5	0	737	61	17.0	47.0	38.0	5	6.0	8.0	6.0	0	0.19387006759643555	3000	1.478713035583496	544	81.86666666666667	
776.451389202	26.828	8.7904040404	15.0934343434	11.9696969697	1021.0	6	0	842	69	16.0	55.0	45.0	4	6.0	8.0	6.0	0	0.1949625015258789	3500	1.673675537109375	607	82.65714285714286	
729.919757429	29.702	9.19806763285	16.0579710145	12.7874396135	1021.0	7	0	929	76	17.0	47.0	38.0	4	6.0	8.0	6.0	0	0.20015978813171387	4000	1.8738353252410889	688	82.8	
701.083321974	32.738	9.37708830549	16.5942720764	13.2529832936	1024.0	8	0	1011	73	17.0	44.0	36.0	1	6.0	8.0	6.0	0	0.21015667915344238	4500	2.0839920043945312	770	82.88888888888889	
732.189854862	36.118	9.54272517321	17.143187067	13.7159353349	1045.0	9	0	1079	81	17.0	63.0	51.0	7	6.0	8.0	6.0	0	0.2127244472503662	5000	2.2967164516448975	858	82.84	
716.343602755	39.342	9.88863109049	19.0464037123	15.2343387471	1105.0	10	0	1149	96	17.0	61.0	49.0	5	6.0	8.0	6.0	0	0.22124600410461426	5500	2.5179624557495117	966	82.43636363636364	
735.918822922	39.928	10.1547344111	19.2517321016	15.4249422633	1105.0	11	0	1217	89	17.0	70.0	56.0	5	6.0	8.0	6.0	0	0.24323153495788574	6000	2.7611939907073975	1067	82.21666666666667	
737.692710377	40.408	10.5199063232	20.4519906323	16.4051522248	1105.0	12	0	1291	89	17.0	53.0	43.0	7	6.0	8.0	6.0	0	0.2477283477783203	6500	3.0089223384857178	1185	81.76923076923077	
682.400925403	40.446	10.7096018735	21.7587822014	17.4683840749	1105.0	13	0	1365	116	17.0	63.0	52.0	8	6.0	8.0	6.0	0	0.2418842315673828	7000	3.2508065700531006	1324	81.08571428571429	
732.575843372	42.294	10.7767220903	22.106888361	17.7387173397	1105.0	14	0	1445	120	17.0	63.0	51.0	7	6.0	8.0	6.0	0	0.2477247714996338	7500	3.4985313415527344	1432	80.90666666666667	
732.661122326	45.596	11.2248803828	23.4880382775	18.8732057416	1105.0	15	0	1528	119	17.0	77.0	63.0	7	6.0	8.0	6.0	0	0.26387929916381836	8000	3.7624106407165527	1563	80.4625	
723.094334289	46.64	11.1551724138	23.145320197	18.5812807882	1105.0	16	0	1623	125	17.0	66.0	53.0	5	6.0	8.0	6.0	0	0.2486259937286377	8500	4.01103663444519	1711	79.87058823529412	
713.383794816	48.17	11.2131147541	22.9836065574	18.4777517564	1322.0	17	0	1697	123	17.0	66.0	53.0	7	6.0	8.0	6.0	0	0.2589378356933594	9000	4.26997447013855	1845	79.5	
733.090078149	50.468	11.279342723	23.7253521127	19.103286385	1322.0	18	0	1772	130	17.0	64.0	53.0	2	6.0	8.0	6.0	0	0.267026424407959	9500	4.537000894546509	1998	78.96842105263158	
746.850682453	54.978	11.7368421053	25.6819221968	20.700228833	1322.0	19	0	1836	127	17.0	76.0	61.0	14	6.0	8.0	6.0	0	0.2768890857696533	10000	4.813889980316162	2176	78.24000000000001	
738.781747594	57.33	11.773364486	26.3995327103	21.3224299065	1322.0	20	0	1909	132	17.0	78.0	64.0	13	6.0	8.0	6.0	0	0.2760012149810791	10500	5.089891195297241	2340	77.71428571428572	
737.167325364	60.136	12.074941452	27.7330210773	22.4566744731	1322.0	21	0	1983	131	17.0	83.0	68.0	4	6.0	8.0	6.0	0	0.2916994094848633	11000	5.3815906047821045	2496	77.30909090909091	
745.029149739	61.1	12.0806451613	27.2050691244	22.0161290323	1322.0	22	0	2050	143	17.0	85.0	69.0	10	6.0	8.0	6.0	0	0.2836308479309082	11500	5.665221452713013	2652	76.93913043478261	
721.453544077	65.22	12.3215962441	28.6830985915	23.2230046948	1322.0	23	0	2125	136	17.0	90.0	74.0	10	6.0	8.0	6.0	0	0.29215216636657715	12000	5.95737361907959	2852	76.23333333333333	
735.372232167	62.674	12.0469798658	27.9642058166	22.6420581655	1471.5	24	0	2179	148	17.0	90.0	74.0	8	6.0	8.0	6.0	0	0.29169797897338867	12500	6.2490715980529785	3018	75.856	
753.030629423	63.396	12.1448275862	28.7402298851	23.2712643678	1471.5	25	0	2245	150	17.0	94.0	77.0	8	6.0	8.0	6.0	0	0.2934994697570801	13000	6.542571067810059	3199	75.3923076923077	
730.692392057	66.094	12.4452214452	30.020979021	24.324009324	1471.5	26	0	2317	162	17.0	94.0	77.0	12	6.0	8.0	6.0	0	0.30651259422302246	13500	6.849083662033081	3395	74.85185185185185	
730.618160589	66.76	12.7260273973	31.600456621	25.6232876712	1471.5	27	0	2380	171	17.0	95.0	77.0	5	6.0	8.0	6.0	0	0.3132505416870117	14000	7.162334203720093	3601	74.27857142857142	
760.298107731	69.044	12.6454767726	31.1638141809	25.2787286064	1471.5	28	0	2472	182	17.0	94.0	77.0	6	6.0	8.0	6.0	0	0.31234216690063477	14500	7.4746763706207275	3782	73.91724137931034	
757.582341541	74.802	12.8018648019	33.3776223776	27.0303030303	1471.5	29	0	2544	217	17.0	106.0	86.0	8	6.0	8.0	6.0	0	0.32805371284484863	15000	7.802730083465576	3972	73.52000000000001	
806.387616518	79.114	12.9014423077	33.1057692308	26.8197115385	1490.0	30	0	2629	233	17.0	106.0	86.0	6	6.0	8.0	6.0	0	0.33347392082214355	15500	8.13620400428772	4167	73.11612903225807	
846.425357435	80.314	12.8465227818	32.8585131894	26.6019184652	1490.0	31	0	2713	233	17.0	106.0	86.0	7	6.0	8.0	6.0	0	0.3419651985168457	16000	8.478169202804565	4341	72.86875	
814.972393427	90.704	13.2971014493	35.0942028986	28.4589371981	1508.5	32	0	2800	195	17.0	86.0	71.0	12	6.0	8.0	6.0	0	0.34331297874450684	16500	8.821482181549072	4543	72.46666666666667	
813.621064574	100.898	13.2342995169	35.7391304348	28.9734299517	1637.0	33	0	2887	205	17.0	102.0	83.0	13	6.0	8.0	6.0	0	0.34690356254577637	17000	9.168385744094849	4757	72.01764705882353	
792.747577843	104.342	13.23150358	34.9140811456	28.3126491647	1637.0	34	0	2969	223	17.0	97.0	79.0	11	6.0	8.0	6.0	0	0.3504981994628906	17500	9.51888394355774	4947	71.73142857142858	
802.02035135	107.712	13.3143564356	34.8465346535	28.2846534653	1637.0	35	0	3066	232	17.0	97.0	79.0	9	6.0	8.0	6.0	0	0.34869837760925293	18000	9.867582321166992	5131	71.49444444444444	
848.865603827	110.26	13.2024096386	34.334939759	27.8385542169	1637.0	36	0	3152	227	17.0	104.0	85.0	22	6.0	8.0	6.0	0	0.3495955467224121	18500	10.217177867889404	5307	71.31351351351351	
812.083588053	109.832	12.8646616541	32.9398496241	26.664160401	1637.0	37	0	3254	223	17.0	94.0	77.0	19	6.0	8.0	6.0	0	0.3347809314727783	19000	10.551958799362183	5472	71.2	
788.611998481	112.094	12.9598108747	33.7304964539	27.3191489362	1637.0	38	0	3332	235	17.0	95.0	78.0	15	6.0	8.0	6.0	0	0.3462705612182617	19500	10.898229360580444	5668	70.93333333333334	
720.055794632	111.882	12.9093137255	33.2205882353	26.8995098039	1637.0	39	0	3425	251	17.0	82.0	67.0	11	6.0	8.0	6.0	0	0.3349747657775879	20000	11.233204126358032	5856	70.72	
765.841250669	113.034	12.9904988124	34.4418052257	27.9358669834	1637.0	40	0	3505	241	17.0	86.0	70.0	15	6.0	8.0	6.0	0	0.35094189643859863	20500	11.58414602279663	6058	70.44878048780488	
785.61367255	121.154	12.8883610451	33.8978622328	27.4726840855	1637.0	41	0	3585	242	17.0	79.0	64.0	24	6.0	8.0	6.0	0	0.354083776473999	21000	11.93822979927063	6241	70.28095238095239	
756.187992082	120.974	13.1090047393	36.0900473934	29.2417061611	1637.0	42	0	3664	229	17.0	85.0	69.0	22	6.0	8.0	6.0	0	0.36664342880249023	21500	12.30487322807312	6441	70.04186046511629	
765.675671828	118.842	12.6514423077	33.7956730769	27.3677884615	1637.0	43	0	3749	249	17.0	96.0	78.0	24	6.0	8.0	6.0	0	0.34645962715148926	22000	12.65133285522461	6619	69.91363636363636	
763.28314402	122.668	12.7132867133	34.3682983683	27.8228438228	1637.0	44	0	3821	262	17.0	95.0	78.0	23	6.0	8.0	6.0	0	0.3558800220489502	22500	13.00721287727356	6799	69.78222222222223	
809.345856813	127.906	12.9618138425	36.0883054893	29.2362768496	1637.0	45	0	3903	289	17.0	100.0	83.0	27	6.0	8.0	6.0	0	0.3653073310852051	23000	13.372520208358765	6976	69.66956521739131	
808.052451575	126.634	12.8125	35.3918269231	28.6081730769	1637.0	46	0	3988	277	17.0	111.0	91.0	25	6.0	8.0	6.0	0	0.3581221103668213	23500	13.730642318725586	7157	69.54468085106383	
805.916309366	120.252	12.8973747017	35.0978520286	28.3747016706	1637.0	47	0	4070	288	17.0	92.0	75.0	47	6.0	8.0	6.0	0	0.3661954402923584	24000	14.096837759017944	7351	69.37083333333334	
778.812084887	120.118	12.8177570093	34.9135514019	28.2570093458	1637.0	48	0	4143	259	17.0	92.0	75.0	24	6.0	8.0	6.0	0	0.36440467834472656	24500	14.461242437362671	7541	69.2204081632653	
767.603125361	121.474	13.242206235	36.2877697842	29.4244604317	1637.0	49	0	4227	267	17.0	105.0	85.0	45	6.0	8.0	6.0	0	0.3720381259918213	25000	14.833280563354492	7740	69.04	
729.420223285	126.348	13.1884057971	37.4565217391	30.3985507246	1637.0	50	0	4314	260	17.0	126.0	104.0	37	6.0	8.0	6.0	0	0.3774220943450928	25500	15.210702657699585	7944	68.84705882352941	
