ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	infeasible	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
10181.4031582	23.13	8.28	20.194	15.56	10476.6992	0	0	0	76	10	68	51	9	6	8	6	0	635.4318299293518	500	635.4318299293518	356	28.799999999999997	
10160.6296696	22.508	8.07453416149	13.6211180124	10.5714285714	10476.6992	1	0	340	66	13.0	32.0	23.0	5	6.0	8.0	6.0	0	197.1770486831665	1000	832.6088786125183	430	57.0	
10283.2462717	24.26	7.95744680851	12.8784194529	10.0547112462	10476.6992	2	0	512	72	16.0	46.0	35.0	3	6.0	8.0	6.0	0	408.6243531703949	1500	1241.2332317829132	506	66.26666666666667	
10311.2152935	24.752	8.19822485207	13.7662721893	10.7662721893	10698.6928	3	0	675	72	16.0	59.0	46.0	6	6.0	8.0	6.0	0	412.65024995803833	2000	1653.8834817409515	592	70.4	
10343.6331006	25.662	8.17404129794	13.9852507375	10.9351032448	10698.6928	4	0	837	78	16.0	59.0	46.0	6	6.0	8.0	6.0	0	411.56233167648315	2500	2065.4458134174347	675	73.0	
10362.5068137	25.406	8.25947521866	13.9650145773	10.9416909621	10866.9538	5	0	995	67	16.0	59.0	46.0	5	6.0	8.0	6.0	0	409.0401041507721	3000	2474.485917568207	761	74.63333333333334	
10370.3670026	26.158	8.20588235294	13.5882352941	10.6441176471	11251.5113	6	0	1156	72	15.0	43.0	33.0	4	6.0	8.0	6.0	0	406.5615704059601	3500	2881.047487974167	844	75.88571428571429	
10391.1846627	27.936	8.53038674033	15.5	12.091160221	11954.4583	7	0	1295	72	17.0	59.0	44.0	3	6.0	8.0	6.0	0	431.823712348938	4000	3312.871200323105	941	76.475	
10425.6276771	30.444	8.98066298343	17.3314917127	13.5607734807	16324.2681	8	0	1434	66	17.0	67.0	49.0	6	6.0	8.0	6.0	0	429.5137996673584	4500	3742.3849999904633	1062	76.4	
10466.1657031	32.558	9.40458015267	19.1704834606	15.0381679389	16324.2681	9	0	1542	87	17.0	56.0	44.0	3	6.0	8.0	6.0	0	469.0188410282135	5000	4211.403841018677	1218	75.64	
10627.8957582	33.956	9.65760869565	20.5951086957	16.1657608696	16324.2681	10	0	1675	76	17.0	69.0	53.0	6	6.0	8.0	6.0	0	437.56908679008484	5500	4648.972927808762	1350	75.45454545454545	
10732.2813772	35.164	9.6935483871	20.9569892473	16.4596774194	16324.2681	11	0	1804	108	17.0	87.0	71.0	6	6.0	8.0	6.0	0	441.4017140865326	6000	5090.374641895294	1507	74.88333333333334	
10873.9784518	37.48	9.92140921409	21.6991869919	17.0243902439	16324.2681	12	0	1936	108	17.0	87.0	71.0	5	6.0	8.0	6.0	0	437.2659389972687	6500	5527.640580892563	1668	74.33846153846153	
10965.5140662	39.988	10.1899736148	23.2981530343	18.2506596306	16614.5892	13	0	2058	96	17.0	75.0	62.0	4	6.0	8.0	6.0	0	457.136004447937	7000	5984.7765853405	1841	73.7	
11093.4348598	43.666	10.6509186352	26.375328084	20.7165354331	16614.5892	14	0	2178	96	17.0	90.0	71.0	5	6.0	8.0	6.0	0	455.6063485145569	7500	6440.382933855057	2021	73.05333333333333	
11202.3289047	45.542	10.6813186813	26.0384615385	20.3928571429	16704.4481	15	0	2315	103	17.0	78.0	63.0	6	6.0	8.0	6.0	0	432.88695073127747	8000	6873.269884586334	2197	72.5375	
11211.6401069	48.746	11.1298342541	28.9060773481	22.5	16704.4481	16	0	2454	109	17.0	92.0	73.0	7	6.0	8.0	6.0	0	381.41987442970276	8500	7254.689759016037	2392	71.85882352941177	
11350.2165692	53.414	11.4495677233	31.2968299712	24.3602305476	17614.4887	17	0	2608	125	17.0	90.0	70.0	9	6.0	8.0	6.0	0	344.40289855003357	9000	7599.092657566071	2566	71.4888888888889	
11411.1846426	56.202	11.8782608696	34.1594202899	26.2985507246	17722.3199	18	0	2764	138	17.0	90.0	67.0	8	6.0	8.0	6.0	0	342.5158486366272	9500	7941.608506202698	2757	70.97894736842105	
11466.4725948	58.758	11.7376093294	35.3556851312	27.1603498542	18846.6243	19	0	2922	164	17.0	90.0	67.0	5	6.0	8.0	6.0	0	341.2188537120819	10000	8282.82735991478	2940	70.6	
11583.5855756	61.576	11.8735632184	36.724137931	28.0862068966	18846.6243	20	0	3075	144	17.0	90.0	69.0	6	6.0	8.0	6.0	0	353.2133193016052	10500	8636.040679216385	3140	70.0952380952381	
11666.3636542	64.644	12.1648044693	38.7206703911	29.4720670391	18846.6243	21	0	3218	159	17.0	111.0	84.0	11	6.0	8.0	6.0	0	363.67858600616455	11000	8999.71926522255	3369	69.37272727272727	
11522.3043683	69.926	12.002617801	38.2565445026	29.1256544503	18846.6243	22	0	3337	170	17.0	98.0	76.0	16	6.0	8.0	6.0	0	419.4852545261383	11500	9419.204519748688	3604	68.6608695652174	
11800.0349311	77.528	12.3405405405	41.172972973	31.3	19053.3461	23	0	3468	176	17.0	111.0	86.0	6	6.0	8.0	6.0	0	427.0906255245209	12000	9846.295145273209	3830	68.08333333333334	
11800.0664593	85.066	12.8291316527	44.3053221289	33.6330532213	21803.0257	24	1	3612	187	17.0	128.0	96.0	12	6.0	8.0	6.0	0	404.57351994514465	12500	10250.868665218353	4060	67.52000000000001	
11919.4083431	85.064	13.1505376344	46.6908602151	35.4677419355	21803.0257	25	2	3741	188	17.0	117.0	90.0	16	6.0	8.0	6.0	0	386.2677218914032	13000	10637.136387109756	4304	66.8923076923077	
11999.7069915	87.324	12.8953488372	45.5029069767	34.6598837209	21803.0257	26	4	3898	205	17.0	124.0	92.0	15	6.0	8.0	6.0	0	351.7004282474518	13500	10988.836815357208	4514	66.56296296296296	
12041.7070538	90.286	13.0273972603	45.8547945205	35.002739726	21803.0257	27	5	4034	234	17.0	135.0	102.0	25	6.0	8.0	6.0	0	375.4024019241333	14000	11364.239217281342	4739	66.15	
12073.0970117	91.076	12.9418282548	46.512465374	35.3573407202	22842.7223	28	8	4174	229	17.0	117.0	87.0	21	6.0	8.0	6.0	0	375.95333218574524	14500	11740.192549467087	4966	65.75172413793103	
12036.8346648	93.1	12.8603351955	45.7569832402	34.8463687151	22842.7223	29	8	4317	240	17.0	131.0	100.0	26	6.0	8.0	6.0	0	405.2738802433014	15000	12145.466429710388	5183	65.44666666666666	
12039.7145367	97.68	13.1173184358	47.3296089385	36.0055865922	22842.7223	30	9	4460	238	17.0	131.0	100.0	20	6.0	8.0	6.0	0	457.6750907897949	15500	12603.141520500183	5408	65.10967741935484	
11952.4056017	91.82	12.9577464789	46.5690140845	35.3802816901	22842.7223	31	10	4606	255	17.0	131.0	100.0	11	6.0	8.0	6.0	0	452.7951891422272	16000	13055.93670964241	5632	64.80000000000001	
