Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,24.5313,25.4688,24.1563,,,,0,11,0
02/05/2000 00:00,,,,24.6563,25.4688,24.6563,,,,,,
03/05/2000 00:00,,,,24.8125,25.4063,24.25,,,,,,
04/05/2000 00:00,,,,24.3438,24.4688,23.8438,,,,,,
05/05/2000 00:00,,,,23.625,24.2813,23.5625,,,,,,
08/05/2000 00:00,,,,23.5938,24.4063,23.5938,,,,,,
09/05/2000 00:00,,,,24.25,24.8438,23.8125,,,,,,
10/05/2000 00:00,,,,23.9688,24.2188,23.1875,,,,,,
11/05/2000 00:00,,,,23.875,23.9688,23.2813,,,,,,
12/05/2000 00:00,,,,23.6875,24.4375,23.1563,,,,,,
15/05/2000 00:00,,,,24.3125,25.4375,24.2813,,,,0,12,0
16/05/2000 00:00,,,,25.4688,25.8125,24.5938,,,,0,12,1
17/05/2000 00:00,,,,24.5313,24.9063,24.2813,,,,0,12,1
18/05/2000 00:00,,,,24.6875,25.4063,24.6563,,,,,,
19/05/2000 00:00,,,,24.7813,25.0938,24.5625,,,,,,
22/05/2000 00:00,,,,24.875,25.1563,24.375,,,,,,
23/05/2000 00:00,,,,25.2188,26.5625,25.125,,,,,,
24/05/2000 00:00,,,,26.75,28.0625,26.6875,,,,,,
25/05/2000 00:00,,,,27.5,28.0313,27.25,,,,,,
26/05/2000 00:00,,,,27.5,27.5625,26.9375,,,,,,
30/05/2000 00:00,,,,27.4688,27.5938,27.1875,,,,,,
31/05/2000 00:00,,,,27.0625,27.9375,27.0625,,,,0,12,1
01/06/2000 00:00,,,,27.75,28.875,27.6563,,,,,,
02/06/2000 00:00,,,,29.9688,30.4375,29.6563,,,,0,12,1
05/06/2000 00:00,,,,29.625,29.75,29,,,,,,
06/06/2000 00:00,,,,28.6875,28.8438,28.0625,,,,0,11,2
07/06/2000 00:00,,,,28.3438,28.9688,28.0625,,,,,,
08/06/2000 00:00,,,,28.7188,28.7188,28.3125,,,,,,
09/06/2000 00:00,,,,28.4688,28.7188,27.8438,,,,,,
12/06/2000 00:00,,,,28,28.375,27.9688,,,,0,11,2
