ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
13653.822656	111.392	8.422	105.924	74.494	33033.9725691	0	0	616	10	586	411	25	7	24	17	4	0	3034.0929543972015	500	3034.0929543972015	496	0.7999999999999972	
12910.830046	134.112	9.79166666667	60.3796296296	42.8287037037	33033.9725691	1	285	484	17.0	447.0	316.0	11	7.0	24.0	17.0	6	0	879.2724936008453	1000	3913.365447998047	672	32.8	
13576.2841127	150.738	10.100286533	58.9226361032	41.8481375358	33033.9725691	2	437	485	17.0	379.0	266.0	1	7.0	24.0	17.0	12	0	1813.262131690979	1500	5726.627579689026	947	36.86666666666667	
13909.4129466	143.862	10.3115183246	62.3743455497	44.2643979058	33033.9725691	3	556	484	17.0	317.0	225.0	5	7.0	24.0	17.0	20	0	1911.8617947101593	2000	7638.489374399185	1237	38.14999999999999	
14287.2658311	148.364	10.5314136126	66.1858638743	46.9371727749	37534.089483	4	675	466	17.0	295.0	208.0	2	7.0	24.0	17.0	22	0	1639.4219539165497	2500	9277.911328315735	1518	39.28	
15067.5679661	155.1	10.4285714286	69.1662337662	49.0207792208	37534.089483	5	791	491	17.0	382.0	271.0	1	7.0	24.0	17.0	24	0	1680.9280061721802	3000	10958.839334487915	1817	39.43333333333333	
15723.5897072	155.654	10.6321243523	73.6139896373	52.1554404145	37534.089483	6	906	460	17.0	289.0	204.0	3	7.0	24.0	17.0	24	0	1716.7571830749512	3500	12675.596517562866	2104	39.88571428571429	
15611.8102002	173.592	10.8213333333	77.5973333333	55.0053333333	37534.089483	7	1032	491	17.0	405.0	285.0	5	7.0	24.0	17.0	25	0	1678.8515195846558	4000	14354.448037147522	2402	39.949999999999996	
15764.4797645	187.514	10.8787878788	82.1239669421	58.2121212121	37534.089483	8	1170	496	17.0	666.0	471.0	5	7.0	24.0	17.0	26	0	1807.8473184108734	4500	16162.295355558395	2694	40.13333333333333	
16215.5644825	193.0	11.1638418079	92.8644067797	65.7881355932	37534.089483	9	1317	500	17.0	666.0	471.0	3	7.0	24.0	17.0	26	0	1700.8044362068176	5000	17863.099791765213	2978	40.44	
17038.9001028	193.316	11.2637681159	98.8579710145	70.0376811594	40639.4432708	10	1473	500	17.0	666.0	471.0	4	7.0	24.0	17.0	28	0	1724.976686000824	5500	19588.076477766037	3234	41.2	
17518.1423557	194.672	11.2737127371	96.3441734417	68.298102981	40639.4432708	11	1605	490	17.0	473.0	335.0	8	7.0	24.0	17.0	28	0	1772.7354834079742	6000	21360.81196117401	3522	41.300000000000004	
17575.6067675	195.892	11.3019390582	96.9612188366	68.7257617729	40639.4432708	12	1745	485	17.0	331.0	234.0	5	7.0	24.0	17.0	29	0	1732.8615427017212	6500	23093.673503875732	3794	41.630769230769225	
18733.7759452	214.422	11.2486338798	106.043715847	75.1010928962	40639.4432708	13	1880	497	17.0	723.0	511.0	4	7.0	24.0	17.0	29	0	1824.6757490634918	7000	24918.349252939224	4062	41.97142857142857	
