ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
207045.865668	100.586	8.382	97.284	67.172	1147667.61967	0	0	589	10	572	393	24	7	23	16	3	0	1515.4952762126923	500	1515.4952762126923	497	0.5999999999999943	
221305.549613	106.94	9.61290322581	61.66359447	42.9769585253	1344450.16424	1	284	545	17.0	535.0	370.0	10	7.0	23.0	16.0	3	0	565.3288643360138	1000	2080.824140548706	686	31.39999999999999	
256109.806731	95.924	9.62465753425	54.3561643836	37.9205479452	1344450.16424	2	420	374	17.0	371.0	258.0	1	7.0	23.0	16.0	5	0	936.6887245178223	1500	3017.5128650665283	935	37.66666666666667	
281772.030413	101.494	9.49867374005	50.0344827586	34.9230769231	1418534.1687	3	544	381	17.0	501.0	348.0	1	7.0	23.0	16.0	5	0	956.860625743866	2000	3974.3734908103943	1210	39.5	
291958.693554	102.4	9.58793969849	53.5753768844	37.3894472362	1418534.1687	4	647	377	17.0	411.0	286.0	2	7.0	23.0	16.0	6	0	1020.7200853824615	2500	4995.093576192856	1505	39.800000000000004	
305206.472622	108.648	9.72660098522	54.0369458128	37.6921182266	1418534.1687	5	742	429	17.0	452.0	313.0	2	7.0	23.0	16.0	7	0	1034.626353263855	3000	6029.719929456711	1806	39.800000000000004	
306108.045676	117.388	9.69268292683	52.7804878049	36.8292682927	1740097.29842	6	833	431	17.0	220.0	153.0	2	7.0	23.0	16.0	7	0	1039.548234462738	3500	7069.268163919449	2133	39.05714285714286	
339779.838547	115.912	9.80306905371	55.7340153453	38.8874680307	1740097.29842	7	943	429	17.0	311.0	216.0	4	7.0	23.0	16.0	7	0	1001.9075603485107	4000	8071.17572426796	2433	39.175000000000004	
397310.42751	123.094	9.685	58.0	40.38	1740097.29842	8	1044	429	17.0	904.0	623.0	5	7.0	23.0	16.0	7	0	1036.391979932785	4500	9107.567704200745	2726	39.422222222222224	
426928.619381	141.94	9.86855670103	63.3350515464	44.0463917526	1740097.29842	9	1157	437	17.0	366.0	253.0	2	7.0	23.0	16.0	7	0	1029.2982211112976	5000	10136.865925312042	3021	39.580000000000005	
476749.670597	155.28	10.3490813648	77.9580052493	54.1758530184	1740097.29842	10	1277	471	17.0	366.0	253.0	2	7.0	23.0	16.0	7	0	1048.2201211452484	5500	11185.08604645729	3317	39.69090909090909	
492883.232455	165.356	10.4575342466	83.9671232877	58.3150684932	1740097.29842	11	1413	551	17.0	428.0	295.0	8	7.0	23.0	16.0	7	0	1027.423218011856	6000	12212.509264469147	3602	39.96666666666666	
549041.388661	170.23	10.5567867036	91.2049861496	63.2908587258	1740097.29842	12	1553	535	17.0	426.0	295.0	13	7.0	23.0	16.0	7	0	1046.829494714737	6500	13259.338759183884	3898	40.030769230769224	
566612.360105	188.894	10.8113207547	101.908355795	70.6819407008	2001741.17555	13	1683	412	17.0	445.0	310.0	8	7.0	23.0	16.0	7	0	1114.3452064990997	7000	14373.683965682983	4183	40.24285714285715	
670103.862203	199.094	11.068119891	113.430517711	78.621253406	2055269.05569	14	1817	448	17.0	600.0	415.0	5	7.0	23.0	16.0	7	0	1138.048363685608	7500	15511.732329368591	4456	40.58666666666667	
744159.612684	193.182	11.2235649547	118.607250755	82.1933534743	2376802.14082	15	1987	460	17.0	449.0	310.0	3	7.0	23.0	16.0	7	0	1033.1107261180878	8000	16544.84305548668	4701	41.237500000000004	
832697.840432	200.148	11.3581661891	120.931232092	83.776504298	2376802.14082	16	2139	491	17.0	457.0	316.0	5	7.0	23.0	16.0	7	0	1095.9389333724976	8500	17640.781988859177	4954	41.71764705882352	
880643.488517	210.256	11.5753846154	121.261538462	84.0153846154	2579214.21713	17	2315	455	17.0	458.0	317.0	22	7.0	23.0	16.0	7	0	1024.4075891971588	9000	18665.189578056335	5208	42.13333333333333	
856740.435264	223.17	11.5722379603	130.025495751	90.0566572238	2588513.73808	18	2463	452	17.0	1030.0	717.0	7	7.0	23.0	16.0	7	0	1138.048363685608	9500	19803.237941741943	5494	42.16842105263158	
897281.219059	242.46	11.8319327731	141.403361345	97.9495798319	2588513.73808	19	2607	519	17.0	640.0	441.0	3	7.0	23.0	16.0	7	0	1158.1705658435822	10000	20961.408507585526	5773	42.269999999999996	
898159.855987	255.014	12.1	148.24	102.725714286	2588513.73808	20	2758	762	17.0	776.0	539.0	56	7.0	23.0	16.0	7	0	1079.7045385837555	10500	22041.11304616928	6034	42.53333333333333	
898159.855987	255.014	12.1	148.24	102.725714286	2588513.73808	20	2758	762	17.0	776.0	539.0	56	7.0	23.0	16.0	7	0	1079.7045385837555	10500	22041.11304616928	6034	42.53333333333333	
