ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	infeasible	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	time_adjust	time_taken	total_inds	total_time	
179028.894065	24.136	8.346	20.852	16.22	571372.3234	0	0	0	67	10	58	45	9	6	8	6	0	613.3540608882904	500	613.3540608882904	
207067.891563	23.812	8.47552447552	14.7692307692	11.6293706294	571372.3234	1	0	358	93	17.0	45.0	36.0	4	6.0	8.0	6.0	0	139.07410049438477	1000	752.4281613826752	
302689.175422	25.07	8.01257861635	13.0817610063	10.2830188679	571372.3234	2	0	541	73	15.0	57.0	45.0	3	6.0	8.0	6.0	0	250.6813931465149	1500	1003.1095545291901	
364186.115655	25.834	8.04923076923	13.1015384615	10.3076923077	571372.3234	3	0	717	73	18.0	52.0	42.0	5	6.0	8.0	6.0	0	248.59238719940186	2000	1251.701941728592	
381218.939827	27.532	8.24089635854	13.6526610644	10.7759103641	571372.3234	4	0	861	79	18.0	99.0	79.0	3	6.0	8.0	6.0	0	271.31148076057434	2500	1523.0134224891663	
408244.771754	27.41	8.39669421488	14.1707988981	11.2066115702	571372.3234	5	0	999	86	18.0	52.0	42.0	5	6.0	8.0	6.0	0	269.0720236301422	3000	1792.0854461193085	
420150.14098	28.336	8.33983286908	14.4818941504	11.4428969359	571372.3234	6	0	1141	69	18.0	63.0	50.0	4	6.0	8.0	6.0	0	319.02661061286926	3500	2111.1120567321777	
431860.752839	29.21	8.43406593407	14.5467032967	11.4945054945	632840.0525	7	0	1278	90	20.0	53.0	42.0	5	6.0	8.0	6.0	0	288.52075576782227	4000	2399.6328125	
437497.270921	31.804	8.63956639566	15.6097560976	12.3414634146	632840.0525	8	0	1410	90	20.0	59.0	47.0	4	6.0	8.0	6.0	0	305.76329278945923	4500	2705.3961052894592	
420715.760202	32.306	8.47860962567	15.3529411765	12.1096256684	632840.0525	9	0	1537	86	18.0	74.0	59.0	6	6.0	8.0	6.0	0	332.1783142089844	5000	3037.5744194984436	
419200.010997	33.076	9.00286532951	17.9369627507	14.1948424069	632840.0525	10	0	1689	90	20.0	75.0	60.0	6	6.0	8.0	6.0	0	355.05885887145996	5500	3392.6332783699036	
419917.94834	32.954	9.03389830508	18.0960451977	14.313559322	632840.0525	11	1	1836	98	22.0	101.0	81.0	5	6.0	8.0	6.0	0	376.3366289138794	6000	3768.969907283783	
