ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
184238.279457	21.72	8.14	19.035	14.64	707804.585254	0	0	75	10	66	50	9	6	8	6	0	0	427.830689907074	200	427.830689907074	149	25.5	
195771.812781	23.57	8.20338983051	15.9830508475	12.3898305085	707804.585254	1	141	67	14.0	56.0	43.0	7	6.0	8.0	6.0	4	0	113.77300310134888	400	541.6036930084229	179	55.25	
303288.871222	28.52	7.9918699187	13.7886178862	10.8292682927	707804.585254	2	218	74	15.0	56.0	43.0	6	6.0	8.0	6.0	4	0	258.63046765327454	600	800.2341606616974	207	65.5	
381751.007325	27.785	7.84375	13.3125	10.4609375	857324.841493	3	290	64	15.0	56.0	43.0	5	6.0	8.0	6.0	4	0	277.90493655204773	800	1078.1390972137451	234	70.75	
402160.528093	28.63	7.79069767442	12.7596899225	10.007751938	857324.841493	4	361	67	14.0	44.0	34.0	7	6.0	8.0	6.0	4	0	276.10020303726196	1000	1354.239300251007	261	73.9	
442499.095808	28.5	8.13333333333	14.0888888889	11.0296296296	857324.841493	5	426	59	16.0	50.0	38.0	6	6.0	8.0	6.0	4	0	275.0794951915741	1200	1629.3187954425812	292	75.66666666666666	
438187.164371	27.05	7.77551020408	12.462585034	9.74149659864	857324.841493	6	479	59	16.0	53.0	41.0	5	6.0	8.0	6.0	4	0	299.57968759536743	1400	1928.8984830379486	314	77.57142857142857	
423409.894425	26.935	7.79194630872	12.7315436242	9.93959731544	857324.841493	7	530	53	16.0	40.0	31.0	6	6.0	8.0	6.0	4	0	305.74647426605225	1600	2234.644957304001	336	79.0	
404424.484528	26.245	7.88235294118	12.9477124183	10.137254902	857324.841493	8	577	55	14.0	44.0	33.0	8	6.0	8.0	6.0	4	0	324.5303680896759	1800	2559.1753253936768	374	79.22222222222223	
465422.312695	28.195	8.09333333333	14.1933333333	11.12	857324.841493	9	627	55	14.0	45.0	35.0	9	6.0	8.0	6.0	4	0	376.7425787448883	2000	2935.917904138565	416	79.2	
457401.590151	31.165	8.60740740741	16.9851851852	13.3185185185	857324.841493	10	692	62	15.0	57.0	44.0	6	6.0	8.0	6.0	4	0	404.5956115722656	2200	3340.5135157108307	464	78.9090909090909	
457401.590151	31.165	8.60740740741	16.9851851852	13.3185185185	857324.841493	10	692	62	15.0	57.0	44.0	6	6.0	8.0	6.0	4	0	404.5956115722656	2200	3340.5135157108307	464	78.9090909090909	
