ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
218898.943572	114.718	8.424	109.088	76.7	1359340.37406	0	0	658	10	627	439	25	7	24	17	6	0	3013.857488155365	500	3013.857488155365	494	1.2000000000000028	
196771.327485	122.88	9.97777777778	63.3866666667	44.96	1359340.37406	1	276	484	17.0	525.0	371.0	11	7.0	24.0	17.0	7	0	934.3507273197174	1000	3948.2082154750824	690	31.0	
209459.537815	122.594	9.99425287356	58.5747126437	41.5431034483	1359340.37406	2	429	484	17.0	342.0	240.0	2	7.0	24.0	17.0	9	0	1837.7096197605133	1500	5785.917835235596	953	36.46666666666667	
234763.742453	121.85	9.9481865285	58.4559585492	41.4766839378	1359340.37406	3	544	498	17.0	308.0	218.0	1	7.0	24.0	17.0	9	0	1892.8078684806824	2000	7678.725703716278	1264	36.8	
271607.216472	120.266	9.92428198433	62.4360313316	44.2767624021	1359340.37406	4	662	498	17.0	381.0	268.0	4	7.0	24.0	17.0	11	0	1590.29261302948	2500	9269.018316745758	1551	37.96000000000001	
272312.807677	131.182	10.1030927835	59.8608247423	42.4768041237	1359340.37406	5	775	485	17.0	295.0	207.0	4	7.0	24.0	17.0	13	0	1618.3155376911163	3000	10887.333854436874	1853	38.23333333333333	
286010.131731	124.37	10.1472081218	59.9086294416	42.5304568528	1359340.37406	6	882	446	17.0	295.0	207.0	3	7.0	24.0	17.0	15	0	1629.7541680335999	3500	12517.088022470474	2140	38.857142857142854	
244936.878933	138.62	10.1397590361	59.113253012	41.9638554217	1359340.37406	7	968	446	17.0	484.0	342.0	3	7.0	24.0	17.0	16	0	1722.6901686191559	4000	14239.77819108963	2464	38.4	
259096.242356	144.022	10.130952381	56.2928571429	39.9761904762	1482532.42004	8	1049	452	17.0	321.0	226.0	10	7.0	24.0	17.0	19	0	1890.4543616771698	4500	16130.2325527668	2782	38.17777777777778	
263824.87567	149.378	10.5096153846	59.3293269231	42.1466346154	1602507.05742	9	1134	454	17.0	643.0	453.0	2	7.0	24.0	17.0	19	0	1759.631739616394	5000	17889.864292383194	3104	37.92	
277519.063747	156.852	10.4693396226	64.929245283	46.0990566038	1602507.05742	10	1211	433	17.0	407.0	287.0	9	7.0	24.0	17.0	19	0	1875.249034166336	5500	19765.11332654953	3421	37.8	
313438.857129	153.7	10.7759036145	71.2674698795	50.5614457831	1602507.05742	11	1297	402	17.0	478.0	338.0	2	7.0	24.0	17.0	19	0	1816.8809697628021	6000	21581.994296312332	3736	37.73333333333333	
325801.017665	155.97	10.7164948454	70.9432989691	50.3479381443	1602507.05742	12	1410	446	17.0	829.0	586.0	1	7.0	24.0	17.0	20	0	1677.5093080997467	6500	23259.50360441208	4042	37.815384615384616	
375174.625837	182.114	10.8427835052	76.6726804124	54.412371134	1602507.05742	13	1523	473	17.0	361.0	255.0	2	7.0	24.0	17.0	23	0	1703.7405104637146	7000	24963.244114875793	4328	38.171428571428564	
387313.68176	184.78	10.78	70.75	50.2275	1602507.05742	14	1624	477	17.0	385.0	271.0	3	7.0	24.0	17.0	25	0	1744.0673713684082	7500	26707.3114862442	4641	38.12	
420882.615321	181.488	11.0445544554	79.146039604	56.1683168317	1951357.99906	15	1721	442	17.0	1023.0	721.0	10	7.0	24.0	17.0	28	0	1787.0207591056824	8000	28494.332245349884	4950	38.125	
459875.45322	195.75	10.8912466844	81.2546419098	57.649867374	1951357.99906	16	1845	489	17.0	1023.0	721.0	13	7.0	24.0	17.0	31	0	1680.4781663417816	8500	30174.810411691666	5237	38.38823529411764	
490782.734063	201.096	11.3368983957	88.9759358289	63.0802139037	1951357.99906	17	1972	485	17.0	422.0	298.0	1	7.0	24.0	17.0	38	0	1675.1760740280151	9000	31849.98648571968	5531	38.54444444444445	
536059.266541	220.638	11.5580808081	93.4873737374	66.2626262626	1951357.99906	18	2077	499	17.0	517.0	365.0	5	7.0	24.0	17.0	42	0	1828.741278886795	9500	33678.727764606476	5840	38.526315789473685	
572190.388066	230.128	11.5342105263	99.6289473684	70.5815789474	2233544.19606	19	2198	489	17.0	562.0	396.0	29	7.0	24.0	17.0	44	0	2207.744700193405	10000	35886.47246479988	6128	38.72	
649260.543049	246.524	11.3582474227	99.2113402062	70.2628865979	2233544.19606	20	2311	490	17.0	930.0	656.0	21	7.0	24.0	17.0	46	0	1784.4619724750519	10500	37670.93443727493	6417	38.88571428571429	
649260.543049	246.524	11.3582474227	99.2113402062	70.2628865979	2233544.19606	20	2311	490	17.0	930.0	656.0	21	7.0	24.0	17.0	46	0	1784.4619724750519	10500	37670.93443727493	6417	38.88571428571429	
