ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
13341.4330793	105.515	8.375	100.32	70.565	33069.5132008	0	0	709	10	675	473	25	7	24	17	4	0	625.3554556369781	200	625.3554556369781	196	2.0	
13716.2778231	124.365	9.54444444444	59.9	42.4444444444	33069.5132008	1	110	612	17.0	584.0	408.0	16	7.0	24.0	17.0	5	0	228.4104402065277	400	853.7658958435059	274	31.5	
13590.2645841	128.71	9.42675159236	56.3503184713	39.974522293	33069.5132008	2	153	612	17.0	584.0	408.0	2	7.0	24.0	17.0	5	0	410.7046082019806	600	1264.4705040454865	400	33.33333333333334	
13178.9647267	123.35	9.24358974359	46.2692307692	32.8717948718	33069.5132008	3	197	485	16.0	259.0	183.0	4	7.0	24.0	17.0	5	0	410.02846908569336	800	1674.4989731311798	520	35.0	
13759.649787	140.945	9.07471264368	45.1206896552	32.0459770115	33069.5132008	4	223	382	17.0	310.0	219.0	1	7.0	24.0	17.0	5	0	451.14242482185364	1000	2125.6413979530334	660	34.0	
13202.1914748	142.76	9.49707602339	49.4093567251	35.1111111111	33069.5132008	5	252	420	17.0	452.0	320.0	7	7.0	24.0	17.0	6	0	457.6602249145508	1200	2583.3016228675842	807	32.75	
13714.1458506	160.13	9.81460674157	56.1853932584	39.9438202247	33069.5132008	6	274	458	17.0	452.0	320.0	11	7.0	24.0	17.0	6	0	556.0937662124634	1400	3139.3953890800476	944	32.57142857142857	
14111.8798397	156.555	9.89285714286	53.2857142857	37.869047619	33069.5132008	7	306	422	16.0	275.0	196.0	4	7.0	24.0	17.0	6	0	472.47923159599304	1600	3611.8746206760406	1056	34.0	
13890.3997232	171.785	9.7573964497	56.9585798817	40.4852071006	33754.9701546	8	337	431	17.0	312.0	220.0	6	7.0	24.0	17.0	6	0	457.2183430194855	1800	4069.092963695526	1189	33.94444444444444	
13341.7953171	160.925	9.64285714286	55.005952381	39.0357142857	33754.9701546	9	369	430	17.0	434.0	306.0	6	7.0	24.0	17.0	6	0	448.36693024635315	2000	4517.459893941879	1320	34.0	
13793.0531656	162.465	9.47513812155	52.3259668508	37.1546961326	33754.9701546	10	388	430	15.0	545.0	385.0	8	7.0	24.0	17.0	6	0	483.82929015159607	2200	5001.289184093475	1466	33.36363636363636	
14362.529076	162.39	9.3918128655	59.7543859649	42.3918128655	33754.9701546	11	417	433	16.0	545.0	385.0	7	7.0	24.0	17.0	6	0	467.7485730648041	2400	5469.037757158279	1596	33.5	
14359.5633229	149.465	9.7696969697	66.3696969697	47.0727272727	33754.9701546	12	452	433	17.0	316.0	224.0	10	7.0	24.0	17.0	6	0	458.25364422798157	2600	5927.291401386261	1717	33.96153846153847	
14610.4597451	161.995	10.1920529801	76.2847682119	54.0794701987	33754.9701546	13	501	449	17.0	421.0	299.0	1	7.0	24.0	17.0	6	0	441.2236280441284	2800	6368.515029430389	1837	34.39285714285715	
14364.7701086	159.515	9.89570552147	74.0613496933	52.4601226994	33754.9701546	14	538	403	16.0	632.0	444.0	4	7.0	24.0	17.0	6	0	475.65931963920593	3000	6844.174349069595	1967	34.43333333333334	
15385.0650796	158.515	10.2416107383	78.6577181208	55.6845637584	33754.9701546	15	589	380	16.0	632.0	444.0	7	7.0	24.0	17.0	6	0	464.39968848228455	3200	7308.57403755188	2080	35.0	
