ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
162389.80218	123.883	12.899	107.432	82.74	768443.361558	0	0	916	20	796	611	12	6	11	8	64	0	2817.2888085842133	1000	2817.2888085842133	927	7.299999999999997	
212387.381358	122.028	12.9093655589	46.1238670695	35.4954682779	768443.361558	1	669	710	30.0	218.0	168.0	8	6.0	11.0	8.0	70	0	810.8768899440765	2000	3628.16569852829	1213	39.349999999999994	
274380.843934	129.886	12.4554140127	42.2834394904	32.5382165605	768443.361558	2	1041	710	30.0	256.0	198.0	5	6.0	11.0	8.0	72	0	1513.0972785949707	3000	5141.2629771232605	1626	45.8	
320350.105392	128.727	12.625	43.0228658537	33.1448170732	768443.361558	3	1385	710	30.0	303.0	235.0	2	6.0	11.0	8.0	75	0	1580.6286854743958	4000	6721.891662597656	2053	48.675000000000004	
359249.088558	147.041	12.5523672884	43.3572453372	33.4390243902	781872.855041	4	1688	722	30.0	264.0	204.0	12	6.0	11.0	8.0	77	0	1697.300832748413	5000	8419.19249534607	2521	49.58	
371754.366502	146.034	12.9602194787	44.646090535	34.4801097394	781872.855041	5	1959	723	30.0	266.0	206.0	5	6.0	11.0	8.0	78	0	1765.222865819931	6000	10184.415361166	3008	49.86666666666667	
368248.211431	139.504	13.3214285714	47.760989011	36.8832417582	781872.855041	6	2231	737	30.0	283.0	221.0	10	6.0	11.0	8.0	83	0	1794.3948090076447	7000	11978.810170173645	3508	49.885714285714286	
390837.400875	145.515	13.5924932976	49.8471849866	38.5053619303	809958.761602	7	2485	767	30.0	264.0	206.0	10	6.0	11.0	8.0	88	0	1851.254316329956	8000	13830.064486503601	4019	49.762499999999996	
389841.107547	157.292	13.839673913	50.8654891304	39.2894021739	809958.761602	8	2749	848	30.0	273.0	214.0	12	6.0	11.0	8.0	95	0	1829.082389831543	9000	15659.146876335144	4530	49.66666666666667	
370972.473652	168.656	14.0120643432	52.063002681	40.2412868633	809958.761602	9	3003	780	30.0	264.0	205.0	10	6.0	11.0	8.0	99	0	1860.3012137413025	10000	17519.448090076447	5085	49.150000000000006	
404140.247942	174.316	14.0257400257	52.1891891892	40.3963963964	821405.055882	10	3226	780	30.0	274.0	213.0	9	6.0	11.0	8.0	106	0	1907.066946029663	11000	19426.51503610611	5621	48.9	
404140.247942	174.316	14.0257400257	52.1891891892	40.3963963964	821405.055882	10	3226	780	30.0	274.0	213.0	9	6.0	11.0	8.0	106	0	1907.066946029663	11000	19426.51503610611	5621	48.9	
