Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,60.2603,64.8504,60.134,,,,0,8,0
2000-05-02 00:00:00,,,,66.1979,70.0721,65.6505,,,,,,
2000-05-03 00:00:00,,,,65.6926,66.0295,60.4709,,,,,,
2000-05-04 00:00:00,,,,61.65,61.65,59.4602,,,,,,
2000-05-05 00:00:00,,,,60.7657,62.9554,60.3867,,,,,,
2000-05-08 00:00:00,,,,61.9026,61.9026,57.0178,,,,,,
2000-05-09 00:00:00,,,,57.6074,58.2811,52.9331,,,,,,
2000-05-10 00:00:00,,,,53.2279,53.6911,51.0381,,,,,,
2000-05-11 00:00:00,,,,52.2172,53.4805,51.2065,,,,,,
2000-05-12 00:00:00,,,,56.5967,65.6926,55.4176,,,,0,8,0
2000-05-15 00:00:00,,,,60.6393,61.2289,57.6074,,,,,,
2000-05-16 00:00:00,,,,60.7235,65.3136,60.6393,,,,0,8,0
2000-05-17 00:00:00,,,,56.0914,56.2177,51.8382,,,,0,8,0
2000-05-18 00:00:00,,,,52.5541,52.9752,49.3958,,,,,,
2000-05-19 00:00:00,,,,48.9747,50.3222,44.5531,,,,,,
2000-05-22 00:00:00,,,,45.1426,45.8164,40.4262,,,,,,
2000-05-23 00:00:00,,,,41.7316,42.4475,38.1101,,,,,,
2000-05-24 00:00:00,,,,38.9102,40.3841,36.3836,,,,,,
2000-05-25 00:00:00,,,,39.9209,44.2162,39.2471,,,,,,
2000-05-26 00:00:00,,,,45.8164,45.8164,43.3319,,,,,,
2000-05-30 00:00:00,,,,44.5952,51.4592,44.511,,,,,,
2000-05-31 00:00:00,,,,49.859,52.6804,49.0168,,,,,,
2000-06-01 00:00:00,,,,50.1538,51.4171,49.0168,,,,0,8,0
2000-06-02 00:00:00,,,,50.5328,55.1649,50.4907,,,,0,8,0
2000-06-05 00:00:00,,,,54.5754,56.4283,51.5434,,,,,,
2000-06-06 00:00:00,,,,50.6591,50.8697,46.5323,,,,0,9,0
2000-06-07 00:00:00,,,,47.1639,48.5115,44.132,,,,,,
2000-06-08 00:00:00,,,,45.1426,46.9955,45.0163,,,,,,
2000-06-09 00:00:00,,,,46.9955,48.9326,46.9955,,,,,,
2000-06-12 00:00:00,,,,48.9326,48.9326,44.3846,,,,,,
2000-06-13 00:00:00,,,,43.4582,48.343,43.4582,,,,,,
2000-06-14 00:00:00,,,,47.669200000000004,48.1746,45.1426,,,,,,
2000-06-15 00:00:00,,,,45.7743,45.7743,43.6687,,,,,,
2000-06-16 00:00:00,,,,44.5952,44.8478,41.9001,,,,,,
2000-06-19 00:00:00,,,,41.858,45.8164,41.858,,,,0,9,0
2000-06-20 00:00:00,,,,46.448,51.1223,46.069,,,,,,
2000-06-21 00:00:00,,,,49.4379,53.8595,49.4379,,,,,,
2000-06-22 00:00:00,,,,53.7332,53.7332,50.1959,,,,,,
2000-06-23 00:00:00,,,,49.8169,52.2172,49.8169,,,,,,
2000-06-26 00:00:00,,,,50.5328,51.4171,49.9011,,,,,,
2000-06-27 00:00:00,,,,50.4486,51.754,49.9432,,,,,,
2000-06-28 00:00:00,,,,53.0594,54.028,52.3856,,,,0,9,0
2000-06-29 00:00:00,,,,53.8174,53.8174,50.5749,,,,,,
2000-06-30 00:00:00,,,,51.6698,53.5647,49.6906,,,,0,9,0
