Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,13.4,14.467,13.4,,,,,,
2001-11-30 00:00:00,,,,13.9,14.283,13.883,,,,,,
2001-12-03 00:00:00,,,,14.233,14.233,13.783,,,,,,
2001-12-04 00:00:00,,,,13.783,13.783,13.233,,,,,,
2001-12-05 00:00:00,,,,13.433,14.767,13.433,,,,,,
2001-12-06 00:00:00,,,,14.733,14.733,14.57,,,,,,
2001-12-07 00:00:00,,,,14.583,14.667,14.467,,,,,,
2001-12-10 00:00:00,,,,14.633,14.633,14.587,,,,,,
2001-12-11 00:00:00,,,,14.6,14.71,14.6,,,,,,
2001-12-12 00:00:00,,,,14.583,14.583,14.037,,,,,,
2001-12-13 00:00:00,,,,14.083,14.267,13.967,,,,,,
2001-12-14 00:00:00,,,,13.95,13.95,13.517,,,,,,
2001-12-17 00:00:00,,,,13.663,14,13.663,,,,,,
2001-12-18 00:00:00,,,,13.683,13.867,13.667,,,,,,
2001-12-19 00:00:00,,,,13.667,13.683,13.58,,,,0,1,0
2001-12-20 00:00:00,,,,13.733,14.2,13.733,,,,,,
2001-12-21 00:00:00,,,,14.183,15.3,14.167,,,,0,2,0
2001-12-24 00:00:00,,,,15.1,15.35,15.067,,,,,,
2001-12-26 00:00:00,,,,15.3,15.653,15.267,,,,,,
2001-12-27 00:00:00,,,,15.75,15.883,15.4,,,,0,3,0
2001-12-28 00:00:00,,,,15.733,15.733,15.633,,,,,,
2001-12-31 00:00:00,,,,15.7,16.583,15.567,,,,,,
2002-01-02 00:00:00,,,,16.167,16.167,15.883,,,,,,
2002-01-03 00:00:00,,,,15.9,15.903,15.1,,,,0,3,0
2002-01-04 00:00:00,,,,15.1,15.2,13.667,,,,,,
2002-01-07 00:00:00,,,,14.167,14.367,13.283,,,,,,
2002-01-08 00:00:00,,,,13.85,13.933,13.5,,,,,,
2002-01-09 00:00:00,,,,13.717,13.867,13.7,,,,,,
2002-01-10 00:00:00,,,,13.733,14.133,13.733,,,,,,
2002-01-11 00:00:00,,,,14.333,14.75,14.317,,,,0,4,0
2002-01-14 00:00:00,,,,14.5,14.567,14.3,,,,,,
2002-01-15 00:00:00,,,,14.75,15.45,14.75,,,,0,4,0
