Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,4.4597999999999995,4.4688,4.3527000000000005,,,,,,
2000-05-02 00:00:00,,,,4.4018,4.5089,4.1964,,,,,,
2000-05-03 00:00:00,,,,4.2478,4.3304,3.9866,,,,,,
2000-05-04 00:00:00,,,,4.1116,4.1161,3.9487,,,,,,
2000-05-05 00:00:00,,,,3.9576000000000002,4.0982,3.9542,,,,,,
2000-05-08 00:00:00,,,,4.0033,4.0603,3.9286,,,,,,
2000-05-09 00:00:00,,,,3.9397,3.9732,3.7455,,,,,,
2000-05-10 00:00:00,,,,3.7165,3.75,3.5268,,,,,,
2000-05-11 00:00:00,,,,3.6205,3.7232,3.5357,,,,,,
2000-05-12 00:00:00,,,,3.7857,3.9464,3.7416,,,,,,
2000-05-15 00:00:00,,,,3.8594,3.8594,3.5759,,,,,,
2000-05-16 00:00:00,,,,3.7327,3.8951000000000002,3.6696,,,,,,
2000-05-17 00:00:00,,,,3.7009,3.7031,3.5848,,,,,,
2000-05-18 00:00:00,,,,3.6786,3.7478,3.5938,,,,,,
2000-05-19 00:00:00,,,,3.5446,3.5446,3.3348,,,,,,
2000-05-22 00:00:00,,,,3.3482,3.3482,3.0714,,,,,,
2000-05-23 00:00:00,,,,3.2321,3.3348,3.058,,,,,,
2000-05-24 00:00:00,,,,3.0781,3.2054,2.9643,,,,,,
2000-05-25 00:00:00,,,,3.1607,3.3092,3.0714,,,,,,
2000-05-26 00:00:00,,,,3.1429,3.2098,3.0446,,,,,,
2000-05-30 00:00:00,,,,3.1295,3.1473,2.9196,,,,,,
2000-05-31 00:00:00,,,,3.1027,3.2589,2.9933,,,,,,
2000-06-01 00:00:00,,,,2.9196,3.1987,2.8705,,,,,,
2000-06-02 00:00:00,,,,3.3482,3.5625,3.1786,,,,,,
2000-06-05 00:00:00,,,,3.3326000000000002,3.4018,3.2031,,,,,,
2000-06-06 00:00:00,,,,3.2846,3.4554,3.2254,,,,,,
2000-06-07 00:00:00,,,,3.3438,3.4643,3.2723,,,,,,
2000-06-08 00:00:00,,,,3.4866,3.5179,3.3259,,,,,,
2000-06-09 00:00:00,,,,3.4554,3.4978,3.3705,,,,,,
2000-06-12 00:00:00,,,,3.442,3.4442,3.2455,,,,,,
2000-06-13 00:00:00,,,,3.2567,3.3817,3.1496,,,,,,
2000-06-14 00:00:00,,,,3.3817,3.4375,3.2188,,,,,,
2000-06-15 00:00:00,,,,3.2589,3.3348,3.1786,,,,,,
2000-06-16 00:00:00,,,,3.3393,3.3482,3.1808,,,,,,
2000-06-19 00:00:00,,,,3.2344,3.4955,3.2076000000000002,,,,,,
2000-06-20 00:00:00,,,,3.5179,3.7121,3.5134,,,,,,
2000-06-21 00:00:00,,,,3.6071,4.067,3.5938,,,,,,
2000-06-22 00:00:00,,,,3.9821,4.1161,3.8259,,,,,,
2000-06-23 00:00:00,,,,3.8415,3.9018,3.6295,,,,,,
2000-06-26 00:00:00,,,,3.75,3.9107,3.7232,,,,,,
2000-06-27 00:00:00,,,,3.8415,3.9643,3.6875,,,,,,
2000-06-28 00:00:00,,,,3.808,3.9554,3.6786,,,,,,
2000-06-29 00:00:00,,,,3.7902,3.8527,3.6473,,,,,,
2000-06-30 00:00:00,,,,3.7723,3.9241,3.692,,,,,,
2000-07-03 00:00:00,,,,3.7232,3.8795,3.7232,,,,,,
2000-07-05 00:00:00,,,,3.8036,3.942,3.625,,,,,,
2000-07-06 00:00:00,,,,3.75,3.7813,3.5446,,,,,,
2000-07-07 00:00:00,,,,3.7567,3.9152,3.7232,,,,,,
2000-07-10 00:00:00,,,,3.8638,4.1607,3.8393,,,,,,
2000-07-11 00:00:00,,,,4.0714,4.2321,3.9598,,,,,,
2000-07-12 00:00:00,,,,4.1518,4.2097999999999995,4.0268,,,,,,
2000-07-13 00:00:00,,,,4.1786,4.3304,3.9107,,,,,,
2000-07-14 00:00:00,,,,4.0804,4.2143,4.0625,,,,,,
2000-07-17 00:00:00,,,,4.1607,4.2009,4.0804,,,,,,
2000-07-18 00:00:00,,,,4.1786,4.2054,4.0625,,,,,,
2000-07-19 00:00:00,,,,3.942,4.058,3.6964,,,,,,
2000-07-20 00:00:00,,,,3.9286,4.0759,3.8661,,,,,,
2000-07-21 00:00:00,,,,3.8828,3.9732,3.7813,,,,,,
2000-07-24 00:00:00,,,,3.7545,3.7768,3.3929,,,,,,
2000-07-25 00:00:00,,,,3.5938,3.6161,3.5045,,,,,,
2000-07-26 00:00:00,,,,3.5603,3.6607,3.5179,,,,,,
2000-07-27 00:00:00,,,,3.5714,3.8036,3.5625,,,,,,
2000-07-28 00:00:00,,,,3.7344,3.75,3.3482,,,,,,
2000-07-31 00:00:00,,,,3.5112,3.6875,3.4821,,,,,,
2000-08-01 00:00:00,,,,3.5938,3.654,3.5179,,,,,,
2000-08-02 00:00:00,,,,3.5,3.567,3.3705,,,,,,
2000-08-03 00:00:00,,,,3.2545,3.433,3.1607,,,,,,
2000-08-04 00:00:00,,,,3.5335,3.6607,3.308,,,,,,
2000-08-07 00:00:00,,,,3.4196,3.5045,3.3705,,,,,,
2000-08-08 00:00:00,,,,3.4241,3.4286,3.308,,,,,,
2000-08-09 00:00:00,,,,3.4375,3.4598,3.375,,,,,,
2000-08-10 00:00:00,,,,3.4286,3.4598,3.3839,,,,,,
2000-08-11 00:00:00,,,,3.346,3.4286,3.2545,,,,,,
2000-08-14 00:00:00,,,,3.3996,3.4063,3.308,,,,,,
2000-08-15 00:00:00,,,,3.375,3.4241,3.3214,,,,,,
2000-08-16 00:00:00,,,,3.3482,3.5,3.3438,,,,,,
2000-08-17 00:00:00,,,,3.4554,3.7455,3.4509,,,,,,
2000-08-18 00:00:00,,,,3.6696,3.7009,3.5625,,,,,,
2000-08-21 00:00:00,,,,3.5893,3.683,3.5446,,,,,,
2000-08-22 00:00:00,,,,3.6161,3.7723,3.5982,,,,,,
2000-08-23 00:00:00,,,,3.6763,3.9107,3.6473,,,,,,
2000-08-24 00:00:00,,,,3.9051,4.0446,3.8125,,,,,,
2000-08-25 00:00:00,,,,4.0357,4.1071,4.0268,,,,,,
2000-08-28 00:00:00,,,,4.0893,4.2143,4.0759,,,,,,
2000-08-29 00:00:00,,,,4.1339,4.2455,4.1205,,,,,,
2000-08-30 00:00:00,,,,4.2143,4.2857,4.1931,,,,,,
2000-08-31 00:00:00,,,,4.2121,4.3929,4.2097999999999995,,,,,,
2000-09-01 00:00:00,,,,4.3795,4.5446,4.3661,,,,,,
2000-09-05 00:00:00,,,,4.4754,4.5804,4.4464,,,,,,
2000-09-06 00:00:00,,,,4.3839,4.4554,4.125,,,,,,
2000-09-07 00:00:00,,,,4.2232,4.4688,4.1607,,,,,,
2000-09-08 00:00:00,,,,4.4018,4.4018,4.1786,,,,,,
2000-09-11 00:00:00,,,,4.192,4.3125,4.1518,,,,,,
2000-09-12 00:00:00,,,,4.096,4.2902000000000005,4.0714,,,,,,
2000-09-13 00:00:00,,,,4.0536,4.25,4.0536,,,,,,
2000-09-14 00:00:00,,,,4.183,4.2589,4.058,,,,,,
2000-09-15 00:00:00,,,,4.125,4.1563,3.875,,,,,,
2000-09-18 00:00:00,,,,3.9464,4.3393,3.933,,,,,,
2000-09-19 00:00:00,,,,4.2679,4.3214,4.183,,,,,,
2000-09-20 00:00:00,,,,4.2433,4.3884,4.183,,,,,,
2000-09-21 00:00:00,,,,4.1786,4.2589,3.9464,,,,,,
2000-09-22 00:00:00,,,,3.5938,3.7455,3.5714,,,,,,
2000-09-25 00:00:00,,,,3.7679,3.9643,3.7679,,,,,,
2000-09-26 00:00:00,,,,3.808,3.9107,3.6696,,,,,,
2000-09-27 00:00:00,,,,3.6964,3.7679,3.4464,,,,,,
2000-09-28 00:00:00,,,,3.5223,3.8438,3.4375,,,,,,
2000-09-29 00:00:00,,,,2.0134,2.0714,1.8125,,,,,,
2000-10-02 00:00:00,,,,1.9062999999999999,1.9106999999999998,1.6785999999999999,,,,,,
2000-10-03 00:00:00,,,,1.7812999999999999,1.7856999999999998,1.5848,,,,,,
2000-10-04 00:00:00,,,,1.5981999999999998,1.6964000000000001,1.5625,,,,,,
2000-10-05 00:00:00,,,,1.6785999999999999,1.75,1.5714000000000001,,,,,,
2000-10-06 00:00:00,,,,1.6205,1.6383999999999999,1.5,,,,,,
2000-10-09 00:00:00,,,,1.6160999999999999,1.6339000000000001,1.5089000000000001,,,,,,
2000-10-10 00:00:00,,,,1.5446,1.6027,1.4643,,,,,,
2000-10-11 00:00:00,,,,1.4375,1.5,1.3660999999999999,,,,,,
2000-10-12 00:00:00,,,,1.4509,1.4866,1.3929,,,,,,
2000-10-13 00:00:00,,,,1.4464000000000001,1.5804,1.4285999999999999,,,,,,
2000-10-16 00:00:00,,,,1.5937999999999999,1.6606999999999998,1.5268000000000002,,,,,,
2000-10-17 00:00:00,,,,1.5491000000000001,1.567,1.4062999999999999,,,,,,
2000-10-18 00:00:00,,,,1.3884,1.5045,1.3393,,,,,,
2000-10-19 00:00:00,,,,1.3683,1.4152,1.308,,,,,,
2000-10-20 00:00:00,,,,1.3616,1.4554,1.3527,,,,,,
2000-10-23 00:00:00,,,,1.4285999999999999,1.4687999999999999,1.3884,,,,,,
2000-10-24 00:00:00,,,,1.4777,1.4910999999999999,1.3437999999999999,,,,,,
2000-10-25 00:00:00,,,,1.3616,1.3705,1.317,,,,,,
2000-10-26 00:00:00,,,,1.3437999999999999,1.3482,1.25,,,,,,
2000-10-27 00:00:00,,,,1.3482,1.3705,1.2768,,,,,,
2000-10-30 00:00:00,,,,1.3660999999999999,1.4241,1.3393,,,,,,
2000-10-31 00:00:00,,,,1.4107,1.4464000000000001,1.375,,,,,,
2000-11-01 00:00:00,,,,1.3884,1.4910999999999999,1.3884,,,,,,
2000-11-02 00:00:00,,,,1.5089000000000001,1.6027,1.5045,,,,,,
2000-11-03 00:00:00,,,,1.6429,1.6429,1.567,,,,,,
2000-11-06 00:00:00,,,,1.6027,1.6160999999999999,1.4910999999999999,,,,,,
2000-11-07 00:00:00,,,,1.5356999999999998,1.558,1.4866,,,,,,
2000-11-08 00:00:00,,,,1.5268000000000002,1.5312999999999999,1.4152,,,,,,
2000-11-09 00:00:00,,,,1.4196,1.4643,1.3616,,,,,,
2000-11-10 00:00:00,,,,1.3828,1.4196,1.3616,,,,,,
2000-11-13 00:00:00,,,,1.3393,1.4285999999999999,1.3035999999999999,,,,,,
2000-11-14 00:00:00,,,,1.4241,1.4643,1.3973,,,,,,
2000-11-15 00:00:00,,,,1.4308,1.442,1.375,,,,,,
2000-11-16 00:00:00,,,,1.3929,1.4152,1.3482,,,,,,
2000-11-17 00:00:00,,,,1.3705,1.375,1.3035999999999999,,,,,,
2000-11-20 00:00:00,,,,1.3281,1.3929,1.3035999999999999,,,,,,
2000-11-21 00:00:00,,,,1.3705,1.3929,1.3393,,,,,,
2000-11-22 00:00:00,,,,1.3437999999999999,1.3660999999999999,1.3125,,,,,,
2000-11-24 00:00:00,,,,1.3471,1.3929,1.3437999999999999,,,,,,
2000-11-27 00:00:00,,,,1.4196,1.4241,1.3214000000000001,,,,,,
2000-11-28 00:00:00,,,,1.3348,1.3571,1.2812999999999999,,,,,,
2000-11-29 00:00:00,,,,1.2924,1.308,1.2321,,,,,,
2000-11-30 00:00:00,,,,1.192,1.2143,1.1518,,,,,,
2000-12-01 00:00:00,,,,1.2143,1.25,1.2009,,,,,,
2000-12-04 00:00:00,,,,1.2277,1.2277,1.1741,,,,,,
2000-12-05 00:00:00,,,,1.2098,1.2455,1.1696,,,,,,
2000-12-06 00:00:00,,,,1.0446,1.0714,1,,,,,,
2000-12-07 00:00:00,,,,1.0313,1.0625,1,,,,,,
2000-12-08 00:00:00,,,,1.058,1.0937999999999999,1.0313,,,,,,
2000-12-11 00:00:00,,,,1.0848,1.0982,1.0625,,,,,,
2000-12-12 00:00:00,,,,1.0893,1.1429,1.0714,,,,,,
2000-12-13 00:00:00,,,,1.1116,1.1116,1.0625,,,,,,
2000-12-14 00:00:00,,,,1.0737,1.0893,1.0313,,,,,,
2000-12-15 00:00:00,,,,1.0402,1.0491,1,,,,,,
2000-12-18 00:00:00,,,,1.0402,1.0446,0.9955,,,,,,
2000-12-19 00:00:00,,,,1.0268,1.0893,1,,,,,,
2000-12-20 00:00:00,,,,0.9844,1.0446,0.9732,,,,,,
2000-12-21 00:00:00,,,,1.0179,1.0714,0.9911,,,,,,
2000-12-22 00:00:00,,,,1.0089,1.0714,1.0089,,,,,,
2000-12-26 00:00:00,,,,1.0625,1.0714,1.0179,,,,,,
2000-12-27 00:00:00,,,,1.0246,1.058,1.0134,,,,,,
2000-12-28 00:00:00,,,,1.0268,1.067,1.0223,,,,,,
2000-12-29 00:00:00,,,,1.0491,1.0714,1.0357,,,,,,
2001-01-02 00:00:00,,,,1.0625,1.0893,1.0402,,,,,,
2001-01-03 00:00:00,,,,1.0357,1.192,1.0313,,,,,,
2001-01-04 00:00:00,,,,1.2958,1.3214000000000001,1.2009,,,,,,
2001-01-05 00:00:00,,,,1.2098,1.2411,1.1473,,,,,,
2001-01-08 00:00:00,,,,1.2098,1.2132,1.1384,,,,,,
2001-01-09 00:00:00,,,,1.2009,1.26,1.183,,,,,,
2001-01-10 00:00:00,,,,1.192,1.2143,1.1473,,,,,,
2001-01-11 00:00:00,,,,1.1607,1.3214000000000001,1.1607,,,,,,
2001-01-12 00:00:00,,,,1.2768,1.2857,1.2187999999999999,,,,,,
2001-01-16 00:00:00,,,,1.2455,1.3035999999999999,1.2143,,,,,,
2001-01-17 00:00:00,,,,1.2545,1.2545,1.1786,,,,,,
2001-01-18 00:00:00,,,,1.2723,1.3393,1.2589000000000001,,,,,,
2001-01-19 00:00:00,,,,1.3884,1.3973,1.3348,,,,,,
2001-01-22 00:00:00,,,,1.3616,1.4018,1.317,,,,,,
2001-01-23 00:00:00,,,,1.3795,1.4955,1.3616,,,,,,
2001-01-24 00:00:00,,,,1.4732,1.4777,1.3973,,,,,,
2001-01-25 00:00:00,,,,1.4687999999999999,1.4687999999999999,1.4107,,,,,,
2001-01-26 00:00:00,,,,1.3929,1.4152,1.3616,,,,,,
2001-01-29 00:00:00,,,,1.3973,1.5535999999999999,1.3973,,,,,,
2001-01-30 00:00:00,,,,1.5402,1.5714000000000001,1.4910999999999999,,,,,,
