Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,5,0
2000-05-18 00:00:00,,,,,,,,,,0,5,0
2000-06-01 00:00:00,,,,,,,,,,0,5,0
2000-06-07 00:00:00,,,,,,,,,,0,6,0
2000-06-19 00:00:00,,,,,,,,,,0,6,0
2000-06-22 00:00:00,,,,,,,,,,0,6,0
2000-08-14 00:00:00,,,,,,,,,,0,7,0
2000-08-16 00:00:00,,,,,,,,,,0,7,0
2000-09-19 00:00:00,,,,,,,,,,0,7,0
2000-09-20 00:00:00,,,,,,,,,,0,7,0
2000-09-26 00:00:00,,,,,,,,,,0,7,0
2000-10-26 00:00:00,,,,,,,,,,0,7,0
2000-11-01 00:00:00,,,,,,,,,,0,7,0
2000-11-14 00:00:00,,,,,,,,,,0,7,0
2000-11-15 00:00:00,,,,,,,,,,0,7,0
2000-11-30 00:00:00,,,,,,,,,,0,7,0
2000-12-06 00:00:00,,,,,,,,,,0,7,0
2001-01-02 00:00:00,,,,,,,,,,0,6,1
2001-01-11 00:00:00,,,,,,,,,,0,6,1
2001-01-17 00:00:00,,,,,,,,,,0,6,1
2001-01-18 00:00:00,,,,,,,,,,0,6,1
2001-02-13 00:00:00,,,,,,,,,,0,5,2
2001-02-16 00:00:00,,,,,,,,,,0,5,2
2001-03-06 00:00:00,,,,,,,,,,0,5,2
2001-03-21 00:00:00,,,,,,,,,,0,5,2
2001-03-22 00:00:00,,,,,,,,,,0,5,3
2001-03-27 00:00:00,,,,,,,,,,0,6,3
2001-03-28 00:00:00,,,,,,,,,,0,6,4
2001-03-30 00:00:00,,,,,,,,,,0,6,4
2001-04-05 00:00:00,,,,,,,,,,0,6,4
2001-04-11 00:00:00,,,,,,,,,,0,6,4
2001-04-12 00:00:00,,,,,,,,,,0,6,4
2001-04-16 00:00:00,,,,,,,,,,0,6,5
2001-04-17 00:00:00,,,,,,,,,,0,5,6
2001-05-09 00:00:00,,,,,,,,,,0,5,6
2001-05-16 00:00:00,,,,,,,,,,0,5,6
2001-05-17 00:00:00,,,,,,,,,,0,5,6
2001-05-18 00:00:00,,,,,,,,,,0,6,6
2001-05-25 00:00:00,,,,,,,,,,0,6,6
2001-05-30 00:00:00,,,,,,,,,,0,6,6
2001-05-31 00:00:00,,,,,,,,,,0,6,6
2001-06-11 00:00:00,,,,,,,,,,0,6,6
2001-06-28 00:00:00,,,,,,,,,,0,6,6
2001-07-11 00:00:00,,,,,,,,,,0,6,6
2001-07-12 00:00:00,,,,,,,,,,0,7,5
2001-07-16 00:00:00,,,,,,,,,,0,7,5
2001-07-19 00:00:00,,,,,,,,,,0,7,5
2001-07-20 00:00:00,,,,,,,,,,0,7,5
2001-07-27 00:00:00,,,,,,,,,,0,7,5
2001-07-31 00:00:00,,,,,,,,,,0,7,6
2001-08-01 00:00:00,,,,,,,,,,0,7,6
2001-08-13 00:00:00,,,,,,,,,,0,8,5
2001-08-15 00:00:00,,,,,,,,,,0,8,5
2001-08-16 00:00:00,,,,,,,,,,0,8,5
2001-08-17 00:00:00,,,,,,,,,,0,8,5
2001-08-20 00:00:00,,,,,,,,,,0,8,5
2001-09-19 00:00:00,,,,,,,,,,0,8,5
2001-09-24 00:00:00,,,,,,,,,,0,8,5
2001-09-27 00:00:00,,,,,,,,,,0,8,5
2001-09-28 00:00:00,,,,,,,,,,0,8,5
2001-10-04 00:00:00,,,,,,,,,,0,9,5
2001-10-05 00:00:00,,,,,,,,,,0,8,5
2001-10-09 00:00:00,,,,,,,,,,0,8,5
2001-10-10 00:00:00,,,,,,,,,,0,8,6
2001-10-16 00:00:00,,,,,,,,,,0,8,7
2001-11-05 00:00:00,,,,,,,,,,0,8,7
2001-11-08 00:00:00,,,,,,,,,,0,8,7
2001-11-09 00:00:00,,,,,,,,,,0,9,7
2001-11-13 00:00:00,,,,,,,,,,0,9,7
2001-11-16 00:00:00,,,,,,,,,,0,9,7
2001-11-20 00:00:00,,,,,,,,,,0,9,7
2001-11-21 00:00:00,,,,,,,,,,0,9,7
2001-11-22 00:00:00,,,,,,,,,,0,9,6
2001-12-03 00:00:00,,,,,,,,,,0,9,6
2001-12-07 00:00:00,,,,,,,,,,0,9,6
