Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,9.1837,9.4104,9.0703,,,,0,3,2
2000-05-02 00:00:00,,,,9.1837,9.4671,9.0703,,,,,,
2000-05-03 00:00:00,,,,9.3537,9.6372,9.1837,,,,,,
2000-05-04 00:00:00,,,,9.2404,9.4104,9.0136,,,,,,
2000-05-05 00:00:00,,,,9.0136,9.2404,8.9569,,,,0,3,2
2000-05-08 00:00:00,,,,9.0703,9.2404,9.0703,,,,,,
2000-05-09 00:00:00,,,,9.2404,9.2404,9.0136,,,,,,
2000-05-10 00:00:00,,,,9.2971,9.4671,9.1837,,,,,,
2000-05-11 00:00:00,,,,9.4104,9.5805,9.3537,,,,,,
2000-05-12 00:00:00,,,,9.5805,9.6372,9.3537,,,,,,
2000-05-15 00:00:00,,,,9.5238,9.6939,9.4671,,,,0,3,2
2000-05-16 00:00:00,,,,9.5238,9.5805,9.3537,,,,,,
2000-05-17 00:00:00,,,,9.4671,9.6939,9.4104,,,,,,
2000-05-18 00:00:00,,,,9.5805,9.8073,9.5238,,,,,,
2000-05-19 00:00:00,,,,9.5805,9.7506,9.4104,,,,,,
2000-05-22 00:00:00,,,,9.5805,10.2041,9.4671,,,,,,
2000-05-23 00:00:00,,,,10.034,10.034,9.5805,,,,,,
2000-05-24 00:00:00,,,,9.9206,10.6576,9.8639,,,,,,
2000-05-25 00:00:00,,,,10.8844,11.0544,10.7143,,,,,,
2000-05-26 00:00:00,,,,10.8277,10.941,10.771,,,,0,4,1
2000-05-30 00:00:00,,,,10.8844,11.0544,10.8277,,,,0,4,1
2000-05-31 00:00:00,,,,10.9977,10.9977,10.6009,,,,,,
2000-06-01 00:00:00,,,,10.8844,11.1678,10.8844,,,,,,
2000-06-02 00:00:00,,,,11.1111,11.1111,10.771,,,,,,
2000-06-05 00:00:00,,,,10.8844,10.8844,10.6576,,,,,,
2000-06-06 00:00:00,,,,10.5442,10.6009,10.1474,,,,,,
2000-06-07 00:00:00,,,,10.8277,10.941,10.771,,,,,,
2000-06-08 00:00:00,,,,10.8277,10.8844,10.6009,,,,,,
2000-06-09 00:00:00,,,,10.771,10.8277,10.3741,,,,0,4,1
2000-06-12 00:00:00,,,,10.5442,10.5442,10.0907,,,,,,
2000-06-13 00:00:00,,,,10.0907,10.1474,9.6939,,,,,,
2000-06-14 00:00:00,,,,9.8639,9.8639,9.6372,,,,,,
2000-06-15 00:00:00,,,,9.9206,9.9206,9.5805,,,,,,
2000-06-16 00:00:00,,,,9.6372,9.6939,9.4104,,,,,,
2000-06-19 00:00:00,,,,9.4671,9.4671,9.127,,,,,,
2000-06-20 00:00:00,,,,9.1837,9.3537,9.0703,,,,,,
2000-06-21 00:00:00,,,,9.0703,9.127,9.0136,,,,,,
2000-06-22 00:00:00,,,,9.0703,9.0703,8.9569,,,,,,
2000-06-23 00:00:00,,,,9.0136,9.127,8.9569,,,,,,
2000-06-26 00:00:00,,,,9.0703,9.4671,9.0136,,,,,,
2000-06-27 00:00:00,,,,9.2404,9.2404,9.0703,,,,,,
2000-06-28 00:00:00,,,,9.0703,9.1837,8.9569,,,,,,
2000-06-29 00:00:00,,,,9.0703,9.127,8.9569,,,,,,
2000-06-30 00:00:00,,,,8.9569,9.0703,8.8435,,,,,,
2000-07-03 00:00:00,,,,8.8435,9.0703,8.8435,,,,,,
2000-07-05 00:00:00,,,,9.0703,9.127,8.9569,,,,,,
2000-07-06 00:00:00,,,,9.0703,9.127,8.9002,,,,,,
2000-07-07 00:00:00,,,,8.9569,9.5805,8.9569,,,,,,
2000-07-10 00:00:00,,,,9.2971,9.5238,9.1837,,,,,,
2000-07-11 00:00:00,,,,9.4104,9.6939,9.3537,,,,,,
2000-07-12 00:00:00,,,,9.6372,9.6939,9.4104,,,,,,
2000-07-13 00:00:00,,,,9.4671,9.6372,9.2971,,,,,,
2000-07-14 00:00:00,,,,9.4104,9.4671,9.2971,,,,,,
2000-07-17 00:00:00,,,,9.4671,9.4671,8.9569,,,,,,
2000-07-18 00:00:00,,,,9.0136,9.0703,8.9002,,,,,,
2000-07-19 00:00:00,,,,9.0136,9.2404,8.9569,,,,,,
2000-07-20 00:00:00,,,,9.127,9.1837,8.9569,,,,,,
2000-07-21 00:00:00,,,,9.0136,9.0703,8.6735,,,,,,
2000-07-24 00:00:00,,,,8.7868,9.1837,8.7302,,,,0,4,1
2000-07-25 00:00:00,,,,8.7868,8.9002,8.7302,,,,,,
2000-07-26 00:00:00,,,,8.8435,8.8435,8.5601,,,,0,4,1
2000-07-27 00:00:00,,,,8.6735,8.9569,8.6168,,,,,,
2000-07-28 00:00:00,,,,8.7302,8.9569,8.6735,,,,,,
2000-07-31 00:00:00,,,,8.7302,8.9002,8.4467,,,,,,
2000-08-01 00:00:00,,,,8.6168,9.0136,8.5601,,,,,,
2000-08-02 00:00:00,,,,8.9569,9.1837,8.9002,,,,0,4,1
2000-08-03 00:00:00,,,,8.9569,9.127,8.9569,,,,,,
2000-08-04 00:00:00,,,,9.127,9.1837,9.0136,,,,,,
2000-08-07 00:00:00,,,,8.9569,9.0136,8.8435,,,,,,
2000-08-08 00:00:00,,,,8.9002,9.0136,8.7868,,,,,,
2000-08-09 00:00:00,,,,8.8435,8.8435,8.5601,,,,,,
2000-08-10 00:00:00,,,,8.6168,8.8435,8.6168,,,,,,
2000-08-11 00:00:00,,,,8.8435,8.9002,8.6168,,,,,,
2000-08-14 00:00:00,,,,8.6168,8.6735,8.5034,,,,,,
2000-08-15 00:00:00,,,,8.6168,8.6168,8.39,,,,,,
2000-08-16 00:00:00,,,,8.5601,8.6735,8.5601,,,,,,
2000-08-17 00:00:00,,,,8.7302,8.7868,8.4467,,,,,,
2000-08-18 00:00:00,,,,8.5034,8.6735,8.4467,,,,,,
2000-08-21 00:00:00,,,,8.6168,8.9002,8.5601,,,,,,
2000-08-22 00:00:00,,,,8.8435,8.8435,8.6168,,,,,,
2000-08-23 00:00:00,,,,8.7302,8.7302,8.5034,,,,,,
2000-08-24 00:00:00,,,,8.9881,9.0476,8.5714,,,,,,
2000-08-25 00:00:00,,,,8.631,8.6905,8.392900000000001,,,,,,
2000-08-28 00:00:00,,,,8.5119,8.5119,8.2143,,,,,,
2000-08-29 00:00:00,,,,8.392900000000001,8.4524,8.2738,,,,,,
2000-08-30 00:00:00,,,,8.2143,8.4524,8.1548,,,,,,
2000-08-31 00:00:00,,,,8.1548,8.4524,8.1548,,,,,,
2000-09-01 00:00:00,,,,8.392900000000001,8.392900000000001,8.2738,,,,,,
2000-09-05 00:00:00,,,,8.3333,8.392900000000001,8.2738,,,,,,
2000-09-06 00:00:00,,,,8.392900000000001,8.4524,8.3333,,,,,,
2000-09-07 00:00:00,,,,8.3333,8.392900000000001,8.2143,,,,,,
2000-09-08 00:00:00,,,,8.3333,8.392900000000001,8.2738,,,,,,
2000-09-11 00:00:00,,,,8.4524,8.4524,8.2143,,,,,,
2000-09-12 00:00:00,,,,8.2738,8.392900000000001,8.2143,,,,,,
2000-09-13 00:00:00,,,,8.392900000000001,8.5119,8.392900000000001,,,,,,
2000-09-14 00:00:00,,,,8.4524,8.4524,8.2738,,,,,,
2000-09-15 00:00:00,,,,8.4524,8.6905,8.392900000000001,,,,0,5,0
2000-09-18 00:00:00,,,,8.5119,8.5714,8.3333,,,,,,
