Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,6,1
2000-05-19 00:00:00,,,,,,,,,,0,6,1
2000-06-01 00:00:00,,,,,,,,,,0,7,1
2000-06-06 00:00:00,,,,,,,,,,0,6,2
2000-07-25 00:00:00,,,,,,,,,,0,6,2
2000-08-15 00:00:00,,,,,,,,,,0,6,2
2000-08-31 00:00:00,,,,,,,,,,0,6,2
2000-09-01 00:00:00,,,,,,,,,,0,6,2
2000-09-15 00:00:00,,,,,,,,,,0,6,2
2000-09-21 00:00:00,,,,,,,,,,0,6,2
2000-10-06 00:00:00,,,,,,,,,,0,6,3
2000-10-13 00:00:00,,,,,,,,,,0,6,3
2000-10-16 00:00:00,,,,,,,,,,0,6,3
2000-11-13 00:00:00,,,,,,,,,,0,6,3
2000-11-17 00:00:00,,,,,,,,,,0,6,3
2000-12-05 00:00:00,,,,,,,,,,0,6,3
2000-12-06 00:00:00,,,,,,,,,,0,6,3
2000-12-07 00:00:00,,,,,,,,,,0,6,3
2000-12-15 00:00:00,,,,,,,,,,0,5,4
2000-12-20 00:00:00,,,,,,,,,,0,5,4
2000-12-22 00:00:00,,,,,,,,,,0,6,4
2001-01-08 00:00:00,,,,,,,,,,0,6,4
2001-01-12 00:00:00,,,,,,,,,,0,6,4
2001-01-17 00:00:00,,,,,,,,,,0,6,4
2001-01-19 00:00:00,,,,,,,,,,0,6,4
2001-02-01 00:00:00,,,,,,,,,,0,6,4
2001-02-13 00:00:00,,,,,,,,,,0,6,4
2001-02-21 00:00:00,,,,,,,,,,0,7,4
2001-02-22 00:00:00,,,,,,,,,,0,7,5
2001-03-05 00:00:00,,,,,,,,,,0,7,5
2001-03-07 00:00:00,,,,,,,,,,0,8,5
2001-03-12 00:00:00,,,,,,,,,,0,8,5
2001-03-14 00:00:00,,,,,,,,,,0,8,5
2001-03-15 00:00:00,,,,,,,,,,0,8,5
2001-03-16 00:00:00,,,,,,,,,,0,8,5
2001-03-20 00:00:00,,,,,,,,,,0,8,5
2001-03-21 00:00:00,,,,,,,,,,0,9,5
2001-03-22 00:00:00,,,,,,,,,,0,9,5
2001-03-29 00:00:00,,,,,,,,,,0,9,5
2001-04-02 00:00:00,,,,,,,,,,0,9,5
2001-04-03 00:00:00,,,,,,,,,,0,9,5
2001-04-11 00:00:00,,,,,,,,,,0,9,5
2001-04-12 00:00:00,,,,,,,,,,0,9,6
2001-04-16 00:00:00,,,,,,,,,,0,9,7
2001-04-17 00:00:00,,,,,,,,,,0,9,7
2001-04-18 00:00:00,,,,,,,,,,0,8,7
2001-04-19 00:00:00,,,,,,,,,,0,8,7
2001-04-24 00:00:00,,,,,,,,,,0,8,7
2001-04-25 00:00:00,,,,,,,,,,0,7,8
2001-04-26 00:00:00,,,,,,,,,,0,7,7
2001-04-27 00:00:00,,,,,,,,,,0,7,8
2001-04-30 00:00:00,,,,,,,,,,0,7,8
2001-05-11 00:00:00,,,,,,,,,,0,7,8
2001-05-18 00:00:00,,,,,,,,,,0,7,8
2001-05-21 00:00:00,,,,,,,,,,0,6,9
2001-05-24 00:00:00,,,,,,,,,,0,6,9
2001-05-29 00:00:00,,,,,,,,,,0,6,9
2001-05-31 00:00:00,,,,,,,,,,0,6,9
2001-06-01 00:00:00,,,,,,,,,,0,6,9
2001-06-11 00:00:00,,,,,,,,,,0,6,9
2001-06-12 00:00:00,,,,,,,,,,0,6,9
2001-06-13 00:00:00,,,,,,,,,,0,6,9
2001-06-18 00:00:00,,,,,,,,,,0,6,9
2001-06-26 00:00:00,,,,,,,,,,0,6,9
2001-07-02 00:00:00,,,,,,,,,,0,6,9
2001-07-12 00:00:00,,,,,,,,,,0,7,9
2001-07-16 00:00:00,,,,,,,,,,0,7,9
2001-08-06 00:00:00,,,,,,,,,,0,8,8
2001-08-14 00:00:00,,,,,,,,,,0,9,8
2001-08-23 00:00:00,,,,,,,,,,0,10,8
2001-09-06 00:00:00,,,,,,,,,,0,10,8
2001-09-13 00:00:00,,,,,,,,,,0,10,8
2001-09-17 00:00:00,,,,,,,,,,0,10,8
2001-09-20 00:00:00,,,,,,,,,,0,10,8
2001-09-21 00:00:00,,,,,,,,,,0,10,8
2001-09-24 00:00:00,,,,,,,,,,0,10,8
2001-09-28 00:00:00,,,,,,,,,,0,10,8
2001-10-01 00:00:00,,,,,,,,,,0,10,8
2001-10-05 00:00:00,,,,,,,,,,0,10,8
2001-10-08 00:00:00,,,,,,,,,,0,10,8
2001-10-18 00:00:00,,,,,,,,,,0,10,8
2001-10-22 00:00:00,,,,,,,,,,0,10,8
2001-10-26 00:00:00,,,,,,,,,,0,11,8
2001-10-29 00:00:00,,,,,,,,,,0,12,8
2001-11-12 00:00:00,,,,,,,,,,0,12,8
2001-11-15 00:00:00,,,,,,,,,,0,12,8
2001-11-19 00:00:00,,,,,,,,,,0,12,8
2001-11-20 00:00:00,,,,,,,,,,0,13,9
2001-11-27 00:00:00,,,,,,,,,,0,13,9
2001-11-30 00:00:00,,,,,,,,,,0,13,10
2001-12-11 00:00:00,,,,,,,,,,0,13,10
2001-12-12 00:00:00,,,,,,,,,,0,14,10
2001-12-17 00:00:00,,,,,,,,,,0,14,10
2001-12-18 00:00:00,,,,,,,,,,0,14,10
2002-01-15 00:00:00,,,,,,,,,,0,14,10
2002-01-16 00:00:00,,,,,,,,,,0,14,10
2002-01-17 00:00:00,,,,,,,,,,0,14,10
2002-01-18 00:00:00,,,,,,,,,,0,14,10
2002-01-29 00:00:00,,,,,,,,,,1,14,9
2002-01-30 00:00:00,,,,,,,,,,1,14,9
2002-02-19 00:00:00,,,,,,,,,,1,15,9
2002-03-04 00:00:00,,,,,,,,,,1,16,9
2002-03-13 00:00:00,,,,,,,,,,1,16,9
2002-03-14 00:00:00,,,,,,,,,,1,16,9
2002-03-15 00:00:00,,,,,,,,,,1,16,9
2002-03-18 00:00:00,,,,,,,,,,1,16,9
2002-03-20 00:00:00,,,,,,,,,,1,15,9
2002-03-22 00:00:00,,,,,,,,,,1,15,9
2002-04-01 00:00:00,,,,,,,,,,1,15,9
2002-04-02 00:00:00,,,,,,,,,,1,14,9
2002-04-11 00:00:00,,,,,,,,,,1,14,9
2002-04-15 00:00:00,,,,,,,,,,1,14,9
2002-04-16 00:00:00,,,,,,,,,,1,15,8
2002-04-25 00:00:00,,,,,,,,,,1,15,7
2002-04-29 00:00:00,,,,,,,,,,1,15,6
2002-05-06 00:00:00,,,,,,,,,,1,15,6
2002-05-09 00:00:00,,,,,,,,,,1,15,6
2002-05-15 00:00:00,,,,,,,,,,1,16,6
2002-06-03 00:00:00,,,,,,,,,,1,15,6
2002-06-28 00:00:00,,,,,,,,,,1,15,6
2002-07-03 00:00:00,,,,,,,,,,1,15,6
2002-07-09 00:00:00,,,,,,,,,,1,15,6
2002-07-10 00:00:00,,,,,,,,,,1,15,6
2002-07-12 00:00:00,,,,,,,,,,1,14,6
2002-07-16 00:00:00,,,,,,,,,,1,14,6
2002-07-18 00:00:00,,,,,,,,,,3,12,8
2002-07-19 00:00:00,,,,,,,,,,3,11,9
2002-07-25 00:00:00,,,,,,,,,,3,11,9
2002-07-30 00:00:00,,,,,,,,,,3,11,9
2002-08-05 00:00:00,,,,,,,,,,3,11,9
2002-08-12 00:00:00,,,,,,,,,,3,11,9
2002-08-13 00:00:00,,,,,,,,,,3,11,9
2002-08-30 00:00:00,,,,,,,,,,3,11,9
2002-09-03 00:00:00,,,,,,,,,,3,11,9
2002-09-05 00:00:00,,,,,,,,,,3,11,9
2002-09-06 00:00:00,,,,,,,,,,4,11,8
2002-09-09 00:00:00,,,,,,,,,,5,11,8
2002-09-12 00:00:00,,,,,,,,,,5,11,8
2002-09-13 00:00:00,,,,,,,,,,5,10,9
2002-09-17 00:00:00,,,,,,,,,,5,10,9
2002-09-18 00:00:00,,,,,,,,,,5,11,8
2002-09-19 00:00:00,,,,,,,,,,5,11,8
2002-09-20 00:00:00,,,,,,,,,,5,11,8
2002-09-25 00:00:00,,,,,,,,,,5,10,9
2002-10-01 00:00:00,,,,,,,,,,5,10,9
2002-10-10 00:00:00,,,,,,,,,,5,10,9
2002-10-14 00:00:00,,,,,,,,,,5,10,9
2002-10-17 00:00:00,,,,,,,,,,5,10,9
2002-10-18 00:00:00,,,,,,,,,,6,9,10
2002-10-22 00:00:00,,,,,,,,,,6,8,9
2002-10-23 00:00:00,,,,,,,,,,6,9,8
2002-11-04 00:00:00,,,,,,,,,,5,9,9
2002-11-05 00:00:00,,,,,,,,,,5,7,11
2002-11-07 00:00:00,,,,,,,,,,5,7,11
2002-11-13 00:00:00,,,,,,,,,,5,7,11
2002-11-18 00:00:00,,,,,,,,,,5,7,12
2002-11-20 00:00:00,,,,,,,,,,5,6,13
2002-11-22 00:00:00,,,,,,,,,,5,6,13
2002-12-03 00:00:00,,,,,,,,,,5,5,13
2002-12-13 00:00:00,,,,,,,,,,5,5,13
2003-01-06 00:00:00,,,,,,,,,,5,5,13
2003-01-07 00:00:00,,,,,,,,,,5,5,13
2003-01-09 00:00:00,,,,,,,,,,5,5,13
2003-01-13 00:00:00,,,,,,,,,,5,5,13
2003-01-15 00:00:00,,,,,,,,,,5,4,14
2003-01-16 00:00:00,,,,,,,,,,5,4,14
2003-01-17 00:00:00,,,,,,,,,,5,3,15
2003-01-22 00:00:00,,,,,,,,,,5,3,15
2003-01-24 00:00:00,,,,,,,,,,5,3,15
2003-01-27 00:00:00,,,,,,,,,,4,3,14
2003-01-28 00:00:00,,,,,,,,,,4,3,15
2003-01-29 00:00:00,,,,,,,,,,4,3,15
2003-01-31 00:00:00,,,,,,,,,,3,3,16
2003-02-05 00:00:00,,,,,,,,,,3,3,16
2003-02-06 00:00:00,,,,,,,,,,3,3,15
2003-02-07 00:00:00,,,,,,,,,,3,4,15
2003-02-25 00:00:00,,,,,,,,,,3,4,15
2003-03-03 00:00:00,,,,,,,,,,3,5,14
2003-03-07 00:00:00,,,,,,,,,,3,5,14
2003-03-10 00:00:00,,,,,,,,,,3,5,14
2003-03-11 00:00:00,,,,,,,,,,3,5,14
2003-03-12 00:00:00,,,,,,,,,,3,5,14
2003-03-13 00:00:00,,,,,,,,,,3,5,14
2003-03-14 00:00:00,,,,,,,,,,3,5,14
2003-03-17 00:00:00,,,,,,,,,,3,5,14
2003-03-21 00:00:00,,,,,,,,,,3,5,14
2003-03-26 00:00:00,,,,,,,,,,3,5,14
2003-04-01 00:00:00,,,,,,,,,,3,5,14
2003-04-04 00:00:00,,,,,,,,,,3,4,15
2003-04-09 00:00:00,,,,,,,,,,3,4,15
2003-04-15 00:00:00,,,,,,,,,,3,4,15
2003-04-21 00:00:00,,,,,,,,,,4,4,14
2003-05-01 00:00:00,,,,,,,,,,5,4,14
2003-05-02 00:00:00,,,,,,,,,,5,4,14
2003-05-07 00:00:00,,,,,,,,,,5,4,14
2003-05-12 00:00:00,,,,,,,,,,5,3,15
2003-05-23 00:00:00,,,,,,,,,,5,3,15
2003-05-30 00:00:00,,,,,,,,,,5,3,15
2003-06-06 00:00:00,,,,,,,,,,5,3,15
2003-06-09 00:00:00,,,,,,,,,,5,3,15
2003-06-11 00:00:00,,,,,,,,,,5,3,15
2003-06-19 00:00:00,,,,,,,,,,5,3,15
2003-06-23 00:00:00,,,,,,,,,,5,3,15
2003-06-24 00:00:00,,,,,,,,,,5,3,15
2003-06-27 00:00:00,,,,,,,,,,5,3,15
2003-06-30 00:00:00,,,,,,,,,,5,3,15
2003-07-08 00:00:00,,,,,,,,,,5,3,15
2003-07-14 00:00:00,,,,,,,,,,5,3,15
2003-07-23 00:00:00,,,,,,,,,,5,3,15
2003-07-29 00:00:00,,,,,,,,,,4,3,16
2003-07-30 00:00:00,,,,,,,,,,3,3,17
2003-08-01 00:00:00,,,,,,,,,,3,3,17
2003-08-08 00:00:00,,,,,,,,,,3,3,16
2003-08-18 00:00:00,,,,,,,,,,3,3,16
2003-08-28 00:00:00,,,,,,,,,,3,3,17
2003-09-02 00:00:00,,,,,,,,,,3,3,17
2003-09-05 00:00:00,,,,,,,,,,3,3,17
2003-09-08 00:00:00,,,,,,,,,,4,3,16
2003-09-10 00:00:00,,,,,,,,,,4,3,16
2003-09-11 00:00:00,,,,,,,,,,4,3,16
2003-09-12 00:00:00,,,,,,,,,,4,3,16
2003-09-15 00:00:00,,,,,,,,,,4,3,16
2003-09-16 00:00:00,,,,,,,,,,4,3,16
2003-09-17 00:00:00,,,,,,,,,,4,3,16
2003-09-18 00:00:00,,,,,,,,,,4,3,16
2003-10-08 00:00:00,,,,,,,,,,4,3,16
2003-10-09 00:00:00,,,,,,,,,,4,3,16
2003-10-10 00:00:00,,,,,,,,,,4,3,16
2003-10-15 00:00:00,,,,,,,,,,4,3,16
2003-10-16 00:00:00,,,,,,,,,,4,3,16
2003-10-20 00:00:00,,,,,,,,,,4,3,16
2003-10-21 00:00:00,,,,,,,,,,4,3,16
2003-11-26 00:00:00,,,,,,,,,,4,3,16
2003-12-03 00:00:00,,,,,,,,,,4,3,16
2003-12-15 00:00:00,,,,,,,,,,4,3,16
2004-01-07 00:00:00,,,,,,,,,,4,3,16
2004-01-09 00:00:00,,,,,,,,,,4,3,16
2004-01-16 00:00:00,,,,,,,,,,4,3,15
2004-01-19 00:00:00,,,,,,,,,,4,3,14
2004-01-20 00:00:00,,,,,,,,,,4,3,14
2004-01-22 00:00:00,,,,,,,,,,4,3,14
2004-01-23 00:00:00,,,,,,,,,,3,5,13
2004-01-26 00:00:00,,,,,,,,,,3,5,13
2004-01-27 00:00:00,,,,,,,,,,3,5,13
2004-02-09 00:00:00,,,,,,,,,,3,4,13
2004-03-02 00:00:00,,,,,,,,,,3,5,13
2004-03-04 00:00:00,,,,,,,,,,3,5,13
2004-03-08 00:00:00,,,,,,,,,,3,5,13
2004-03-09 00:00:00,,,,,,,,,,3,5,13
2004-03-10 00:00:00,,,,,,,,,,2,5,14
2004-03-11 00:00:00,,,,,,,,,,2,5,13
2004-04-02 00:00:00,,,,,,,,,,2,6,12
2004-04-06 00:00:00,,,,,,,,,,2,6,12
2004-04-08 00:00:00,,,,,,,,,,2,6,12
2004-04-12 00:00:00,,,,,,,,,,2,6,12
2004-04-13 00:00:00,,,,,,,,,,2,6,13
2004-04-16 00:00:00,,,,,,,,,,2,6,13
2004-04-19 00:00:00,,,,,,,,,,2,6,13
2004-04-20 00:00:00,,,,,,,,,,2,6,13
2004-04-23 00:00:00,,,,,,,,,,2,7,13
2004-04-26 00:00:00,,,,,,,,,,2,7,13
2004-04-30 00:00:00,,,,,,,,,,2,7,13
2004-05-05 00:00:00,,,,,,,,,,2,7,13
2004-05-07 00:00:00,,,,,,,,,,2,7,13
2004-05-10 00:00:00,,,,,,,,,,2,7,13
2004-05-11 00:00:00,,,,,,,,,,2,7,13
2004-05-20 00:00:00,,,,,,,,,,2,7,13
2004-05-25 00:00:00,,,,,,,,,,2,8,12
2004-05-28 00:00:00,,,,,,,,,,2,8,12
2004-06-03 00:00:00,,,,,,,,,,2,9,12
2004-06-04 00:00:00,,,,,,,,,,2,9,12
2004-06-10 00:00:00,,,,,,,,,,2,9,12
2004-06-23 00:00:00,,,,,,,,,,2,9,12
2004-06-24 00:00:00,,,,,,,,,,2,9,12
2004-06-25 00:00:00,,,,,,,,,,2,9,12
2004-06-28 00:00:00,,,,,,,,,,2,9,12
2004-06-29 00:00:00,,,,,,,,,,2,9,12
2004-07-01 00:00:00,,,,,,,,,,2,9,12
2004-07-06 00:00:00,,,,,,,,,,2,10,11
2004-07-13 00:00:00,,,,,,,,,,2,10,11
2004-07-14 00:00:00,,,,,,,,,,2,10,11
2004-07-16 00:00:00,,,,,,,,,,2,10,11
2004-07-26 00:00:00,,,,,,,,,,2,10,11
2004-07-27 00:00:00,,,,,,,,,,2,10,11
2004-07-28 00:00:00,,,,,,,,,,1,10,12
2004-07-29 00:00:00,,,,,,,,,,1,10,11
2004-07-30 00:00:00,,,,,,,,,,1,10,10
2004-08-03 00:00:00,,,,,,,,,,1,10,10
2004-08-12 00:00:00,,,,,,,,,,1,10,10
2004-08-26 00:00:00,,,,,,,,,,1,10,9
2004-09-07 00:00:00,,,,,,,,,,1,10,9
2004-09-10 00:00:00,,,,,,,,,,1,11,9
2004-09-13 00:00:00,,,,,,,,,,1,11,9
2004-09-14 00:00:00,,,,,,,,,,1,12,9
2004-09-15 00:00:00,,,,,,,,,,1,12,9
2004-09-27 00:00:00,,,,,,,,,,1,12,9
2004-10-11 00:00:00,,,,,,,,,,1,11,9
2004-10-12 00:00:00,,,,,,,,,,1,11,9
