Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,45.4375,46.25,43.1563,,,,0,1,0
2000-05-02 00:00:00,,,,43.9375,44.4688,42.3125,,,,,,
2000-05-03 00:00:00,,,,42.5,43,41.8125,,,,,,
2000-05-04 00:00:00,,,,42.875,43.7813,41.75,,,,,,
2000-05-05 00:00:00,,,,42.5313,43.1875,42.375,,,,,,
2000-05-08 00:00:00,,,,42.25,42.25,40.1563,,,,,,
2000-05-09 00:00:00,,,,40.5625,40.5625,39.2813,,,,,,
2000-05-10 00:00:00,,,,39.1875,39.1875,36.7188,,,,,,
2000-05-11 00:00:00,,,,37.125,38.5625,36,,,,,,
2000-05-12 00:00:00,,,,38.25,39.375,37.375,,,,,,
2000-05-15 00:00:00,,,,38.8125,41.2188,38.6875,,,,,,
2000-05-16 00:00:00,,,,40.8125,40.8438,40,,,,0,2,0
2000-05-17 00:00:00,,,,39.875,41.2813,39.4063,,,,,,
2000-05-18 00:00:00,,,,41.2813,41.4375,40.7813,,,,,,
2000-05-19 00:00:00,,,,41.0625,41.5313,40.8125,,,,,,
2000-05-22 00:00:00,,,,41.4063,41.75,40.6563,,,,,,
2000-05-23 00:00:00,,,,41.875,42.6563,41.4375,,,,,,
2000-05-24 00:00:00,,,,41.8438,41.9688,40.125,,,,,,
2000-05-25 00:00:00,,,,41.75,42.5,41.0313,,,,,,
2000-05-26 00:00:00,,,,42.25,43.4063,42.1875,,,,,,
2000-05-30 00:00:00,,,,42.9375,43.4688,42.0938,,,,,,
2000-05-31 00:00:00,,,,43.125,43.7813,42.9063,,,,,,
2000-06-01 00:00:00,,,,43.625,44.875,43.25,,,,,,
2000-06-02 00:00:00,,,,44.75,46.375,44.6875,,,,,,
2000-06-05 00:00:00,,,,45.75,46,43.5,,,,,,
2000-06-06 00:00:00,,,,43.875,45.4375,43.75,,,,,,
2000-06-07 00:00:00,,,,47.75,47.75,45.25,,,,,,
2000-06-08 00:00:00,,,,46.25,47.8125,46.125,,,,,,
2000-06-09 00:00:00,,,,47.4375,49.25,47,,,,,,
2000-06-12 00:00:00,,,,48,48.3125,46.75,,,,,,
2000-06-13 00:00:00,,,,47.875,49.625,47.75,,,,,,
2000-06-14 00:00:00,,,,47,47.3125,43.5625,,,,,,
2000-06-15 00:00:00,,,,44.5,45.875,44.25,,,,,,
2000-06-16 00:00:00,,,,45.5,46.4375,44.3125,,,,,,
2000-06-19 00:00:00,,,,46.25,46.25,44.75,,,,,,
2000-06-20 00:00:00,,,,45.875,46.875,44.8125,,,,,,
2000-06-21 00:00:00,,,,44.9375,44.9375,43.625,,,,,,
2000-06-22 00:00:00,,,,44.25,44.375,42,,,,,,
2000-06-23 00:00:00,,,,42.3125,43.125,40.5,,,,,,
2000-06-26 00:00:00,,,,41.5,46.25,41.1875,,,,,,
2000-06-27 00:00:00,,,,44.875,46.1875,44.8125,,,,,,
2000-06-28 00:00:00,,,,45,46.5625,44.6875,,,,,,
2000-06-29 00:00:00,,,,46.125,46.1875,44,,,,,,
2000-06-30 00:00:00,,,,44.5,45.9375,44.375,,,,,,
2000-07-03 00:00:00,,,,45.25,47,45.125,,,,,,
2000-07-05 00:00:00,,,,46.75,47.375,46,,,,,,
2000-07-06 00:00:00,,,,46.1875,47.5,46.0625,,,,,,
2000-07-07 00:00:00,,,,46.5,48.1875,46.4375,,,,,,
2000-07-10 00:00:00,,,,48.0625,49.8125,48.0625,,,,,,
2000-07-11 00:00:00,,,,49,49.8125,48.875,,,,,,
2000-07-12 00:00:00,,,,49.9375,51.25,49.8125,,,,,,
2000-07-13 00:00:00,,,,50.25,53.625,49.875,,,,,,
2000-07-14 00:00:00,,,,52.125,52.6875,49.25,,,,,,
2000-07-17 00:00:00,,,,49.625,54,49.625,,,,,,
2000-07-18 00:00:00,,,,53.75,53.75,51.25,,,,,,
2000-07-19 00:00:00,,,,52.4375,52.4375,50.6875,,,,,,
2000-07-20 00:00:00,,,,50.9375,52.9375,50.9375,,,,,,
2000-07-21 00:00:00,,,,53,53,52.1875,,,,,,
2000-07-24 00:00:00,,,,52.25,52.375,51.6875,,,,,,
2000-07-25 00:00:00,,,,52.8125,53.5625,52.6875,,,,0,3,0
2000-07-26 00:00:00,,,,53.625,53.625,51.625,,,,,,
