Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,43.5,45.25,42.75,,,,0,7,0
2000-05-02 00:00:00,,,,44.375,44.625,43.688,,,,,,
2000-05-03 00:00:00,,,,43.875,44.625,43.875,,,,,,
2000-05-04 00:00:00,,,,44,45.125,44,,,,,,
2000-05-05 00:00:00,,,,44.5,45.688,44.25,,,,,,
2000-05-08 00:00:00,,,,45.875,46.25,45.625,,,,,,
2000-05-09 00:00:00,,,,46.438,49,46.25,,,,0,7,0
2000-05-10 00:00:00,,,,48.875,50.688,48.5,,,,0,7,0
2000-05-11 00:00:00,,,,51.313,51.313,50.063,,,,,,
2000-05-12 00:00:00,,,,50.5,50.5,48.375,,,,,,
2000-05-15 00:00:00,,,,49.75,50.25,48.75,,,,,,
2000-05-16 00:00:00,,,,50.063,50.063,48.688,,,,,,
2000-05-17 00:00:00,,,,49,49,47.938,,,,0,7,0
2000-05-18 00:00:00,,,,48.563,49.5,48.563,,,,,,
2000-05-19 00:00:00,,,,48.188,49.375,47.688,,,,,,
2000-05-22 00:00:00,,,,49.313,50.625,48.188,,,,0,7,0
2000-05-23 00:00:00,,,,50.063,50.063,49.25,,,,,,
2000-05-24 00:00:00,,,,49.25,49.313,47.625,,,,,,
2000-05-25 00:00:00,,,,45,45,41.063,,,,,,
2000-05-26 00:00:00,,,,42.625,44.438,42.563,,,,0,7,0
2000-05-30 00:00:00,,,,44.625,44.875,42.938,,,,,,
2000-05-31 00:00:00,,,,43.625,45,43.563,,,,,,
2000-06-01 00:00:00,,,,44.188,46.5,43.938,,,,0,7,0
2000-06-02 00:00:00,,,,46.063,46.188,43.438,,,,,,
2000-06-05 00:00:00,,,,44.625,45.25,44.188,,,,0,6,0
2000-06-06 00:00:00,,,,45.375,46.063,44.875,,,,,,
2000-06-07 00:00:00,,,,45.688,45.813,44.625,,,,,,
2000-06-08 00:00:00,,,,46.188,46.188,44.938,,,,,,
2000-06-09 00:00:00,,,,44.25,45.063,43.875,,,,,,
2000-06-12 00:00:00,,,,44.125,44.5,42.875,,,,,,
2000-06-13 00:00:00,,,,43.375,45.938,43.375,,,,,,
2000-06-14 00:00:00,,,,46,46.875,45.25,,,,0,6,0
2000-06-15 00:00:00,,,,46.5,47.75,46.063,,,,,,
2000-06-16 00:00:00,,,,47,47.875,46.438,,,,,,
2000-06-19 00:00:00,,,,47.125,47.188,46.188,,,,,,
2000-06-20 00:00:00,,,,46.438,46.625,45.875,,,,,,
2000-06-21 00:00:00,,,,46.063,47.25,46.063,,,,,,
