Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,1227.9443,1246.7928,1219.5672,,,,0,9,0
2000-05-02 00:00:00,,,,1229.3405,1261.4527,1227.9443,,,,,,
2000-05-03 00:00:00,,,,1242.6042,1259.3584,1218.171,,,,,,
2000-05-04 00:00:00,,,,1226.5481,1241.9061,1223.7557,,,,,,
2000-05-05 00:00:00,,,,1225.85,1258.6603,1224.4538,,,,0,9,0
2000-05-08 00:00:00,,,,1247.4909,1295.6592,1236.3214,,,,0,8,0
2000-05-09 00:00:00,,,,1290.7726,1290.7726,1270.5279,,,,,,
2000-05-10 00:00:00,,,,1269.1317,1282.3955,1262.1508,,,,,,
2000-05-11 00:00:00,,,,1289.3764,1301.942,1268.4336,,,,,,
2000-05-12 00:00:00,,,,1280.3012,1283.7916,1257.9622,,,,,,
2000-05-15 00:00:00,,,,1280.9993,1345.9219,1260.0565,,,,0,9,0
2000-05-16 00:00:00,,,,1342.4314,1384.3169,1332.6581,,,,,,
2000-05-17 00:00:00,,,,1364.0723,1364.0723,1304.7344,,,,,,
2000-05-18 00:00:00,,,,1319.3944,1345.2238,1312.4134,,,,,,
2000-05-19 00:00:00,,,,1317.9982,1327.7715,1291.4707,,,,0,9,0
2000-05-22 00:00:00,,,,1302.6401,1336.8467,1282.3955,,,,0,9,0
2000-05-23 00:00:00,,,,1338.2428,1342.4314,1267.7355,,,,,,
2000-05-24 00:00:00,,,,1274.7164,1294.9611,1264.2451,,,,,,
2000-05-25 00:00:00,,,,1292.8668,1316.602,1271.226,,,,,,
2000-05-26 00:00:00,,,,1273.3203,1284.4897,1253.0756,,,,,,
2000-05-30 00:00:00,,,,1268.4336,1288.6783,1259.3584,,,,,,
2000-05-31 00:00:00,,,,1262.1508,1271.9241,1250.9813,,,,0,10,0
2000-06-01 00:00:00,,,,1261.4527,1318.6963,1259.3584,,,,0,10,0
2000-06-02 00:00:00,,,,1324.9791,1337.5448,1312.4134,,,,,,
2000-06-05 00:00:00,,,,1323.5829,1327.0734,1291.4707,,,,,,
2000-06-06 00:00:00,,,,1302.6401,1303.3382,1269.1317,,,,0,10,1
2000-06-07 00:00:00,,,,1302.6401,1339.639,1302.6401,,,,,,
2000-06-08 00:00:00,,,,1337.5448,1340.3371,1320.7905,,,,,,
2000-06-09 00:00:00,,,,1339.639,1351.5066,1311.0172,,,,0,10,1
2000-06-12 00:00:00,,,,1313.1115,1339.639,1313.1115,,,,0,11,1
2000-06-13 00:00:00,,,,1339.639,1368.9589,1332.6581,,,,,,
2000-06-14 00:00:00,,,,1354.9971,1361.978,1346.62,,,,,,
