Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,18.25,18.2813,17.75,,,,0,4,0
2000-05-02 00:00:00,,,,17.5625,17.625,17.4063,,,,,,
2000-05-03 00:00:00,,,,17.8125,17.8125,17.2813,,,,,,
2000-05-04 00:00:00,,,,17.4688,17.8438,17.4688,,,,0,4,0
2000-05-05 00:00:00,,,,17.75,18,17.6563,,,,0,4,0
2000-05-08 00:00:00,,,,18,18.2188,17.6875,,,,,,
2000-05-09 00:00:00,,,,17.6875,18.2188,17.5625,,,,,,
2000-05-10 00:00:00,,,,17.9063,17.9375,17.6875,,,,,,
2000-05-11 00:00:00,,,,17.9688,18.2188,17.9688,,,,,,
2000-05-12 00:00:00,,,,18.125,18.1563,17.6563,,,,,,
2000-05-15 00:00:00,,,,17.9688,19.3125,17.75,,,,,,
2000-05-16 00:00:00,,,,19.1563,19.4375,18.8125,,,,,,
2000-05-17 00:00:00,,,,18.875,18.875,18.4375,,,,,,
2000-05-18 00:00:00,,,,18.5,19.75,18.5,,,,,,
2000-05-19 00:00:00,,,,18.875,19.25,18.75,,,,,,
2000-05-22 00:00:00,,,,19.125,19.625,19,,,,,,
2000-05-23 00:00:00,,,,19.4688,19.5,19,,,,,,
2000-05-24 00:00:00,,,,19.0625,19.25,18.5625,,,,,,
2000-05-25 00:00:00,,,,19.0625,19.4375,19.0625,,,,,,
2000-05-26 00:00:00,,,,19.375,19.6875,19.1875,,,,,,
2000-05-30 00:00:00,,,,19.125,19.4688,18.5625,,,,,,
2000-05-31 00:00:00,,,,19.3438,19.5,19,,,,,,
2000-06-01 00:00:00,,,,19.3438,19.375,18.875,,,,,,
2000-06-02 00:00:00,,,,19.1875,19.875,19.1875,,,,,,
2000-06-05 00:00:00,,,,19.25,19.3438,18.7188,,,,,,
2000-06-06 00:00:00,,,,19,19.125,18.5938,,,,,,
2000-06-07 00:00:00,,,,18.8438,19.7188,18.8438,,,,,,
2000-06-08 00:00:00,,,,19.3125,19.3125,18.5625,,,,,,
2000-06-09 00:00:00,,,,19,19.5,19,,,,,,
2000-06-12 00:00:00,,,,19.0625,19.2188,18.25,,,,0,5,0
2000-06-13 00:00:00,,,,18.375,19.125,18.2188,,,,,,
2000-06-14 00:00:00,,,,19.125,19.6563,19.125,,,,0,5,0
2000-06-15 00:00:00,,,,19.5313,19.5313,18.75,,,,0,6,0
2000-06-16 00:00:00,,,,19.125,19.2188,18.875,,,,,,
2000-06-19 00:00:00,,,,18.5,19.4688,18.4375,,,,,,
2000-06-20 00:00:00,,,,19.0938,19.5,19.0938,,,,,,
