Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,105.5,113.375,100.125,,,,0,1,0
2000-05-02 00:00:00,,,,105.125,111.75,101.125,,,,,,
2000-05-03 00:00:00,,,,101.125,103.1875,87.3281,,,,,,
2000-05-04 00:00:00,,,,99.9375,100.875,93,,,,,,
2000-05-05 00:00:00,,,,94.9375,103,94,,,,,,
2000-05-08 00:00:00,,,,96.75,96.875,86.375,,,,,,
2000-05-09 00:00:00,,,,90.6563,91.375,82.75,,,,,,
2000-05-10 00:00:00,,,,80.25,87.0625,73.6875,,,,,,
2000-05-11 00:00:00,,,,82.75,83,72,,,,,,
2000-05-12 00:00:00,,,,77,78.5,69.875,,,,,,
2000-05-15 00:00:00,,,,72,75,67.75,,,,,,
2000-05-16 00:00:00,,,,79.75,81,72,,,,,,
2000-05-17 00:00:00,,,,74.6875,82,74.0625,,,,,,
2000-05-18 00:00:00,,,,79.75,80.1875,74.4375,,,,,,
2000-05-19 00:00:00,,,,74,74.9375,70,,,,,,
2000-05-22 00:00:00,,,,74,74,61.5,,,,,,
2000-05-23 00:00:00,,,,67.3125,71,65.5,,,,,,
2000-05-24 00:00:00,,,,67.8125,69.25,60.9375,,,,,,
2000-05-25 00:00:00,,,,69.5625,71.5625,62,,,,,,
2000-05-26 00:00:00,,,,64,64,58.875,,,,,,
2000-05-30 00:00:00,,,,63.25,76,61.75,,,,,,
2000-05-31 00:00:00,,,,72.4688,77.0625,66.625,,,,,,
2000-06-01 00:00:00,,,,74.625,76,71.5,,,,0,1,0
2000-06-02 00:00:00,,,,80.125,91,79.5,,,,,,
2000-06-05 00:00:00,,,,85.625,99.75,85.5,,,,,,
2000-06-06 00:00:00,,,,97.5625,102,86.5,,,,,,
2000-06-07 00:00:00,,,,89.1875,92,83.875,,,,,,
2000-06-08 00:00:00,,,,90.25,91.5,87,,,,,,
2000-06-09 00:00:00,,,,96.0625,100,93,,,,,,
