Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,10.4063,10.75,10.4063,,,,0,1,2
2000-05-02 00:00:00,,,,10.625,10.75,10.5625,,,,,,
2000-05-03 00:00:00,,,,10.7188,11.125,10.7188,,,,,,
2000-05-04 00:00:00,,,,11.0625,11.25,10.6875,,,,,,
2000-05-05 00:00:00,,,,10.7813,11.25,10.625,,,,,,
2000-05-08 00:00:00,,,,10.875,10.9688,10.7813,,,,,,
2000-05-09 00:00:00,,,,10.9375,11,10.6875,,,,,,
2000-05-10 00:00:00,,,,10.9375,10.9375,10.75,,,,,,
2000-05-11 00:00:00,,,,10.8438,11,10.8125,,,,,,
2000-05-12 00:00:00,,,,10.9063,11,10.7813,,,,,,
2000-05-15 00:00:00,,,,10.9063,10.9688,10.7813,,,,,,
2000-05-16 00:00:00,,,,11,11.5625,10.9063,,,,,,
2000-05-17 00:00:00,,,,11.4375,11.4375,11.125,,,,,,
2000-05-18 00:00:00,,,,11.25,11.4688,11.1875,,,,,,
2000-05-19 00:00:00,,,,11.3125,11.4375,11,,,,,,
2000-05-22 00:00:00,,,,11.4375,11.5313,11.4063,,,,0,1,1
2000-05-23 00:00:00,,,,11.5938,11.75,11.5,,,,,,
2000-05-24 00:00:00,,,,11.5938,11.7813,11.4063,,,,,,
2000-05-25 00:00:00,,,,11.75,11.8438,11.5625,,,,,,
2000-05-26 00:00:00,,,,11.75,11.75,11.1875,,,,,,
2000-05-30 00:00:00,,,,11.125,11.625,11.0313,,,,,,
2000-05-31 00:00:00,,,,11.4688,11.5,11,,,,,,
2000-06-01 00:00:00,,,,11.0313,11.0313,10.5,,,,,,
2000-06-02 00:00:00,,,,10.6875,11.4688,10.6875,,,,0,1,1
2000-06-05 00:00:00,,,,11.2813,11.2813,10.8438,,,,,,
2000-06-06 00:00:00,,,,10.9688,11,10.875,,,,,,
2000-06-07 00:00:00,,,,10.9688,11.4688,10.9375,,,,,,
2000-06-08 00:00:00,,,,11.375,11.375,11,,,,,,
2000-06-09 00:00:00,,,,11.0938,11.1563,11.0313,,,,,,
2000-06-12 00:00:00,,,,11.0625,11.5,11.0625,,,,,,
2000-06-13 00:00:00,,,,11.2188,11.5,11.1563,,,,,,
2000-06-14 00:00:00,,,,11,11.2188,10.8125,,,,0,2,1
2000-06-15 00:00:00,,,,11,11,10.6875,,,,,,
2000-06-16 00:00:00,,,,10.8438,10.875,10.6875,,,,,,
2000-06-19 00:00:00,,,,10.875,10.875,10.625,,,,,,
2000-06-20 00:00:00,,,,10.8125,10.8125,10.5,,,,,,
2000-06-21 00:00:00,,,,10.6875,10.6875,10.4688,,,,,,
2000-06-22 00:00:00,,,,10.4375,10.4375,10.1875,,,,,,
2000-06-23 00:00:00,,,,10.1875,10.2188,10.0313,,,,,,
2000-06-26 00:00:00,,,,10.25,10.25,10.1563,,,,,,
2000-06-27 00:00:00,,,,10.1875,10.2188,10.0938,,,,0,2,1
2000-06-28 00:00:00,,,,10.1875,10.875,10.1875,,,,,,
2000-06-29 00:00:00,,,,10.875,11.3125,10.75,,,,,,
2000-06-30 00:00:00,,,,11.0625,11.25,9.875,,,,,,
2000-07-03 00:00:00,,,,10,10.8125,10,,,,,,
2000-07-05 00:00:00,,,,10.7813,11.0625,10.75,,,,,,
2000-07-06 00:00:00,,,,10.9688,11.0625,10.6875,,,,,,
2000-07-07 00:00:00,,,,10.75,11.1875,10.75,,,,,,
2000-07-10 00:00:00,,,,11.1563,11.3438,11.0625,,,,,,
2000-07-11 00:00:00,,,,11.1563,11.4063,10.9375,,,,,,
2000-07-12 00:00:00,,,,11.0938,11.4375,11.0313,,,,,,
2000-07-13 00:00:00,,,,11.3125,11.3438,11,,,,,,
2000-07-14 00:00:00,,,,11.1875,11.1875,11.125,,,,,,
2000-07-17 00:00:00,,,,11.125,11.5938,11.125,,,,,,
2000-07-18 00:00:00,,,,11.2813,11.2813,11.0938,,,,,,
2000-07-19 00:00:00,,,,11.1563,11.1875,11.0938,,,,0,2,1
2000-07-20 00:00:00,,,,11.1563,11.2188,11.0938,,,,,,
2000-07-21 00:00:00,,,,11.1875,11.8438,11.1563,,,,,,
2000-07-24 00:00:00,,,,11.75,11.75,11.1875,,,,,,
2000-07-25 00:00:00,,,,11.3125,12,11.2188,,,,,,
2000-07-26 00:00:00,,,,11.9375,11.9375,11.625,,,,0,3,1
2000-07-27 00:00:00,,,,11.75,11.9688,11.625,,,,,,
2000-07-28 00:00:00,,,,11.6875,12,11.625,,,,,,
2000-07-31 00:00:00,,,,12.125,12.375,12.125,,,,,,
2000-08-01 00:00:00,,,,12.3125,12.375,12.2188,,,,,,
2000-08-02 00:00:00,,,,12.375,12.375,12,,,,,,
2000-08-03 00:00:00,,,,12.1563,12.3438,12.0938,,,,,,
2000-08-04 00:00:00,,,,12.1563,12.2188,11.875,,,,,,
2000-08-07 00:00:00,,,,12.0938,12.25,12.0938,,,,,,
2000-08-08 00:00:00,,,,12.3438,12.6563,12.2813,,,,,,
2000-08-09 00:00:00,,,,12.1875,12.625,12.125,,,,,,
2000-08-10 00:00:00,,,,12.0625,12.2813,11.875,,,,,,
2000-08-11 00:00:00,,,,12.0938,12.1875,12,,,,,,
2000-08-14 00:00:00,,,,12.0625,12.625,12.0625,,,,,,
2000-08-15 00:00:00,,,,12.5,12.5,12.0625,,,,,,
2000-08-16 00:00:00,,,,12.4688,13.0625,12.4688,,,,,,
2000-08-17 00:00:00,,,,12.875,13.0313,12.625,,,,,,
2000-08-18 00:00:00,,,,12.625,12.625,12,,,,,,
2000-08-21 00:00:00,,,,12.4063,12.625,12.375,,,,,,
2000-08-22 00:00:00,,,,12.4375,12.8125,12.4063,,,,,,
2000-08-23 00:00:00,,,,12.8125,12.8125,12.5,,,,,,
2000-08-24 00:00:00,,,,12.625,12.75,12.375,,,,,,
2000-08-25 00:00:00,,,,12.4375,12.7813,12.4063,,,,,,
2000-08-28 00:00:00,,,,12.6875,12.7188,12.25,,,,,,
2000-08-29 00:00:00,,,,12.4063,12.7188,12.375,,,,,,
2000-08-30 00:00:00,,,,12.3125,12.6563,12.3125,,,,,,
2000-08-31 00:00:00,,,,12.5313,12.5938,12.375,,,,,,
2000-09-01 00:00:00,,,,12.4375,12.5,12.1875,,,,,,
2000-09-05 00:00:00,,,,12.1875,12.25,12.1563,,,,,,
2000-09-06 00:00:00,,,,12.3438,12.5,12.125,,,,,,
2000-09-07 00:00:00,,,,12.0313,12.0313,11.5,,,,,,
2000-09-08 00:00:00,,,,11.6875,11.75,11.4063,,,,,,
2000-09-11 00:00:00,,,,11.5938,11.8438,11.5938,,,,,,
2000-09-12 00:00:00,,,,11.7813,11.9375,11.5938,,,,,,
2000-09-13 00:00:00,,,,11.75,11.75,11.2813,,,,,,
2000-09-14 00:00:00,,,,11.4375,11.4688,11.3125,,,,0,3,1
2000-09-15 00:00:00,,,,11.1563,11.2188,10.7813,,,,,,
2000-09-18 00:00:00,,,,10.9063,10.9688,10.4375,,,,,,
2000-09-19 00:00:00,,,,10.5313,10.625,10.2813,,,,,,
2000-09-20 00:00:00,,,,10.3438,10.5625,9.9063,,,,,,
2000-09-21 00:00:00,,,,9.9375,10.25,9.8438,,,,0,3,1
2000-09-22 00:00:00,,,,9.9063,9.9063,9.6875,,,,,,
2000-09-25 00:00:00,,,,9.875,9.875,9.6875,,,,,,
2000-09-26 00:00:00,,,,9.6875,9.6875,9.25,,,,,,
2000-09-27 00:00:00,,,,9.375,9.875,9.3125,,,,,,
2000-09-28 00:00:00,,,,9.75,10.2813,9.75,,,,,,
2000-09-29 00:00:00,,,,10.2813,10.3438,10.0938,,,,,,
2000-10-02 00:00:00,,,,10.1875,10.1875,9.3125,,,,,,
2000-10-03 00:00:00,,,,9.5313,10.0938,9.5313,,,,,,
2000-10-04 00:00:00,,,,9.875,10.9688,9.875,,,,,,
2000-10-05 00:00:00,,,,10.2188,10.4688,10.1563,,,,,,
2000-10-06 00:00:00,,,,10.3438,11.1563,10.2813,,,,,,
2000-10-09 00:00:00,,,,10.9375,10.9688,10.5938,,,,,,
2000-10-10 00:00:00,,,,10.75,10.8125,10.5625,,,,,,
