Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,7.1719,7.5625,7.1563,,,,0,5,0
2000-05-02 00:00:00,,,,7.4375,7.5156,7.2031,,,,,,
2000-05-03 00:00:00,,,,7.3281,7.3281,7.2031,,,,,,
2000-05-04 00:00:00,,,,7.375,7.4531,7.3438,,,,,,
2000-05-05 00:00:00,,,,7.4219,7.6875,7.4063,,,,,,
2000-05-08 00:00:00,,,,7.5938,7.8125,7.5156,,,,0,5,0
2000-05-09 00:00:00,,,,7.7656,7.7969,7.3594,,,,,,
2000-05-10 00:00:00,,,,7.5156,7.6406,7.3125,,,,,,
2000-05-11 00:00:00,,,,7.375,7.5313,7.375,,,,,,
2000-05-12 00:00:00,,,,7.4375,7.4844,7.125,,,,,,
2000-05-15 00:00:00,,,,7.2031,7.375,7.125,,,,,,
2000-05-16 00:00:00,,,,7.25,7.4531,7.1875,,,,0,5,0
2000-05-17 00:00:00,,,,7.3906,7.7188,7.375,,,,,,
2000-05-18 00:00:00,,,,7.5,7.5156,7.1875,,,,,,
2000-05-19 00:00:00,,,,7.25,7.25,7.1563,,,,,,
2000-05-22 00:00:00,,,,7.1563,7.2031,6.9844,,,,,,
2000-05-23 00:00:00,,,,6.9844,7.1719,6.9844,,,,,,
2000-05-24 00:00:00,,,,8,8,7.375,,,,,,
2000-05-25 00:00:00,,,,7.5313,7.6563,7.5313,,,,,,
2000-05-26 00:00:00,,,,7.6094,7.6094,7.5156,,,,,,
2000-05-30 00:00:00,,,,7.5313,7.8281,7.5313,,,,,,
2000-05-31 00:00:00,,,,7.7813,7.8125,7.7656,,,,,,
2000-06-01 00:00:00,,,,7.8125,7.9844,7.7969,,,,0,5,0
2000-06-02 00:00:00,,,,8.2813,8.2969,7.0469,,,,,,
2000-06-05 00:00:00,,,,7.625,7.7188,7.4219,,,,,,
2000-06-06 00:00:00,,,,7.5625,7.6094,7.2656,,,,,,
2000-06-07 00:00:00,,,,7.4688,7.625,7.3281,,,,,,
2000-06-08 00:00:00,,,,7.5625,7.7188,7.5156,,,,,,
2000-06-09 00:00:00,,,,7.7031,7.9063,7.6875,,,,0,5,0
2000-06-12 00:00:00,,,,7.875,7.875,7.3438,,,,,,
2000-06-13 00:00:00,,,,7.4688,7.4688,7.2031,,,,,,
2000-06-14 00:00:00,,,,7.3125,7.4375,7.125,,,,,,
2000-06-15 00:00:00,,,,7.3125,7.375,7.2031,,,,,,
2000-06-16 00:00:00,,,,7.2188,7.2344,7.1094,,,,,,
2000-06-19 00:00:00,,,,7.2344,7.2969,7.2344,,,,,,
2000-06-20 00:00:00,,,,7.3125,7.3281,7.2031,,,,,,
2000-06-21 00:00:00,,,,7.2188,7.2188,7.1563,,,,,,
2000-06-22 00:00:00,,,,7.1719,7.1719,6.9375,,,,,,
2000-06-23 00:00:00,,,,6.9688,6.9844,6.8438,,,,,,
2000-06-26 00:00:00,,,,6.9844,6.9844,6.7813,,,,,,
2000-06-27 00:00:00,,,,6.8125,7.0469,6.8125,,,,,,
2000-06-28 00:00:00,,,,6.9844,7.0625,6.8906,,,,,,
2000-06-29 00:00:00,,,,6.6875,6.9063,6.6094,,,,0,4,1
2000-06-30 00:00:00,,,,6.7031,7.125,6.6406,,,,,,
2000-07-03 00:00:00,,,,6.7969,6.8281,6.7188,,,,,,
2000-07-05 00:00:00,,,,6.9375,7.0469,6.7656,,,,0,4,1
2000-07-06 00:00:00,,,,7,7,6.6563,,,,0,4,1
2000-07-07 00:00:00,,,,7,7.0469,6.9688,,,,0,4,1
2000-07-10 00:00:00,,,,7.0156,7.0156,6.8125,,,,,,
2000-07-11 00:00:00,,,,6.9375,6.9375,6.7813,,,,,,
2000-07-12 00:00:00,,,,6.8281,7.2344,6.8281,,,,0,4,1
2000-07-13 00:00:00,,,,7.1875,7.2344,7.0469,,,,,,
2000-07-14 00:00:00,,,,6.625,7.0313,6.5938,,,,,,
2000-07-17 00:00:00,,,,6.9375,7.1563,6.9063,,,,,,
2000-07-18 00:00:00,,,,7.0781,7.1094,6.875,,,,,,
2000-07-19 00:00:00,,,,6.9375,6.9375,6.7031,,,,,,
2000-07-20 00:00:00,,,,6.7813,6.8125,6.6875,,,,,,
2000-07-21 00:00:00,,,,6.7344,6.9063,6.6563,,,,,,
2000-07-24 00:00:00,,,,6.8594,7.0625,6.8594,,,,,,
2000-07-25 00:00:00,,,,6.9531,7.0469,6.875,,,,,,
2000-07-26 00:00:00,,,,6.875,7.1875,6.8125,,,,,,
2000-07-27 00:00:00,,,,7.1719,7.2188,6.9375,,,,,,
2000-07-28 00:00:00,,,,6.8906,6.9219,6.6406,,,,0,4,1
