Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,49.75,50,47.49,,,,,,
2013-11-19 00:00:00,,,,48.75,48.75,45.33,,,,0,0,1
2013-11-20 00:00:00,,,,45.98,46,44.05,,,,0,0,2
2013-11-21 00:00:00,,,,44.5,45.15,43.11,,,,,,
2013-11-22 00:00:00,,,,43.9,44,43.25,,,,,,
2013-11-25 00:00:00,,,,44.28,45.62,43.97,,,,,,
2013-11-26 00:00:00,,,,45,45,43.04,,,,0,0,2
2013-11-27 00:00:00,,,,43.55,43.55,42.5,,,,,,
2013-11-29 00:00:00,,,,42.75,43.85,42.75,,,,,,
2013-12-02 00:00:00,,,,43.08,43.67,41.52,,,,,,
2013-12-03 00:00:00,,,,42.8,44.85,42.7,,,,0,0,3
2013-12-04 00:00:00,,,,42.43,42.43,41.67,,,,,,
2013-12-05 00:00:00,,,,41.4,41.83,40.71,,,,0,0,3
2013-12-06 00:00:00,,,,40.75,41.06,40.65,,,,,,
2013-12-09 00:00:00,,,,40.7,41.27,40.24,,,,,,
2013-12-10 00:00:00,,,,41.07,42.84,41.04,,,,0,1,3
2013-12-11 00:00:00,,,,42.32,43,42,,,,,,
2013-12-12 00:00:00,,,,42.01,43.08,42,,,,,,
2013-12-13 00:00:00,,,,42.92,43.79,42.92,,,,0,1,3
2013-12-16 00:00:00,,,,42.85,43.99,42.14,,,,0,1,3
2013-12-17 00:00:00,,,,43.43,44,43.16,,,,,,
2013-12-18 00:00:00,,,,43.65,44.5,43.13,,,,,,
2013-12-19 00:00:00,,,,43.96,44.5,43.85,,,,,,
2013-12-20 00:00:00,,,,44.3,44.45,43.91,,,,,,
2013-12-23 00:00:00,,,,44.17,44.84,43.6,,,,,,
2013-12-24 00:00:00,,,,44.76,45.02,44.27,,,,,,
2013-12-26 00:00:00,,,,44.86,45,44.52,,,,,,
2013-12-27 00:00:00,,,,44.77,44.97,44.14,,,,,,
2013-12-30 00:00:00,,,,44.45,44.85,44,,,,0,1,3
2013-12-31 00:00:00,,,,44.23,44.47,43.84,,,,,,
2014-01-02 00:00:00,,,,44.08,44.18,43.32,,,,,,
2014-01-03 00:00:00,,,,43.57,44.29,43.46,,,,,,
2014-01-06 00:00:00,,,,43.97,43.97,43.37,,,,0,1,3
2014-01-07 00:00:00,,,,43.25,43.98,43.15,,,,0,1,3
2014-01-08 00:00:00,,,,44.02,44.35,43.4,,,,0,2,3
2014-01-09 00:00:00,,,,43.89,44.25,43.84,,,,,,
2014-01-10 00:00:00,,,,44.17,46.08,44.02,,,,,,
2014-01-13 00:00:00,,,,45.7,47.37,45.31,,,,0,2,3
2014-01-14 00:00:00,,,,47.16,47.87,46.94,,,,,,
2014-01-15 00:00:00,,,,47.97,49.19,47.26,,,,0,2,3
2014-01-16 00:00:00,,,,47.28,47.65,47.05,,,,0,3,3
2014-01-17 00:00:00,,,,47.52,48.22,47,,,,0,3,3
2014-01-21 00:00:00,,,,49.36,49.36,47.94,,,,0,4,2
2014-01-22 00:00:00,,,,48.11,49.16,48.11,,,,0,4,2
2014-01-23 00:00:00,,,,48.68,48.68,47.58,,,,,,
2014-01-24 00:00:00,,,,47.62,47.71,45.84,,,,,,
2014-01-27 00:00:00,,,,46.8,47.59,46.16,,,,,,
2014-01-28 00:00:00,,,,46.77,47.88,46.77,,,,,,
