Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,51.8438,52.375,49.1875,,,,0,12,0
2000-05-02 00:00:00,,,,49.5625,51.625,48,,,,,,
2000-05-03 00:00:00,,,,47.75,48.25,45,,,,,,
2000-05-04 00:00:00,,,,48.375,49.4375,46.875,,,,,,
2000-05-05 00:00:00,,,,50.2813,51.4375,50.125,,,,,,
2000-05-08 00:00:00,,,,50.2813,51.5,47.4688,,,,0,12,0
2000-05-09 00:00:00,,,,48.5313,48.8125,45.125,,,,,,
2000-05-10 00:00:00,,,,44.9063,45.125,41.75,,,,,,
2000-05-11 00:00:00,,,,41.5,43.375,39.9063,,,,0,12,0
2000-05-12 00:00:00,,,,43.4063,44.75,41.875,,,,0,13,0
2000-05-15 00:00:00,,,,42.25,44.5,40.8125,,,,0,13,0
2000-05-16 00:00:00,,,,45.9141,47.125,44.75,,,,,,
2000-05-17 00:00:00,,,,45.4375,47,44.75,,,,,,
2000-05-18 00:00:00,,,,45.2813,45.375,42.4063,,,,0,13,0
2000-05-19 00:00:00,,,,42.25,42.75,39.625,,,,0,13,0
2000-05-22 00:00:00,,,,40.375,40.5,35.8125,,,,,,
2000-05-23 00:00:00,,,,39.0625,40.1563,35.75,,,,0,13,0
2000-05-24 00:00:00,,,,36.0625,39.9688,34.4063,,,,,,
2000-05-25 00:00:00,,,,39.625,42,37.5,,,,,,
2000-05-26 00:00:00,,,,38.6172,39.5,36.4063,,,,,,
2000-05-30 00:00:00,,,,38.875,42.5625,38.7188,,,,,,
2000-05-31 00:00:00,,,,42.375,43.875,41.5313,,,,0,13,0
2000-06-01 00:00:00,,,,43,44.625,42.75,,,,0,13,0
2000-06-02 00:00:00,,,,47.375,47.75,46.1875,,,,,,
