Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,7,2
2000-05-05 00:00:00,,,,,,,,,,0,7,2
2000-05-18 00:00:00,,,,,,,,,,0,7,2
2000-05-30 00:00:00,,,,,,,,,,0,8,2
2000-06-01 00:00:00,,,,,,,,,,0,9,2
2000-06-02 00:00:00,,,,,,,,,,0,9,2
2000-06-05 00:00:00,,,,,,,,,,0,9,2
2000-06-09 00:00:00,,,,,,,,,,0,9,2
2000-06-14 00:00:00,,,,,,,,,,0,9,2
2000-07-05 00:00:00,,,,,,,,,,0,9,2
2000-07-07 00:00:00,,,,,,,,,,0,9,2
2000-07-10 00:00:00,,,,,,,,,,0,9,2
2000-07-20 00:00:00,,,,,,,,,,0,9,2
2000-07-25 00:00:00,,,,,,,,,,0,9,2
2000-07-28 00:00:00,,,,,,,,,,0,9,2
2000-07-31 00:00:00,,,,,,,,,,0,8,2
2000-08-07 00:00:00,,,,,,,,,,0,7,3
2000-08-23 00:00:00,,,,,,,,,,0,7,3
2000-09-13 00:00:00,,,,,,,,,,0,7,3
2000-09-15 00:00:00,,,,,,,,,,0,7,3
2000-09-19 00:00:00,,,,,,,,,,0,7,3
2000-09-20 00:00:00,,,,,,,,,,0,7,3
2000-09-22 00:00:00,,,,,,,,,,0,6,4
2000-09-29 00:00:00,,,,,,,,,,0,6,4
2000-10-02 00:00:00,,,,,,,,,,0,6,4
2000-10-10 00:00:00,,,,,,,,,,0,6,4
2000-10-11 00:00:00,,,,,,,,,,0,6,4
2000-10-12 00:00:00,,,,,,,,,,0,7,4
2000-10-13 00:00:00,,,,,,,,,,0,8,4
2000-11-10 00:00:00,,,,,,,,,,0,8,4
2000-11-13 00:00:00,,,,,,,,,,0,8,4
2000-11-14 00:00:00,,,,,,,,,,0,8,4
2000-11-24 00:00:00,,,,,,,,,,0,8,4
2000-11-30 00:00:00,,,,,,,,,,0,7,5
2000-12-05 00:00:00,,,,,,,,,,0,6,6
2000-12-12 00:00:00,,,,,,,,,,0,6,6
2000-12-13 00:00:00,,,,,,,,,,0,6,6
2000-12-14 00:00:00,,,,,,,,,,0,6,6
2001-01-04 00:00:00,,,,,,,,,,0,6,6
2001-01-11 00:00:00,,,,,,,,,,0,6,6
2001-01-17 00:00:00,,,,,,,,,,0,6,6
2001-01-18 00:00:00,,,,,,,,,,0,6,6
2001-01-24 00:00:00,,,,,,,,,,0,7,5
2001-01-30 00:00:00,,,,,,,,,,0,7,5
2001-01-31 00:00:00,,,,,,,,,,0,7,5
2001-02-01 00:00:00,,,,,,,,,,0,7,5
2001-02-28 00:00:00,,,,,,,,,,0,7,5
2001-03-02 00:00:00,,,,,,,,,,0,7,5
2001-03-05 00:00:00,,,,,,,,,,0,7,5
2001-03-07 00:00:00,,,,,,,,,,0,7,5
2001-03-09 00:00:00,,,,,,,,,,0,7,5
2001-03-12 00:00:00,,,,,,,,,,0,7,5
2001-03-16 00:00:00,,,,,,,,,,0,7,5
2001-03-27 00:00:00,,,,,,,,,,0,7,5
2001-03-28 00:00:00,,,,,,,,,,0,7,6
2001-04-02 00:00:00,,,,,,,,,,0,7,6
2001-04-03 00:00:00,,,,,,,,,,0,7,6
2001-04-05 00:00:00,,,,,,,,,,0,6,7
2001-04-06 00:00:00,,,,,,,,,,0,6,7
2001-04-09 00:00:00,,,,,,,,,,0,6,7
2001-04-10 00:00:00,,,,,,,,,,0,6,7
2001-04-12 00:00:00,,,,,,,,,,0,6,7
2001-04-19 00:00:00,,,,,,,,,,0,7,6
2001-04-25 00:00:00,,,,,,,,,,0,8,6
2001-04-27 00:00:00,,,,,,,,,,0,8,6
2001-04-30 00:00:00,,,,,,,,,,0,8,6
