Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,46.875,47.125,46.125,,,,0,6,0
2000-05-02 00:00:00,,,,46.313,46.313,45.375,,,,,,
2000-05-03 00:00:00,,,,45.5,45.5,42,,,,,,
2000-05-04 00:00:00,,,,44,44.938,42.75,,,,,,
2000-05-05 00:00:00,,,,43.375,45.938,43.375,,,,,,
2000-05-08 00:00:00,,,,45.75,46.125,44.688,,,,,,
2000-05-09 00:00:00,,,,45,45.375,41.5,,,,0,6,0
2000-05-10 00:00:00,,,,43.5,43.5,37.5,,,,0,7,0
2000-05-11 00:00:00,,,,41.5,41.875,39.75,,,,0,7,0
2000-05-12 00:00:00,,,,41,42,40.625,,,,0,7,0
2000-05-15 00:00:00,,,,41.563,41.563,40.375,,,,,,
2000-05-16 00:00:00,,,,42.25,44.75,42.25,,,,,,
2000-05-17 00:00:00,,,,43.75,45.25,43.125,,,,,,
2000-05-18 00:00:00,,,,44.688,45.125,43.75,,,,0,7,0
2000-05-19 00:00:00,,,,43.75,43.875,42.75,,,,0,8,0
2000-05-22 00:00:00,,,,43.25,43.25,40.938,,,,,,
2000-05-23 00:00:00,,,,41.438,42.25,38.688,,,,,,
2000-05-24 00:00:00,,,,38.875,38.938,37.313,,,,,,
2000-05-25 00:00:00,,,,39,40.5,39,,,,,,
2000-05-26 00:00:00,,,,40.063,40.063,38.625,,,,0,8,0
2000-05-30 00:00:00,,,,39.25,39.625,37,,,,,,
2000-05-31 00:00:00,,,,38.125,38.125,36.313,,,,,,
2000-06-01 00:00:00,,,,38.125,39.313,37.563,,,,0,8,0
2000-06-02 00:00:00,,,,40,41.5,40,,,,,,
2000-06-05 00:00:00,,,,41.5,44.375,41.375,,,,,,
