Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,56,60.313,55.25,,,,0,7,1
2000-05-02 00:00:00,,,,59.188,60,55.875,,,,0,7,1
2000-05-03 00:00:00,,,,55.25,56.563,53,,,,0,7,1
2000-05-04 00:00:00,,,,54.25,56.5,53.125,,,,,,
2000-05-05 00:00:00,,,,54.625,58.625,54.125,,,,0,8,1
2000-05-08 00:00:00,,,,56.813,59.25,55.438,,,,,,
2000-05-09 00:00:00,,,,56.5,57.75,53,,,,0,8,1
2000-05-10 00:00:00,,,,54.531,55.375,49,,,,,,
2000-05-11 00:00:00,,,,53.938,55.75,50.938,,,,,,
2000-05-12 00:00:00,,,,54.688,56.5,53.125,,,,,,
2000-05-15 00:00:00,,,,53.625,56.5,50.875,,,,,,
2000-05-16 00:00:00,,,,57.125,59.875,56,,,,0,8,1
2000-05-17 00:00:00,,,,57.188,62.375,57,,,,,,
2000-05-18 00:00:00,,,,60.375,60.875,55.125,,,,,,
2000-05-19 00:00:00,,,,54.625,55.75,52.25,,,,0,8,1
2000-05-22 00:00:00,,,,53,53.125,46.875,,,,,,
2000-05-23 00:00:00,,,,50.5,51.875,46.5,,,,0,8,1
2000-05-24 00:00:00,,,,46.438,49.75,40.438,,,,0,9,1
2000-05-25 00:00:00,,,,49.5,50,45.5,,,,,,
2000-05-26 00:00:00,,,,46.25,47.75,44,,,,,,
2000-05-30 00:00:00,,,,47.313,51.875,47.313,,,,0,9,1
2000-05-31 00:00:00,,,,50.75,52.25,48.125,,,,0,9,1
2000-06-01 00:00:00,,,,48.875,51.125,46.375,,,,0,9,1
2000-06-02 00:00:00,,,,52.375,58.125,52.25,,,,0,9,1
2000-06-05 00:00:00,,,,55.031,56.25,52.5,,,,,,
2000-06-06 00:00:00,,,,54,54.563,50.25,,,,,,
2000-06-07 00:00:00,,,,51.875,52.188,50.125,,,,,,
2000-06-08 00:00:00,,,,52.563,53.438,51.625,,,,,,
2000-06-09 00:00:00,,,,51.938,53.25,51.875,,,,0,9,1
2000-06-12 00:00:00,,,,52.188,52.188,47,,,,,,
2000-06-13 00:00:00,,,,48.188,49.5,46.25,,,,,,
2000-06-14 00:00:00,,,,49.313,49.875,46,,,,,,
2000-06-15 00:00:00,,,,47,47.938,45.313,,,,,,
2000-06-16 00:00:00,,,,47.25,47.438,45.375,,,,,,
2000-06-19 00:00:00,,,,45.5,45.875,43.5,,,,0,9,1
2000-06-20 00:00:00,,,,45.875,48.625,45.125,,,,,,
2000-06-21 00:00:00,,,,45.438,46.938,45.063,,,,,,
2000-06-22 00:00:00,,,,46.188,46.438,41.625,,,,,,
2000-06-23 00:00:00,,,,36.625,37,32.469,,,,,,
2000-06-26 00:00:00,,,,35.313,35.328,32.813,,,,0,9,1
2000-06-27 00:00:00,,,,33.75,38.5,33.5,,,,,,
2000-06-28 00:00:00,,,,36.875,39.938,36.125,,,,,,
2000-06-29 00:00:00,,,,37.125,38.5,36.125,,,,0,9,1
2000-06-30 00:00:00,,,,37,37.25,35.5,,,,0,9,1
2000-07-03 00:00:00,,,,36.688,37.5,36.5,,,,,,
2000-07-05 00:00:00,,,,37,38.5,36.375,,,,,,
2000-07-06 00:00:00,,,,36.875,37.375,34.75,,,,,,
2000-07-07 00:00:00,,,,36.125,37,35.25,,,,,,
2000-07-10 00:00:00,,,,36.375,36.375,35,,,,,,
2000-07-11 00:00:00,,,,35.188,35.25,32.625,,,,,,
2000-07-12 00:00:00,,,,35.438,36.125,34.25,,,,,,
2000-07-13 00:00:00,,,,35.625,36,34.875,,,,,,
2000-07-14 00:00:00,,,,36.375,43.203,36.313,,,,0,10,1
2000-07-17 00:00:00,,,,42.875,43.938,40.25,,,,,,
2000-07-18 00:00:00,,,,40.125,43.625,39.5,,,,,,
2000-07-19 00:00:00,,,,41.5,41.563,39,,,,,,
2000-07-20 00:00:00,,,,40.938,43.375,39.5,,,,,,
