Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,8.1239,8.8573,8.1239,,,,0,1,1
2000-05-02 00:00:00,,,,8.6881,8.8573,8.5188,,,,,,
2000-05-03 00:00:00,,,,8.5188,8.6316,8.1803,,,,,,
2000-05-04 00:00:00,,,,8.2931,8.4624,8.2367,,,,,,
2000-05-05 00:00:00,,,,8.4624,8.4624,8.1803,,,,,,
2000-05-08 00:00:00,,,,8.3496,8.6316,8.3496,,,,,,
2000-05-09 00:00:00,,,,8.5188,8.5752,8.4624,,,,,,
2000-05-10 00:00:00,,,,8.4624,8.4624,8.0675,,,,,,
2000-05-11 00:00:00,,,,8.1803,8.406,8.1239,,,,,,
2000-05-12 00:00:00,,,,8.406,8.9701,8.406,,,,,,
2000-05-15 00:00:00,,,,9.0265,9.5343,8.8009,,,,,,
2000-05-16 00:00:00,,,,9.083,9.365,9.083,,,,0,1,1
2000-05-17 00:00:00,,,,9.2522,9.7035,8.9137,,,,,,
2000-05-18 00:00:00,,,,8.8573,8.9137,8.5752,,,,,,
2000-05-19 00:00:00,,,,8.2367,8.5188,8.2367,,,,,,
2000-05-22 00:00:00,,,,8.2931,8.2931,7.6726,,,,,,
2000-05-23 00:00:00,,,,7.8418,7.8418,7.6162,,,,,,
2000-05-24 00:00:00,,,,7.6162,7.6726,7.2212,,,,,,
2000-05-25 00:00:00,,,,7.3905,7.3905,7.2212,,,,,,
2000-05-26 00:00:00,,,,7.2777,7.6726,7.2777,,,,,,
2000-05-30 00:00:00,,,,7.4469,7.4469,7.1648,,,,,,
2000-05-31 00:00:00,,,,7.2212,7.2212,6.9392,,,,0,1,1
2000-06-01 00:00:00,,,,7.3341,7.3905,7.1648,,,,,,
2000-06-02 00:00:00,,,,7.3341,7.5597,7.2212,,,,,,
2000-06-05 00:00:00,,,,7.5033,7.6162,7.4469,,,,,,
2000-06-06 00:00:00,,,,7.5597,7.6162,7.1084,,,,,,
2000-06-07 00:00:00,,,,6.9956,6.9956,6.7135,,,,,,
2000-06-08 00:00:00,,,,6.8827,7.2212,6.7699,,,,,,
2000-06-09 00:00:00,,,,6.9956,7.052,6.8827,,,,,,
2000-06-12 00:00:00,,,,6.9392,7.052,6.7135,,,,,,
2000-06-13 00:00:00,,,,6.7699,6.9956,6.7699,,,,,,
2000-06-14 00:00:00,,,,6.8827,7.052,6.8827,,,,,,
2000-06-15 00:00:00,,,,7.1084,7.1084,6.9956,,,,,,
2000-06-16 00:00:00,,,,7.1084,7.1648,6.9956,,,,,,
2000-06-19 00:00:00,,,,7.1084,7.1084,6.8827,,,,,,
2000-06-20 00:00:00,,,,7.052,7.1084,6.8827,,,,,,
2000-06-21 00:00:00,,,,6.8827,6.8827,6.7135,,,,,,
2000-06-22 00:00:00,,,,6.5442,6.6571,6.5442,,,,,,
2000-06-23 00:00:00,,,,6.6007,6.6007,6.5442,,,,,,
2000-06-26 00:00:00,,,,6.5442,6.7135,6.5442,,,,,,
2000-06-27 00:00:00,,,,6.6571,6.7135,6.5442,,,,,,
2000-06-28 00:00:00,,,,6.5442,6.7135,6.4878,,,,,,
2000-06-29 00:00:00,,,,6.6571,6.7135,6.4878,,,,,,
2000-06-30 00:00:00,,,,6.5442,6.6007,6.3186,,,,,,
2000-07-03 00:00:00,,,,6.875,6.9375,6.625,,,,,,
2000-07-05 00:00:00,,,,6.6875,7,6.5,,,,,,
2000-07-06 00:00:00,,,,6.9375,7.125,6.875,,,,,,
2000-07-07 00:00:00,,,,7.125,7.3125,7.125,,,,,,
2000-07-10 00:00:00,,,,7.1875,7.1875,7,,,,,,
2000-07-11 00:00:00,,,,7.0625,7.0625,6.75,,,,,,
2000-07-12 00:00:00,,,,6.9375,7.125,6.9375,,,,,,
2000-07-13 00:00:00,,,,7,7,6.875,,,,,,
