Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,18,18,18,,,,,,
2001-10-30 00:00:00,,,,20.25,20.45,20.175,,,,,,
2001-10-31 00:00:00,,,,20.55,21.25,20.505,,,,,,
2001-11-01 00:00:00,,,,21.125,21.3,20.9,,,,0,1,0
2001-11-02 00:00:00,,,,21.025,21.55,21.01,,,,,,
2001-11-05 00:00:00,,,,21.75,21.75,21.375,,,,,,
2001-11-06 00:00:00,,,,21.475,22.125,21.1,,,,,,
2001-11-07 00:00:00,,,,21.875,21.875,21.245,,,,,,
2001-11-08 00:00:00,,,,21.5,21.55,21,,,,,,
2001-11-09 00:00:00,,,,21.25,21.25,20.5,,,,,,
2001-11-12 00:00:00,,,,21,21.425,20.85,,,,,,
2001-11-13 00:00:00,,,,21.7,21.7,21.26,,,,,,
2001-11-14 00:00:00,,,,22,23,21.775,,,,,,
2001-11-15 00:00:00,,,,22.85,23.375,22.725,,,,,,
2001-11-16 00:00:00,,,,23.45,23.6,23.15,,,,,,
2001-11-19 00:00:00,,,,23.375,23.785,23.2,,,,,,
2001-11-20 00:00:00,,,,23.65,24.625,23.625,,,,,,
2001-11-21 00:00:00,,,,24.35,24.85,24.21,,,,,,
2001-11-23 00:00:00,,,,24.475,24.675,24.475,,,,,,
2001-11-26 00:00:00,,,,24.85,25.1,24.15,,,,0,10,0
2001-11-27 00:00:00,,,,24.4,24.925,24.135,,,,,,
2001-11-28 00:00:00,,,,24.275,24.6,23.775,,,,,,
2001-11-29 00:00:00,,,,24.75,25.05,24.54,,,,,,
2001-11-30 00:00:00,,,,25.05,25.5,24.9,,,,,,
2001-12-03 00:00:00,,,,25.4,25.65,25.05,,,,0,11,0
2001-12-04 00:00:00,,,,25.675,25.75,25.35,,,,,,
2001-12-05 00:00:00,,,,25.9,25.95,24.35,,,,,,
2001-12-06 00:00:00,,,,24.45,24.5,23.675,,,,,,
2001-12-07 00:00:00,,,,24.25,24.35,23.8,,,,,,
2001-12-10 00:00:00,,,,24.3,24.435,24.1,,,,,,
2001-12-11 00:00:00,,,,24.125,24.345,23.855,,,,,,
2001-12-12 00:00:00,,,,24.125,24.125,23.925,,,,,,
2001-12-13 00:00:00,,,,23.805,24.05,23.45,,,,,,
2001-12-14 00:00:00,,,,24,24.05,23.675,,,,,,
2001-12-17 00:00:00,,,,24.05,24.65,23.96,,,,0,11,0
2001-12-18 00:00:00,,,,24.75,24.75,24.61,,,,,,
2001-12-19 00:00:00,,,,24.65,24.675,23.875,,,,0,11,0
2001-12-20 00:00:00,,,,23.88,24,23.4,,,,,,
2001-12-21 00:00:00,,,,23.4,23.4,22.625,,,,0,11,0
2001-12-24 00:00:00,,,,22.875,22.975,22.8,,,,,,
2001-12-26 00:00:00,,,,22.925,23.24,22.925,,,,,,
2001-12-27 00:00:00,,,,23.175,23.65,23.175,,,,,,
2001-12-28 00:00:00,,,,23.475,24.25,23.475,,,,,,
2001-12-31 00:00:00,,,,24.35,25.125,24.35,,,,,,
2002-01-02 00:00:00,,,,24.84,24.84,24.355,,,,,,
2002-01-03 00:00:00,,,,24.4,24.64,24.225,,,,,,
2002-01-04 00:00:00,,,,24.25,24.4,23.45,,,,,,
2002-01-07 00:00:00,,,,23.93,23.94,23.5,,,,,,
2002-01-08 00:00:00,,,,23.425,23.925,23.2,,,,,,
2002-01-09 00:00:00,,,,23.775,24.125,23.75,,,,,,
2002-01-10 00:00:00,,,,23.8,25.37,23.8,,,,0,12,0
2002-01-11 00:00:00,,,,25.05,25.875,24.95,,,,,,
2002-01-14 00:00:00,,,,25.8,26.2,25.425,,,,,,
2002-01-15 00:00:00,,,,25.85,25.85,24.7,,,,0,12,0
2002-01-16 00:00:00,,,,25.225,25.85,24.85,,,,,,
2002-01-17 00:00:00,,,,25.5,25.525,25,,,,,,
2002-01-18 00:00:00,,,,25.025,25.5,24.91,,,,,,
2002-01-22 00:00:00,,,,25.365,25.94,25.03,,,,,,
2002-01-23 00:00:00,,,,25.7,26.4,25.7,,,,,,
2002-01-24 00:00:00,,,,26.025,26.545,26.025,,,,,,
2002-01-25 00:00:00,,,,26.5,27.05,26.45,,,,,,
2002-01-28 00:00:00,,,,26.7,27.25,26.6,,,,,,
2002-01-29 00:00:00,,,,26.525,26.875,26.48,,,,0,13,0
2002-01-30 00:00:00,,,,26.25,26.6,25.975,,,,,,
2002-01-31 00:00:00,,,,26.3,26.6,25.9,,,,0,13,0
2002-02-01 00:00:00,,,,26.625,27.05,26.5,,,,,,
2002-02-04 00:00:00,,,,26.485,26.5,25.7,,,,,,
2002-02-05 00:00:00,,,,26.15,27.125,25.75,,,,0,13,0
2002-02-06 00:00:00,,,,28.25,28.97,27.765,,,,0,13,0
2002-02-07 00:00:00,,,,28.25,29.375,28.16,,,,0,13,0
2002-02-08 00:00:00,,,,28.875,29.01,28.7,,,,0,13,0
2002-02-11 00:00:00,,,,28.765,29.05,28.7,,,,0,13,0
2002-02-12 00:00:00,,,,28.5,28.55,28.275,,,,0,12,0
2002-02-13 00:00:00,,,,28.55,28.625,27.925,,,,0,12,0
2002-02-14 00:00:00,,,,28.1,28.375,27.875,,,,,,
2002-02-15 00:00:00,,,,28.2,28.25,28.025,,,,,,
2002-02-19 00:00:00,,,,28,28,26.725,,,,,,
2002-02-20 00:00:00,,,,26.9,27.35,26.875,,,,,,
2002-02-21 00:00:00,,,,26.975,28.275,26.85,,,,,,
2002-02-22 00:00:00,,,,27.725,28.55,27.725,,,,,,
2002-02-25 00:00:00,,,,28.1,28.75,28.03,,,,,,
2002-02-26 00:00:00,,,,28.75,29.475,28.75,,,,,,
2002-02-27 00:00:00,,,,29.05,29.25,28.8,,,,,,
2002-02-28 00:00:00,,,,28.9,29.125,28.675,,,,,,
2002-03-01 00:00:00,,,,28.925,29.025,28.85,,,,,,
2002-03-04 00:00:00,,,,28.9,29.2,27.725,,,,,,
2002-03-05 00:00:00,,,,27.665,27.89,27.2,,,,,,
2002-03-06 00:00:00,,,,27.375,28.55,27.25,,,,,,
2002-03-07 00:00:00,,,,28.35,28.6,28.11,,,,,,
