Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,21.2121,22.0779,21.2121,,,,0,16,1
2000-05-02 00:00:00,,,,21.6721,22.1591,21.4286,,,,,,
2000-05-03 00:00:00,,,,22.0238,22.132,20.9416,,,,,,
2000-05-04 00:00:00,,,,21.3203,23.2143,21.2933,,,,,,
2000-05-05 00:00:00,,,,23.2684,24.513,23.2143,,,,,,
2000-05-08 00:00:00,,,,24.0801,25.2976,23.8636,,,,0,16,1
2000-05-09 00:00:00,,,,24.7835,24.7835,24.026,,,,,,
2000-05-10 00:00:00,,,,24.2424,24.4589,23.6742,,,,0,16,1
2000-05-11 00:00:00,,,,24.6753,25.1623,24.4859,,,,,,
2000-05-12 00:00:00,,,,25.2165,25.974,25,,,,,,
2000-05-15 00:00:00,,,,25.9199,26.2446,25.6494,,,,,,
2000-05-16 00:00:00,,,,25.5952,25.6223,24.7294,,,,0,16,1
2000-05-17 00:00:00,,,,25,25.5141,24.7024,,,,,,
2000-05-18 00:00:00,,,,25.8658,26.3799,25.7576,,,,,,
2000-05-19 00:00:00,,,,25.8929,25.974,25.2435,,,,0,16,1
2000-05-22 00:00:00,,,,25.4329,25.4329,24.7294,,,,,,
2000-05-23 00:00:00,,,,24.8918,25.1353,24.3506,,,,0,16,1
2000-05-24 00:00:00,,,,25.0541,25.0541,23.4848,,,,0,16,1
2000-05-25 00:00:00,,,,23.9177,24.1883,23.5931,,,,,,
2000-05-26 00:00:00,,,,24.8918,24.8918,24.2424,,,,,,
2000-05-30 00:00:00,,,,24.6483,25.1353,24.6212,,,,,,
2000-05-31 00:00:00,,,,24.8377,26.5693,24.8377,,,,0,17,1
2000-06-01 00:00:00,,,,26.2446,26.6234,25.3247,,,,0,17,1
2000-06-02 00:00:00,,,,25.9199,25.9199,23.8095,,,,,,
2000-06-05 00:00:00,,,,24.2965,24.4589,23.4578,,,,,,
2000-06-06 00:00:00,,,,23.2684,24.6483,23.2684,,,,,,
2000-06-07 00:00:00,,,,24.2695,24.3777,23.4307,,,,,,
2000-06-08 00:00:00,,,,23.9719,24.513,23.9719,,,,,,
2000-06-09 00:00:00,,,,24.513,24.5942,23.8366,,,,,,
2000-06-12 00:00:00,,,,24.2424,25.1353,24.2424,,,,0,17,1
2000-06-13 00:00:00,,,,24.6753,25.0541,24.4318,,,,,,
2000-06-14 00:00:00,,,,24.6212,25.8658,24.6212,,,,0,17,1
2000-06-15 00:00:00,,,,25.4329,25.7846,24.7024,,,,,,
2000-06-16 00:00:00,,,,25,25.947,25,,,,0,17,1
2000-06-19 00:00:00,,,,25.7035,25.8658,24.5671,,,,0,17,1
2000-06-20 00:00:00,,,,24.54,24.6483,23.4848,,,,0,17,1
2000-06-21 00:00:00,,,,24.3506,25.6494,24.053,,,,,,
2000-06-22 00:00:00,,,,25.2706,25.5411,24.1613,,,,,,
2000-06-23 00:00:00,,,,24.4048,25.1353,24.4048,,,,,,
2000-06-26 00:00:00,,,,25.4329,25.4329,24.7024,,,,0,17,1
2000-06-27 00:00:00,,,,25,25.0541,24.3506,,,,,,
2000-06-28 00:00:00,,,,24.8106,25.2976,24.1883,,,,,,
2000-06-29 00:00:00,,,,25.1353,26.0823,25.1082,,,,,,
2000-06-30 00:00:00,,,,25.6494,26.1364,25.46,,,,0,17,1
2000-07-03 00:00:00,,,,25.46,25.8929,25.3517,,,,,,
2000-07-05 00:00:00,,,,25.1082,25.1082,23.7013,,,,0,16,2
2000-07-06 00:00:00,,,,24.3506,24.4048,23.079,,,,0,16,2
2000-07-07 00:00:00,,,,23.079,23.4037,22.592,,,,,,
2000-07-10 00:00:00,,,,23.2413,23.8095,22.8626,,,,,,
2000-07-11 00:00:00,,,,23.1061,24.8106,23.1061,,,,,,
2000-07-12 00:00:00,,,,24.7835,24.9729,23.9448,,,,,,
2000-07-13 00:00:00,,,,24.1613,24.1883,23.2413,,,,0,16,2
2000-07-14 00:00:00,,,,23.566,23.5931,23.1061,,,,,,
2000-07-17 00:00:00,,,,23.7013,23.9719,22.9437,,,,,,
2000-07-18 00:00:00,,,,22.9167,23.539,22.7273,,,,,,
2000-07-19 00:00:00,,,,23.7554,23.8907,22.9708,,,,,,
2000-07-20 00:00:00,,,,23.0519,23.0519,21.9156,,,,,,
2000-07-21 00:00:00,,,,22.2944,22.2944,20.8874,,,,0,16,2
2000-07-24 00:00:00,,,,21.4286,21.4286,20.3463,,,,0,17,1
2000-07-25 00:00:00,,,,20.8874,21.2933,20.0758,,,,0,18,1
2000-07-26 00:00:00,,,,20.6169,21.3745,20.2381,,,,,,
2000-07-27 00:00:00,,,,21.7532,21.9426,21.3745,,,,0,18,1
2000-07-28 00:00:00,,,,21.4286,21.5639,21.2392,,,,0,19,0
2000-07-31 00:00:00,,,,21.3745,21.618,21.3203,,,,,,
2000-08-01 00:00:00,,,,21.4286,22.3214,21.4286,,,,0,19,0
2000-08-02 00:00:00,,,,22.619,22.8355,22.4026,,,,,,
2000-08-03 00:00:00,,,,22.8355,23.1602,22.619,,,,,,
2000-08-04 00:00:00,,,,22.7543,23.2413,22.6461,,,,,,
2000-08-07 00:00:00,,,,23.0519,23.7554,22.9978,,,,,,
2000-08-08 00:00:00,,,,23.8095,24.1071,23.6472,,,,,,
2000-08-09 00:00:00,,,,23.9719,24.4589,23.6742,,,,,,
2000-08-10 00:00:00,,,,24.2424,24.8377,24.2424,,,,,,
