Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,32.125,32.375,32,,,,0,3,0
2000-05-02 00:00:00,,,,32.5,33.25,32.5,,,,,,
2000-05-03 00:00:00,,,,33.25,33.3125,32.6875,,,,,,
2000-05-04 00:00:00,,,,32.75,32.875,32.375,,,,,,
2000-05-05 00:00:00,,,,32.75,33.1875,32.75,,,,,,
2000-05-08 00:00:00,,,,33.25,33.25,32.9375,,,,,,
2000-05-09 00:00:00,,,,32.9375,33.5,32.9375,,,,,,
2000-05-10 00:00:00,,,,33.5,33.5,33.0625,,,,,,
2000-05-11 00:00:00,,,,33.4375,34.0625,33.4375,,,,,,
2000-05-12 00:00:00,,,,33.125,33.875,33.0625,,,,,,
2000-05-15 00:00:00,,,,33.9375,34.5,33.875,,,,,,
2000-05-16 00:00:00,,,,34.5,34.5625,34.375,,,,,,
2000-05-17 00:00:00,,,,34.5,34.5625,34.4375,,,,,,
2000-05-18 00:00:00,,,,34.8125,34.8125,34.5,,,,,,
2000-05-19 00:00:00,,,,34.5,34.625,34.375,,,,,,
2000-05-22 00:00:00,,,,34.5625,34.5625,34,,,,,,
2000-05-23 00:00:00,,,,34.5625,34.5625,34.125,,,,,,
2000-05-24 00:00:00,,,,34.25,34.25,33.375,,,,,,
2000-05-25 00:00:00,,,,33.5625,33.5625,33.5,,,,,,
2000-05-26 00:00:00,,,,33.5,33.5625,33.1875,,,,,,
2000-05-30 00:00:00,,,,33.5625,34,33.5,,,,,,
2000-05-31 00:00:00,,,,34,34.125,33.75,,,,,,
2000-06-01 00:00:00,,,,33.8125,33.875,33,,,,0,4,0
2000-06-02 00:00:00,,,,33.125,33.375,32.9375,,,,0,4,0
2000-06-05 00:00:00,,,,33.3125,33.5625,33.3125,,,,,,
2000-06-06 00:00:00,,,,33.5625,34.25,33.5625,,,,,,
2000-06-07 00:00:00,,,,34.1875,34.25,33.75,,,,,,
2000-06-08 00:00:00,,,,33.9375,34.3125,33.75,,,,,,
2000-06-09 00:00:00,,,,34,34.125,34,,,,,,
2000-06-12 00:00:00,,,,34,34.3125,34,,,,,,
2000-06-13 00:00:00,,,,34.1875,34.25,33.875,,,,,,
2000-06-14 00:00:00,,,,34.375,34.4375,34,,,,,,
2000-06-15 00:00:00,,,,34.375,34.4375,33.6875,,,,,,
2000-06-16 00:00:00,,,,34.4375,34.4375,33.625,,,,,,
2000-06-19 00:00:00,,,,34.0625,34.25,34,,,,,,
2000-06-20 00:00:00,,,,34.25,34.4375,34.25,,,,,,
2000-06-21 00:00:00,,,,34.5,34.75,34.5,,,,,,
2000-06-22 00:00:00,,,,34.5625,34.875,34.5625,,,,,,
2000-06-23 00:00:00,,,,34.625,34.625,34.4375,,,,,,
2000-06-26 00:00:00,,,,34.4375,34.4375,33.875,,,,,,
2000-06-27 00:00:00,,,,34.375,34.75,34.25,,,,,,
2000-06-28 00:00:00,,,,34.625,34.8125,34.625,,,,,,
2000-06-29 00:00:00,,,,34.6875,34.8125,34.5,,,,,,
2000-06-30 00:00:00,,,,34.1875,34.5,34,,,,,,
2000-07-03 00:00:00,,,,34.3125,34.5,34.3125,,,,,,
2000-07-05 00:00:00,,,,34.5,34.875,34.5,,,,,,
2000-07-06 00:00:00,,,,34.625,35.3125,34.625,,,,,,
2000-07-07 00:00:00,,,,35.375,35.375,34.8125,,,,,,
2000-07-10 00:00:00,,,,35.125,35.125,34.8125,,,,,,
2000-07-11 00:00:00,,,,34.875,34.875,34.6875,,,,,,
2000-07-12 00:00:00,,,,34.9375,35.0625,34.625,,,,,,
2000-07-13 00:00:00,,,,35,35.125,34.625,,,,,,
2000-07-14 00:00:00,,,,35.25,35.4375,35.125,,,,,,
2000-07-17 00:00:00,,,,35.375,35.375,34.9375,,,,,,
2000-07-18 00:00:00,,,,35.25,35.25,34.6875,,,,,,
2000-07-19 00:00:00,,,,34.625,34.625,34.125,,,,,,
2000-07-20 00:00:00,,,,34.3125,34.4375,33.9375,,,,,,
2000-07-21 00:00:00,,,,34.4375,34.5,34.25,,,,,,
2000-07-24 00:00:00,,,,34.125,34.125,34.0625,,,,,,
2000-07-25 00:00:00,,,,34.0625,34.1875,34.0625,,,,,,
2000-07-26 00:00:00,,,,34.125,34.8125,34.0625,,,,,,
2000-07-27 00:00:00,,,,34.875,35.3125,34.8125,,,,,,
2000-07-28 00:00:00,,,,35.1875,35.375,35.1875,,,,,,
2000-07-31 00:00:00,,,,35.3125,35.8125,35.3125,,,,,,
