Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,0.5417,0.5807,0.5208,,,,0,3,0
2000-05-02 00:00:00,,,,0.5469,0.5938,0.5365,,,,,,
2000-05-03 00:00:00,,,,0.5495,0.5625,0.5391,,,,,,
2000-05-04 00:00:00,,,,0.5521,0.5781,0.5521,,,,,,
2000-05-05 00:00:00,,,,0.5729,0.625,0.5573,,,,,,
2000-05-08 00:00:00,,,,0.6302,0.6771,0.625,,,,,,
2000-05-09 00:00:00,,,,0.6302,0.6563,0.5885,,,,,,
2000-05-10 00:00:00,,,,0.4792,0.5208,0.4583,,,,0,2,1
2000-05-11 00:00:00,,,,0.513,0.5625,0.5,,,,0,2,1
2000-05-12 00:00:00,,,,0.5469,0.5938,0.5417,,,,,,
2000-05-15 00:00:00,,,,0.5833,0.612,0.5573,,,,,,
2000-05-16 00:00:00,,,,0.6042,0.6094,0.5729,,,,,,
2000-05-17 00:00:00,,,,0.5781,0.5833,0.5521,,,,,,
2000-05-18 00:00:00,,,,0.5833,0.5885,0.5469,,,,,,
2000-05-19 00:00:00,,,,0.5417,0.5677,0.5417,,,,,,
2000-05-22 00:00:00,,,,0.5625,0.5651,0.5026,,,,,,
2000-05-23 00:00:00,,,,0.513,0.526,0.513,,,,,,
2000-05-24 00:00:00,,,,0.5234,0.5417,0.5052,,,,,,
2000-05-25 00:00:00,,,,0.5469,0.5521,0.5156,,,,,,
2000-05-26 00:00:00,,,,0.5234,0.5417,0.4948,,,,,,
2000-05-30 00:00:00,,,,0.5104,0.5365,0.5104,,,,0,2,1
2000-05-31 00:00:00,,,,0.5339,0.5339,0.5104,,,,,,
2000-06-01 00:00:00,,,,0.5156,0.5234,0.513,,,,,,
2000-06-02 00:00:00,,,,0.5286,0.5885,0.5104,,,,,,
2000-06-05 00:00:00,,,,0.5625,0.5833,0.4948,,,,,,
2000-06-06 00:00:00,,,,0.5625,0.5625,0.5417,,,,,,
2000-06-07 00:00:00,,,,0.543,0.5547,0.5417,,,,,,
2000-06-08 00:00:00,,,,0.5521,0.5573,0.5182,,,,,,
2000-06-09 00:00:00,,,,0.5521,0.5573,0.5417,,,,,,
2000-06-12 00:00:00,,,,0.5495,0.5521,0.5234,,,,,,
2000-06-13 00:00:00,,,,0.5286,0.5573,0.5104,,,,,,
2000-06-14 00:00:00,,,,0.5313,0.5313,0.5156,,,,,,
2000-06-15 00:00:00,,,,0.5208,0.5286,0.513,,,,,,
2000-06-16 00:00:00,,,,0.5286,0.5313,0.4948,,,,,,
2000-06-19 00:00:00,,,,0.5052,0.5208,0.4974,,,,,,
2000-06-20 00:00:00,,,,0.5,0.5104,0.4974,,,,,,
2000-06-21 00:00:00,,,,0.5052,0.5156,0.5,,,,,,
2000-06-22 00:00:00,,,,0.5052,0.5078,0.4974,,,,,,
2000-06-23 00:00:00,,,,0.5,0.5026,0.4479,,,,,,
2000-06-26 00:00:00,,,,0.4948,0.5208,0.4896,,,,,,
2000-06-27 00:00:00,,,,0.5052,0.526,0.4974,,,,,,
2000-06-28 00:00:00,,,,0.5221,0.5286,0.5026,,,,,,
2000-06-29 00:00:00,,,,0.5026,0.5026,0.4583,,,,,,
2000-06-30 00:00:00,,,,0.4714,0.5625,0.4688,,,,,,
2000-07-03 00:00:00,,,,0.5417,0.5469,0.5313,,,,,,
2000-07-05 00:00:00,,,,0.5417,0.5521,0.5286,,,,,,
2000-07-06 00:00:00,,,,0.5365,0.5781,0.526,,,,,,
2000-07-07 00:00:00,,,,0.5365,0.6016,0.5339,,,,,,
2000-07-10 00:00:00,,,,0.5885,0.6667,0.5781,,,,,,
2000-07-11 00:00:00,,,,0.6615,0.6667,0.5885,,,,,,
2000-07-12 00:00:00,,,,0.6198,0.6615,0.6198,,,,,,
2000-07-13 00:00:00,,,,0.6458,0.6667,0.625,,,,,,
