Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,37.836,38.138,37.775,,,,0,4,1
2000-05-02 00:00:00,,,,38.38,38.924,38.319,,,,,,
2000-05-03 00:00:00,,,,38.682,38.803,38.561,,,,,,
2000-05-04 00:00:00,,,,38.682,38.803,38.38,,,,,,
2000-05-05 00:00:00,,,,38.984,39.105,38.682,,,,,,
2000-05-08 00:00:00,,,,38.682,38.984,38.682,,,,,,
2000-05-09 00:00:00,,,,38.984,39.287,38.924,,,,,,
2000-05-10 00:00:00,,,,39.347,39.347,38.682,,,,,,
2000-05-11 00:00:00,,,,39.166,39.166,38.803,,,,,,
2000-05-12 00:00:00,,,,38.863,39.347,38.863,,,,,,
2000-05-15 00:00:00,,,,39.226,39.528,39.166,,,,,,
2000-05-16 00:00:00,,,,39.407,39.528,39.347,,,,,,
2000-05-17 00:00:00,,,,39.347,39.528,39.166,,,,,,
2000-05-18 00:00:00,,,,39.166,39.528,39.166,,,,,,
2000-05-19 00:00:00,,,,39.166,39.166,38.924,,,,,,
2000-05-22 00:00:00,,,,38.924,39.045,38.682,,,,,,
2000-05-23 00:00:00,,,,38.984,39.287,38.743,,,,,,
2000-05-24 00:00:00,,,,38.924,39.166,38.682,,,,,,
2000-05-25 00:00:00,,,,38.984,38.984,38.561,,,,,,
2000-05-26 00:00:00,,,,38.561,38.682,38.561,,,,,,
2000-05-30 00:00:00,,,,38.622,38.622,38.199,,,,,,
2000-05-31 00:00:00,,,,38.44,38.622,38.44,,,,0,4,1
2000-06-01 00:00:00,,,,38.561,38.561,38.319,,,,0,4,1
2000-06-02 00:00:00,,,,38.38,38.622,38.319,,,,,,
2000-06-05 00:00:00,,,,38.622,38.622,38.44,,,,,,
2000-06-06 00:00:00,,,,38.561,38.682,38.501,,,,,,
2000-06-07 00:00:00,,,,38.682,39.105,38.622,,,,,,
2000-06-08 00:00:00,,,,38.984,39.589,38.924,,,,,,
2000-06-09 00:00:00,,,,39.407,39.649,39.407,,,,,,
2000-06-12 00:00:00,,,,39.589,40.012,39.589,,,,,,
2000-06-13 00:00:00,,,,40.012,40.133,39.891,,,,,,
2000-06-14 00:00:00,,,,40.254,41.704,40.193,,,,,,
2000-06-15 00:00:00,,,,40.858,40.918,40.495,,,,0,4,1
2000-06-16 00:00:00,,,,40.677,40.677,39.951,,,,,,
2000-06-19 00:00:00,,,,40.495,40.495,40.072,,,,,,
2000-06-20 00:00:00,,,,40.254,40.556,40.254,,,,,,
2000-06-21 00:00:00,,,,40.374,40.556,40.254,,,,,,
2000-06-22 00:00:00,,,,40.254,40.374,40.133,,,,,,
2000-06-23 00:00:00,,,,40.254,40.254,40.012,,,,,,
2000-06-26 00:00:00,,,,40.072,40.737,40.012,,,,,,
2000-06-27 00:00:00,,,,40.374,40.798,40.193,,,,,,
2000-06-28 00:00:00,,,,40.133,40.556,40.133,,,,,,
2000-06-29 00:00:00,,,,40.556,40.918,40.556,,,,,,
2000-06-30 00:00:00,,,,41.039,41.583,39.891,,,,,,
2000-07-03 00:00:00,,,,40.677,40.677,40.616,,,,,,
2000-07-05 00:00:00,,,,40.798,41.402,40.737,,,,,,
2000-07-06 00:00:00,,,,41.704,42.369,41.523,,,,,,
2000-07-07 00:00:00,,,,41.825,41.825,41.583,,,,,,
2000-07-10 00:00:00,,,,41.704,41.885,41.583,,,,,,
2000-07-11 00:00:00,,,,41.885,42.188,41.825,,,,,,
2000-07-12 00:00:00,,,,41.946,42.006,41.825,,,,,,
2000-07-13 00:00:00,,,,42.127,42.127,41.644,,,,,,
2000-07-14 00:00:00,,,,41.704,42.006,41.644,,,,,,
2000-07-17 00:00:00,,,,41.765,41.946,41.341,,,,,,
2000-07-18 00:00:00,,,,41.644,42.006,41.583,,,,,,
2000-07-19 00:00:00,,,,42.006,42.188,41.946,,,,,,
2000-07-20 00:00:00,,,,42.127,43.517,42.006,,,,0,4,1
2000-07-21 00:00:00,,,,43.396,44.484,43.215,,,,0,5,0
2000-07-24 00:00:00,,,,44.061,44.424,43.82,,,,,,
2000-07-25 00:00:00,,,,44.424,44.424,44.243,,,,,,
2000-07-26 00:00:00,,,,44.122,45.572,44.122,,,,,,
2000-07-27 00:00:00,,,,45.27,46.056,45.089,,,,,,
2000-07-28 00:00:00,,,,45.935,45.935,45.451,,,,,,
2000-07-31 00:00:00,,,,45.693,45.693,45.028,,,,,,
2000-08-01 00:00:00,,,,45.572,46.177,45.391,,,,,,
2000-08-02 00:00:00,,,,46.116,46.419,45.935,,,,,,
2000-08-03 00:00:00,,,,46.298,46.479,45.935,,,,,,
2000-08-04 00:00:00,,,,45.935,46.116,45.331,,,,,,
2000-08-07 00:00:00,,,,45.572,45.693,45.089,,,,,,
2000-08-08 00:00:00,,,,45.149,45.572,44.968,,,,,,
2000-08-09 00:00:00,,,,45.028,45.512,44.968,,,,,,
2000-08-10 00:00:00,,,,45.451,45.572,45.27,,,,,,
2000-08-11 00:00:00,,,,45.21,45.331,45.028,,,,0,5,0
2000-08-14 00:00:00,,,,45.21,45.451,45.089,,,,,,
2000-08-15 00:00:00,,,,45.028,45.149,45.028,,,,,,
2000-08-16 00:00:00,,,,45.028,45.27,45.028,,,,,,
2000-08-17 00:00:00,,,,45.27,45.27,45.089,,,,,,
2000-08-18 00:00:00,,,,45.21,45.27,44.666,,,,,,
2000-08-21 00:00:00,,,,44.968,44.968,44.424,,,,,,
2000-08-22 00:00:00,,,,44.484,44.484,44.303,,,,,,
2000-08-23 00:00:00,,,,44.424,44.424,43.82,,,,,,
2000-08-24 00:00:00,,,,43.88,43.94,43.276,,,,,,
2000-08-25 00:00:00,,,,43.457,43.759,43.155,,,,,,
2000-08-28 00:00:00,,,,43.699,43.759,43.396,,,,,,
2000-08-29 00:00:00,,,,43.276,43.396,42.55,,,,,,
2000-08-30 00:00:00,,,,42.671,43.88,42.611,,,,,,
2000-08-31 00:00:00,,,,43.578,43.578,42.913,,,,,,
2000-09-01 00:00:00,,,,43.215,43.396,43.155,,,,0,5,0
2000-09-05 00:00:00,,,,43.336,43.396,43.094,,,,,,
2000-09-06 00:00:00,,,,43.276,43.94,43.155,,,,,,
2000-09-07 00:00:00,,,,44.001,44.182,43.82,,,,,,
2000-09-08 00:00:00,,,,44.243,44.908,44.243,,,,,,
2000-09-11 00:00:00,,,,44.847,45.27,44.787,,,,,,
2000-09-12 00:00:00,,,,45.089,45.512,45.028,,,,,,
2000-09-13 00:00:00,,,,45.451,45.633,45.451,,,,,,
2000-09-14 00:00:00,,,,45.572,45.572,45.451,,,,,,
2000-09-15 00:00:00,,,,45.451,45.693,45.331,,,,,,
2000-09-18 00:00:00,,,,45.633,46.479,45.451,,,,0,6,0
2000-09-19 00:00:00,,,,45.512,45.935,45.451,,,,,,
2000-09-20 00:00:00,,,,45.693,45.693,45.512,,,,,,
2000-09-21 00:00:00,,,,45.633,45.633,45.512,,,,,,
2000-09-22 00:00:00,,,,45.512,45.693,45.391,,,,,,
2000-09-25 00:00:00,,,,45.572,45.572,45.21,,,,,,
2000-09-26 00:00:00,,,,45.512,45.693,45.512,,,,,,
2000-09-27 00:00:00,,,,45.21,46.419,45.21,,,,,,
2000-09-28 00:00:00,,,,46.237,46.66,46.116,,,,,,
2000-09-29 00:00:00,,,,46.116,46.419,45.995,,,,,,
2000-10-02 00:00:00,,,,46.237,46.237,44.666,,,,,,
2000-10-03 00:00:00,,,,45.028,45.572,45.028,,,,,,
2000-10-04 00:00:00,,,,44.968,45.149,44.061,,,,,,
2000-10-05 00:00:00,,,,44.122,44.605,44.122,,,,,,
2000-10-06 00:00:00,,,,44.303,44.726,44.303,,,,0,7,0
2000-10-09 00:00:00,,,,44.484,44.726,44.303,,,,,,
2000-10-10 00:00:00,,,,44.424,44.545,44.303,,,,,,
2000-10-11 00:00:00,,,,44.484,44.484,44.243,,,,0,7,0
2000-10-12 00:00:00,,,,44.484,44.484,43.396,,,,,,
2000-10-13 00:00:00,,,,43.517,43.517,43.155,,,,,,
2000-10-16 00:00:00,,,,43.517,43.82,42.55,,,,,,
2000-10-17 00:00:00,,,,43.517,43.699,43.396,,,,,,
2000-10-18 00:00:00,,,,43.759,43.759,43.396,,,,,,
2000-10-19 00:00:00,,,,44.122,44.364,43.94,,,,0,7,0
2000-10-20 00:00:00,,,,44.182,44.364,44.001,,,,0,7,0
2000-10-23 00:00:00,,,,44.243,44.364,44.061,,,,,,
2000-10-24 00:00:00,,,,44.122,44.243,43.396,,,,,,
2000-10-25 00:00:00,,,,43.517,43.578,43.155,,,,,,
2000-10-26 00:00:00,,,,43.336,43.94,43.336,,,,,,
2000-10-27 00:00:00,,,,43.88,44.424,43.699,,,,,,
2000-10-30 00:00:00,,,,44.424,44.484,44.061,,,,,,
2000-10-31 00:00:00,,,,44.243,44.424,44.122,,,,,,
2000-11-01 00:00:00,,,,44.424,44.605,44.122,,,,,,
2000-11-02 00:00:00,,,,44.364,44.424,44.001,,,,0,8,0
2000-11-03 00:00:00,,,,44.364,44.364,43.88,,,,0,8,0
2000-11-06 00:00:00,,,,44.303,44.545,44.243,,,,0,9,0
2000-11-07 00:00:00,,,,44.303,44.424,44.243,,,,,,
2000-11-08 00:00:00,,,,44.424,44.424,44.182,,,,,,
2000-11-09 00:00:00,,,,44.182,44.243,43.94,,,,,,
2000-11-10 00:00:00,,,,44.122,44.122,43.578,,,,,,
2000-11-13 00:00:00,,,,43.638,43.94,43.638,,,,,,
2000-11-14 00:00:00,,,,43.759,44.243,43.638,,,,,,
2000-11-15 00:00:00,,,,44.424,44.484,44.364,,,,,,
2000-11-16 00:00:00,,,,44.484,44.666,44.424,,,,,,
2000-11-17 00:00:00,,,,44.484,44.666,44.484,,,,,,
2000-11-20 00:00:00,,,,44.908,44.908,44.364,,,,,,
2000-11-21 00:00:00,,,,44.484,44.666,44.243,,,,,,
2000-11-22 00:00:00,,,,44.484,44.484,44.061,,,,,,
2000-11-24 00:00:00,,,,44.182,44.182,43.88,,,,,,
2000-11-27 00:00:00,,,,44.001,44.243,43.638,,,,,,
2000-11-28 00:00:00,,,,44.001,44.182,43.94,,,,,,
2000-11-29 00:00:00,,,,44.122,44.243,44.001,,,,,,
2000-11-30 00:00:00,,,,44.182,45.331,44.182,,,,,,
2000-12-01 00:00:00,,,,45.149,45.331,45.028,,,,0,10,0
2000-12-04 00:00:00,,,,45.149,45.391,45.028,,,,,,
2000-12-05 00:00:00,,,,45.391,46.358,45.391,,,,,,
2000-12-06 00:00:00,,,,46.358,46.358,46.177,,,,,,
2000-12-07 00:00:00,,,,46.237,46.66,46.116,,,,,,
2000-12-08 00:00:00,,,,46.539,46.721,46.419,,,,,,
2000-12-11 00:00:00,,,,46.781,47.204,46.66,,,,,,
2000-12-12 00:00:00,,,,47.265,47.386,46.962,,,,,,
2000-12-13 00:00:00,,,,46.902,46.962,46.6,,,,0,11,0
2000-12-14 00:00:00,,,,46.962,47.627,46.962,,,,0,11,0
2000-12-15 00:00:00,,,,47.325,47.809,47.083,,,,0,11,0
2000-12-18 00:00:00,,,,47.627,48.655,47.506,,,,,,
2000-12-19 00:00:00,,,,48.413,48.594,48.292,,,,,,
2000-12-20 00:00:00,,,,48.413,48.413,47.93,,,,,,
2000-12-21 00:00:00,,,,47.93,47.99,47.386,,,,,,
2000-12-22 00:00:00,,,,47.567,47.567,45.814,,,,,,
2000-12-26 00:00:00,,,,46.116,46.66,46.116,,,,,,
2000-12-27 00:00:00,,,,46.116,47.627,46.056,,,,,,
2000-12-28 00:00:00,,,,47.627,48.353,47.386,,,,,,
2000-12-29 00:00:00,,,,48.292,48.957,48.171,,,,,,
