Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,65.125,67.5625,65.125,,,,0,4,1
2000-05-02 00:00:00,,,,66.0625,67.3125,65.4375,,,,,,
2000-05-03 00:00:00,,,,65.5625,66.75,65.4375,,,,,,
2000-05-04 00:00:00,,,,65.6875,67.625,64.6875,,,,,,
2000-05-05 00:00:00,,,,66.6875,67.6875,65.75,,,,,,
2000-05-08 00:00:00,,,,67.25,68.5625,65.875,,,,,,
2000-05-09 00:00:00,,,,66.1875,67,65.4375,,,,,,
2000-05-10 00:00:00,,,,64,66.625,63.875,,,,,,
2000-05-11 00:00:00,,,,65.875,67.5,65.3125,,,,,,
2000-05-12 00:00:00,,,,67.3125,67.3125,64.3125,,,,,,
2000-05-15 00:00:00,,,,66.25,68.125,65.8125,,,,,,
2000-05-16 00:00:00,,,,66.4375,67.3125,65,,,,,,
2000-05-17 00:00:00,,,,66.25,66.8125,65.4375,,,,,,
2000-05-18 00:00:00,,,,65.625,66,64,,,,,,
2000-05-19 00:00:00,,,,64,64.5,63.625,,,,0,4,1
2000-05-22 00:00:00,,,,64,64.25,62.75,,,,,,
2000-05-23 00:00:00,,,,63.0625,63.1875,61.5,,,,,,
2000-05-24 00:00:00,,,,62.8125,65.1875,62.8125,,,,,,
2000-05-25 00:00:00,,,,64.6875,64.6875,60,,,,,,
2000-05-26 00:00:00,,,,61.8125,63.0625,61.5625,,,,,,
2000-05-30 00:00:00,,,,62.6875,65,61.75,,,,,,
2000-05-31 00:00:00,,,,63.5625,63.5625,61,,,,0,4,1
2000-06-01 00:00:00,,,,62.625,63.0625,60.75,,,,0,4,1
2000-06-02 00:00:00,,,,63.4375,64.5,63.4375,,,,,,
2000-06-05 00:00:00,,,,63.5625,63.875,62.6875,,,,,,
2000-06-06 00:00:00,,,,63.625,64.1875,62.3125,,,,,,
2000-06-07 00:00:00,,,,63.3125,64.4375,63.1875,,,,,,
2000-06-08 00:00:00,,,,63.3125,63.3125,62.0625,,,,,,
2000-06-09 00:00:00,,,,63,63.5625,62,,,,,,
2000-06-12 00:00:00,,,,63.25,64.375,62.5625,,,,,,
2000-06-13 00:00:00,,,,63.0625,63.6875,63,,,,,,
2000-06-14 00:00:00,,,,63.375,66.5625,63.375,,,,,,
2000-06-15 00:00:00,,,,65,65.875,63.5625,,,,,,
2000-06-16 00:00:00,,,,64,66.9375,64,,,,,,
2000-06-19 00:00:00,,,,66.875,67.9375,66.875,,,,,,
2000-06-20 00:00:00,,,,67.25,67.25,65.1875,,,,,,
2000-06-21 00:00:00,,,,65.8125,66.375,64.5,,,,,,
2000-06-22 00:00:00,,,,66.0625,66.4375,65.3125,,,,,,
2000-06-23 00:00:00,,,,65.9375,66.4375,65.3125,,,,,,
2000-06-26 00:00:00,,,,66.5625,67.9375,65.875,,,,,,
2000-06-27 00:00:00,,,,66.625,70.5625,66.5625,,,,,,
2000-06-28 00:00:00,,,,69.9375,69.9375,66.8125,,,,,,
2000-06-29 00:00:00,,,,67.75,68,66.25,,,,,,
2000-06-30 00:00:00,,,,67.125,67.75,66.125,,,,0,4,1
2000-07-03 00:00:00,,,,66.625,69.125,66.625,,,,,,
2000-07-05 00:00:00,,,,70.25,70.625,68.125,,,,,,
2000-07-06 00:00:00,,,,68.4375,68.4375,66.75,,,,,,
2000-07-07 00:00:00,,,,66.9375,67.0625,63.5,,,,,,
2000-07-10 00:00:00,,,,65,65.25,63.875,,,,,,
2000-07-11 00:00:00,,,,64.3125,65.125,63.5,,,,,,
2000-07-12 00:00:00,,,,65,65,63,,,,,,
2000-07-13 00:00:00,,,,65.0625,67.9375,64.75,,,,,,
2000-07-14 00:00:00,,,,67.875,68.25,63.5,,,,,,
2000-07-17 00:00:00,,,,64.75,64.8125,63.0625,,,,,,
2000-07-18 00:00:00,,,,63.9375,64.375,62.375,,,,,,
2000-07-19 00:00:00,,,,64.25,65,63.75,,,,,,
2000-07-20 00:00:00,,,,64.5,65,62.875,,,,,,
2000-07-21 00:00:00,,,,64.625,65.5,64.5625,,,,,,
2000-07-24 00:00:00,,,,65.0625,65.25,63.5,,,,,,
2000-07-25 00:00:00,,,,64.75,64.875,61.375,,,,,,
2000-07-26 00:00:00,,,,60,60,53,,,,0,4,1
2000-07-27 00:00:00,,,,53.625,54.5,51,,,,0,4,1
2000-07-28 00:00:00,,,,54.625,56,54.625,,,,,,
2000-07-31 00:00:00,,,,55.4375,55.9375,54,,,,,,
2000-08-01 00:00:00,,,,54.125,55.125,53.9375,,,,,,
2000-08-02 00:00:00,,,,54.6875,56.25,54.5625,,,,0,4,1
2000-08-03 00:00:00,,,,55,55.4375,53,,,,,,
2000-08-04 00:00:00,,,,54.0625,54.375,53,,,,,,
2000-08-07 00:00:00,,,,54.6875,57,54.6875,,,,,,
