Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,10.408,10.408,10.191,,,,,,
2001-11-29 00:00:00,,,,10.283,10.283,10.158,,,,,,
2001-11-30 00:00:00,,,,10.117,11.365,9.992,,,,,,
2001-12-03 00:00:00,,,,11.324,11.49,11.241,,,,,,
2001-12-04 00:00:00,,,,11.407,11.524000000000001,11.324,,,,,,
2001-12-05 00:00:00,,,,11.449,11.823,11.449,,,,,,
2001-12-06 00:00:00,,,,11.615,11.823,11.407,,,,,,
2001-12-07 00:00:00,,,,11.557,11.557,11.157,,,,,,
2001-12-10 00:00:00,,,,10.908,10.908,9.326,,,,,,
2001-12-11 00:00:00,,,,9.409,10.475,9.409,,,,,,
2001-12-12 00:00:00,,,,10.391,10.699,9.95,,,,,,
2001-12-13 00:00:00,,,,10.075,10.325,9.783,,,,,,
2001-12-14 00:00:00,,,,9.908,10.058,9.792,,,,,,
2001-12-17 00:00:00,,,,9.7,10.075,8.992,,,,,,
2001-12-18 00:00:00,,,,9.076,9.575,8.909,,,,,,
2001-12-19 00:00:00,,,,9.292,10.075,9.201,,,,,,
2001-12-20 00:00:00,,,,9.992,9.992,9.45,,,,0,0,1
2001-12-21 00:00:00,,,,9.326,9.95,9.284,,,,,,
2001-12-24 00:00:00,,,,10.283,10.783,10.075,,,,,,
2001-12-26 00:00:00,,,,10.899000000000001,10.991,9.958,,,,,,
2001-12-27 00:00:00,,,,10.574,10.783,10.574,,,,,,
2001-12-28 00:00:00,,,,10.749,10.749,9.908,,,,,,
2001-12-31 00:00:00,,,,9.992,10.325,9.992,,,,,,
2002-01-02 00:00:00,,,,10.033,11.657,10,,,,,,
2002-01-03 00:00:00,,,,11.449,12.281,11.449,,,,,,
2002-01-04 00:00:00,,,,12.281,12.398,11.748,,,,,,
2002-01-07 00:00:00,,,,12.248,12.248,11.674,,,,,,
2002-01-08 00:00:00,,,,11.823,11.823,11.532,,,,,,
2002-01-09 00:00:00,,,,11.782,11.948,11.49,,,,,,
2002-01-10 00:00:00,,,,11.407,11.699,10.991,,,,,,
2002-01-11 00:00:00,,,,11.341,11.44,11.241,,,,,,
2002-01-14 00:00:00,,,,11.057,12.198,10.991,,,,,,
2002-01-15 00:00:00,,,,11.99,12.09,11.557,,,,,,
2002-01-16 00:00:00,,,,11.649000000000001,11.657,10.658,,,,,,
2002-01-17 00:00:00,,,,10.574,11.44,10.574,,,,,,
2002-01-18 00:00:00,,,,11.274000000000001,11.365,10.908,,,,,,
2002-01-22 00:00:00,,,,11.199,11.69,11.199,,,,,,
2002-01-23 00:00:00,,,,11.507,11.59,11.074,,,,,,
2002-01-24 00:00:00,,,,11.507,11.507,11.241,,,,,,
2002-01-25 00:00:00,,,,11.157,11.332,10.824,,,,,,
2002-01-28 00:00:00,,,,11.407,11.59,11.374,,,,,,
2002-01-29 00:00:00,,,,11.449,11.449,10.841,,,,,,
2002-01-30 00:00:00,,,,10.949,10.974,10.674,,,,,,
2002-01-31 00:00:00,,,,10.824,10.866,10.408,,,,,,
2002-02-01 00:00:00,,,,10.866,10.866,10.608,,,,,,
2002-02-04 00:00:00,,,,10.658,11.649000000000001,10.566,,,,,,
