Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,22.875,23.125,22.5,,,,0,4,0
2000-05-02 00:00:00,,,,23,23.5,22.375,,,,,,
2000-05-03 00:00:00,,,,22.25,22.25,21.75,,,,,,
2000-05-04 00:00:00,,,,21.938,22.375,21.875,,,,,,
2000-05-05 00:00:00,,,,21.938,22.25,21.875,,,,,,
2000-05-08 00:00:00,,,,22,22.688,22,,,,,,
2000-05-09 00:00:00,,,,23.125,23.125,22.813,,,,,,
2000-05-10 00:00:00,,,,22.938,23,22.375,,,,,,
2000-05-11 00:00:00,,,,22.875,24.25,22.813,,,,,,
2000-05-12 00:00:00,,,,23.938,24.188,23.563,,,,,,
2000-05-15 00:00:00,,,,26,27.125,25.563,,,,0,5,0
2000-05-16 00:00:00,,,,27,27.313,25.938,,,,0,5,0
2000-05-17 00:00:00,,,,26.25,26.375,25.688,,,,,,
2000-05-18 00:00:00,,,,25.75,27.125,25.75,,,,,,
2000-05-19 00:00:00,,,,26.563,27.375,26.563,,,,,,
2000-05-22 00:00:00,,,,27,27.938,26.563,,,,0,5,0
2000-05-23 00:00:00,,,,27.75,27.75,27.313,,,,0,5,0
2000-05-24 00:00:00,,,,27.25,27.5,25.75,,,,,,
2000-05-25 00:00:00,,,,27.625,27.75,26.75,,,,,,
2000-05-26 00:00:00,,,,27.188,27.438,26.813,,,,0,5,0
2000-05-30 00:00:00,,,,27.188,28.063,27.188,,,,,,
2000-05-31 00:00:00,,,,27.938,28.5,27.875,,,,0,5,0
2000-06-01 00:00:00,,,,27.813,28.25,27.5,,,,,,
2000-06-02 00:00:00,,,,28.375,29.688,28.375,,,,,,
2000-06-05 00:00:00,,,,29,29,28.313,,,,,,
2000-06-06 00:00:00,,,,28.813,28.813,28,,,,,,
2000-06-07 00:00:00,,,,28.063,28.875,27.313,,,,,,
2000-06-08 00:00:00,,,,28.125,28.313,27.375,,,,,,
2000-06-09 00:00:00,,,,27.75,28.438,27.625,,,,,,
2000-06-12 00:00:00,,,,28.063,28.313,28,,,,,,
2000-06-13 00:00:00,,,,28.063,29,28,,,,,,
2000-06-14 00:00:00,,,,28.875,29.063,28.75,,,,,,
2000-06-15 00:00:00,,,,28.875,29.188,28.875,,,,,,
2000-06-16 00:00:00,,,,28.25,28.5,26.5,,,,,,
