Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,18.2813,18.3125,17.7188,,,,0,14,0
2000-05-02 00:00:00,,,,17.875,18.25,17.5,,,,,,
2000-05-03 00:00:00,,,,17.5625,17.6875,16.0313,,,,,,
2000-05-04 00:00:00,,,,16.6563,17.8125,16.375,,,,,,
2000-05-05 00:00:00,,,,17,18.0625,16.9375,,,,0,14,0
2000-05-08 00:00:00,,,,17.4688,17.8125,16.6875,,,,,,
2000-05-09 00:00:00,,,,16.9922,17.7188,16.4375,,,,,,
2000-05-10 00:00:00,,,,17.4688,19.625,17.4375,,,,,,
2000-05-11 00:00:00,,,,19.0547,20.0625,18.6875,,,,,,
2000-05-12 00:00:00,,,,19.9375,19.9375,18.5313,,,,0,14,0
2000-05-15 00:00:00,,,,19.3125,20.25,18.625,,,,,,
2000-05-16 00:00:00,,,,20.5625,20.875,19.25,,,,,,
2000-05-17 00:00:00,,,,19.4688,19.5,18.375,,,,,,
2000-05-18 00:00:00,,,,18.7188,19.125,18.3125,,,,,,
2000-05-19 00:00:00,,,,18.125,18.5,17.5,,,,0,14,0
2000-05-22 00:00:00,,,,17.8438,18.75,17.25,,,,,,
2000-05-23 00:00:00,,,,18.8438,19,18.125,,,,,,
2000-05-24 00:00:00,,,,18.0625,18.0625,15.9688,,,,0,14,0
2000-05-25 00:00:00,,,,17,17.75,16.75,,,,,,
2000-05-26 00:00:00,,,,17.125,18.25,16.8438,,,,0,14,0
2000-05-30 00:00:00,,,,17.25,18.3125,17.0625,,,,,,
2000-05-31 00:00:00,,,,18,18.8125,17.875,,,,0,14,0
2000-06-01 00:00:00,,,,18.2813,18.7188,17.875,,,,,,
2000-06-02 00:00:00,,,,18.75,20.0469,18.6875,,,,,,
2000-06-05 00:00:00,,,,19.9063,20,18.75,,,,,,
2000-06-06 00:00:00,,,,18.7188,18.7813,17.4375,,,,,,
2000-06-07 00:00:00,,,,17.8594,17.875,16.9375,,,,,,
2000-06-08 00:00:00,,,,17.3594,17.4063,16.4375,,,,,,
2000-06-09 00:00:00,,,,17.0625,17.1875,16.8125,,,,0,14,0
2000-06-12 00:00:00,,,,17,17.0313,15.8125,,,,,,
2000-06-13 00:00:00,,,,15.9688,17.2813,15.9375,,,,,,
2000-06-14 00:00:00,,,,17.375,17.5,16.5,,,,0,14,0
2000-06-15 00:00:00,,,,16.75,17.5,16.5,,,,0,14,0
2000-06-16 00:00:00,,,,18.3125,18.3438,17.5,,,,0,14,0
2000-06-19 00:00:00,,,,17.375,17.625,16.875,,,,,,
2000-06-20 00:00:00,,,,17.0625,17.5,16.5938,,,,,,
2000-06-21 00:00:00,,,,17.4688,18.25,17.4375,,,,0,14,0
2000-06-22 00:00:00,,,,16.7188,17.1875,16.2813,,,,0,14,0
2000-06-23 00:00:00,,,,16.5313,16.6875,16.25,,,,,,
2000-06-26 00:00:00,,,,16.4688,17.0625,16.4063,,,,,,
2000-06-27 00:00:00,,,,16.5313,17.8438,16.2813,,,,0,14,0
2000-06-28 00:00:00,,,,17.8906,18.1875,17.5313,,,,,,
2000-06-29 00:00:00,,,,17.9063,17.9063,17,,,,,,
2000-06-30 00:00:00,,,,17.125,18.5,17.125,,,,0,14,0
2000-07-03 00:00:00,,,,18.1563,18.1563,17.625,,,,,,
2000-07-05 00:00:00,,,,17.9922,18.0313,17,,,,0,14,0
2000-07-06 00:00:00,,,,17.125,18.6875,17.0625,,,,,,
2000-07-07 00:00:00,,,,18.4688,19.6875,18.375,,,,,,
2000-07-10 00:00:00,,,,19.25,20.4375,19.25,,,,,,
2000-07-11 00:00:00,,,,20,20.4688,19.375,,,,,,
2000-07-12 00:00:00,,,,19.75,20.6875,19.5625,,,,,,
2000-07-13 00:00:00,,,,19.6719,20,19.4063,,,,,,
2000-07-14 00:00:00,,,,20.1719,20.25,19.75,,,,,,
2000-07-17 00:00:00,,,,19.9063,19.9063,19.1563,,,,,,
2000-07-18 00:00:00,,,,19.1719,19.875,19,,,,,,
2000-07-19 00:00:00,,,,19.8438,19.875,19.375,,,,,,
2000-07-20 00:00:00,,,,19.5625,19.9375,19.5,,,,,,
2000-07-21 00:00:00,,,,19.7656,20.0313,19.3125,,,,0,14,0
2000-07-24 00:00:00,,,,19.9063,19.9219,18.4375,,,,,,
2000-07-25 00:00:00,,,,18.5,18.8125,18.1875,,,,,,
