Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,35.5556,38.0278,35.5278,,,,0,5,1
2000-05-02 00:00:00,,,,37.3056,37.3056,36.2222,,,,0,5,1
2000-05-03 00:00:00,,,,35.6667,35.8333,33.5833,,,,,,
2000-05-04 00:00:00,,,,35.7778,36.0833,32.75,,,,,,
2000-05-05 00:00:00,,,,33.3333,33.8889,32.3333,,,,,,
2000-05-08 00:00:00,,,,32.6389,32.6389,30.8611,,,,,,
2000-05-09 00:00:00,,,,31,31.3333,29.0556,,,,0,5,1
2000-05-10 00:00:00,,,,30,31.3333,29.9722,,,,,,
2000-05-11 00:00:00,,,,32.1111,32.6667,31.4722,,,,,,
2000-05-12 00:00:00,,,,32.4167,32.7778,31.4167,,,,,,
2000-05-15 00:00:00,,,,31.7778,33.4444,31.7222,,,,,,
2000-05-16 00:00:00,,,,34.4444,35.5556,34.3611,,,,,,
2000-05-17 00:00:00,,,,33.4167,34.0556,32.5833,,,,,,
2000-05-18 00:00:00,,,,34.2778,34.8611,33.75,,,,,,
2000-05-19 00:00:00,,,,33.1111,33.5556,32.5278,,,,,,
2000-05-22 00:00:00,,,,33.0833,33.0833,31.3056,,,,,,
2000-05-23 00:00:00,,,,32,33.0556,31.8333,,,,,,
2000-05-24 00:00:00,,,,31.7778,31.7778,28.4444,,,,,,
2000-05-25 00:00:00,,,,30.5278,31.1111,30.1111,,,,,,
2000-05-26 00:00:00,,,,30,30.4444,27.5556,,,,,,
2000-05-30 00:00:00,,,,28.2778,30,28.2778,,,,,,
2000-05-31 00:00:00,,,,29.3611,29.75,27.75,,,,0,5,1
2000-06-01 00:00:00,,,,30.0556,31.4167,29.6389,,,,0,5,1
2000-06-02 00:00:00,,,,33.2778,33.4167,32.7778,,,,0,5,1
2000-06-05 00:00:00,,,,33.1111,33.1111,31.9167,,,,,,
2000-06-06 00:00:00,,,,29.8333,30.3889,29.0278,,,,,,
2000-06-07 00:00:00,,,,29.5833,29.75,27.2222,,,,,,
2000-06-08 00:00:00,,,,27.8056,28.75,27.7778,,,,,,
2000-06-09 00:00:00,,,,28.7222,28.8333,27.6111,,,,,,
2000-06-12 00:00:00,,,,27.5,27.5,25.8889,,,,,,
2000-06-13 00:00:00,,,,26.2222,28.3611,25.5556,,,,,,
2000-06-14 00:00:00,,,,28.1667,30.3056,28.1111,,,,0,5,1
2000-06-15 00:00:00,,,,29.7778,30.5833,29.3611,,,,,,
2000-06-16 00:00:00,,,,30.3333,31.0278,30.1389,,,,,,
2000-06-19 00:00:00,,,,30.7778,30.7778,28.0556,,,,,,
2000-06-20 00:00:00,,,,28.5,29.1667,27.8056,,,,0,5,1
2000-06-21 00:00:00,,,,28.6667,28.9722,28.1111,,,,,,
2000-06-22 00:00:00,,,,28.7222,29.5278,28.3333,,,,,,
2000-06-23 00:00:00,,,,28.8611,28.9167,27.9444,,,,,,
2000-06-26 00:00:00,,,,27.7778,28.2778,26.4722,,,,,,
2000-06-27 00:00:00,,,,26.7778,27.25,26.1111,,,,,,
