Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,21.375,22,21.2188,,,,0,1,1
2000-05-02 00:00:00,,,,21.5,21.7188,21.2188,,,,,,
2000-05-03 00:00:00,,,,21.3438,21.3438,20.7188,,,,,,
2000-05-04 00:00:00,,,,20.5625,21.4375,20.5625,,,,,,
2000-05-05 00:00:00,,,,21.25,21.6875,21.25,,,,,,
2000-05-08 00:00:00,,,,21.375,21.4375,21.125,,,,,,
2000-05-09 00:00:00,,,,21.3125,21.8438,21.3125,,,,,,
2000-05-10 00:00:00,,,,21.7813,22.8438,21.625,,,,,,
2000-05-11 00:00:00,,,,22.5,22.9375,22.375,,,,,,
2000-05-12 00:00:00,,,,22.8125,22.8125,21.8438,,,,,,
2000-05-15 00:00:00,,,,22.2188,22.5,22,,,,,,
2000-05-16 00:00:00,,,,22.2813,22.2813,21.9375,,,,,,
2000-05-17 00:00:00,,,,22,22.3125,21.7188,,,,,,
2000-05-18 00:00:00,,,,22,22.6875,22,,,,,,
2000-05-19 00:00:00,,,,22.4375,22.5,21.9375,,,,,,
2000-05-22 00:00:00,,,,22.125,22.5625,22.0313,,,,,,
2000-05-23 00:00:00,,,,22.5,22.875,22.4063,,,,,,
2000-05-24 00:00:00,,,,22.6875,23.625,22.6875,,,,,,
2000-05-25 00:00:00,,,,23.4688,23.4688,22.5938,,,,,,
2000-05-26 00:00:00,,,,22.75,23.5,22.375,,,,,,
2000-05-30 00:00:00,,,,22.5,23.25,22.5,,,,,,
2000-05-31 00:00:00,,,,23.3125,23.3125,22.625,,,,,,
2000-06-01 00:00:00,,,,22.8125,23.125,22.6875,,,,0,1,2
2000-06-02 00:00:00,,,,22.8125,22.8125,21.6875,,,,0,1,2
2000-06-05 00:00:00,,,,21.6875,22.4688,21.4063,,,,,,
2000-06-06 00:00:00,,,,22.125,22.1875,21.75,,,,,,
2000-06-07 00:00:00,,,,21.875,22.0625,21.0938,,,,,,
2000-06-08 00:00:00,,,,21.1563,21.7188,21.1563,,,,,,
2000-06-09 00:00:00,,,,21.4063,22.375,21.4063,,,,,,
2000-06-12 00:00:00,,,,22.0625,22.25,21.75,,,,,,
2000-06-13 00:00:00,,,,22,22.8125,22,,,,,,
2000-06-14 00:00:00,,,,22.4375,23.9688,22.4375,,,,,,
2000-06-15 00:00:00,,,,23.9375,23.9375,23.4063,,,,,,
2000-06-16 00:00:00,,,,23.4375,23.5938,23.3438,,,,,,
2000-06-19 00:00:00,,,,23.5,23.5938,23.375,,,,,,
2000-06-20 00:00:00,,,,23.375,24.1875,23.375,,,,,,
2000-06-21 00:00:00,,,,24.0938,24.5938,23.8438,,,,0,2,2
2000-06-22 00:00:00,,,,24,24.4688,23.75,,,,,,
2000-06-23 00:00:00,,,,24.25,24.625,23.9063,,,,,,
2000-06-26 00:00:00,,,,24,24.8125,24,,,,,,
2000-06-27 00:00:00,,,,24.4375,25.875,24.4375,,,,,,
2000-06-28 00:00:00,,,,25.5,26,25.2188,,,,,,
2000-06-29 00:00:00,,,,25,25,23.875,,,,,,
2000-06-30 00:00:00,,,,24.1875,24.625,23.7188,,,,,,
2000-07-03 00:00:00,,,,24.5,24.5313,24.0313,,,,,,
2000-07-05 00:00:00,,,,24.25,24.625,24,,,,,,
2000-07-06 00:00:00,,,,24.5,24.5,24.2188,,,,,,
2000-07-07 00:00:00,,,,24.3438,25.125,24.2813,,,,0,2,2
2000-07-10 00:00:00,,,,25.0625,25.4688,25.0625,,,,,,
2000-07-11 00:00:00,,,,25.3125,25.5625,25.125,,,,,,
2000-07-12 00:00:00,,,,25.4063,25.875,25.3438,,,,,,
2000-07-13 00:00:00,,,,25.6875,25.9375,25.125,,,,,,
2000-07-14 00:00:00,,,,25.2188,25.2188,24.5625,,,,,,
2000-07-17 00:00:00,,,,24.7813,25.2188,24.7813,,,,,,
2000-07-18 00:00:00,,,,24.9375,24.9375,24,,,,,,
2000-07-19 00:00:00,,,,24.625,24.8125,24.3125,,,,0,2,2
2000-07-20 00:00:00,,,,24.3125,24.6563,23.7813,,,,,,
2000-07-21 00:00:00,,,,24.125,24.1875,23.8125,,,,,,
2000-07-24 00:00:00,,,,24,24.6563,24,,,,,,
2000-07-25 00:00:00,,,,24.4063,24.4688,24.0313,,,,,,
2000-07-26 00:00:00,,,,24.125,25.25,24.125,,,,,,
2000-07-27 00:00:00,,,,24.8125,25.3438,24.8125,,,,,,
2000-07-28 00:00:00,,,,25.4375,25.5625,25.125,,,,,,
2000-07-31 00:00:00,,,,25.1875,25.1875,24.9688,,,,,,
2000-08-01 00:00:00,,,,25.0625,25.625,25.0313,,,,,,
2000-08-02 00:00:00,,,,25.4688,25.7813,25.375,,,,,,
2000-08-03 00:00:00,,,,25.375,25.5938,25.0625,,,,,,
2000-08-04 00:00:00,,,,25.5,25.5,25.0313,,,,,,
2000-08-07 00:00:00,,,,25.25,25.375,25.1563,,,,,,
2000-08-08 00:00:00,,,,25.25,25.4688,24.8438,,,,,,
2000-08-09 00:00:00,,,,25,25,24.1875,,,,,,
2000-08-10 00:00:00,,,,24.5,26.3125,24.375,,,,,,
2000-08-11 00:00:00,,,,26.3125,26.5625,25.375,,,,,,
2000-08-14 00:00:00,,,,25.7188,26,25.5313,,,,,,
2000-08-15 00:00:00,,,,25.9688,25.9688,25.3125,,,,,,
2000-08-16 00:00:00,,,,25.5,25.7188,25.4688,,,,,,
2000-08-17 00:00:00,,,,25.625,25.8125,25.25,,,,,,
2000-08-18 00:00:00,,,,25.4375,25.4688,24.6875,,,,,,
2000-08-21 00:00:00,,,,24.7813,25.4063,24.7813,,,,,,
2000-08-22 00:00:00,,,,25.25,25.4063,25,,,,,,
2000-08-23 00:00:00,,,,25.0625,25.3125,24.8125,,,,,,
2000-08-24 00:00:00,,,,24.875,25.0938,24.8125,,,,,,
2000-08-25 00:00:00,,,,24.9688,24.9688,24.3438,,,,,,
2000-08-28 00:00:00,,,,24.0625,24.9063,24,,,,,,
2000-08-29 00:00:00,,,,24.5625,24.5625,24.125,,,,,,
2000-08-30 00:00:00,,,,24.1875,24.5625,24.0938,,,,,,
2000-08-31 00:00:00,,,,24.4375,24.9688,24.4063,,,,0,2,2
2000-09-01 00:00:00,,,,24.2813,24.5938,24.0938,,,,,,
2000-09-05 00:00:00,,,,24.0938,24.0938,23.375,,,,,,
2000-09-06 00:00:00,,,,23.4063,23.4375,22.5,,,,,,
2000-09-07 00:00:00,,,,22.75,22.75,21.6563,,,,,,
2000-09-08 00:00:00,,,,22.625,22.75,21,,,,,,
2000-09-11 00:00:00,,,,21.4375,22.3438,21.2813,,,,,,
2000-09-12 00:00:00,,,,22.1563,22.9063,22.1563,,,,,,
2000-09-13 00:00:00,,,,22.375,22.375,22.0313,,,,,,
2000-09-14 00:00:00,,,,22.1563,22.1875,21.8125,,,,,,
2000-09-15 00:00:00,,,,22.0938,22.1563,21.5625,,,,,,
2000-09-18 00:00:00,,,,21.7813,22.3438,21.7813,,,,,,
2000-09-19 00:00:00,,,,21.9375,21.9375,21.2188,,,,,,
2000-09-20 00:00:00,,,,21,21.25,21,,,,,,
2000-09-21 00:00:00,,,,21.0938,21.625,21.0938,,,,,,
2000-09-22 00:00:00,,,,21.4688,21.9375,21.25,,,,,,
2000-09-25 00:00:00,,,,21.5,21.6563,21.1875,,,,,,
2000-09-26 00:00:00,,,,21.2813,21.2813,20.7813,,,,,,
2000-09-27 00:00:00,,,,21.0938,21.0938,20.0938,,,,,,
2000-09-28 00:00:00,,,,20.125,21.125,20.125,,,,,,
2000-09-29 00:00:00,,,,21.0938,21.4688,20.7813,,,,,,
2000-10-02 00:00:00,,,,21.0625,21.125,20.5,,,,0,2,2
2000-10-03 00:00:00,,,,21,21,20.5625,,,,,,
2000-10-04 00:00:00,,,,20.5,20.5625,20.2188,,,,,,
2000-10-05 00:00:00,,,,20.3438,21.0625,20.3438,,,,,,
2000-10-06 00:00:00,,,,20.8438,21.0625,20.6875,,,,,,
2000-10-09 00:00:00,,,,20.9375,20.9375,20.5625,,,,,,
2000-10-10 00:00:00,,,,20.75,21.125,20.5625,,,,0,2,2
2000-10-11 00:00:00,,,,21.0313,21.25,20.7188,,,,,,
2000-10-12 00:00:00,,,,21.2188,21.3438,20.8438,,,,0,2,2
2000-10-13 00:00:00,,,,21,21.25,20.7188,,,,,,
2000-10-16 00:00:00,,,,20.5625,21.25,20.5,,,,,,
2000-10-17 00:00:00,,,,21.0625,21.0625,20.5625,,,,,,
2000-10-18 00:00:00,,,,20.7188,21.25,20.5625,,,,0,2,2
2000-10-19 00:00:00,,,,21.375,21.375,20.0938,,,,,,
2000-10-20 00:00:00,,,,20.5,20.7813,20.5,,,,,,
2000-10-23 00:00:00,,,,20.5938,20.6875,20.5313,,,,,,
2000-10-24 00:00:00,,,,20.5,20.8125,20.4688,,,,,,
2000-10-25 00:00:00,,,,20.875,21.0938,20.5,,,,,,
2000-10-26 00:00:00,,,,20.9375,21.125,20.8125,,,,,,
2000-10-27 00:00:00,,,,20.8438,20.9063,20.5313,,,,,,
2000-10-30 00:00:00,,,,20.875,21.125,20.875,,,,,,
2000-10-31 00:00:00,,,,20.9688,21.1563,20.8125,,,,,,
2000-11-01 00:00:00,,,,21,21.375,21,,,,,,
2000-11-02 00:00:00,,,,21.1875,21.6563,21.0313,,,,0,2,2
2000-11-03 00:00:00,,,,21.625,21.8125,21.4375,,,,,,
2000-11-06 00:00:00,,,,21.6875,22.3125,21.6875,,,,0,2,3
2000-11-07 00:00:00,,,,21.875,22.125,21.8125,,,,,,
2000-11-08 00:00:00,,,,22.0938,22.5938,22.0938,,,,,,
2000-11-09 00:00:00,,,,22.5,22.7813,22.4375,,,,0,2,3
2000-11-10 00:00:00,,,,22.5938,22.9688,22.4375,,,,,,
2000-11-13 00:00:00,,,,22.4375,22.6563,22.2188,,,,,,
2000-11-14 00:00:00,,,,22.75,22.75,22.2813,,,,,,
2000-11-15 00:00:00,,,,22.4063,22.625,22.3125,,,,,,
2000-11-16 00:00:00,,,,22.5625,23.1875,22.5625,,,,,,
2000-11-17 00:00:00,,,,23.125,23.6875,23.0938,,,,,,
2000-11-20 00:00:00,,,,23.4063,23.6563,23.375,,,,,,
2000-11-21 00:00:00,,,,23.7813,23.9688,23.5938,,,,,,
2000-11-22 00:00:00,,,,23.875,23.875,23.5,,,,,,
2000-11-24 00:00:00,,,,23.6875,23.7188,23.4688,,,,,,
2000-11-27 00:00:00,,,,23.5313,23.9688,23.4063,,,,,,
2000-11-28 00:00:00,,,,23.5625,23.7813,23.4375,,,,,,
2000-11-29 00:00:00,,,,23.6563,24.25,23.6563,,,,,,
2000-11-30 00:00:00,,,,24.25,25,24.1875,,,,,,
2000-12-01 00:00:00,,,,24.4688,24.5938,23.9375,,,,,,
2000-12-04 00:00:00,,,,24.0938,24.4688,23.9375,,,,0,2,3
2000-12-05 00:00:00,,,,24.5625,24.7813,24.375,,,,,,
2000-12-06 00:00:00,,,,24.4688,24.5313,23.9375,,,,,,
2000-12-07 00:00:00,,,,23.7813,24.3125,23.7813,,,,,,
2000-12-08 00:00:00,,,,24.125,24.7188,24.0625,,,,,,
2000-12-11 00:00:00,,,,24.5,24.7813,24.375,,,,,,
2000-12-12 00:00:00,,,,24.4688,24.9688,24.4375,,,,,,
2000-12-13 00:00:00,,,,24.5313,25.0313,24.125,,,,,,
2000-12-14 00:00:00,,,,24.8438,24.875,24.5625,,,,,,
2000-12-15 00:00:00,,,,24.4375,24.4688,24.1875,,,,,,
2000-12-18 00:00:00,,,,24.3438,24.4375,24.0625,,,,,,
2000-12-19 00:00:00,,,,24.4688,24.4688,24.0938,,,,,,
2000-12-20 00:00:00,,,,23.875,24.6563,23.6875,,,,,,
2000-12-21 00:00:00,,,,22.8125,23.0625,21.8125,,,,0,2,3
2000-12-22 00:00:00,,,,22.9375,22.9375,22.25,,,,0,2,3
2000-12-26 00:00:00,,,,22.3438,22.9375,22.0313,,,,,,
2000-12-27 00:00:00,,,,22.5,22.9375,22.4688,,,,,,
2000-12-28 00:00:00,,,,22.7813,23.75,22.75,,,,,,
2000-12-29 00:00:00,,,,23.4688,24.1563,23.25,,,,,,
2001-01-02 00:00:00,,,,23.2813,23.6875,23,,,,,,
2001-01-03 00:00:00,,,,23,23.2188,22.75,,,,,,
2001-01-04 00:00:00,,,,23,23.0625,21.5,,,,,,
2001-01-05 00:00:00,,,,21.875,21.9688,21.25,,,,,,
2001-01-08 00:00:00,,,,21.3438,21.75,21.3438,,,,,,
2001-01-09 00:00:00,,,,21.5625,22,21.4688,,,,0,2,3
2001-01-10 00:00:00,,,,21.875,21.875,21.4375,,,,,,
2001-01-11 00:00:00,,,,21.7188,21.9063,21.5,,,,,,
2001-01-12 00:00:00,,,,21.625,21.6875,21.3438,,,,,,
2001-01-16 00:00:00,,,,21.4063,21.8438,21.4063,,,,,,
2001-01-17 00:00:00,,,,21.9063,22.0625,21.625,,,,0,2,3
2001-01-18 00:00:00,,,,21.5625,22.25,21.5,,,,,,
2001-01-19 00:00:00,,,,21.9688,22.125,21.4375,,,,,,
2001-01-22 00:00:00,,,,21.75,22.1563,21.6563,,,,,,
2001-01-23 00:00:00,,,,22.125,22.4063,22.0938,,,,,,
2001-01-24 00:00:00,,,,22.3125,22.5625,22.1875,,,,0,2,3
2001-01-25 00:00:00,,,,22.5,23.1875,22.5,,,,,,
2001-01-26 00:00:00,,,,22.9688,23.6875,22.9688,,,,,,
2001-01-29 00:00:00,,,,23.625,23.815,23.25,,,,,,
2001-01-30 00:00:00,,,,23.265,23.58,23.26,,,,0,2,3
2001-01-31 00:00:00,,,,23.525,23.525,22.91,,,,,,
2001-02-01 00:00:00,,,,23.1,23.195,22.825,,,,,,
2001-02-02 00:00:00,,,,23.1,23.125,22.75,,,,,,
2001-02-05 00:00:00,,,,22.9,23.12,22.865,,,,,,
2001-02-06 00:00:00,,,,23.01,23.095,22.74,,,,,,
2001-02-07 00:00:00,,,,23.005,23.285,22.925,,,,,,
2001-02-08 00:00:00,,,,23.2,23.22,22.525,,,,,,
2001-02-09 00:00:00,,,,22.9,22.9,22.5,,,,,,
2001-02-12 00:00:00,,,,22.625,23.125,22.41,,,,,,
2001-02-13 00:00:00,,,,22.7,22.7,22.15,,,,,,
2001-02-14 00:00:00,,,,22.23,22.23,21.9,,,,,,
2001-02-15 00:00:00,,,,22.5,22.87,22.075,,,,,,
2001-02-16 00:00:00,,,,22.75,22.9,22.245,,,,,,
2001-02-20 00:00:00,,,,22.38,22.82,22.2,,,,,,
2001-02-21 00:00:00,,,,22.725,22.94,22.33,,,,,,
2001-02-22 00:00:00,,,,22.4,22.455,22,,,,,,
2001-02-23 00:00:00,,,,22.2,22.35,22,,,,,,
2001-02-26 00:00:00,,,,22.35,22.625,22.325,,,,,,
2001-02-27 00:00:00,,,,22.75,22.75,22.305,,,,,,
2001-02-28 00:00:00,,,,22.85,22.85,21.975,,,,,,
2001-03-01 00:00:00,,,,22.25,22.25,21.505,,,,,,
2001-03-02 00:00:00,,,,22.05,22.425,21.85,,,,0,2,3
2001-03-05 00:00:00,,,,22.25,22.6,22.22,,,,,,
2001-03-06 00:00:00,,,,22.7,22.7,22,,,,,,
2001-03-07 00:00:00,,,,22.26,22.44,21.745,,,,,,
2001-03-08 00:00:00,,,,22.01,22.295,21.99,,,,,,
2001-03-09 00:00:00,,,,22.3,22.505,22,,,,,,
2001-03-12 00:00:00,,,,22.17,22.17,21.675,,,,,,
2001-03-13 00:00:00,,,,21.68,21.9,21.6,,,,,,
2001-03-14 00:00:00,,,,21.915,21.915,21.46,,,,,,
2001-03-15 00:00:00,,,,21.715,21.925,21.625,,,,0,2,3
2001-03-16 00:00:00,,,,21.25,21.7,21.25,,,,,,
2001-03-19 00:00:00,,,,21.6,21.685,21.35,,,,,,
2001-03-20 00:00:00,,,,21.65,22.405,21.55,,,,,,
2001-03-21 00:00:00,,,,22.31,22.31,21.28,,,,,,
2001-03-22 00:00:00,,,,21.05,21.175,20.43,,,,,,
2001-03-23 00:00:00,,,,21.245,21.325,21.01,,,,,,
2001-03-26 00:00:00,,,,21.225,21.26,21.035,,,,0,2,3
2001-03-27 00:00:00,,,,21.25,21.525,21.225,,,,,,
2001-03-28 00:00:00,,,,21.35,22.125,21.25,,,,,,
2001-03-29 00:00:00,,,,22.03,23.1,22,,,,,,
2001-03-30 00:00:00,,,,22.575,22.9,22.16,,,,,,
2001-04-02 00:00:00,,,,22.6,22.75,21.825,,,,,,
2001-04-03 00:00:00,,,,22.125,22.375,21.205,,,,,,
2001-04-04 00:00:00,,,,21.49,22.4,21.305,,,,,,
2001-04-05 00:00:00,,,,22.75,23.125,22.025,,,,0,2,3
2001-04-06 00:00:00,,,,22.525,22.525,22.365,,,,,,
2001-04-09 00:00:00,,,,22.3,22.4,21.95,,,,,,
2001-04-10 00:00:00,,,,22.35,22.35,21.855,,,,,,
2001-04-11 00:00:00,,,,22.075,22.075,21.555,,,,,,
2001-04-12 00:00:00,,,,21.8,22.045,21.75,,,,,,
2001-04-16 00:00:00,,,,21.85,21.975,21.755,,,,,,
2001-04-17 00:00:00,,,,21.75,22.05,21.55,,,,,,
2001-04-18 00:00:00,,,,21.75,22.45,21.5,,,,0,2,4
2001-04-19 00:00:00,,,,21.25,21.8,21.25,,,,,,
2001-04-20 00:00:00,,,,21.405,21.5,21,,,,,,
2001-04-23 00:00:00,,,,20.9,21.03,20.815,,,,,,
2001-04-24 00:00:00,,,,20.975,21.115,20.8,,,,0,2,4
2001-04-25 00:00:00,,,,20.925,21.385,20.925,,,,,,
2001-04-26 00:00:00,,,,21.22,21.365,21.205,,,,,,
2001-04-27 00:00:00,,,,21.27,21.665,21.27,,,,,,
2001-04-30 00:00:00,,,,21.665,22.3,21.6,,,,,,
2001-05-01 00:00:00,,,,21.88,22.14,21.855,,,,,,
2001-05-02 00:00:00,,,,22.06,22.125,21.77,,,,,,
2001-05-03 00:00:00,,,,22.16,22.2,21.755,,,,,,
2001-05-04 00:00:00,,,,21.85,22.125,21.63,,,,,,
2001-05-07 00:00:00,,,,21.955,22.2,21.765,,,,,,
2001-05-08 00:00:00,,,,22.25,22.25,21.725,,,,,,
2001-05-09 00:00:00,,,,21.85,22,21.85,,,,,,
2001-05-10 00:00:00,,,,21.925,22.125,21.92,,,,,,
2001-05-11 00:00:00,,,,21.99,22.125,21.875,,,,,,
2001-05-14 00:00:00,,,,22,22.2,21.95,,,,,,
2001-05-15 00:00:00,,,,22.1,22.145,21.955,,,,,,
2001-05-16 00:00:00,,,,22.075,22.445,21.925,,,,,,
2001-05-17 00:00:00,,,,22.255,22.67,22.245,,,,,,
2001-05-18 00:00:00,,,,22.61,22.61,22.29,,,,,,
2001-05-21 00:00:00,,,,22.425,22.615,22.365,,,,,,
2001-05-22 00:00:00,,,,22.55,22.745,22.5,,,,,,
2001-05-23 00:00:00,,,,22.7,22.73,22.6,,,,,,
2001-05-24 00:00:00,,,,22.55,22.825,22.405,,,,,,
