Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,7.2583,7.325,7.2167,,,,,,
2000-05-02 00:00:00,,,,7.275,7.3583,7.1333,,,,,,
2000-05-03 00:00:00,,,,7.3,7.55,7.2833,,,,,,
2000-05-04 00:00:00,,,,7.4,7.65,7.2333,,,,,,
2000-05-05 00:00:00,,,,7.5917,7.5917,7.3,,,,,,
2000-05-08 00:00:00,,,,7.3917,7.65,7.35,,,,,,
2000-05-09 00:00:00,,,,7.55,7.8833,7.55,,,,,,
2000-05-10 00:00:00,,,,7.85,7.9583,7.75,,,,,,
2000-05-11 00:00:00,,,,7.8667,7.975,7.8583,,,,,,
2000-05-12 00:00:00,,,,7.925,7.925,7.6,,,,,,
2000-05-15 00:00:00,,,,7.725,7.8333,7.725,,,,,,
2000-05-16 00:00:00,,,,7.7833,7.825,7.6667,,,,,,
2000-05-17 00:00:00,,,,7.8,7.8,7.3417,,,,,,
2000-05-18 00:00:00,,,,7.4833,7.625,7.4833,,,,,,
2000-05-19 00:00:00,,,,7.5,7.65,7.4833,,,,,,
2000-05-22 00:00:00,,,,7.55,7.7333,7.5167,,,,,,
2000-05-23 00:00:00,,,,7.6667,7.7833,7.5833,,,,,,
2000-05-24 00:00:00,,,,7.75,8.125,7.75,,,,,,
2000-05-25 00:00:00,,,,7.875,7.875,7.6083,,,,,,
2000-05-26 00:00:00,,,,7.7333,7.975,7.725,,,,0,1,0
2000-05-30 00:00:00,,,,7.7917,7.8,7.5833,,,,,,
2000-05-31 00:00:00,,,,7.8,7.8583,7.7,,,,,,
2000-06-01 00:00:00,,,,7.7083,7.825,7.6667,,,,,,
2000-06-02 00:00:00,,,,7.725,7.7667,7.4667,,,,,,
2000-06-05 00:00:00,,,,7.4667,7.4667,7.3417,,,,,,
2000-06-06 00:00:00,,,,7.4,7.4667,7.3667,,,,,,
2000-06-07 00:00:00,,,,7.4167,7.575,7.4167,,,,,,
2000-06-08 00:00:00,,,,7.5333,7.55,7.3083,,,,,,
2000-06-09 00:00:00,,,,7.5333,7.6,7.3833,,,,,,
2000-06-12 00:00:00,,,,7.425,7.5083,7.4167,,,,,,
