Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,49.9088,49.9088,48.6596,,,,0,12,1
2000-05-02 00:00:00,,,,48.5406,49.5519,48.3027,,,,,,
2000-05-03 00:00:00,,,,48.8381,49.5519,48.3027,,,,,,
2000-05-04 00:00:00,,,,48.6001,50.1468,48.6001,,,,,,
2000-05-05 00:00:00,,,,49.3139,51.0985,49.076,,,,,,
2000-05-08 00:00:00,,,,49.6114,51.8124,49.5519,,,,,,
2000-05-09 00:00:00,,,,51.9908,52.1098,50.0278,,,,0,12,2
2000-05-10 00:00:00,,,,50.5632,51.277,50.0873,,,,,,
2000-05-11 00:00:00,,,,52.2882,52.2882,50.5632,,,,0,12,2
2000-05-12 00:00:00,,,,51.3365,52.2288,50.2062,,,,,,
2000-05-15 00:00:00,,,,52.3477,53.4185,51.8718,,,,,,
2000-05-16 00:00:00,,,,54.1323,54.3703,52.8831,,,,,,
2000-05-17 00:00:00,,,,54.2513,54.4892,53.5969,,,,0,12,2
2000-05-18 00:00:00,,,,54.6082,54.8461,53.4185,,,,,,
2000-05-19 00:00:00,,,,54.0133,54.9056,53.7754,,,,0,12,2
2000-05-22 00:00:00,,,,54.9651,55.1436,54.4297,,,,,,
2000-05-23 00:00:00,,,,55.679,55.679,54.4892,,,,,,
2000-05-24 00:00:00,,,,53.8944,55.0841,53.8349,,,,,,
2000-05-25 00:00:00,,,,54.0728,54.0728,52.9426,,,,,,
2000-05-26 00:00:00,,,,53.2995,54.2513,52.5857,,,,0,12,2
2000-05-30 00:00:00,,,,53.4185,54.4297,52.9426,,,,,,
2000-05-31 00:00:00,,,,53.7754,53.9539,52.4072,,,,,,
2000-06-01 00:00:00,,,,52.1098,52.2882,50.0873,,,,0,12,2
