Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,13,13.375,12.9375,,,,0,9,7
2000-05-02 00:00:00,,,,12.8438,13.875,12.8125,,,,,,
2000-05-03 00:00:00,,,,13.7188,13.7188,13.3438,,,,0,9,7
2000-05-04 00:00:00,,,,13.4688,13.4688,12.9063,,,,,,
2000-05-05 00:00:00,,,,13.4375,13.5,13.0938,,,,,,
2000-05-08 00:00:00,,,,13,13.75,13,,,,0,9,7
2000-05-09 00:00:00,,,,13.6875,14.5938,13.5,,,,,,
2000-05-10 00:00:00,,,,14.0313,14.0313,13.25,,,,,,
2000-05-11 00:00:00,,,,13.5,13.7813,12.375,,,,,,
2000-05-12 00:00:00,,,,12.625,12.625,11.8125,,,,0,9,7
2000-05-15 00:00:00,,,,12.0313,12.6875,11.9375,,,,,,
2000-05-16 00:00:00,,,,12.6563,12.6563,12.2813,,,,,,
2000-05-17 00:00:00,,,,12.1875,12.8125,12.1563,,,,0,9,7
2000-05-18 00:00:00,,,,12.7188,13.4375,12.625,,,,0,9,7
2000-05-19 00:00:00,,,,12.6563,13.125,12.4063,,,,0,9,7
2000-05-22 00:00:00,,,,13.0938,13.0938,12.375,,,,,,
2000-05-23 00:00:00,,,,12.5,12.5938,12.3125,,,,,,
2000-05-24 00:00:00,,,,12.2813,12.4375,12.0313,,,,0,9,7
2000-05-25 00:00:00,,,,12.25,13.2188,11.9688,,,,0,9,7
2000-05-26 00:00:00,,,,12.9375,12.9688,12.4063,,,,0,9,7
2000-05-30 00:00:00,,,,12.5625,13.2188,12.5625,,,,,,
2000-05-31 00:00:00,,,,13.0625,13.0625,12.7813,,,,0,9,7
2000-06-01 00:00:00,,,,12.7813,12.7813,11.875,,,,0,9,7
2000-06-02 00:00:00,,,,12.25,12.375,11.2188,,,,0,10,7
2000-06-05 00:00:00,,,,10.9375,11.875,10.9375,,,,,,
2000-06-06 00:00:00,,,,11.875,11.9063,11.4375,,,,,,
2000-06-07 00:00:00,,,,11.4688,11.625,11.25,,,,,,
2000-06-08 00:00:00,,,,11.5313,12.0313,11.375,,,,0,10,7
2000-06-09 00:00:00,,,,11.5938,11.9375,11.5,,,,0,10,7
2000-06-12 00:00:00,,,,11.8125,12.0313,11.6875,,,,,,
2000-06-13 00:00:00,,,,11.9063,12.2813,11.8125,,,,,,
2000-06-14 00:00:00,,,,12.25,12.5,12.0938,,,,,,
2000-06-15 00:00:00,,,,12.3125,12.6875,12.3125,,,,,,
2000-06-16 00:00:00,,,,12.4063,12.4688,12.125,,,,0,10,7
2000-06-19 00:00:00,,,,12.1875,12.2188,11.5938,,,,,,
2000-06-20 00:00:00,,,,11.7813,11.7813,11.3125,,,,,,
2000-06-21 00:00:00,,,,11.25,11.5938,11.1563,,,,,,
2000-06-22 00:00:00,,,,11.4375,11.4688,11.0938,,,,,,
2000-06-23 00:00:00,,,,11.0625,11.2188,10.75,,,,,,
2000-06-26 00:00:00,,,,10.875,11.0938,10.7188,,,,,,
2000-06-27 00:00:00,,,,10.9375,11.0313,10.5625,,,,,,
2000-06-28 00:00:00,,,,10.9063,10.9688,10.5,,,,0,11,7
2000-06-29 00:00:00,,,,10.5938,11.0938,10.5625,,,,,,
2000-06-30 00:00:00,,,,10.6875,11.0313,10.6875,,,,,,
2000-07-03 00:00:00,,,,11.0625,11.0938,10.6875,,,,,,
2000-07-05 00:00:00,,,,10.5313,11.0625,10.5313,,,,,,
2000-07-06 00:00:00,,,,10.75,11.375,10.6563,,,,,,
2000-07-07 00:00:00,,,,11.4375,12.2813,11.4375,,,,,,
2000-07-10 00:00:00,,,,11.75,12.25,11.75,,,,,,
2000-07-11 00:00:00,,,,12,12.1563,11.5313,,,,,,
2000-07-12 00:00:00,,,,11.625,13,11.625,,,,0,11,7
2000-07-13 00:00:00,,,,13.125,13.2188,12.6875,,,,0,13,5
2000-07-14 00:00:00,,,,12.9375,12.9375,12.5938,,,,,,
2000-07-17 00:00:00,,,,12.75,13.4063,12.5938,,,,,,
2000-07-18 00:00:00,,,,13.1875,13.2188,12.8438,,,,,,
2000-07-19 00:00:00,,,,10.3125,10.375,9.1875,,,,0,9,9
2000-07-20 00:00:00,,,,9.5,9.5,8.7813,,,,,,
2000-07-21 00:00:00,,,,8.9375,9.0625,8.75,,,,,,
2000-07-24 00:00:00,,,,8.75,8.75,8.5,,,,,,
2000-07-25 00:00:00,,,,8.5938,8.625,8.3125,,,,,,
2000-07-26 00:00:00,,,,8.3125,8.9063,8.3125,,,,,,
2000-07-27 00:00:00,,,,8.8125,9.1563,8.6875,,,,,,
2000-07-28 00:00:00,,,,8.9063,8.9375,8.5625,,,,0,9,9
2000-07-31 00:00:00,,,,8.6563,8.6875,8.125,,,,,,
2000-08-01 00:00:00,,,,8.4063,8.875,8.3438,,,,,,
2000-08-02 00:00:00,,,,8.75,9.3438,8.6875,,,,,,
2000-08-03 00:00:00,,,,9.1875,9.1875,8.6875,,,,,,
2000-08-04 00:00:00,,,,8.9688,8.9688,8.7813,,,,,,
2000-08-07 00:00:00,,,,8.7813,8.875,8.6875,,,,,,
2000-08-08 00:00:00,,,,8.8125,8.8438,8.5313,,,,,,
2000-08-09 00:00:00,,,,8.5938,8.5938,8.2188,,,,,,
2000-08-10 00:00:00,,,,8.375,8.5313,8.1563,,,,,,
2000-08-11 00:00:00,,,,8.4063,8.5938,8.2188,,,,,,
2000-08-14 00:00:00,,,,8.3125,8.4063,8.1875,,,,0,9,9
2000-08-15 00:00:00,,,,8.25,8.25,7.9688,,,,,,
2000-08-16 00:00:00,,,,7.9375,8.1875,7.75,,,,,,
2000-08-17 00:00:00,,,,8.1563,8.375,8.0313,,,,,,
2000-08-18 00:00:00,,,,8.375,8.375,8.1875,,,,,,
2000-08-21 00:00:00,,,,8.4063,9,8.1875,,,,,,
2000-08-22 00:00:00,,,,8.8438,8.8438,8.5,,,,0,9,9
2000-08-23 00:00:00,,,,8.9375,9.0938,8.6875,,,,,,
2000-08-24 00:00:00,,,,9.0313,9.0938,8.8125,,,,,,
2000-08-25 00:00:00,,,,8.8438,8.9375,8.75,,,,,,
2000-08-28 00:00:00,,,,8.875,9.2813,8.875,,,,,,
2000-08-29 00:00:00,,,,9.2188,9.375,9,,,,,,
2000-08-30 00:00:00,,,,9.25,9.625,9.1875,,,,,,
2000-08-31 00:00:00,,,,9.4688,9.9375,9.4375,,,,0,9,9
2000-09-01 00:00:00,,,,9.5,9.5625,9.2188,,,,,,
2000-09-05 00:00:00,,,,9.2813,9.4375,8.9375,,,,,,
2000-09-06 00:00:00,,,,9.25,9.375,8.9375,,,,,,
2000-09-07 00:00:00,,,,9.1563,9.375,9.1563,,,,,,
2000-09-08 00:00:00,,,,9.125,9.375,9.125,,,,0,9,9
2000-09-11 00:00:00,,,,9.5313,9.5938,9.3125,,,,,,
2000-09-12 00:00:00,,,,9.6875,9.6875,9.4063,,,,,,
2000-09-13 00:00:00,,,,9.5,9.5,9.3125,,,,,,
2000-09-14 00:00:00,,,,9.1875,9.3125,9.1563,,,,,,
2000-09-15 00:00:00,,,,9.125,9.5625,9.125,,,,,,
2000-09-18 00:00:00,,,,9.5313,9.6875,9.4375,,,,0,9,8
2000-09-19 00:00:00,,,,9.0625,9.625,9.0625,,,,,,
2000-09-20 00:00:00,,,,9.25,9.25,9.0313,,,,,,
2000-09-21 00:00:00,,,,9.0313,9.2813,8.9375,,,,0,9,8
2000-09-22 00:00:00,,,,9.3125,9.5,9,,,,,,
2000-09-25 00:00:00,,,,9.0313,9.0313,8.875,,,,,,
2000-09-26 00:00:00,,,,8.875,8.9688,8.125,,,,,,
2000-09-27 00:00:00,,,,8.3125,8.5313,8.0313,,,,,,
2000-09-28 00:00:00,,,,8.375,8.5938,8.2813,,,,,,
2000-09-29 00:00:00,,,,8.3125,8.3438,8.1563,,,,,,
2000-10-02 00:00:00,,,,8.3125,8.3438,7.9375,,,,0,9,8
