Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,419.8601,432.5039,412.4483,,,,0,8,0
2000-05-02 00:00:00,,,,421.1681,430.7599,417.2442,,,,,,
2000-05-03 00:00:00,,,,424.2201,436.8638,416.8082,,,,,,
2000-05-04 00:00:00,,,,417.2442,421.1681,405.0364,,,,,,
2000-05-05 00:00:00,,,,404.1644,418.1162,404.1644,,,,,,
2000-05-08 00:00:00,,,,413.7563,421.6041,411.5763,,,,,,
2000-05-09 00:00:00,,,,421.1681,424.6561,410.7043,,,,,,
2000-05-10 00:00:00,,,,407.6524,412.8843,393.2646,,,,,,
2000-05-11 00:00:00,,,,402.4205,414.6282,398.0606,,,,,,
2000-05-12 00:00:00,,,,410.7043,425.092,406.7804,,,,,,
2000-05-15 00:00:00,,,,420.7321,439.9158,418.1162,,,,,,
2000-05-16 00:00:00,,,,440.7878,442.0957,427.272,,,,0,9,0
2000-05-17 00:00:00,,,,429.888,435.9918,424.6561,,,,0,9,0
2000-05-18 00:00:00,,,,432.5039,439.9158,428.144,,,,,,
2000-05-19 00:00:00,,,,424.6561,428.144,419.8601,,,,,,
2000-05-22 00:00:00,,,,428.144,429.888,415.5002,,,,,,
2000-05-23 00:00:00,,,,425.528,441.2237,425.528,,,,,,
2000-05-24 00:00:00,,,,431.6319,440.7878,421.1681,,,,,,
2000-05-25 00:00:00,,,,419.4242,425.528,405.4724,,,,0,9,0
2000-05-26 00:00:00,,,,405.0364,409.3963,398.0606,,,,,,
2000-05-30 00:00:00,,,,415.0642,424.2201,413.3203,,,,,,
2000-05-31 00:00:00,,,,422.9121,433.8119,422.4761,,,,0,9,0
2000-06-01 00:00:00,,,,439.4798,447.7636,436.8638,,,,,,
2000-06-02 00:00:00,,,,458.6634,465.6393,457.3554,,,,0,8,1
2000-06-05 00:00:00,,,,459.0994,464.3313,457.7914,,,,,,
2000-06-06 00:00:00,,,,459.5354,459.9714,446.4556,,,,,,
2000-06-07 00:00:00,,,,456.0475,464.3313,450.8156,,,,,,
2000-06-08 00:00:00,,,,461.7154,461.7154,447.7636,,,,,,
2000-06-09 00:00:00,,,,452.9955,457.7914,444.7117,,,,0,8,1
2000-06-12 00:00:00,,,,449.5076,452.9955,444.7117,,,,,,
2000-06-13 00:00:00,,,,450.8156,456.4835,443.8397,,,,,,
2000-06-14 00:00:00,,,,456.4835,471.7432,455.6115,,,,,,
2000-06-15 00:00:00,,,,468.6912,469.1272,451.6875,,,,,,
2000-06-16 00:00:00,,,,452.5595,456.0475,431.1959,,,,0,8,1
