Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,6,1
2000-05-12 00:00:00,,,,,,,,,,0,6,1
2000-05-16 00:00:00,,,,,,,,,,0,6,1
2000-05-22 00:00:00,,,,,,,,,,0,6,1
2000-05-24 00:00:00,,,,,,,,,,0,6,1
2000-06-02 00:00:00,,,,,,,,,,0,6,1
2000-06-08 00:00:00,,,,,,,,,,0,6,1
2000-06-13 00:00:00,,,,,,,,,,0,6,1
2000-06-16 00:00:00,,,,,,,,,,0,6,1
2000-07-03 00:00:00,,,,,,,,,,0,6,1
2000-07-05 00:00:00,,,,,,,,,,0,5,2
2000-07-06 00:00:00,,,,,,,,,,0,5,2
2000-07-07 00:00:00,,,,,,,,,,0,5,2
2000-07-17 00:00:00,,,,,,,,,,0,5,2
2000-07-21 00:00:00,,,,,,,,,,0,4,3
2000-08-04 00:00:00,,,,,,,,,,0,4,3
2000-08-07 00:00:00,,,,,,,,,,0,4,3
2000-08-17 00:00:00,,,,,,,,,,1,4,3
2000-08-31 00:00:00,,,,,,,,,,1,4,3
2000-09-20 00:00:00,,,,,,,,,,1,4,3
2000-10-27 00:00:00,,,,,,,,,,1,4,3
2000-11-01 00:00:00,,,,,,,,,,1,5,3
2000-11-14 00:00:00,,,,,,,,,,1,5,4
2000-11-21 00:00:00,,,,,,,,,,1,5,4
2000-12-08 00:00:00,,,,,,,,,,1,5,4
2000-12-11 00:00:00,,,,,,,,,,1,5,3
2000-12-22 00:00:00,,,,,,,,,,1,5,3
2001-01-04 00:00:00,,,,,,,,,,1,6,2
2001-01-08 00:00:00,,,,,,,,,,1,6,2
2001-01-12 00:00:00,,,,,,,,,,1,6,3
2001-01-18 00:00:00,,,,,,,,,,1,6,3
2001-01-23 00:00:00,,,,,,,,,,1,6,3
2001-01-24 00:00:00,,,,,,,,,,1,6,3
2001-01-30 00:00:00,,,,,,,,,,1,6,3
2001-02-20 00:00:00,,,,,,,,,,1,6,3
2001-03-02 00:00:00,,,,,,,,,,1,5,4
2001-03-15 00:00:00,,,,,,,,,,1,5,4
2001-04-03 00:00:00,,,,,,,,,,1,5,4
2001-04-06 00:00:00,,,,,,,,,,1,5,4
2001-04-17 00:00:00,,,,,,,,,,1,5,4
2001-04-23 00:00:00,,,,,,,,,,1,5,5
2001-04-30 00:00:00,,,,,,,,,,1,5,5
2001-05-04 00:00:00,,,,,,,,,,1,5,6
2001-05-07 00:00:00,,,,,,,,,,1,4,7
2001-05-11 00:00:00,,,,,,,,,,1,4,7
2001-05-22 00:00:00,,,,,,,,,,1,4,7
2001-05-23 00:00:00,,,,,,,,,,1,4,7
2001-05-29 00:00:00,,,,,,,,,,1,4,7
2001-05-30 00:00:00,,,,,,,,,,1,4,7
2001-06-01 00:00:00,,,,,,,,,,1,4,7
2001-06-05 00:00:00,,,,,,,,,,1,4,7
2001-06-21 00:00:00,,,,,,,,,,1,5,6
2001-06-26 00:00:00,,,,,,,,,,1,5,6
2001-07-05 00:00:00,,,,,,,,,,1,5,6
2001-07-06 00:00:00,,,,,,,,,,1,5,6
2001-07-09 00:00:00,,,,,,,,,,1,5,6
2001-07-10 00:00:00,,,,,,,,,,1,5,6
2001-07-24 00:00:00,,,,,,,,,,1,5,6
2001-07-26 00:00:00,,,,,,,,,,1,5,6
2001-08-01 00:00:00,,,,,,,,,,1,5,6
2001-08-17 00:00:00,,,,,,,,,,1,5,6
2001-08-20 00:00:00,,,,,,,,,,0,5,6
2001-08-21 00:00:00,,,,,,,,,,0,6,6
2001-08-29 00:00:00,,,,,,,,,,0,6,6
2001-08-30 00:00:00,,,,,,,,,,0,6,6
2001-09-17 00:00:00,,,,,,,,,,0,6,6
2001-09-20 00:00:00,,,,,,,,,,0,6,6
2001-09-21 00:00:00,,,,,,,,,,0,6,6
2001-10-08 00:00:00,,,,,,,,,,1,6,5
2001-10-11 00:00:00,,,,,,,,,,1,6,5
2001-10-12 00:00:00,,,,,,,,,,1,6,5
2001-10-19 00:00:00,,,,,,,,,,1,6,5
2001-11-01 00:00:00,,,,,,,,,,1,6,5
2001-11-07 00:00:00,,,,,,,,,,1,6,6
2001-11-08 00:00:00,,,,,,,,,,1,6,6
2001-11-09 00:00:00,,,,,,,,,,1,6,6
2001-11-14 00:00:00,,,,,,,,,,1,6,6
2001-11-19 00:00:00,,,,,,,,,,1,6,6
2001-12-04 00:00:00,,,,,,,,,,1,6,6
2001-12-07 00:00:00,,,,,,,,,,1,6,6
2001-12-10 00:00:00,,,,,,,,,,1,6,6
2001-12-14 00:00:00,,,,,,,,,,1,6,6
2001-12-20 00:00:00,,,,,,,,,,1,6,6
2002-01-04 00:00:00,,,,,,,,,,1,6,6
2002-01-08 00:00:00,,,,,,,,,,1,6,6
2002-01-10 00:00:00,,,,,,,,,,1,7,6
2002-01-11 00:00:00,,,,,,,,,,1,7,6
2002-01-14 00:00:00,,,,,,,,,,1,7,6
2002-01-17 00:00:00,,,,,,,,,,1,7,6
2002-01-18 00:00:00,,,,,,,,,,1,7,6
2002-01-23 00:00:00,,,,,,,,,,1,7,6
2002-01-24 00:00:00,,,,,,,,,,1,7,5
2002-01-25 00:00:00,,,,,,,,,,1,7,5
2002-02-06 00:00:00,,,,,,,,,,1,7,5
2002-02-07 00:00:00,,,,,,,,,,1,8,5
2002-02-08 00:00:00,,,,,,,,,,1,8,5
2002-02-15 00:00:00,,,,,,,,,,1,8,5
2002-02-19 00:00:00,,,,,,,,,,1,9,5
2002-02-20 00:00:00,,,,,,,,,,1,9,5
2002-02-21 00:00:00,,,,,,,,,,1,8,5
2002-02-22 00:00:00,,,,,,,,,,1,7,6
2002-02-27 00:00:00,,,,,,,,,,1,7,6
2002-02-28 00:00:00,,,,,,,,,,1,7,6
