Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,24.375,26.25,24.313,,,,0,6,1
2000-05-02 00:00:00,,,,25.563,25.75,23.438,,,,,,
2000-05-03 00:00:00,,,,25,26,24.688,,,,,,
2000-05-04 00:00:00,,,,24.75,25.438,24.563,,,,0,6,1
2000-05-05 00:00:00,,,,25.313,25.438,24.75,,,,,,
2000-05-08 00:00:00,,,,25.25,25.438,23.875,,,,,,
2000-05-09 00:00:00,,,,25.063,26.688,24.813,,,,0,6,1
2000-05-10 00:00:00,,,,26.25,27,25.313,,,,0,6,1
2000-05-11 00:00:00,,,,25.5,26.188,25.5,,,,0,6,1
2000-05-12 00:00:00,,,,26,26.25,25.75,,,,,,
2000-05-15 00:00:00,,,,26.125,26.625,25.875,,,,,,
2000-05-16 00:00:00,,,,26.688,26.813,26.313,,,,,,
2000-05-17 00:00:00,,,,26.688,26.688,25.875,,,,,,
2000-05-18 00:00:00,,,,26.5,27.75,26.5,,,,,,
2000-05-19 00:00:00,,,,27.625,27.625,26.563,,,,,,
2000-05-22 00:00:00,,,,27.125,27.5,26.625,,,,,,
2000-05-23 00:00:00,,,,27.125,27.375,27,,,,,,
2000-05-24 00:00:00,,,,27.063,28,27,,,,,,
2000-05-25 00:00:00,,,,27.938,27.938,25.938,,,,,,
2000-05-26 00:00:00,,,,26.688,26.688,25.5,,,,,,
2000-05-29 00:00:00,,,,,,,,,,0,5,1
2000-05-30 00:00:00,,,,26.188,28.5,26.063,,,,0,5,1
2000-05-31 00:00:00,,,,27.938,27.938,26.813,,,,,,
2000-06-01 00:00:00,,,,27.188,28.438,27.188,,,,0,6,1
2000-06-02 00:00:00,,,,29,31.438,29,,,,,,
2000-06-05 00:00:00,,,,29.5,30.188,29,,,,0,6,1
2000-06-06 00:00:00,,,,28.813,30.5,28.75,,,,,,
2000-06-07 00:00:00,,,,29.875,30.5,29.875,,,,0,7,1
2000-06-08 00:00:00,,,,30.188,30.188,28.938,,,,,,
2000-06-09 00:00:00,,,,29.188,29.188,28.375,,,,0,7,1
2000-06-12 00:00:00,,,,28.688,28.813,27.938,,,,,,
2000-06-13 00:00:00,,,,28.375,28.625,27.5,,,,,,
2000-06-14 00:00:00,,,,28.438,29.188,28.438,,,,,,
2000-06-15 00:00:00,,,,29.438,29.438,27.625,,,,,,
2000-06-16 00:00:00,,,,28.063,28.375,27.938,,,,,,
2000-06-19 00:00:00,,,,27.625,29.125,27.563,,,,,,
2000-06-20 00:00:00,,,,29,29,27.75,,,,,,
2000-06-21 00:00:00,,,,28.063,28.188,27,,,,0,7,1
2000-06-22 00:00:00,,,,27.25,27.25,25.938,,,,,,
2000-06-23 00:00:00,,,,26.5,27.375,26.5,,,,,,
2000-06-26 00:00:00,,,,27,27.188,26.125,,,,,,
2000-06-27 00:00:00,,,,26.75,27,26.438,,,,,,
2000-06-28 00:00:00,,,,26.813,27.75,26.5,,,,,,
2000-06-29 00:00:00,,,,27.375,28.563,27.375,,,,,,
2000-06-30 00:00:00,,,,28,28.75,27.938,,,,,,
2000-07-03 00:00:00,,,,27.875,28.125,27.688,,,,,,
2000-07-05 00:00:00,,,,28.188,28.188,27.375,,,,,,
2000-07-06 00:00:00,,,,27.875,28.25,27.125,,,,,,
2000-07-07 00:00:00,,,,28.063,29.188,28.063,,,,,,
2000-07-10 00:00:00,,,,29.063,29.563,29,,,,,,
2000-07-11 00:00:00,,,,29.5,30.125,29.25,,,,,,
2000-07-12 00:00:00,,,,30.063,31.313,30.063,,,,,,
2000-07-13 00:00:00,,,,31.25,31.875,30.75,,,,,,
2000-07-14 00:00:00,,,,31.125,32.375,30.938,,,,,,
2000-07-17 00:00:00,,,,31.625,31.625,30.813,,,,,,
2000-07-18 00:00:00,,,,31.188,31.188,30.125,,,,,,
2000-07-19 00:00:00,,,,30.25,30.625,29.438,,,,,,
2000-07-20 00:00:00,,,,30.188,30.938,29.875,,,,,,
2000-07-21 00:00:00,,,,30.813,31.25,30.625,,,,,,
2000-07-24 00:00:00,,,,31,31.5,29.813,,,,0,8,1
2000-07-25 00:00:00,,,,30,31.375,29.813,,,,,,
2000-07-26 00:00:00,,,,32,33.75,31.875,,,,0,8,1
2000-07-27 00:00:00,,,,33.563,37.25,33.563,,,,,,
2000-07-28 00:00:00,,,,36,36.063,34.938,,,,,,
2000-07-31 00:00:00,,,,35.688,36,35.188,,,,,,
2000-08-01 00:00:00,,,,35.938,35.938,34.438,,,,0,8,1
2000-08-02 00:00:00,,,,33.563,34.375,32.313,,,,0,8,1
2000-08-03 00:00:00,,,,31.75,33.5,31.75,,,,,,
2000-08-04 00:00:00,,,,33.875,34.563,33.5,,,,,,
2000-08-07 00:00:00,,,,34.5,34.563,34.188,,,,,,
2000-08-08 00:00:00,,,,34.5,34.938,34.063,,,,,,
2000-08-09 00:00:00,,,,34.688,34.688,32.875,,,,,,
2000-08-10 00:00:00,,,,33.25,33.938,33.25,,,,,,
2000-08-11 00:00:00,,,,33.5,34.5,33.438,,,,,,
2000-08-14 00:00:00,,,,35,35.25,34.688,,,,,,
2000-08-15 00:00:00,,,,35.25,35.313,35,,,,,,
2000-08-16 00:00:00,,,,35,35.375,35,,,,,,
2000-08-17 00:00:00,,,,35,35.938,34.688,,,,,,
2000-08-18 00:00:00,,,,35.875,35.875,35.063,,,,,,
2000-08-21 00:00:00,,,,35.5,35.875,35,,,,,,
2000-08-22 00:00:00,,,,35.25,35.5,34.25,,,,,,
2000-08-23 00:00:00,,,,34,34.25,33.625,,,,,,
2000-08-24 00:00:00,,,,34.063,34.625,34,,,,,,
2000-08-25 00:00:00,,,,34.063,34.5,33.5,,,,,,
2000-08-28 00:00:00,,,,33.563,33.875,33,,,,0,8,1
2000-08-29 00:00:00,,,,33.063,33.563,32.875,,,,,,
2000-08-30 00:00:00,,,,33.625,33.938,33.5,,,,,,
2000-08-31 00:00:00,,,,33.563,35.5,33.563,,,,0,8,1
2000-09-01 00:00:00,,,,35.375,35.813,34.563,,,,,,
2000-09-05 00:00:00,,,,34.5,35.313,34.5,,,,,,
2000-09-06 00:00:00,,,,34.5,34.5,33.25,,,,,,
2000-09-07 00:00:00,,,,33.438,34.125,33.438,,,,0,8,1
2000-09-08 00:00:00,,,,33.875,35.188,33.813,,,,,,
2000-09-11 00:00:00,,,,34.938,35.375,34.688,,,,,,
2000-09-12 00:00:00,,,,35,35.5,34.75,,,,,,
2000-09-13 00:00:00,,,,35.5,36.688,35.313,,,,,,
2000-09-14 00:00:00,,,,35.688,36.063,35.063,,,,0,9,1
2000-09-15 00:00:00,,,,35.75,36.75,35.688,,,,,,
2000-09-18 00:00:00,,,,36.063,37,36.063,,,,,,
2000-09-19 00:00:00,,,,36.25,37,36.063,,,,,,
2000-09-20 00:00:00,,,,37,37.125,36.313,,,,,,
2000-09-21 00:00:00,,,,36.563,38.313,36.438,,,,,,
2000-09-22 00:00:00,,,,38,39.125,37.5,,,,,,
2000-09-25 00:00:00,,,,38.75,38.75,37,,,,,,
2000-09-26 00:00:00,,,,37.313,39,37.25,,,,0,9,1
2000-09-27 00:00:00,,,,38.75,40.188,38.563,,,,,,
2000-09-28 00:00:00,,,,39,39.938,39,,,,,,
2000-09-29 00:00:00,,,,39.75,39.875,38.625,,,,,,
2000-10-02 00:00:00,,,,39.125,39.625,38.813,,,,,,
2000-10-03 00:00:00,,,,39,39,37.5,,,,,,
2000-10-04 00:00:00,,,,37.313,38,36.938,,,,,,
2000-10-05 00:00:00,,,,36.75,37.375,36.375,,,,,,
2000-10-06 00:00:00,,,,36.25,36.75,35.563,,,,,,
