Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,6.3333,6.3367,6.0833,,,,,,
2004-06-14 00:00:00,,,,6.0833,6.1267,6.0667,,,,,,
2004-06-15 00:00:00,,,,6.07,6.25,6.07,,,,,,
2004-06-16 00:00:00,,,,6.25,6.3633,6.25,,,,,,
2004-06-17 00:00:00,,,,6.3533,6.3667,6.2667,,,,,,
2004-06-18 00:00:00,,,,6.35,6.3967,6.3333,,,,,,
2004-06-21 00:00:00,,,,6.33,6.3667,6.3,,,,,,
2004-06-22 00:00:00,,,,6.33,6.3633,6.3,,,,,,
2004-06-23 00:00:00,,,,6.2833,6.2967,6.1567,,,,,,
2004-06-24 00:00:00,,,,6.2667,6.35,6.25,,,,,,
2004-06-25 00:00:00,,,,6.3333,6.35,6.25,,,,,,
2004-06-28 00:00:00,,,,6.25,6.3567,6.2167,,,,,,
2004-06-29 00:00:00,,,,6.3333,6.3667,6.3333,,,,,,
2004-06-30 00:00:00,,,,6.35,6.4,6.3467,,,,,,
2004-07-01 00:00:00,,,,6.35,6.3833,6.3333,,,,,,
2004-07-02 00:00:00,,,,6.35,6.3833,6.2667,,,,,,
2004-07-06 00:00:00,,,,6.3533,6.3667,6.3333,,,,,,
2004-07-07 00:00:00,,,,6.34,6.35,6.3333,,,,,,
2004-07-08 00:00:00,,,,6.3633,6.3633,6.3367,,,,,,
2004-07-09 00:00:00,,,,6.35,6.3567,6.3333,,,,,,
2004-07-12 00:00:00,,,,6.3333,6.35,6.3033,,,,,,
2004-07-13 00:00:00,,,,6.2833,6.3533,6.26,,,,,,
2004-07-14 00:00:00,,,,6.34,6.3733,6.3233,,,,,,
2004-07-15 00:00:00,,,,6.3433,6.35,6.3033,,,,,,
2004-07-16 00:00:00,,,,6.3433,6.36,6.3,,,,,,
2004-07-19 00:00:00,,,,6.3,6.3333,6.2933,,,,,,
2004-07-20 00:00:00,,,,6.3267,6.3467,6.29,,,,0,2,0
2004-07-21 00:00:00,,,,6.3267,6.35,6.3233,,,,0,2,1
2004-07-22 00:00:00,,,,6.3333,6.4067,6.3233,,,,,,
2004-07-23 00:00:00,,,,6.25,6.3,6.1633,,,,,,
2004-07-26 00:00:00,,,,6.2167,6.26,6.2133,,,,,,
2004-07-27 00:00:00,,,,6.2567,6.28,6.2567,,,,,,
2004-07-28 00:00:00,,,,6.2533,6.3033,6.2333,,,,,,
2004-07-29 00:00:00,,,,6.2567,6.3,6.2567,,,,,,
2004-07-30 00:00:00,,,,6.3,6.3467,6.2767,,,,,,
2004-08-02 00:00:00,,,,6.2967,6.3467,6.2833,,,,0,3,1
2004-08-03 00:00:00,,,,6.34,6.4067,6.3333,,,,,,
2004-08-04 00:00:00,,,,6.35,6.3667,6.3267,,,,,,
2004-08-05 00:00:00,,,,6.5,6.6667,6.3867,,,,,,
2004-08-06 00:00:00,,,,6.5333,6.5333,6.4333,,,,,,
2004-08-09 00:00:00,,,,6.44,6.44,6.3567,,,,,,
2004-08-10 00:00:00,,,,6.3333,6.48,6.3333,,,,,,
2004-08-11 00:00:00,,,,6.45,6.48,6.4167,,,,,,
2004-08-12 00:00:00,,,,6.45,6.5,6.4167,,,,,,
2004-08-13 00:00:00,,,,6.45,6.4533,6.3733,,,,,,
2004-08-16 00:00:00,,,,6.35,6.4167,6.35,,,,,,
2004-08-17 00:00:00,,,,6.3867,6.3967,6.2567,,,,,,
2004-08-18 00:00:00,,,,6.3,6.3167,6.26,,,,,,
2004-08-19 00:00:00,,,,6.3033,6.4067,6.3033,,,,,,
2004-08-20 00:00:00,,,,6.3933,6.4667,6.38,,,,,,
2004-08-23 00:00:00,,,,6.4333,6.4367,6.35,,,,,,
2004-08-24 00:00:00,,,,6.3967,6.4433,6.35,,,,,,
2004-08-25 00:00:00,,,,6.45,6.4667,6.3733,,,,,,
2004-08-26 00:00:00,,,,6.4667,6.4967,6.4467,,,,,,
2004-08-27 00:00:00,,,,6.48,6.4967,6.4167,,,,,,
2004-08-30 00:00:00,,,,6.46,6.4767,6.4233,,,,,,
2004-08-31 00:00:00,,,,6.4733,6.5333,6.4667,,,,,,
2004-09-01 00:00:00,,,,6.5333,6.6133,6.5333,,,,,,
2004-09-02 00:00:00,,,,6.5466999999999995,6.6667,6.5466999999999995,,,,,,
2004-09-03 00:00:00,,,,6.6667,6.9667,6.63,,,,,,
2004-09-07 00:00:00,,,,6.9,6.9233,6.8467,,,,,,
2004-09-08 00:00:00,,,,6.8333,6.8433,6.7667,,,,,,
2004-09-09 00:00:00,,,,6.8567,7.2367,6.8567,,,,,,
2004-09-10 00:00:00,,,,7.1667,7.5333,7.1667,,,,,,
2004-09-13 00:00:00,,,,7.6133,7.6333,7.4533,,,,,,
2004-09-14 00:00:00,,,,7.4667,7.63,7.4433,,,,0,3,2
2004-09-15 00:00:00,,,,7.5600000000000005,7.5833,7.4833,,,,,,
2004-09-16 00:00:00,,,,7.4967,7.4967,7.35,,,,,,
2004-09-17 00:00:00,,,,7.3767,7.3767,7.3,,,,,,
2004-09-20 00:00:00,,,,7.3667,7.5600000000000005,7.3667,,,,,,
2004-09-21 00:00:00,,,,7.45,7.5,7.4233,,,,,,
2004-09-22 00:00:00,,,,7.4333,7.5,7.4267,,,,,,
2004-09-23 00:00:00,,,,7.4833,7.7033000000000005,7.44,,,,0,3,2
2004-09-24 00:00:00,,,,7.6,7.6,7.4533,,,,,,
2004-09-27 00:00:00,,,,7.5,7.6,7.47,,,,,,
2004-09-28 00:00:00,,,,7.6033,7.7267,7.5267,,,,,,
2004-09-29 00:00:00,,,,7.7267,7.88,7.7,,,,,,
2004-09-30 00:00:00,,,,7.8667,7.8667,7.6667,,,,,,
2004-10-01 00:00:00,,,,7.7,7.84,7.6467,,,,,,
2004-10-04 00:00:00,,,,8,8.2533,7.9833,,,,,,
2004-10-05 00:00:00,,,,8.1533,8.26,8.0833,,,,,,
2004-10-06 00:00:00,,,,8.1,8.16,8.0833,,,,,,
2004-10-07 00:00:00,,,,8.2833,8.3333,8.1333,,,,0,4,2
2004-10-08 00:00:00,,,,8.2567,8.4,8.2567,,,,,,
2004-10-11 00:00:00,,,,8.3167,8.4733,8.3167,,,,,,
2004-10-12 00:00:00,,,,8.41,8.41,8.2333,,,,,,
2004-10-13 00:00:00,,,,8.3333,8.39,8.2433,,,,,,
2004-10-14 00:00:00,,,,8.2667,8.3333,8.2667,,,,,,
2004-10-15 00:00:00,,,,8.2967,8.3,8.04,,,,,,
2004-10-18 00:00:00,,,,8.0167,8.2033,7.9167,,,,,,
2004-10-19 00:00:00,,,,8.1667,8.1833,8.0833,,,,,,
2004-10-20 00:00:00,,,,8.1333,8.3867,8.0967,,,,,,
2004-10-21 00:00:00,,,,8.3567,8.4633,8.28,,,,,,
2004-10-22 00:00:00,,,,8.4167,8.58,8.25,,,,,,
2004-10-25 00:00:00,,,,8.3367,8.4233,8.3333,,,,,,
2004-10-26 00:00:00,,,,8.4,8.4633,8.1967,,,,,,
2004-10-27 00:00:00,,,,8.4667,8.7367,8.4667,,,,,,
2004-10-28 00:00:00,,,,8.7,8.8633,8.5967,,,,,,
2004-10-29 00:00:00,,,,8.6667,8.6667,8.4567,,,,,,
2004-11-01 00:00:00,,,,8.6667,8.7167,8.4733,,,,0,5,2
2004-11-02 00:00:00,,,,8.5667,8.74,8.55,,,,,,
2004-11-03 00:00:00,,,,8.6667,8.8167,8.6667,,,,,,
2004-11-04 00:00:00,,,,8.8167,8.9833,8.75,,,,,,
2004-11-05 00:00:00,,,,8.95,9,8.8667,,,,,,
2004-11-08 00:00:00,,,,8.9433,9,8.91,,,,,,
2004-11-09 00:00:00,,,,8.9867,8.9867,8.5433,,,,,,
2004-11-10 00:00:00,,,,8.5333,8.7567,8.5133,,,,,,
2004-11-11 00:00:00,,,,8.6333,8.7267,8.6167,,,,,,
2004-11-12 00:00:00,,,,8.6667,8.81,8.6667,,,,,,
2004-11-15 00:00:00,,,,8.5333,8.6333,8.37,,,,,,
2004-11-16 00:00:00,,,,8.45,8.6167,8.42,,,,,,
2004-11-17 00:00:00,,,,8.65,8.78,8.5267,,,,,,
2004-11-18 00:00:00,,,,8.6533,8.7267,8.5833,,,,,,
2004-11-19 00:00:00,,,,8.5867,8.6633,8.5667,,,,0,4,2
2004-11-22 00:00:00,,,,8.5967,8.6833,8.5233,,,,,,
2004-11-23 00:00:00,,,,8.6667,8.7667,8.5,,,,,,
2004-11-24 00:00:00,,,,8.6367,8.8033,8.6167,,,,,,
2004-11-26 00:00:00,,,,8.8,8.9767,8.7667,,,,,,
2004-11-29 00:00:00,,,,8.9667,8.9733,8.64,,,,,,
2004-11-30 00:00:00,,,,8.94,9.0333,8.8333,,,,,,
2004-12-01 00:00:00,,,,9.03,9.6633,9.03,,,,,,
2004-12-02 00:00:00,,,,9.6333,10.1967,9.6167,,,,,,
2004-12-03 00:00:00,,,,10.04,10.5833,9.8833,,,,,,
2004-12-06 00:00:00,,,,10.27,10.5333,10.03,,,,,,
2004-12-07 00:00:00,,,,10.03,10.2267,9.3333,,,,,,
2004-12-08 00:00:00,,,,9.3733,9.8133,9.3333,,,,,,
2004-12-09 00:00:00,,,,9.8,10,9.6167,,,,0,5,2
2004-12-10 00:00:00,,,,9.9333,9.9933,9.7,,,,,,
2004-12-13 00:00:00,,,,9.9833,9.9833,9.8,,,,,,
2004-12-14 00:00:00,,,,9.9167,10.0667,9.9,,,,,,
2004-12-15 00:00:00,,,,10.0467,10.2167,9.9333,,,,,,
2004-12-16 00:00:00,,,,10.11,10.11,9.7033,,,,,,
2004-12-17 00:00:00,,,,9.9933,10.0833,9.8167,,,,,,
2004-12-20 00:00:00,,,,9.9333,9.9333,9.5933,,,,,,
2004-12-21 00:00:00,,,,9.9,10.1333,9.8467,,,,,,
2004-12-22 00:00:00,,,,10.7,10.7,10.2,,,,0,6,1
2004-12-23 00:00:00,,,,10.4,10.8733,10.4,,,,0,6,1
2004-12-27 00:00:00,,,,10.8833,10.9,10.5667,,,,,,
2004-12-28 00:00:00,,,,10.6433,10.7533,10.3667,,,,,,
2004-12-29 00:00:00,,,,10.75,11.04,10.72,,,,,,
2004-12-30 00:00:00,,,,11.0833,11.3167,11.0833,,,,0,6,1
2004-12-31 00:00:00,,,,11.3033,11.3633,11.11,,,,,,
2005-01-03 00:00:00,,,,10.6667,11.1333,10.6667,,,,,,
2005-01-04 00:00:00,,,,10.9833,10.9833,10.7767,,,,,,
2005-01-05 00:00:00,,,,10.96,10.9667,10.4,,,,,,
2005-01-06 00:00:00,,,,10.5867,10.8,10.5667,,,,,,
2005-01-07 00:00:00,,,,10.7433,10.8333,10.6133,,,,,,
2005-01-10 00:00:00,,,,10.71,11.31,10.71,,,,,,
2005-01-11 00:00:00,,,,11.15,11.1833,10.8333,,,,,,
2005-01-12 00:00:00,,,,10.9,11.3167,10.8533,,,,,,
2005-01-13 00:00:00,,,,11.1833,11.3,10.99,,,,,,
2005-01-14 00:00:00,,,,11.1667,11.33,11.15,,,,,,
2005-01-18 00:00:00,,,,11.3167,11.7167,11.2333,,,,,,
2005-01-19 00:00:00,,,,11.5333,11.54,11.2833,,,,,,
2005-01-20 00:00:00,,,,11.3,11.3733,11.0667,,,,,,
2005-01-21 00:00:00,,,,11.07,11.2,10.9333,,,,,,
2005-01-24 00:00:00,,,,11.2333,11.3333,10.97,,,,,,
