Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,32.8,33.75,32.31,,,,0,2,0
2010-06-16 00:00:00,,,,32.37,32.79,32,,,,,,
2010-06-17 00:00:00,,,,32.35,32.48,31.25,,,,,,
2010-06-18 00:00:00,,,,31.45,31.58,30.76,,,,,,
2010-06-21 00:00:00,,,,31.66,32.98,31.01,,,,,,
2010-06-22 00:00:00,,,,32.38,33.15,31.81,,,,,,
2010-06-23 00:00:00,,,,33,33.5,32,,,,,,
2010-06-24 00:00:00,,,,33.49,34.15,32.77,,,,,,
2010-06-25 00:00:00,,,,33.3,33.35,32.07,,,,,,
2010-06-28 00:00:00,,,,32.47,33.05,31.76,,,,,,
2010-06-29 00:00:00,,,,32.25,32.3,31.28,,,,,,
2010-06-30 00:00:00,,,,31.99,32.65,31.74,,,,,,
2010-07-01 00:00:00,,,,32.25,32.49,30,,,,0,2,0
2010-07-02 00:00:00,,,,30.25,31,30.02,,,,0,2,1
2010-07-06 00:00:00,,,,31.4,31.4,29.7,,,,,,
2010-07-07 00:00:00,,,,29.8,30.43,29.19,,,,,,
2010-07-08 00:00:00,,,,29.05,30.29,28.45,,,,1,2,1
2010-07-09 00:00:00,,,,29.22,29.25,28.66,,,,,,
2010-07-12 00:00:00,,,,28.75,28.77,26.67,,,,,,
2010-07-13 00:00:00,,,,27.38,27.97,26.93,,,,,,
2010-07-14 00:00:00,,,,27.87,27.87,27.18,,,,,,
2010-07-15 00:00:00,,,,27.2,27.2,26.11,,,,1,2,1
2010-07-16 00:00:00,,,,26.26,27.12,26.22,,,,,,
2010-07-19 00:00:00,,,,26.93,26.93,26.11,,,,,,
2010-07-20 00:00:00,,,,26.24,26.66,26,,,,,,
2010-07-21 00:00:00,,,,26.11,27.08,26.11,,,,,,
2010-07-22 00:00:00,,,,26.9,27.6,26.78,,,,,,
2010-07-23 00:00:00,,,,26.89,27.16,26.66,,,,,,
2010-07-26 00:00:00,,,,27,27.1,26.12,,,,1,2,11
2010-07-27 00:00:00,,,,26.41,27.6,26.25,,,,1,3,11
2010-07-28 00:00:00,,,,27.05,27.21,26.64,,,,1,3,11
2010-07-29 00:00:00,,,,27,27.01,26.3,,,,,,
2010-07-30 00:00:00,,,,26.47,27.18,26.32,,,,1,3,11
2010-08-02 00:00:00,,,,27.14,27.62,26.74,,,,1,3,11
2010-08-03 00:00:00,,,,27.34,27.63,27.2,,,,1,3,11
2010-08-04 00:00:00,,,,27.3,27.5,26.65,,,,,,
2010-08-05 00:00:00,,,,26.26,26.26,24.25,,,,1,3,11
2010-08-06 00:00:00,,,,24.25,24.34,23.12,,,,1,3,11
2010-08-09 00:00:00,,,,24,24.18,23.54,,,,1,4,11
2010-08-10 00:00:00,,,,23.89,23.89,23,,,,1,4,11
2010-08-11 00:00:00,,,,22.86,23.12,22.38,,,,,,
2010-08-12 00:00:00,,,,22.94,23.54,22.82,,,,,,
2010-08-13 00:00:00,,,,23.1,23.36,22.8,,,,1,4,11
2010-08-16 00:00:00,,,,22.79,23.14,22.74,,,,,,
2010-08-17 00:00:00,,,,22.87,23.15,22.49,,,,1,4,11
2010-08-18 00:00:00,,,,22.88,23.18,22.5,,,,1,4,11
2010-08-19 00:00:00,,,,23.43,23.65,22.8,,,,1,4,11
2010-08-20 00:00:00,,,,22.91,22.94,22.63,,,,1,4,11
2010-08-23 00:00:00,,,,22.78,23.17,22.78,,,,,,
2010-08-24 00:00:00,,,,22.5,22.61,21.25,,,,,,
2010-08-25 00:00:00,,,,21.29,21.83,21.25,,,,,,
2010-08-26 00:00:00,,,,21.76,22.27,21.25,,,,1,4,12
2010-08-27 00:00:00,,,,21.36,21.36,20.25,,,,1,4,12
2010-08-30 00:00:00,,,,20.87,21.17,20.36,,,,,,
2010-08-31 00:00:00,,,,20.51,20.98,20.41,,,,1,4,12
2010-09-01 00:00:00,,,,21.06,21.97,20.95,,,,1,4,12
2010-09-02 00:00:00,,,,21.79,21.9,21.03,,,,1,4,12
2010-09-03 00:00:00,,,,21.75,22.43,21.6,,,,1,4,12
2010-09-07 00:00:00,,,,22.23,22.23,21.74,,,,1,4,12
2010-09-08 00:00:00,,,,22.22,22.58,21.87,,,,,,
2010-09-09 00:00:00,,,,22.51,22.51,21.53,,,,1,4,12
2010-09-10 00:00:00,,,,21.79,22.22,21.73,,,,1,4,12
2010-09-13 00:00:00,,,,22.18,22.18,21.45,,,,1,4,12
2010-09-14 00:00:00,,,,21.57,22.66,21.56,,,,,,
2010-09-15 00:00:00,,,,21.9,22.55,21.9,,,,1,4,12
2010-09-16 00:00:00,,,,22.34,22.64,22.03,,,,,,
2010-09-17 00:00:00,,,,22.3,22.84,22.27,,,,1,4,12
2010-09-20 00:00:00,,,,22.29,22.32,21.47,,,,1,4,12
2010-09-21 00:00:00,,,,21.93,21.97,21.38,,,,,,
2010-09-22 00:00:00,,,,21.61,21.84,21.21,,,,1,4,12
2010-09-23 00:00:00,,,,21.06,21.2,20.58,,,,,,
2010-09-24 00:00:00,,,,20.8,20.95,20.55,,,,1,4,12
2010-09-27 00:00:00,,,,20.66,21.31,20.39,,,,,,
2010-09-28 00:00:00,,,,21.03,21.44,20.84,,,,,,
2010-09-29 00:00:00,,,,21.35,21.46,20.76,,,,,,
2010-09-30 00:00:00,,,,20.97,20.99,19.63,,,,1,4,12
2010-10-01 00:00:00,,,,20.25,20.62,19.83,,,,1,4,12
2010-10-04 00:00:00,,,,20.57,20.68,20.02,,,,1,4,12
2010-10-05 00:00:00,,,,20.47,20.93,20.35,,,,1,4,12
2010-10-06 00:00:00,,,,20.8,20.92,20.62,,,,1,4,12
2010-10-07 00:00:00,,,,20.83,20.9,20.33,,,,1,4,12
2010-10-08 00:00:00,,,,20.57,20.96,20.5,,,,1,4,12
2010-10-11 00:00:00,,,,20.9,21.43,20.6,,,,1,4,12
2010-10-12 00:00:00,,,,21.06,22.38,21.06,,,,,,
2010-10-13 00:00:00,,,,22.48,22.76,22.13,,,,1,4,12
2010-10-14 00:00:00,,,,22.3,22.8,22.18,,,,1,4,12
2010-10-15 00:00:00,,,,22.69,22.69,22.23,,,,1,4,13
2010-10-18 00:00:00,,,,22.45,23.47,22.36,,,,,,
2010-10-19 00:00:00,,,,23.2,23.5,23.07,,,,,,
2010-10-20 00:00:00,,,,23.2,23.92,22.93,,,,,,
2010-10-21 00:00:00,,,,23.88,24.06,23.5,,,,,,
2010-10-22 00:00:00,,,,24.04,24.59,24.02,,,,1,4,13
2010-10-25 00:00:00,,,,24.62,24.98,24.3,,,,,,
2010-10-26 00:00:00,,,,24.6,24.75,24,,,,,,
2010-10-27 00:00:00,,,,24,24.2,23.91,,,,1,4,13
2010-10-28 00:00:00,,,,24.18,24.23,23.71,,,,,,
2010-10-29 00:00:00,,,,23.92,24.16,23.92,,,,1,4,13
2010-11-01 00:00:00,,,,24.03,24.32,23.13,,,,1,4,13
2010-11-02 00:00:00,,,,23.69,24.15,23.63,,,,,,
2010-11-03 00:00:00,,,,24.06,24.22,23.63,,,,,,
2010-11-04 00:00:00,,,,24.45,24.45,23.81,,,,1,4,13
2010-11-05 00:00:00,,,,24.09,25,23.99,,,,1,4,13
2010-11-08 00:00:00,,,,24.67,25,24,,,,1,4,13
2010-11-09 00:00:00,,,,25,25.14,24.56,,,,1,4,13
2010-11-10 00:00:00,,,,25,25.18,24.61,,,,,,
2010-11-11 00:00:00,,,,24.6,24.93,24.35,,,,,,
2010-11-12 00:00:00,,,,24.58,24.73,24.1,,,,1,4,13
2010-11-15 00:00:00,,,,24.1,24.41,24.05,,,,,,
2010-11-16 00:00:00,,,,24.12,24.94,24.08,,,,1,4,13
2010-11-17 00:00:00,,,,24.75,24.75,24.33,,,,,,
2010-11-18 00:00:00,,,,24.55,24.8,24.4,,,,1,4,13
2010-11-19 00:00:00,,,,24.71,25.29,24.35,,,,1,4,13
2010-11-22 00:00:00,,,,24.9,24.92,24.59,,,,,,
2010-11-23 00:00:00,,,,24.5,24.87,24.5,,,,,,
2010-11-24 00:00:00,,,,24.49,24.49,23.1,,,,1,4,13
2010-11-26 00:00:00,,,,23.73,24.57,23.36,,,,,,
2010-11-29 00:00:00,,,,23.5,23.85,23.23,,,,1,4,12
2010-11-30 00:00:00,,,,23.53,23.83,23.42,,,,,,
2010-12-01 00:00:00,,,,23.95,24.33,23.91,,,,1,4,12
2010-12-02 00:00:00,,,,23.91,24.34,23.91,,,,1,4,12
2010-12-03 00:00:00,,,,24.07,24.42,24.07,,,,1,4,12
2010-12-06 00:00:00,,,,24.4,25.1,24.2,,,,,,
2010-12-07 00:00:00,,,,25.06,25.06,24.45,,,,,,
2010-12-08 00:00:00,,,,24.71,24.71,24.1,,,,1,4,13
2010-12-09 00:00:00,,,,24.35,24.38,23.35,,,,,,
2010-12-10 00:00:00,,,,23.47,23.64,22.91,,,,1,4,13
