Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,3.25,3.31,3.2,,,,,,
2005-08-12 00:00:00,,,,3.25,3.6,3.25,,,,,,
2005-08-15 00:00:00,,,,3.55,3.57,3.452,,,,,,
2005-08-16 00:00:00,,,,3.38,3.46,3.38,,,,,,
2005-08-17 00:00:00,,,,3.43,3.44,3.36,,,,,,
2005-08-18 00:00:00,,,,3.39,3.396,3.25,,,,,,
2005-08-19 00:00:00,,,,3.298,3.338,3.25,,,,,,
2005-08-22 00:00:00,,,,3.33,3.402,3.282,,,,,,
2005-08-23 00:00:00,,,,3.5,3.584,3.46,,,,,,
2005-08-24 00:00:00,,,,3.5,3.55,3.466,,,,,,
2005-08-25 00:00:00,,,,3.54,3.54,3.48,,,,,,
2005-08-26 00:00:00,,,,3.51,3.5220000000000002,3.48,,,,,,
2005-08-29 00:00:00,,,,3.38,3.436,3.368,,,,,,
2005-08-30 00:00:00,,,,3.422,3.4779999999999998,3.39,,,,,,
2005-08-31 00:00:00,,,,3.412,3.412,3.324,,,,,,
2005-09-01 00:00:00,,,,3.37,3.37,3.12,,,,,,
2005-09-02 00:00:00,,,,3.282,3.316,3.202,,,,,,
2005-09-06 00:00:00,,,,3.24,3.29,3.234,,,,,,
2005-09-07 00:00:00,,,,3.282,3.284,3.204,,,,,,
2005-09-08 00:00:00,,,,3.25,3.304,3.25,,,,,,
2005-09-09 00:00:00,,,,3.31,3.32,3.284,,,,,,
2005-09-12 00:00:00,,,,3.29,3.304,3.202,,,,,,
2005-09-13 00:00:00,,,,3.224,3.224,3.14,,,,,,
2005-09-14 00:00:00,,,,3.15,3.174,3.13,,,,,,
2005-09-15 00:00:00,,,,3.15,3.162,3.006,,,,,,
2005-09-16 00:00:00,,,,3.012,3.068,2.91,,,,,,
2005-09-19 00:00:00,,,,3.05,3.19,3.038,,,,,,
2005-09-20 00:00:00,,,,3.1,3.206,3.09,,,,,,
2005-09-21 00:00:00,,,,3.14,3.14,2.94,,,,,,
2005-09-22 00:00:00,,,,3,3.014,2.9,,,,,,
2005-09-23 00:00:00,,,,2.9,3.14,2.896,,,,,,
2005-09-26 00:00:00,,,,3.12,3.16,3.05,,,,0,0,1
2005-09-27 00:00:00,,,,3.09,3.112,3.068,,,,,,
2005-09-28 00:00:00,,,,3.076,3.076,2.996,,,,,,
2005-09-29 00:00:00,,,,3.038,3.056,2.964,,,,,,
2005-09-30 00:00:00,,,,3.01,3.02,2.932,,,,,,
2005-10-03 00:00:00,,,,2.9699999999999998,2.9699999999999998,2.87,,,,,,
2005-10-04 00:00:00,,,,2.89,2.9,2.806,,,,,,
2005-10-05 00:00:00,,,,2.8,2.8,2.57,,,,,,
2005-10-06 00:00:00,,,,2.64,2.698,2.62,,,,,,
2005-10-07 00:00:00,,,,2.76,2.76,2.694,,,,,,
2005-10-10 00:00:00,,,,2.714,2.724,2.4939999999999998,,,,,,
2005-10-11 00:00:00,,,,2.5300000000000002,2.5300000000000002,2.402,,,,,,
2005-10-12 00:00:00,,,,2.424,2.436,2.364,,,,,,
2005-10-13 00:00:00,,,,2.386,2.386,2.238,,,,,,
2005-10-14 00:00:00,,,,2.268,2.5,2.2640000000000002,,,,,,
2005-10-17 00:00:00,,,,2.472,2.4779999999999998,2.42,,,,,,
2005-10-18 00:00:00,,,,2.44,2.44,2.388,,,,0,0,1
2005-10-19 00:00:00,,,,2.42,2.45,2.388,,,,0,1,1
2005-10-20 00:00:00,,,,2.44,2.616,2.438,,,,,,
2005-10-21 00:00:00,,,,2.566,2.61,2.5540000000000003,,,,,,
2005-10-24 00:00:00,,,,2.592,2.64,2.592,,,,,,
2005-10-25 00:00:00,,,,2.646,2.682,2.616,,,,,,
2005-10-26 00:00:00,,,,2.63,2.67,2.59,,,,,,
2005-10-27 00:00:00,,,,2.61,2.636,2.59,,,,,,
2005-10-28 00:00:00,,,,2.64,2.692,2.64,,,,,,
2005-10-31 00:00:00,,,,2.7,2.798,2.7,,,,,,
2005-11-01 00:00:00,,,,2.83,2.85,2.71,,,,,,
2005-11-02 00:00:00,,,,2.724,2.75,2.65,,,,,,
2005-11-03 00:00:00,,,,2.68,2.7,2.642,,,,,,
2005-11-04 00:00:00,,,,2.66,2.7560000000000002,2.644,,,,,,
2005-11-07 00:00:00,,,,2.68,2.76,2.672,,,,,,
2005-11-08 00:00:00,,,,2.686,2.71,2.67,,,,,,
2005-11-09 00:00:00,,,,2.706,2.7560000000000002,2.692,,,,,,
2005-11-10 00:00:00,,,,2.85,2.878,2.662,,,,,,
2005-11-11 00:00:00,,,,2.758,2.83,2.758,,,,0,1,1
2005-11-14 00:00:00,,,,2.7960000000000003,2.84,2.784,,,,0,1,1
2005-11-15 00:00:00,,,,2.83,3.01,2.8120000000000003,,,,,,
2005-11-16 00:00:00,,,,3.02,3.098,3,,,,,,
2005-11-17 00:00:00,,,,3.05,3.176,3.024,,,,,,
2005-11-18 00:00:00,,,,3.16,3.16,3.03,,,,,,
2005-11-21 00:00:00,,,,3.18,3.19,3.132,,,,,,
2005-11-22 00:00:00,,,,3.164,3.18,3.102,,,,,,
2005-11-23 00:00:00,,,,3.15,3.15,3.096,,,,,,
2005-11-25 00:00:00,,,,3.11,3.134,3.11,,,,,,
2005-11-28 00:00:00,,,,3.132,3.138,3.07,,,,,,
2005-11-29 00:00:00,,,,3.116,3.116,3.09,,,,,,
2005-11-30 00:00:00,,,,3.096,3.116,3.08,,,,,,
2005-12-01 00:00:00,,,,3.084,3.1,3.02,,,,,,
2005-12-02 00:00:00,,,,3.052,3.106,3.034,,,,,,
2005-12-05 00:00:00,,,,3.09,3.16,3.06,,,,,,
2005-12-06 00:00:00,,,,3.146,3.17,3.134,,,,,,
2005-12-07 00:00:00,,,,3.17,3.196,3.124,,,,,,
2005-12-08 00:00:00,,,,3.124,3.124,3.016,,,,,,
2005-12-09 00:00:00,,,,3.038,3.04,2.984,,,,,,
2005-12-12 00:00:00,,,,3.044,3.074,3.012,,,,,,
2005-12-13 00:00:00,,,,3.022,3.05,2.9459999999999997,,,,,,
2005-12-14 00:00:00,,,,2.9699999999999998,2.99,2.94,,,,,,
2005-12-15 00:00:00,,,,2.95,2.996,2.924,,,,,,
2005-12-16 00:00:00,,,,3.016,3.04,3.004,,,,,,
2005-12-19 00:00:00,,,,3.02,3.06,2.96,,,,,,
2005-12-20 00:00:00,,,,2.96,3.01,2.926,,,,1,1,1
2005-12-21 00:00:00,,,,2.996,3,2.924,,,,,,
2005-12-22 00:00:00,,,,2.952,3.074,2.952,,,,,,
2005-12-23 00:00:00,,,,3.03,3.08,3.03,,,,,,
2005-12-27 00:00:00,,,,3.056,3.098,3.05,,,,,,
2005-12-28 00:00:00,,,,3.056,3.058,2.9859999999999998,,,,,,
2005-12-29 00:00:00,,,,3.06,3.088,3.05,,,,,,
2005-12-30 00:00:00,,,,3.066,3.08,3.038,,,,,,
2006-01-03 00:00:00,,,,3.05,3.08,3.02,,,,,,
2006-01-04 00:00:00,,,,3.06,3.14,3.06,,,,,,
2006-01-05 00:00:00,,,,3.12,3.2439999999999998,3.114,,,,,,
2006-01-06 00:00:00,,,,3.22,3.22,3.166,,,,,,
2006-01-09 00:00:00,,,,3.204,3.32,3.204,,,,,,
2006-01-10 00:00:00,,,,3.246,3.296,3.224,,,,,,
2006-01-11 00:00:00,,,,3.29,3.29,3.24,,,,,,
2006-01-12 00:00:00,,,,3.25,3.316,3.23,,,,,,
2006-01-13 00:00:00,,,,3.262,3.284,3.254,,,,,,
2006-01-17 00:00:00,,,,3.2439999999999998,3.268,3.172,,,,,,
2006-01-18 00:00:00,,,,3.24,3.318,3.212,,,,,,
2006-01-19 00:00:00,,,,3.32,3.322,3.268,,,,,,
2006-01-20 00:00:00,,,,3.312,3.318,3.178,,,,,,
2006-01-23 00:00:00,,,,3.194,3.276,3.192,,,,0,1,1
2006-01-24 00:00:00,,,,3.25,3.32,3.24,,,,,,
2006-01-25 00:00:00,,,,3.3,3.308,3.222,,,,,,
2006-01-26 00:00:00,,,,3.266,3.366,3.266,,,,,,
2006-01-27 00:00:00,,,,3.35,3.42,3.342,,,,,,
2006-01-30 00:00:00,,,,3.4,3.45,3.354,,,,,,
2006-01-31 00:00:00,,,,3.38,3.424,3.37,,,,,,
2006-02-01 00:00:00,,,,3.384,3.384,3.35,,,,,,
2006-02-02 00:00:00,,,,3.344,3.356,3.266,,,,,,
2006-02-03 00:00:00,,,,3.296,3.38,3.276,,,,,,
2006-02-06 00:00:00,,,,3.376,3.418,3.37,,,,,,
2006-02-07 00:00:00,,,,3.418,3.418,3.376,,,,,,
2006-02-08 00:00:00,,,,3.386,3.462,3.37,,,,,,
2006-02-09 00:00:00,,,,3.446,3.558,3.44,,,,,,
2006-02-10 00:00:00,,,,3.5,3.516,3.4699999999999998,,,,,,
2006-02-13 00:00:00,,,,3.468,3.468,3.408,,,,,,
2006-02-14 00:00:00,,,,3.4,3.484,3.364,,,,,,
2006-02-15 00:00:00,,,,3.474,3.52,3.42,,,,,,
2006-02-16 00:00:00,,,,3.4939999999999998,3.52,3.446,,,,,,
2006-02-17 00:00:00,,,,3.4939999999999998,3.51,3.444,,,,,,
2006-02-21 00:00:00,,,,3.456,3.456,3.368,,,,,,
2006-02-22 00:00:00,,,,3.418,3.548,3.406,,,,,,
2006-02-23 00:00:00,,,,3.5300000000000002,3.58,3.498,,,,,,
2006-02-24 00:00:00,,,,3.38,3.838,3.376,,,,0,1,2
2006-02-27 00:00:00,,,,3.678,3.678,3.488,,,,0,0,3
2006-02-28 00:00:00,,,,3.58,3.59,3.5,,,,,,
2006-03-01 00:00:00,,,,3.5300000000000002,3.592,3.488,,,,,,
2006-03-02 00:00:00,,,,3.56,3.596,3.474,,,,,,
2006-03-03 00:00:00,,,,3.4699999999999998,3.48,3.438,,,,,,
2006-03-06 00:00:00,,,,3.44,3.45,3.35,,,,,,
2006-03-07 00:00:00,,,,3.38,3.404,3.372,,,,,,
2006-03-08 00:00:00,,,,3.382,3.392,3.346,,,,,,
2006-03-09 00:00:00,,,,3.376,3.39,3.336,,,,0,0,2
2006-03-10 00:00:00,,,,3.344,3.388,3.33,,,,,,
2006-03-13 00:00:00,,,,3.38,3.38,3.342,,,,,,
2006-03-14 00:00:00,,,,3.35,3.376,3.34,,,,,,
2006-03-15 00:00:00,,,,3.37,3.404,3.328,,,,,,
2006-03-16 00:00:00,,,,3.348,3.358,3.304,,,,,,
2006-03-17 00:00:00,,,,3.33,3.38,3.328,,,,,,
2006-03-20 00:00:00,,,,3.37,3.374,3.324,,,,,,
2006-03-21 00:00:00,,,,3.338,3.338,3.23,,,,,,
2006-03-22 00:00:00,,,,3.248,3.366,3.2359999999999998,,,,,,
2006-03-23 00:00:00,,,,3.362,3.412,3.338,,,,,,
2006-03-24 00:00:00,,,,3.382,3.41,3.346,,,,,,
2006-03-27 00:00:00,,,,3.398,3.41,3.37,,,,,,
2006-03-28 00:00:00,,,,3.36,3.362,3.3,,,,,,
2006-03-29 00:00:00,,,,3.32,3.378,3.312,,,,,,
2006-03-30 00:00:00,,,,3.33,3.412,3.33,,,,,,
2006-03-31 00:00:00,,,,3.38,3.402,3.316,,,,,,
2006-04-03 00:00:00,,,,3.402,3.444,3.4,,,,,,
2006-04-04 00:00:00,,,,3.414,3.428,3.358,,,,,,
2006-04-05 00:00:00,,,,3.37,3.414,3.262,,,,,,
2006-04-06 00:00:00,,,,3.372,3.406,3.318,,,,,,
2006-04-07 00:00:00,,,,3.4,3.4,3.2800000000000002,,,,,,
2006-04-10 00:00:00,,,,3.368,3.4,3.302,,,,,,
2006-04-11 00:00:00,,,,3.312,3.328,3.226,,,,,,
2006-04-12 00:00:00,,,,3.22,3.348,3.22,,,,,,
2006-04-13 00:00:00,,,,3.292,3.348,3.284,,,,,,
2006-04-17 00:00:00,,,,3.32,3.372,3.282,,,,,,
2006-04-18 00:00:00,,,,3.278,3.4,3.27,,,,,,
2006-04-19 00:00:00,,,,3.4,3.496,3.368,,,,,,
2006-04-20 00:00:00,,,,3.484,3.6,3.476,,,,,,
2006-04-21 00:00:00,,,,3.614,3.634,3.446,,,,,,
2006-04-24 00:00:00,,,,3.55,3.558,3.464,,,,1,0,2
2006-04-25 00:00:00,,,,3.48,3.56,3.45,,,,,,
2006-04-26 00:00:00,,,,3.576,3.668,3.524,,,,,,
2006-04-27 00:00:00,,,,3.52,3.59,3.4939999999999998,,,,,,
2006-04-28 00:00:00,,,,3.5,3.5,3.322,,,,,,
2006-05-01 00:00:00,,,,3.4,3.566,3.37,,,,,,
2006-05-02 00:00:00,,,,3.59,3.75,3.58,,,,,,
2006-05-03 00:00:00,,,,3.74,3.74,3.642,,,,,,
2006-05-04 00:00:00,,,,3.666,3.666,3.574,,,,,,
2006-05-05 00:00:00,,,,3.58,3.61,3.534,,,,,,
2006-05-08 00:00:00,,,,3.592,3.592,3.4859999999999998,,,,,,
2006-05-09 00:00:00,,,,3.524,3.536,3.5,,,,,,
2006-05-10 00:00:00,,,,3.496,3.6,3.46,,,,,,
2006-05-11 00:00:00,,,,3.4939999999999998,3.564,3.408,,,,,,
2006-05-12 00:00:00,,,,3.41,3.426,3.352,,,,,,
2006-05-15 00:00:00,,,,3.344,3.39,3.32,,,,,,
2006-05-16 00:00:00,,,,3.336,3.5060000000000002,3.328,,,,,,
2006-05-17 00:00:00,,,,3.462,3.508,3.34,,,,,,
2006-05-18 00:00:00,,,,3.388,3.466,3.35,,,,,,
2006-05-19 00:00:00,,,,3.394,3.468,3.36,,,,,,
2006-05-22 00:00:00,,,,3.374,3.476,3.228,,,,,,
2006-05-23 00:00:00,,,,3.35,3.43,3.252,,,,,,
2006-05-24 00:00:00,,,,3.2720000000000002,3.32,3.22,,,,,,
2006-05-25 00:00:00,,,,3.346,3.466,3.324,,,,,,
2006-05-26 00:00:00,,,,3.42,3.46,3.352,,,,,,
2006-05-30 00:00:00,,,,3.43,3.468,3.308,,,,,,
2006-05-31 00:00:00,,,,3.37,3.438,3.304,,,,,,
2006-06-01 00:00:00,,,,3.416,3.416,3.296,,,,,,
2006-06-02 00:00:00,,,,3.36,3.372,3.2560000000000002,,,,,,
2006-06-05 00:00:00,,,,3.2640000000000002,3.2640000000000002,3.2,,,,,,
2006-06-06 00:00:00,,,,3.2,3.25,3.112,,,,,,
2006-06-07 00:00:00,,,,3.138,3.194,3.058,,,,,,
2006-06-08 00:00:00,,,,3.12,3.12,3.002,,,,1,0,2
2006-06-09 00:00:00,,,,3.064,3.066,2.9619999999999997,,,,1,0,3
2006-06-12 00:00:00,,,,2.976,2.976,2.828,,,,,,
2006-06-13 00:00:00,,,,2.81,2.83,2.644,,,,,,
2006-06-14 00:00:00,,,,2.678,2.836,2.678,,,,,,
2006-06-15 00:00:00,,,,2.852,2.928,2.834,,,,,,
2006-06-16 00:00:00,,,,2.878,2.888,2.83,,,,,,
2006-06-19 00:00:00,,,,2.856,2.856,2.752,,,,,,
2006-06-20 00:00:00,,,,2.75,2.754,2.694,,,,,,
2006-06-21 00:00:00,,,,2.738,2.8120000000000003,2.73,,,,1,0,3
2006-06-22 00:00:00,,,,2.7800000000000002,2.7800000000000002,2.698,,,,,,
2006-06-23 00:00:00,,,,2.714,2.836,2.676,,,,,,
2006-06-26 00:00:00,,,,2.846,2.846,2.798,,,,,,
2006-06-27 00:00:00,,,,2.814,2.814,2.7,,,,,,
2006-06-28 00:00:00,,,,2.716,2.742,2.658,,,,,,
2006-06-29 00:00:00,,,,2.71,2.888,2.71,,,,,,
2006-06-30 00:00:00,,,,2.91,2.942,2.832,,,,,,
2006-07-03 00:00:00,,,,2.81,2.846,2.774,,,,,,
2006-07-05 00:00:00,,,,2.808,2.826,2.748,,,,,,
2006-07-06 00:00:00,,,,2.816,2.85,2.766,,,,,,
2006-07-07 00:00:00,,,,2.794,2.794,2.726,,,,,,
2006-07-10 00:00:00,,,,2.75,2.7720000000000002,2.726,,,,,,
2006-07-11 00:00:00,,,,2.722,2.784,2.67,,,,,,
2006-07-12 00:00:00,,,,2.754,2.856,2.748,,,,,,
2006-07-13 00:00:00,,,,2.7199999999999998,2.762,2.666,,,,,,
2006-07-14 00:00:00,,,,2.68,2.69,2.612,,,,,,
2006-07-17 00:00:00,,,,2.638,2.658,2.582,,,,,,
2006-07-18 00:00:00,,,,2.62,2.668,2.6,,,,,,
2006-07-19 00:00:00,,,,2.672,2.832,2.672,,,,,,
2006-07-20 00:00:00,,,,2.842,2.85,2.738,,,,,,
2006-07-21 00:00:00,,,,2.74,2.8120000000000003,2.708,,,,,,
2006-07-24 00:00:00,,,,2.77,2.86,2.7359999999999998,,,,,,
2006-07-25 00:00:00,,,,2.87,2.972,2.84,,,,,,
2006-07-26 00:00:00,,,,2.9619999999999997,2.988,2.88,,,,,,
2006-07-27 00:00:00,,,,2.99,3.05,2.912,,,,,,
2006-07-28 00:00:00,,,,3.18,3.202,3.126,,,,,,
2006-07-31 00:00:00,,,,3.152,3.274,3.096,,,,1,0,3
2006-08-01 00:00:00,,,,3.242,3.242,3.122,,,,,,
2006-08-02 00:00:00,,,,3.176,3.176,3.042,,,,,,
2006-08-03 00:00:00,,,,3.042,3.098,3.02,,,,,,
2006-08-04 00:00:00,,,,3.11,3.172,3.042,,,,,,
2006-08-07 00:00:00,,,,3.05,3.08,3.024,,,,,,
2006-08-08 00:00:00,,,,3.092,3.114,2.976,,,,,,
2006-08-09 00:00:00,,,,3.022,3.052,3,,,,,,
2006-08-10 00:00:00,,,,2.99,3.036,2.9619999999999997,,,,,,
2006-08-11 00:00:00,,,,2.95,3.042,2.902,,,,,,
2006-08-14 00:00:00,,,,2.934,3.038,2.922,,,,,,
2006-08-15 00:00:00,,,,3.036,3.098,2.988,,,,,,
2006-08-16 00:00:00,,,,3.096,3.12,3.08,,,,,,
2006-08-17 00:00:00,,,,3.1,3.11,3.068,,,,,,
