Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,3.6062,3.8426,3.6062,,,,0,4,0
2000-05-02 00:00:00,,,,3.6653000000000002,3.7244,3.6062,,,,,,
2000-05-03 00:00:00,,,,3.7244,4.0791,3.7244,,,,,,
2000-05-04 00:00:00,,,,3.9609,4.02,3.7244,,,,,,
2000-05-05 00:00:00,,,,3.7835,3.7835,3.7244,,,,,,
2000-05-08 00:00:00,,,,3.7835,4.0791,3.7835,,,,,,
2000-05-09 00:00:00,,,,4.0791,4.1382,3.9017,,,,,,
2000-05-10 00:00:00,,,,4.1382,4.1382,3.8426,,,,,,
2000-05-11 00:00:00,,,,3.9609,4.02,3.9017,,,,,,
2000-05-12 00:00:00,,,,4.02,4.02,3.9609,,,,,,
2000-05-15 00:00:00,,,,4.02,4.1382,3.9609,,,,,,
2000-05-16 00:00:00,,,,4.02,4.02,3.8426,,,,0,4,0
2000-05-17 00:00:00,,,,3.9609,4.8476,3.9609,,,,,,
2000-05-18 00:00:00,,,,4.7885,5.025,4.6703,,,,,,
2000-05-19 00:00:00,,,,4.7885,4.9067,4.6112,,,,,,
2000-05-22 00:00:00,,,,4.9067,5.0841,4.7885,,,,,,
2000-05-23 00:00:00,,,,4.8476,4.9658999999999995,4.7294,,,,0,3,1
2000-05-24 00:00:00,,,,4.7885,4.9067,4.6112,,,,,,
2000-05-25 00:00:00,,,,4.8476,5.2614,4.8476,,,,,,
2000-05-26 00:00:00,,,,5.2023,5.3797,5.1432,,,,,,
2000-05-30 00:00:00,,,,5.2023,5.2614,5.025,,,,,,
2000-05-31 00:00:00,,,,5.2614,5.6161,5.2614,,,,0,4,1
2000-06-01 00:00:00,,,,5.4979,5.557,5.2614,,,,,,
2000-06-02 00:00:00,,,,5.3797,5.3797,5.0841,,,,,,
2000-06-05 00:00:00,,,,5.1432,5.3797,5.1432,,,,,,
2000-06-06 00:00:00,,,,5.2614,5.3797,5.2023,,,,0,5,1
2000-06-07 00:00:00,,,,5.2614,5.2614,5.1432,,,,,,
2000-06-08 00:00:00,,,,5.2023,5.2023,4.9067,,,,,,
2000-06-09 00:00:00,,,,4.9658999999999995,5.1432,4.9658999999999995,,,,,,
2000-06-12 00:00:00,,,,5.025,5.2023,5.025,,,,,,
2000-06-13 00:00:00,,,,5.2023,5.3797,5.2023,,,,,,
