Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,12.4375,12.75,12.4375,,,,0,5,0
2000-05-02 00:00:00,,,,12.5,12.6719,12.4375,,,,,,
2000-05-03 00:00:00,,,,12.625,12.6875,11.5,,,,,,
2000-05-04 00:00:00,,,,12.0313,12.6875,11.875,,,,,,
2000-05-05 00:00:00,,,,12.1563,13.0625,12.0938,,,,,,
2000-05-08 00:00:00,,,,13.0469,13.0469,12.6875,,,,,,
2000-05-09 00:00:00,,,,12.9063,13.25,12.7188,,,,,,
2000-05-10 00:00:00,,,,13,13.1875,12.8125,,,,,,
2000-05-11 00:00:00,,,,12.8906,13.0625,12.8594,,,,,,
2000-05-12 00:00:00,,,,12.9375,13.0938,12.875,,,,,,
2000-05-15 00:00:00,,,,12.875,12.9219,12.6719,,,,,,
2000-05-16 00:00:00,,,,12.9375,13.125,12.1875,,,,,,
2000-05-17 00:00:00,,,,12.2813,12.2969,11.2969,,,,,,
2000-05-18 00:00:00,,,,11.5313,11.5313,10.8438,,,,,,
2000-05-19 00:00:00,,,,10.75,11.0313,10.6563,,,,0,5,0
2000-05-22 00:00:00,,,,10.8906,11.1563,9.9688,,,,,,
2000-05-23 00:00:00,,,,11.1875,12.3906,10.625,,,,,,
2000-05-24 00:00:00,,,,11.7813,12,11.5977,,,,,,
2000-05-25 00:00:00,,,,12.0781,12.125,11.4375,,,,,,
2000-05-26 00:00:00,,,,11.4688,11.6875,11.4531,,,,,,
2000-05-30 00:00:00,,,,11.5313,11.6563,11.0313,,,,0,5,0
2000-05-31 00:00:00,,,,11.3438,11.6094,11.2344,,,,,,
2000-06-01 00:00:00,,,,11.3438,12.0469,11.3125,,,,,,
2000-06-02 00:00:00,,,,12.0938,12.1875,11.5,,,,,,
2000-06-05 00:00:00,,,,11.5781,11.5938,11.0156,,,,0,5,0
2000-06-06 00:00:00,,,,11.3203,11.5781,11.2031,,,,,,
2000-06-07 00:00:00,,,,11.3125,11.3438,11.125,,,,,,
2000-06-08 00:00:00,,,,11.125,11.125,10.5469,,,,,,
2000-06-09 00:00:00,,,,10.9063,10.9375,10.5781,,,,,,
2000-06-12 00:00:00,,,,10.875,11.9688,10.8281,,,,,,
2000-06-13 00:00:00,,,,11.5625,11.75,11.375,,,,,,
2000-06-14 00:00:00,,,,11.7188,12.0938,11.4219,,,,,,
2000-06-15 00:00:00,,,,11.75,11.8125,11.3594,,,,,,
2000-06-16 00:00:00,,,,11.7813,12.4375,11.7031,,,,,,
2000-06-19 00:00:00,,,,11.875,11.9063,11.1875,,,,,,
2000-06-20 00:00:00,,,,11.5313,11.5313,11,,,,,,
2000-06-21 00:00:00,,,,11.0313,11.0625,10.4375,,,,,,
2000-06-22 00:00:00,,,,10.6406,10.7813,10.375,,,,,,
2000-06-23 00:00:00,,,,10.6875,10.7813,10.375,,,,,,
2000-06-26 00:00:00,,,,10.5,10.5938,10.2188,,,,,,
2000-06-27 00:00:00,,,,10.4063,10.5313,10.2344,,,,,,
2000-06-28 00:00:00,,,,10.375,10.9375,10.375,,,,,,
2000-06-29 00:00:00,,,,10.6563,10.7656,9.8125,,,,,,
2000-06-30 00:00:00,,,,10.3438,12.4375,10.3281,,,,,,
2000-07-03 00:00:00,,,,11.875,11.9844,11.4375,,,,,,
2000-07-05 00:00:00,,,,11.6719,12.0938,11.6719,,,,,,
2000-07-06 00:00:00,,,,11.9531,11.9844,11.625,,,,,,
2000-07-07 00:00:00,,,,11.7188,12.0313,11.6719,,,,,,
2000-07-10 00:00:00,,,,12,12.5313,11.7813,,,,,,
2000-07-11 00:00:00,,,,12.4531,13.0156,12.4063,,,,,,
2000-07-12 00:00:00,,,,12.9375,13.3438,12.5,,,,,,
2000-07-13 00:00:00,,,,13.1406,13.2813,12.9063,,,,,,
2000-07-14 00:00:00,,,,13.2969,13.5898,13.2813,,,,,,
2000-07-17 00:00:00,,,,13.5625,13.9063,13.4375,,,,,,
2000-07-18 00:00:00,,,,13.75,14.0625,13.5625,,,,,,
2000-07-19 00:00:00,,,,14.1094,14.125,13.1875,,,,0,5,0
2000-07-20 00:00:00,,,,13.4063,14.1406,13.375,,,,,,
2000-07-21 00:00:00,,,,14.0938,14.2656,13.9844,,,,,,
2000-07-24 00:00:00,,,,14.2344,14.2344,13.9688,,,,,,
2000-07-25 00:00:00,,,,14.0938,14.4688,14.0313,,,,,,
2000-07-26 00:00:00,,,,14.5,14.9219,14.25,,,,,,
2000-07-27 00:00:00,,,,14.75,14.9688,14.5625,,,,,,
2000-07-28 00:00:00,,,,14.75,15.0156,14.6406,,,,,,
2000-07-31 00:00:00,,,,14.9688,16.0313,14.7813,,,,,,
2000-08-01 00:00:00,,,,15.875,15.875,14.75,,,,,,
2000-08-02 00:00:00,,,,15.0313,15.1875,14.4063,,,,,,
2000-08-03 00:00:00,,,,14.4375,14.5625,14.0313,,,,,,
2000-08-04 00:00:00,,,,14.5938,14.5938,14.1875,,,,,,
2000-08-07 00:00:00,,,,14.5625,14.5625,14.375,,,,,,
2000-08-08 00:00:00,,,,14.5469,14.5625,14.125,,,,,,
2000-08-09 00:00:00,,,,14.375,14.5938,14.1875,,,,,,
2000-08-10 00:00:00,,,,14.5938,15.0625,14.5,,,,,,
2000-08-11 00:00:00,,,,14.8594,15.125,14.75,,,,,,
2000-08-14 00:00:00,,,,15.0625,15.0625,14.875,,,,,,
2000-08-15 00:00:00,,,,15.0313,15.0313,14.375,,,,,,
2000-08-16 00:00:00,,,,14.4063,15.0625,14.4063,,,,,,
2000-08-17 00:00:00,,,,15,15.2656,15,,,,,,
2000-08-18 00:00:00,,,,15.2266,15.375,15.0938,,,,,,
2000-08-21 00:00:00,,,,15.375,15.375,15.0313,,,,,,
2000-08-22 00:00:00,,,,15.0156,15.1563,14.5,,,,,,
2000-08-23 00:00:00,,,,14.8594,14.9688,14.125,,,,,,
2000-08-24 00:00:00,,,,14.3438,15,14.3438,,,,,,
2000-08-25 00:00:00,,,,14.875,15.4688,14.75,,,,,,
2000-08-28 00:00:00,,,,15.3438,15.4375,14.75,,,,,,
2000-08-29 00:00:00,,,,14.8281,14.9375,14.6875,,,,,,
2000-08-30 00:00:00,,,,14.7813,14.875,14.6875,,,,,,
2000-08-31 00:00:00,,,,14.875,14.875,14.7813,,,,,,
2000-09-01 00:00:00,,,,14.8594,14.9531,14.5781,,,,,,
2000-09-05 00:00:00,,,,14.6875,14.75,14.5313,,,,,,
2000-09-06 00:00:00,,,,14.5313,14.75,14.4688,,,,,,
2000-09-07 00:00:00,,,,14.5313,14.8125,14.5313,,,,,,
2000-09-08 00:00:00,,,,14.6875,14.875,14.5938,,,,,,
2000-09-11 00:00:00,,,,14.5781,14.5781,14,,,,,,
2000-09-12 00:00:00,,,,14,14.375,14,,,,,,
2000-09-13 00:00:00,,,,14.4063,14.875,14.3125,,,,,,
2000-09-14 00:00:00,,,,14.75,14.9688,14.7188,,,,,,
2000-09-15 00:00:00,,,,14.75,15,14.6875,,,,0,5,0
2000-09-18 00:00:00,,,,14.9063,14.9063,13.7969,,,,,,
2000-09-19 00:00:00,,,,14.0781,14.1875,13.9375,,,,,,
2000-09-20 00:00:00,,,,14.1563,14.25,14.0313,,,,,,
2000-09-21 00:00:00,,,,14.3125,15.0938,14.2188,,,,0,5,0
2000-09-22 00:00:00,,,,14.5625,14.5625,14.3438,,,,,,
2000-09-25 00:00:00,,,,14.375,14.4531,14.3281,,,,,,
2000-09-26 00:00:00,,,,14.4531,14.4531,13.6563,,,,,,
2000-09-27 00:00:00,,,,14.1406,14.1406,13.8125,,,,,,
2000-09-28 00:00:00,,,,13.8125,14.1875,13.6914,,,,,,
2000-09-29 00:00:00,,,,14.25,14.25,13.6406,,,,,,
2000-10-02 00:00:00,,,,13.9688,14,13.3594,,,,0,4,1
2000-10-03 00:00:00,,,,13.5313,13.5938,13.0469,,,,,,
2000-10-04 00:00:00,,,,13.125,14,13.1094,,,,,,
2000-10-05 00:00:00,,,,13.5625,13.8125,13.5625,,,,,,
2000-10-06 00:00:00,,,,13.9531,13.9531,12.875,,,,,,
2000-10-09 00:00:00,,,,13.1211,13.125,11.1563,,,,,,
