Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,,,,,,,0,0,1
2010-08-04 00:00:00,,,,,,,,,,0,0,1
2010-08-05 00:00:00,,,,,,,,,,0,0,1
2010-09-13 00:00:00,,,,,,,,,,0,1,1
2010-09-14 00:00:00,,,,42.026,42.026,38.155,,,,0,1,1
2010-09-15 00:00:00,,,,38.166,38.432,38.045,,,,,,
2010-09-16 00:00:00,,,,37.713,38.421,37.602,,,,,,
2010-09-17 00:00:00,,,,38.155,38.155,38.155,,,,,,
2010-09-20 00:00:00,,,,38.155,38.155,37.768,,,,,,
2010-09-21 00:00:00,,,,37.204,37.425,36.496,,,,0,1,1
2010-09-22 00:00:00,,,,37.602,37.602,36.496,,,,,,
2010-09-23 00:00:00,,,,37.038,37.049,37.038,,,,0,1,1
2010-09-24 00:00:00,,,,37.127,37.492,37.127,,,,,,
2010-09-27 00:00:00,,,,37.038,37.049,36.552,,,,0,1,1
2010-09-28 00:00:00,,,,36.983,36.983,36.983,,,,0,1,1
2010-09-29 00:00:00,,,,37.038,37.038,36.53,,,,,,
2010-09-30 00:00:00,,,,36.53,36.53,35.401,,,,,,
2010-10-01 00:00:00,,,,37.049,37.049,35.888,,,,,,
2010-10-04 00:00:00,,,,37.326,37.326,35.91,,,,,,
2010-10-05 00:00:00,,,,36.463,36.463,36.386,,,,,,
2010-10-06 00:00:00,,,,35.844,36.386,35.844,,,,,,
2010-10-07 00:00:00,,,,35.943,35.943,35.556,,,,,,
2010-10-08 00:00:00,,,,35.943,35.943,35.413,,,,,,
2010-10-11 00:00:00,,,,35.943,36.496,35.943,,,,0,1,1
2010-10-12 00:00:00,,,,36.297,36.607,36.297,,,,,,
2010-10-13 00:00:00,,,,36.496,36.496,35.545,,,,0,1,2
2010-10-14 00:00:00,,,,35.943,36.651,35.811,,,,,,
2010-10-15 00:00:00,,,,36.828,37.038,36.275,,,,0,1,2
2010-10-18 00:00:00,,,,36.684,36.684,35.921,,,,0,1,2
2010-10-19 00:00:00,,,,36.22,36.928,36.054,,,,,,
2010-10-20 00:00:00,,,,36.894,36.894,36.386,,,,0,1,2
2010-10-21 00:00:00,,,,36.861,36.861,35.999,,,,,,
2010-10-22 00:00:00,,,,36.496,36.629,36.474,,,,0,1,2
2010-10-25 00:00:00,,,,36.972,36.972,35.844,,,,,,
2010-10-26 00:00:00,,,,36.408,36.53,36.065,,,,0,1,2
2010-10-27 00:00:00,,,,35.954,35.965,35.755,,,,,,
2010-10-28 00:00:00,,,,36.054,36.364,35.567,,,,0,1,2
2010-10-29 00:00:00,,,,34.86,35.899,34.848,,,,,,
2010-11-01 00:00:00,,,,36.883,36.883,35.424,,,,0,1,2
2010-11-02 00:00:00,,,,36.065,36.154,35.656,,,,,,
2010-11-03 00:00:00,,,,36.165,37.182,35.822,,,,0,1,2
2010-11-04 00:00:00,,,,37.602,40.091,37.425,,,,0,1,2
2010-11-05 00:00:00,,,,39.704,40.168,38.365,,,,0,1,2
2010-11-08 00:00:00,,,,39.549,39.814,39.184,,,,,,
2010-11-09 00:00:00,,,,39.681,40.091,39.582,,,,,,
2010-11-10 00:00:00,,,,39.759,39.825,39.704,,,,,,
2010-11-11 00:00:00,,,,40.201,41.108,39.715,,,,,,
2010-11-12 00:00:00,,,,39.759,39.803,38.797,,,,,,
2010-11-15 00:00:00,,,,39.77,39.814,39.604,,,,,,
2010-11-16 00:00:00,,,,39.67,39.814,38.421,,,,,,
2010-11-17 00:00:00,,,,39.814,40.434,39.162,,,,,,
2010-11-18 00:00:00,,,,39.914,39.914,39.449,,,,0,1,2
2010-11-19 00:00:00,,,,39.637,39.648,38.653,,,,,,
2010-11-22 00:00:00,,,,39.173,39.272,38.719,,,,0,1,2
2010-11-23 00:00:00,,,,38.786,38.852,38.376,,,,,,
2010-11-24 00:00:00,,,,39.095,39.095,38.41,,,,,,
2010-11-26 00:00:00,,,,38.498,38.786,38.2,,,,,,
2010-11-29 00:00:00,,,,38.188,38.52,37.702,,,,,,
2010-11-30 00:00:00,,,,37.602,37.89,36.607,,,,,,
2010-12-01 00:00:00,,,,37.403,38.52,37.359,,,,,,
2010-12-02 00:00:00,,,,36.408,38.266,36.342,,,,,,
2010-12-03 00:00:00,,,,37.514,38.863,37.514,,,,,,
2010-12-06 00:00:00,,,,38.487,39.272,38.487,,,,,,
2010-12-07 00:00:00,,,,39.184,40.268,39.184,,,,0,1,3
2010-12-08 00:00:00,,,,39.482,39.803,39.095,,,,,,
2010-12-09 00:00:00,,,,39.77,39.814,39.173,,,,0,1,3
2010-12-10 00:00:00,,,,39.527,40.157,39.383,,,,0,1,3
2010-12-13 00:00:00,,,,39.836,41.363,39.836,,,,,,
2010-12-14 00:00:00,,,,40.677,41.075,40.478,,,,0,2,3
2010-12-15 00:00:00,,,,40.721,43.066,40.721,,,,0,2,4
2010-12-16 00:00:00,,,,41.96,41.96,41.385,,,,,,
2010-12-17 00:00:00,,,,41.727,42.845,41.727,,,,,,
2010-12-20 00:00:00,,,,42.944,43.132,42.048,,,,,,
2010-12-21 00:00:00,,,,42.07,42.557,42.07,,,,0,2,5
2010-12-22 00:00:00,,,,42.28,42.601,42.137,,,,0,2,5
2010-12-23 00:00:00,,,,42.579,42.579,42.126,,,,0,2,5
2010-12-27 00:00:00,,,,41.871,42.247,41.871,,,,,,
2010-12-28 00:00:00,,,,42.402,42.579,42.181,,,,,,
2010-12-29 00:00:00,,,,42.28,42.845,42.148,,,,,,
2010-12-30 00:00:00,,,,42.48,42.69,42.07,,,,0,2,5
2010-12-31 00:00:00,,,,42.601,43.099,42.247,,,,,,
2011-01-03 00:00:00,,,,43.221,43.232,42.292,,,,,,
2011-01-04 00:00:00,,,,42.568,43.973,42.413,,,,0,2,5
2011-01-05 00:00:00,,,,43.862,43.906,43.696,,,,0,2,5
2011-01-06 00:00:00,,,,43.785,44.028,43.254,,,,0,2,5
2011-01-07 00:00:00,,,,43.132,43.397,42.524,,,,0,2,5
2011-01-10 00:00:00,,,,43.044,43.353,42.977,,,,,,
2011-01-11 00:00:00,,,,43.464,43.464,43.049,,,,0,2,5
2011-01-12 00:00:00,,,,43.243,45.134,43.11,,,,,,
2011-01-13 00:00:00,,,,44.238,44.503,43.962,,,,,,
2011-01-14 00:00:00,,,,44.293,45.631,44.293,,,,,,
2011-01-18 00:00:00,,,,45.244,45.377,44.891,,,,0,2,5
2011-01-19 00:00:00,,,,45.477,46.295,45.366,,,,0,2,5
2011-01-20 00:00:00,,,,45.897,45.985,45.421,,,,0,2,5
2011-01-21 00:00:00,,,,45.576,45.786,45.432,,,,0,2,5
2011-01-24 00:00:00,,,,45.565,45.941,45.466,,,,,,
2011-01-25 00:00:00,,,,45.488,46.439,45.488,,,,0,2,5
2011-01-26 00:00:00,,,,45.643,47.08,45.643,,,,0,2,5
2011-01-27 00:00:00,,,,46.793,47.003,46.583,,,,,,
2011-01-28 00:00:00,,,,46.505,46.649,45.587,,,,,,
2011-01-31 00:00:00,,,,46.549,46.549,45.831,,,,,,
2011-02-01 00:00:00,,,,46.594,46.594,46.03,,,,,,
2011-02-02 00:00:00,,,,46.262,46.45,46.03,,,,,,
2011-02-03 00:00:00,,,,46.052,46.538,46.041,,,,,,
2011-02-04 00:00:00,,,,46.572,46.572,46.306,,,,0,2,5
2011-02-07 00:00:00,,,,46.45,46.461,46.317,,,,,,
2011-02-08 00:00:00,,,,46.627,48.728,46.395,,,,,,
2011-02-09 00:00:00,,,,48.618,50.31,48.347,,,,,,
2011-02-10 00:00:00,,,,50.221,51.139,50.177,,,,,,
2011-02-11 00:00:00,,,,50.962,52.477,50.94,,,,,,
2011-02-14 00:00:00,,,,51.891,52.4,51.736,,,,0,2,5
2011-02-15 00:00:00,,,,52.035,52.367,51.969,,,,,,
2011-02-16 00:00:00,,,,52.013,52.201,50.818,,,,,,
2011-02-17 00:00:00,,,,50.94,51.77,50.94,,,,0,2,5
2011-02-18 00:00:00,,,,51.57,51.703,51.161,,,,0,2,5
2011-02-22 00:00:00,,,,51.161,51.393,50.464,,,,,,
2011-02-23 00:00:00,,,,50.807,51.537,49.513,,,,,,
2011-02-24 00:00:00,,,,49.934,50.033,49.524,,,,0,2,5
2011-02-25 00:00:00,,,,49.889,50.431,49.392,,,,,,
2011-02-28 00:00:00,,,,50.841,51.438,50.597,,,,,,
2011-03-01 00:00:00,,,,50.376,53.462,50.376,,,,0,2,5
2011-03-02 00:00:00,,,,52.654,54.921,51.382,,,,0,2,5
2011-03-03 00:00:00,,,,53.539,54.369,52.61,,,,,,
2011-03-04 00:00:00,,,,52.356,53.307,52.345,,,,0,2,5
2011-03-07 00:00:00,,,,52.544,53.915,52.389,,,,0,2,5
2011-03-08 00:00:00,,,,53.672,53.827,53.075,,,,,,
2011-03-09 00:00:00,,,,53.251,53.583,52.942,,,,,,
2011-03-10 00:00:00,,,,52.621,52.898,52.157,,,,,,
2011-03-11 00:00:00,,,,52.157,53.086,51.725,,,,,,
2011-03-14 00:00:00,,,,52.765,52.765,51.405,,,,0,2,5
2011-03-15 00:00:00,,,,50.63,50.94,50.343,,,,0,2,5
2011-03-16 00:00:00,,,,50.122,51.537,50.122,,,,,,
2011-03-17 00:00:00,,,,50.907,52.146,50.907,,,,0,2,5
2011-03-18 00:00:00,,,,52.046,53.683,52.046,,,,,,
2011-03-21 00:00:00,,,,53.539,54.335,53.373,,,,0,2,5
2011-03-22 00:00:00,,,,54.866,55.209,53.716,,,,0,2,5
2011-03-23 00:00:00,,,,54.103,54.568,53.639,,,,0,2,5
2011-03-24 00:00:00,,,,55.286,55.574,54.855,,,,,,
2011-03-25 00:00:00,,,,55.01,55.729,54.844,,,,0,2,5
2011-03-28 00:00:00,,,,54.203,55.32,54.203,,,,,,
2011-03-29 00:00:00,,,,54.733,54.733,54.07,,,,,,
2011-03-30 00:00:00,,,,54.711,55.087,54.413,,,,0,2,5
2011-03-31 00:00:00,,,,55.032,56.061,54.91,,,,,,
2011-04-01 00:00:00,,,,56.415,57.189,56.348,,,,0,2,5
2011-04-04 00:00:00,,,,57.332,57.576,57.034,,,,,,
2011-04-05 00:00:00,,,,57.675,58.637,57.543,,,,0,2,5
2011-04-06 00:00:00,,,,59.766,61.447,59.699,,,,0,3,4
2011-04-07 00:00:00,,,,61.292,61.38,60.274,,,,,,
2011-04-08 00:00:00,,,,61.292,61.325,60.02,,,,0,3,4
2011-04-11 00:00:00,,,,59.456,60.374,58.328,,,,0,2,5
2011-04-12 00:00:00,,,,59.533,60.606,58.925,,,,0,3,5
2011-04-13 00:00:00,,,,60.783,61.181,60.44,,,,,,
2011-04-14 00:00:00,,,,59.942,61.214,59.942,,,,,,
2011-04-15 00:00:00,,,,61.015,61.413,60.916,,,,,,
2011-04-18 00:00:00,,,,60.805,61.712,60.263,,,,,,
2011-04-19 00:00:00,,,,60.871,61.093,60.053,,,,,,
2011-04-20 00:00:00,,,,60.96,61.314,60.473,,,,,,
2011-04-21 00:00:00,,,,60.971,61.037,60.274,,,,0,3,5
2011-04-25 00:00:00,,,,60.639,60.838,60.352,,,,,,
2011-04-26 00:00:00,,,,60.827,61.236,60.661,,,,,,
2011-04-27 00:00:00,,,,61.159,62.387,60.65,,,,,,
2011-04-28 00:00:00,,,,62.011,64.886,61.988,,,,,,
2011-04-29 00:00:00,,,,64.665,67.408,64.167,,,,0,3,5
2011-05-02 00:00:00,,,,65.262,66.943,65.24,,,,,,
2011-05-03 00:00:00,,,,64.101,66.158,63.448,,,,0,3,5
2011-05-04 00:00:00,,,,64.842,65.163,64.256,,,,0,3,5
2011-05-05 00:00:00,,,,64.189,64.632,63.349,,,,0,3,5
2011-05-06 00:00:00,,,,64.101,64.676,63.57,,,,,,
2011-05-09 00:00:00,,,,64.256,64.698,63.658,,,,0,3,5
2011-05-10 00:00:00,,,,63.194,64.632,62.962,,,,0,2,6
2011-05-11 00:00:00,,,,64.123,65.461,64.123,,,,,,
2011-05-12 00:00:00,,,,64.543,65.317,64.466,,,,0,2,6
2011-05-13 00:00:00,,,,64.875,65.317,63.714,,,,0,2,6
2011-05-16 00:00:00,,,,63.802,65.085,63.515,,,,,,
2011-05-17 00:00:00,,,,63.614,63.703,61.834,,,,,,
2011-05-18 00:00:00,,,,62.342,63.747,62.221,,,,,,
2011-05-19 00:00:00,,,,63.592,63.769,63.249,,,,0,2,6
2011-05-20 00:00:00,,,,63.747,63.747,62.685,,,,,,
2011-05-23 00:00:00,,,,62.597,62.741,61.126,,,,,,
2011-05-24 00:00:00,,,,61.9,62.586,61.734,,,,,,
2011-05-25 00:00:00,,,,61.889,62.022,61.314,,,,,,
2011-05-26 00:00:00,,,,61.469,62.497,61.203,,,,,,
2011-05-27 00:00:00,,,,61.712,62.287,61.712,,,,,,
2011-05-31 00:00:00,,,,62.597,64.399,62.431,,,,,,
2011-06-01 00:00:00,,,,62.464,63.349,62.066,,,,,,
2011-06-02 00:00:00,,,,62.741,63.869,62.741,,,,,,
2011-06-03 00:00:00,,,,63.006,64.267,62.884,,,,,,
2011-06-06 00:00:00,,,,63.094,63.592,63.094,,,,,,
2011-06-07 00:00:00,,,,63.747,64.587,63.26,,,,,,
2011-06-08 00:00:00,,,,64.023,64.444,63.647,,,,,,
2011-06-09 00:00:00,,,,64.023,64.178,63.703,,,,,,
2011-06-10 00:00:00,,,,63.869,64.079,62.707,,,,,,
2011-06-13 00:00:00,,,,63.946,64.001,57.399,,,,,,
2011-06-14 00:00:00,,,,61.513,62.608,61.369,,,,,,
2011-06-15 00:00:00,,,,61.38,62.353,61.225,,,,,,
2011-06-16 00:00:00,,,,61.546,62.331,60.883,,,,,,
2011-06-17 00:00:00,,,,62.099,63.028,61.745,,,,0,2,6
2011-06-20 00:00:00,,,,62.553,62.597,61.369,,,,,,
2011-06-21 00:00:00,,,,62.11,62.796,61.922,,,,0,2,6
2011-06-22 00:00:00,,,,62.022,64.311,62.022,,,,0,2,6
2011-06-23 00:00:00,,,,63.017,63.017,60.849,,,,0,2,6
2011-06-24 00:00:00,,,,61.778,61.845,58.649,,,,0,2,6
2011-06-27 00:00:00,,,,60.119,60.551,59.29,,,,0,2,6
2011-06-28 00:00:00,,,,60.285,60.706,60.02,,,,,,
2011-06-29 00:00:00,,,,60.418,60.484,59.688,,,,,,
