Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,26.5,26.5,26.104,,,,0,10,0
2000-05-02 00:00:00,,,,25.833,25.854,24.958,,,,0,10,0
2000-05-03 00:00:00,,,,24.667,25.5,24.479,,,,0,10,0
2000-05-04 00:00:00,,,,25.333,25.854,25.104,,,,,,
2000-05-05 00:00:00,,,,25.542,25.833,25.188,,,,0,10,0
2000-05-08 00:00:00,,,,25.396,26.438,25.396,,,,,,
2000-05-09 00:00:00,,,,26.083,26.667,25.833,,,,,,
2000-05-10 00:00:00,,,,25.917,25.917,25.208,,,,0,11,0
2000-05-11 00:00:00,,,,25.5,26.125,25.417,,,,0,11,0
2000-05-12 00:00:00,,,,25.917,26.729,25.792,,,,,,
2000-05-15 00:00:00,,,,26.167,28,26.167,,,,,,
2000-05-16 00:00:00,,,,28,28.667,27.917,,,,,,
2000-05-17 00:00:00,,,,28,28.333,27.667,,,,,,
2000-05-18 00:00:00,,,,28,28.854,28,,,,,,
2000-05-19 00:00:00,,,,28.917,29.271,28.5,,,,,,
2000-05-22 00:00:00,,,,28.958,29.917,28.813,,,,,,
2000-05-23 00:00:00,,,,29.646,29.979,28.958,,,,,,
2000-05-24 00:00:00,,,,29.958,30.292,29.542,,,,,,
2000-05-25 00:00:00,,,,29.875,29.958,29.375,,,,,,
2000-05-26 00:00:00,,,,29.375,29.625,29.063,,,,,,
2000-05-30 00:00:00,,,,29,29.563,28.583,,,,,,
2000-05-31 00:00:00,,,,29.479,29.979,29.354,,,,,,
2000-06-01 00:00:00,,,,29.375,29.396,28.896,,,,0,11,0
2000-06-02 00:00:00,,,,29.792,30.083,29.625,,,,0,11,0
2000-06-05 00:00:00,,,,30,30.063,29.271,,,,0,11,0
2000-06-06 00:00:00,,,,29.083,29.104,27.917,,,,,,
2000-06-07 00:00:00,,,,28.5,29.125,28.375,,,,0,11,0
2000-06-08 00:00:00,,,,28.875,29.104,28.5,,,,,,
2000-06-09 00:00:00,,,,29,29.813,29,,,,0,11,0
2000-06-12 00:00:00,,,,29.542,30.458,29.542,,,,0,11,0
2000-06-13 00:00:00,,,,30.583,31.792,30.188,,,,,,
