Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,36.3946,37.9819,36.1678,,,,0,2,2
2000-05-02 00:00:00,,,,37.7551,39.2857,36.6213,,,,,,
2000-05-03 00:00:00,,,,38.4354,38.4354,35.4308,,,,,,
2000-05-04 00:00:00,,,,35.8844,36.3946,35.6009,,,,,,
2000-05-05 00:00:00,,,,36.3379,36.7347,35.6009,,,,,,
2000-05-08 00:00:00,,,,35.9977,36.4512,35.3175,,,,,,
2000-05-09 00:00:00,,,,35.7143,35.7143,34.6939,,,,,,
2000-05-10 00:00:00,,,,35.6009,36.1678,34.5805,,,,,,
2000-05-11 00:00:00,,,,35.3316,35.3741,34.0136,,,,,,
2000-05-12 00:00:00,,,,34.2404,35.7143,34.2404,,,,,,
2000-05-15 00:00:00,,,,35.1474,36.5079,35.1474,,,,0,2,2
2000-05-16 00:00:00,,,,36.3379,37.6701,35.8277,,,,,,
2000-05-17 00:00:00,,,,37.0465,37.1882,35.941,,,,,,
2000-05-18 00:00:00,,,,36.1111,37.0748,36.0544,,,,,,
2000-05-19 00:00:00,,,,35.941,36.0544,34.6372,,,,,,
2000-05-22 00:00:00,,,,35.0057,36.6213,34.7506,,,,,,
2000-05-23 00:00:00,,,,35.8844,36.0402,35.2608,,,,,,
2000-05-24 00:00:00,,,,35.8277,36.7914,35.6576,,,,,,
2000-05-25 00:00:00,,,,36.3946,36.4512,34.8639,,,,,,
2000-05-26 00:00:00,,,,35.2608,36.5646,35.1474,,,,,,
2000-05-30 00:00:00,,,,36.2812,37.2449,36.1111,,,,,,
2000-05-31 00:00:00,,,,37.0748,37.1882,36.1678,,,,,,
2000-06-01 00:00:00,,,,36.4512,36.5646,36.0544,,,,0,2,2
2000-06-02 00:00:00,,,,36.7347,36.9615,36.5079,,,,0,2,2
2000-06-05 00:00:00,,,,36.7914,36.9615,34.6939,,,,,,
2000-06-06 00:00:00,,,,35.4308,35.4875,33.6168,,,,0,2,2
2000-06-07 00:00:00,,,,32.8798,35.9977,32.6531,,,,,,
2000-06-08 00:00:00,,,,35.3175,35.4308,33.5601,,,,,,
2000-06-09 00:00:00,,,,34.4671,34.8073,34.2971,,,,,,
2000-06-12 00:00:00,,,,34.2971,34.2971,32.8231,,,,0,2,3
2000-06-13 00:00:00,,,,32.7948,33.7868,32.4263,,,,,,
2000-06-14 00:00:00,,,,33.5317,34.4104,31.576,,,,,,
2000-06-15 00:00:00,,,,31.9161,33.3333,31.8594,,,,,,
2000-06-16 00:00:00,,,,33.1066,33.22,31.4059,,,,,,
2000-06-19 00:00:00,,,,31.9161,32.3696,31.5193,,,,,,
2000-06-20 00:00:00,,,,31.5193,32.1995,29.5918,,,,,,
2000-06-21 00:00:00,,,,29.8186,30.8957,29.7052,,,,,,
2000-06-22 00:00:00,,,,30.5556,30.7823,30.4422,,,,,,
2000-06-23 00:00:00,,,,30.6689,31.4059,30.3855,,,,,,
2000-06-26 00:00:00,,,,31.0658,31.746,30.8957,,,,0,2,3
2000-06-27 00:00:00,,,,31.4342,32.0295,30.7256,,,,,,
2000-06-28 00:00:00,,,,30.7823,32.1995,30.7823,,,,,,
2000-06-29 00:00:00,,,,31.6327,33.3333,30.102,,,,,,
2000-06-30 00:00:00,,,,30.7823,30.8107,28.1179,,,,,,
2000-07-03 00:00:00,,,,28.5147,29.5351,28.5147,,,,,,
2000-07-05 00:00:00,,,,29.2517,30.272100000000002,29.0249,,,,,,
2000-07-06 00:00:00,,,,29.8186,29.8753,29.7052,,,,,,
2000-07-07 00:00:00,,,,30.0737,30.3288,29.7619,,,,,,
2000-07-10 00:00:00,,,,29.9887,30.3288,29.5918,,,,,,
2000-07-11 00:00:00,,,,30.2438,31.2358,30.0454,,,,,,
2000-07-12 00:00:00,,,,31.3776,32.0295,31.1791,,,,,,
2000-07-13 00:00:00,,,,31.8027,32.4263,31.8027,,,,,,
2000-07-14 00:00:00,,,,32.3129,32.8798,32.1995,,,,,,
2000-07-17 00:00:00,,,,32.6531,32.6531,31.5193,,,,,,
2000-07-18 00:00:00,,,,32.1995,32.2562,31.2925,,,,,,
2000-07-19 00:00:00,,,,31.7177,32.1995,31.1791,,,,,,
2000-07-20 00:00:00,,,,31.3492,33.1633,31.3492,,,,,,
2000-07-21 00:00:00,,,,32.4263,32.9932,31.0091,,,,,,
2000-07-24 00:00:00,,,,31.0091,32.3129,30.9524,,,,0,3,3
2000-07-25 00:00:00,,,,31.6893,33.7868,31.4059,,,,,,
2000-07-26 00:00:00,,,,33.1349,34.2404,33.0499,,,,,,
2000-07-27 00:00:00,,,,33.716,34.4671,33.39,,,,,,
2000-07-28 00:00:00,,,,34.4104,34.7506,33.22,,,,,,
2000-07-31 00:00:00,,,,33.5601,34.5805,33.1633,,,,,,
2000-08-01 00:00:00,,,,34.2404,35.7143,34.127,,,,0,3,3
2000-08-02 00:00:00,,,,35.544200000000004,35.6009,35.3175,,,,,,
2000-08-03 00:00:00,,,,35.4308,36.2812,35.2608,,,,,,
2000-08-04 00:00:00,,,,36.1678,36.3379,35.1474,,,,,,
2000-08-07 00:00:00,,,,36.1395,36.1395,35.3175,,,,,,
2000-08-08 00:00:00,,,,35.9127,36.1111,35.3741,,,,,,
2000-08-09 00:00:00,,,,35.8844,35.8844,34.3537,,,,,,
2000-08-10 00:00:00,,,,35.2041,35.6576,34.7506,,,,,,
2000-08-11 00:00:00,,,,35.4875,36.3379,35.4592,,,,,,
2000-08-14 00:00:00,,,,36.2245,36.267,35.8277,,,,,,
2000-08-15 00:00:00,,,,35.856,35.8702,34.4671,,,,,,
2000-08-16 00:00:00,,,,35.6009,36.1678,35.3741,,,,,,
2000-08-17 00:00:00,,,,35.6009,36.2245,34.8073,,,,,,
2000-08-18 00:00:00,,,,35.9127,36.3379,35.2466,,,,,,
2000-08-21 00:00:00,,,,35.9977,36.3379,35.6576,,,,,,
2000-08-22 00:00:00,,,,36.1678,36.2245,35.8844,,,,,,
2000-08-23 00:00:00,,,,35.941,35.9977,35.1474,,,,,,
2000-08-24 00:00:00,,,,35.5726,35.6576,34.3537,,,,,,
2000-08-25 00:00:00,,,,34.6372,34.9206,34.0703,,,,,,
2000-08-28 00:00:00,,,,34.1553,35.2183,33.7868,,,,,,
2000-08-29 00:00:00,,,,34.5805,34.7506,33.6735,,,,,,
2000-08-30 00:00:00,,,,33.9853,35.3741,33.9853,,,,,,
2000-08-31 00:00:00,,,,34.9773,35.3741,34.5238,,,,0,3,3
2000-09-01 00:00:00,,,,35.2324,35.2608,33.8435,,,,,,
2000-09-05 00:00:00,,,,34.6088,35.9977,34.127,,,,,,
2000-09-06 00:00:00,,,,35.6009,36.1111,35.2041,,,,,,
2000-09-07 00:00:00,,,,35.6576,35.7426,34.6372,,,,,,
2000-09-08 00:00:00,,,,35.2041,35.9977,34.5805,,,,,,
2000-09-11 00:00:00,,,,35.7426,36.3379,35.7143,,,,,,
2000-09-12 00:00:00,,,,36.2245,36.8481,35.9977,,,,,,
2000-09-13 00:00:00,,,,36.678,36.678,35.9977,,,,,,
2000-09-14 00:00:00,,,,36.1395,36.2245,35.6576,,,,,,
2000-09-15 00:00:00,,,,34.9773,35.3741,34.1837,,,,,,
2000-09-18 00:00:00,,,,34.8073,34.8073,32.3838,,,,,,
2000-09-19 00:00:00,,,,33.6168,35.544200000000004,33.6168,,,,0,3,3
2000-09-20 00:00:00,,,,34.9773,34.9773,33.730199999999996,,,,,,
2000-09-21 00:00:00,,,,34.3537,34.6939,33.4467,,,,,,
2000-09-22 00:00:00,,,,34.2687,34.6939,33.5601,,,,,,
2000-09-25 00:00:00,,,,34.1837,34.2404,33.3333,,,,,,
2000-09-26 00:00:00,,,,33.4467,33.730199999999996,33.1066,,,,,,
2000-09-27 00:00:00,,,,31.9728,32.4263,30.7256,,,,,,
2000-09-28 00:00:00,,,,31.8594,32.7664,31.6893,,,,,,
2000-09-29 00:00:00,,,,32.5397,33.3333,32.1429,,,,0,3,4
2000-10-02 00:00:00,,,,32.1145,32.6531,30.839,,,,,,
2000-10-03 00:00:00,,,,32.4546,32.483,31.2925,,,,,,
2000-10-04 00:00:00,,,,31.6327,31.8027,30.6689,,,,,,
2000-10-05 00:00:00,,,,31.2925,31.4626,30.839,,,,,,
2000-10-06 00:00:00,,,,31.6893,32.1995,31.4626,,,,0,4,3
2000-10-09 00:00:00,,,,31.5193,31.6752,30.7823,,,,,,
2000-10-10 00:00:00,,,,31.2358,31.2358,30.272100000000002,,,,,,
2000-10-11 00:00:00,,,,30.4989,31.0091,29.7619,,,,,,
2000-10-12 00:00:00,,,,30.1871,30.3288,29.5351,,,,,,
2000-10-13 00:00:00,,,,30.3288,30.7256,30.102,,,,,,
2000-10-16 00:00:00,,,,30.6689,31.0658,29.8186,,,,,,
2000-10-17 00:00:00,,,,30.6689,30.8957,30.4989,,,,,,
2000-10-18 00:00:00,,,,30.4422,31.0091,30.272100000000002,,,,,,
2000-10-19 00:00:00,,,,30.839,32.6389,30.7823,,,,,,
2000-10-20 00:00:00,,,,31.6327,32.5397,31.5193,,,,,,
2000-10-23 00:00:00,,,,31.9161,32.0862,31.1791,,,,,,
2000-10-24 00:00:00,,,,31.3776,32.9932,31.3492,,,,,,
2000-10-25 00:00:00,,,,32.7098,33.22,32.3129,,,,,,
2000-10-26 00:00:00,,,,32.5113,33.6168,31.746,,,,,,
2000-10-27 00:00:00,,,,32.1712,33.730199999999996,32.0295,,,,0,4,3
2000-10-30 00:00:00,,,,33.2766,34.5805,33.2766,,,,,,
2000-10-31 00:00:00,,,,34.3254,34.3254,33.3333,,,,,,
2000-11-01 00:00:00,,,,33.1349,34.623,33.1066,,,,,,
2000-11-02 00:00:00,,,,34.0136,35.1474,34.0136,,,,,,
2000-11-03 00:00:00,,,,34.4955,34.5238,33.9002,,,,,,
2000-11-06 00:00:00,,,,34.1837,34.3537,33.7868,,,,,,
2000-11-07 00:00:00,,,,34.127,34.1837,32.6247,,,,,,
2000-11-08 00:00:00,,,,32.3129,33.730199999999996,32.1995,,,,,,
2000-11-09 00:00:00,,,,32.7664,33.2766,32.5397,,,,,,
2000-11-10 00:00:00,,,,32.7098,33.730199999999996,32.6531,,,,,,
2000-11-13 00:00:00,,,,32.7098,33.5034,31.9728,,,,,,
2000-11-14 00:00:00,,,,32.2137,33.0499,32.1712,,,,,,
2000-11-15 00:00:00,,,,32.7664,33.22,32.3129,,,,,,
2000-11-16 00:00:00,,,,32.9365,33.4467,32.2562,,,,,,
2000-11-17 00:00:00,,,,33.1349,33.4467,32.8231,,,,,,
2000-11-20 00:00:00,,,,32.9932,33.1066,31.9161,,,,,,
2000-11-21 00:00:00,,,,32.8798,33.0499,31.8594,,,,,,
2000-11-22 00:00:00,,,,32.1995,32.7664,31.9728,,,,,,
2000-11-24 00:00:00,,,,31.8594,32.0295,31.7035,,,,,,
2000-11-27 00:00:00,,,,31.8027,31.8027,31.2358,,,,0,4,3
2000-11-28 00:00:00,,,,31.4626,32.3129,31.1791,,,,,,
2000-11-29 00:00:00,,,,32.2562,33.5601,32.0862,,,,,,
2000-11-30 00:00:00,,,,32.7381,33.3333,32.4263,,,,,,
2000-12-01 00:00:00,,,,32.9649,34.1553,32.7664,,,,,,
2000-12-04 00:00:00,,,,33.7727,34.5238,33.730199999999996,,,,,,
2000-12-05 00:00:00,,,,34.8073,35.3741,34.4671,,,,,,
2000-12-06 00:00:00,,,,34.7506,35.941,34.6939,,,,,,
2000-12-07 00:00:00,,,,35.6859,35.941,35.544200000000004,,,,,,
2000-12-08 00:00:00,,,,35.7993,36.3946,35.771,,,,,,
2000-12-11 00:00:00,,,,36.0544,36.3379,35.7143,,,,,,
2000-12-12 00:00:00,,,,36.2812,36.6213,35.6576,,,,,,
2000-12-13 00:00:00,,,,36.0828,36.1536,35.3175,,,,,,
2000-12-14 00:00:00,,,,35.4592,35.4875,34.127,,,,,,
2000-12-15 00:00:00,,,,33.6168,34.3537,33.39,,,,,,
2000-12-18 00:00:00,,,,33.9569,34.8073,33.7868,,,,,,
2000-12-19 00:00:00,,,,34.6939,35.6009,34.6372,,,,,,
2000-12-20 00:00:00,,,,35.0907,35.6576,34.6939,,,,,,
2000-12-21 00:00:00,,,,35.3175,35.4875,34.9206,,,,,,
2000-12-22 00:00:00,,,,35.3741,35.4167,35.034,,,,,,
2000-12-26 00:00:00,,,,35.4308,35.4875,35.034,,,,,,
