Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,13.0625,13.0625,12.6667,,,,0,8,0
2000-05-02 00:00:00,,,,12.625,12.6875,11.875,,,,,,
2000-05-03 00:00:00,,,,11.8333,11.8333,10.75,,,,0,8,0
2000-05-04 00:00:00,,,,11.1042,12.0417,10.7083,,,,,,
2000-05-05 00:00:00,,,,11.6875,11.9167,11.4583,,,,,,
2000-05-08 00:00:00,,,,11.4167,11.5417,11.2292,,,,,,
2000-05-09 00:00:00,,,,11.3438,11.375,10.8333,,,,,,
2000-05-10 00:00:00,,,,10.7708,10.8958,10.4375,,,,,,
2000-05-11 00:00:00,,,,10.75,10.8333,10.4375,,,,,,
2000-05-12 00:00:00,,,,11.0417,11.0625,10.7083,,,,,,
2000-05-15 00:00:00,,,,11.0313,11.0417,10.6042,,,,,,
2000-05-16 00:00:00,,,,11,11.0417,10.8542,,,,,,
2000-05-17 00:00:00,,,,10.875,10.875,10.2083,,,,,,
2000-05-18 00:00:00,,,,10.3333,10.6667,10.1667,,,,,,
2000-05-19 00:00:00,,,,10.1667,10.1875,9.875,,,,0,8,0
2000-05-22 00:00:00,,,,10.0208,10.0417,9.3125,,,,0,8,0
2000-05-23 00:00:00,,,,9.9583,10.375,9.8958,,,,,,
2000-05-24 00:00:00,,,,10.0417,10.5417,9.9167,,,,0,9,0
2000-05-25 00:00:00,,,,10.5417,11.0208,10.4792,,,,,,
2000-05-26 00:00:00,,,,10.5,10.6458,10.4167,,,,0,9,0
2000-05-30 00:00:00,,,,11.0625,11.5417,11.0625,,,,0,9,0
2000-05-31 00:00:00,,,,11.3229,12.8125,11.125,,,,0,9,0
2000-06-01 00:00:00,,,,12.5417,12.6042,12.1146,,,,0,9,0
2000-06-02 00:00:00,,,,12.4583,13.0833,12.4167,,,,0,9,0
2000-06-05 00:00:00,,,,12.7292,13,12.3333,,,,,,
2000-06-06 00:00:00,,,,11.5417,12,11.5417,,,,,,
2000-06-07 00:00:00,,,,11.75,11.8958,11.6042,,,,,,
2000-06-08 00:00:00,,,,11.8125,11.8333,11.5,,,,,,
2000-06-09 00:00:00,,,,11.7708,12.0625,11.6667,,,,,,
2000-06-12 00:00:00,,,,11.9167,12.0625,11.8542,,,,,,
2000-06-13 00:00:00,,,,11.875,11.875,11.5833,,,,,,
2000-06-14 00:00:00,,,,11.75,11.9792,11.6667,,,,,,
2000-06-15 00:00:00,,,,11.9167,12.2292,11.6875,,,,,,
2000-06-16 00:00:00,,,,11.6042,12.3333,11.5938,,,,,,
2000-06-19 00:00:00,,,,11.875,12.3333,11.7292,,,,,,
2000-06-20 00:00:00,,,,12.2083,12.2292,11.5833,,,,,,
2000-06-21 00:00:00,,,,11.6042,12.0833,11.5417,,,,,,
2000-06-22 00:00:00,,,,12,12.4792,11.75,,,,,,
2000-06-23 00:00:00,,,,12.0417,12.1042,11.7292,,,,,,
2000-06-26 00:00:00,,,,11.8333,12.0625,11.6667,,,,,,
2000-06-27 00:00:00,,,,11.875,12.5417,11.7917,,,,,,
2000-06-28 00:00:00,,,,12.5208,13.1458,12.3125,,,,,,
2000-06-29 00:00:00,,,,12.6146,12.6667,11.8333,,,,0,10,0
2000-06-30 00:00:00,,,,12.4167,13.25,12.25,,,,,,
2000-07-03 00:00:00,,,,13,13.0833,12.4167,,,,,,
2000-07-05 00:00:00,,,,13.0833,13.25,12.5,,,,0,10,0
2000-07-06 00:00:00,,,,12.75,12.75,12.3125,,,,0,10,0
2000-07-07 00:00:00,,,,12.5,12.9167,12.5,,,,0,11,0
2000-07-10 00:00:00,,,,12.6354,12.6458,11.8333,,,,,,
2000-07-11 00:00:00,,,,11.9167,11.9583,11.625,,,,,,
2000-07-12 00:00:00,,,,12.0625,12.1042,11.5833,,,,0,11,0
2000-07-13 00:00:00,,,,11.7708,12.2917,11.7708,,,,,,
2000-07-14 00:00:00,,,,12.1875,12.2917,12,,,,,,
2000-07-17 00:00:00,,,,12.2917,12.375,12.0833,,,,,,
2000-07-18 00:00:00,,,,12.3333,12.375,11.875,,,,,,
2000-07-19 00:00:00,,,,12.0417,12.0417,11.7083,,,,,,
2000-07-20 00:00:00,,,,11.9167,12.1458,11.8125,,,,,,
2000-07-21 00:00:00,,,,11.8542,12.0208,11.4167,,,,,,
2000-07-24 00:00:00,,,,11.4167,11.7083,11.0208,,,,,,
2000-07-25 00:00:00,,,,11.1667,11.4375,11.0625,,,,,,
2000-07-26 00:00:00,,,,11.375,11.375,11.0313,,,,,,
2000-07-27 00:00:00,,,,11.1667,11.4375,11.1667,,,,,,
2000-07-28 00:00:00,,,,11.1667,11.1667,10.1667,,,,,,
2000-07-31 00:00:00,,,,10.4167,11.25,10.375,,,,0,11,0
2000-08-01 00:00:00,,,,11.0938,11.125,10.8333,,,,,,
2000-08-02 00:00:00,,,,10.8125,10.9583,10.5833,,,,,,
2000-08-03 00:00:00,,,,10.6667,11.3542,10.5833,,,,0,11,0
2000-08-04 00:00:00,,,,11.3333,11.375,10.9375,,,,0,11,0
2000-08-07 00:00:00,,,,11.125,11.1667,10.75,,,,0,11,0
2000-08-08 00:00:00,,,,11.375,11.4167,10.4167,,,,0,11,0
2000-08-09 00:00:00,,,,10.6458,11.0833,10.5417,,,,,,
2000-08-10 00:00:00,,,,10.9375,11.0833,10.875,,,,,,
