Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,45,48.05,39.99,,,,,,
2006-01-27 00:00:00,,,,44.88,44.9,41.86,,,,,,
2006-01-30 00:00:00,,,,42.2,45.51,41.25,,,,,,
2006-01-31 00:00:00,,,,45.5,49.3,45.4,,,,,,
2006-02-01 00:00:00,,,,48.9,49.23,45.25,,,,,,
2006-02-02 00:00:00,,,,47.9,47.9,44.26,,,,0,0,1
2006-02-03 00:00:00,,,,44.85,46.56,44.26,,,,,,
2006-02-06 00:00:00,,,,47.48,48,46,,,,,,
2006-02-07 00:00:00,,,,47.71,47.75,45.25,,,,,,
2006-02-08 00:00:00,,,,45.85,46.6,45.04,,,,,,
2006-02-09 00:00:00,,,,45.78,46,43.15,,,,,,
2006-02-10 00:00:00,,,,43.25,43.25,41.57,,,,,,
2006-02-13 00:00:00,,,,41.75,42.53,41,,,,,,
2006-02-14 00:00:00,,,,41.45,43.25,41.19,,,,,,
2006-02-15 00:00:00,,,,43.1,43.26,42.22,,,,,,
2006-02-16 00:00:00,,,,43.75,44.7,42.55,,,,0,1,1
2006-02-17 00:00:00,,,,44.25,45,43.85,,,,,,
2006-02-21 00:00:00,,,,44,44,42.92,,,,,,
2006-02-22 00:00:00,,,,43,44.15,42.85,,,,,,
2006-02-23 00:00:00,,,,45.1,45.95,44.75,,,,,,
2006-02-24 00:00:00,,,,45.9,46.75,45.8,,,,,,
2006-02-27 00:00:00,,,,46.95,46.95,46.18,,,,,,
2006-02-28 00:00:00,,,,46.53,46.53,45.6,,,,,,
2006-03-01 00:00:00,,,,45.64,46.1,44.73,,,,,,
2006-03-02 00:00:00,,,,45.5,46.31,45.07,,,,,,
2006-03-03 00:00:00,,,,45.75,46.27,45.14,,,,,,
2006-03-06 00:00:00,,,,45.6,46.1,45.03,,,,0,1,2
2006-03-07 00:00:00,,,,44.5,45.15,44.25,,,,1,2,5
2006-03-08 00:00:00,,,,44.85,44.85,42.3,,,,1,2,6
2006-03-09 00:00:00,,,,42.75,42.89,41.25,,,,,,
2006-03-10 00:00:00,,,,41.4,42.86,40.9,,,,1,2,7
2006-03-13 00:00:00,,,,42.36,43.72,42.36,,,,1,2,7
2006-03-14 00:00:00,,,,46.5,49.15,46.4,,,,1,2,8
2006-03-15 00:00:00,,,,48,52.75,47.85,,,,,,
2006-03-16 00:00:00,,,,52,56.75,51.89,,,,,,
2006-03-17 00:00:00,,,,55.5,55.5,53.43,,,,,,
2006-03-20 00:00:00,,,,53.56,53.57,50.05,,,,,,
