Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,8.859,9,8.438,,,,0,0,2
2000-05-02 00:00:00,,,,8.688,8.797,8.531,,,,,,
2000-05-03 00:00:00,,,,8.656,8.656,8.438,,,,,,
2000-05-04 00:00:00,,,,8.516,8.578,8.359,,,,,,
2000-05-05 00:00:00,,,,8.469,8.594,8.391,,,,,,
2000-05-08 00:00:00,,,,8.469,8.672,8.375,,,,,,
2000-05-09 00:00:00,,,,8.594,8.609,8.266,,,,,,
2000-05-10 00:00:00,,,,8.328,8.422,8.203,,,,,,
2000-05-11 00:00:00,,,,8.531,8.844,8.438,,,,,,
2000-05-12 00:00:00,,,,8.563,8.734,8.5,,,,,,
2000-05-15 00:00:00,,,,8.938,8.938,8.438,,,,,,
2000-05-16 00:00:00,,,,8.547,8.859,8.516,,,,,,
2000-05-17 00:00:00,,,,8.484,8.625,8.484,,,,0,0,2
2000-05-18 00:00:00,,,,8.734,8.875,8.531,,,,,,
2000-05-19 00:00:00,,,,8.5,8.609,8.438,,,,,,
2000-05-22 00:00:00,,,,8.453,8.563,8.203,,,,,,
2000-05-23 00:00:00,,,,8.484,8.484,8.25,,,,,,
2000-05-24 00:00:00,,,,8.469,8.703,8.406,,,,,,
2000-05-25 00:00:00,,,,8.5,8.578,8.125,,,,,,
2000-05-26 00:00:00,,,,8.344,8.422,8.078,,,,,,
2000-05-30 00:00:00,,,,8.094,8.313,8.016,,,,,,
2000-05-31 00:00:00,,,,8.328,8.328,8.109,,,,0,1,2
2000-06-01 00:00:00,,,,8.156,8.375,8.078,,,,,,
2000-06-02 00:00:00,,,,8.438,8.5,8.203,,,,,,
2000-06-05 00:00:00,,,,8.406,8.547,8.234,,,,,,
2000-06-06 00:00:00,,,,8.375,8.406,8.203,,,,,,
2000-06-07 00:00:00,,,,8.344,8.344,8.063,,,,,,
2000-06-08 00:00:00,,,,8.031,8.078,7.844,,,,,,
2000-06-09 00:00:00,,,,7.953,8.094,7.953,,,,,,
2000-06-12 00:00:00,,,,8.063,8.203,7.906,,,,,,
2000-06-13 00:00:00,,,,8.016,8.047,7.828,,,,,,
2000-06-14 00:00:00,,,,7.969,8.25,7.953,,,,,,
2000-06-15 00:00:00,,,,8.109,8.281,8.078,,,,,,
2000-06-16 00:00:00,,,,8.313,8.328,8.078,,,,,,
2000-06-19 00:00:00,,,,8.219,8.25,7.859,,,,,,
2000-06-20 00:00:00,,,,7.891,7.891,7.719,,,,,,
2000-06-21 00:00:00,,,,7.781,7.859,7.719,,,,,,
2000-06-22 00:00:00,,,,7.75,7.75,7.531,,,,,,
2000-06-23 00:00:00,,,,7.531,7.656,7.453,,,,,,
2000-06-26 00:00:00,,,,7.563,7.563,7.391,,,,,,
2000-06-27 00:00:00,,,,7.422,7.594,7.422,,,,,,
2000-06-28 00:00:00,,,,7.5,7.5,7.188,,,,,,
2000-06-29 00:00:00,,,,7.438,7.469,7.266,,,,,,
2000-06-30 00:00:00,,,,7.375,7.375,6.813,,,,0,1,2
2000-07-03 00:00:00,,,,6.922,7.125,6.891,,,,,,
2000-07-05 00:00:00,,,,6.938,7.063,6.906,,,,,,
2000-07-06 00:00:00,,,,6.969,7.234,6.953,,,,0,1,2
2000-07-07 00:00:00,,,,7.016,7.188,6.828,,,,,,
2000-07-10 00:00:00,,,,6.984,7.125,6.891,,,,,,
2000-07-11 00:00:00,,,,6.953,6.984,6.766,,,,,,
2000-07-12 00:00:00,,,,6.922,7.234,6.906,,,,,,
2000-07-13 00:00:00,,,,7.188,7.5,7,,,,,,
2000-07-14 00:00:00,,,,7.594,7.656,7.438,,,,0,1,2
2000-07-17 00:00:00,,,,8.719,9.063,8.656,,,,,,
2000-07-18 00:00:00,,,,9.109,9.344,8.766,,,,,,
2000-07-19 00:00:00,,,,8.859,8.938,8.547,,,,,,
2000-07-20 00:00:00,,,,8.734,8.734,8.25,,,,,,
2000-07-21 00:00:00,,,,8.266,8.5,8.156,,,,0,1,2
2000-07-24 00:00:00,,,,8.219,8.375,8.188,,,,,,
2000-07-25 00:00:00,,,,8.281,8.344,8.031,,,,,,
