Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,1.5365,1.6354,1.5365,,,,0,3,1
2000-05-02 00:00:00,,,,1.5781,1.599,1.5521,,,,0,2,1
2000-05-03 00:00:00,,,,1.5573000000000001,1.5625,1.5312999999999999,,,,,,
2000-05-04 00:00:00,,,,1.526,1.5417,1.5104,,,,,,
2000-05-05 00:00:00,,,,1.5104,1.5312999999999999,1.5,,,,,,
2000-05-08 00:00:00,,,,1.5417,1.5781,1.5312999999999999,,,,,,
2000-05-09 00:00:00,,,,1.5729,1.6667,1.5625,,,,,,
2000-05-10 00:00:00,,,,1.6458,1.6562999999999999,1.6146,,,,,,
2000-05-11 00:00:00,,,,1.6458,1.75,1.6458,,,,,,
2000-05-12 00:00:00,,,,1.7708,1.776,1.6979,,,,,,
2000-05-15 00:00:00,,,,1.7083,1.8021,1.7083,,,,,,
2000-05-16 00:00:00,,,,1.8333,1.8958,1.75,,,,,,
2000-05-17 00:00:00,,,,1.7708,1.8542,1.7551999999999999,,,,,,
2000-05-18 00:00:00,,,,1.9167,1.9167,1.8646,,,,0,3,1
2000-05-19 00:00:00,,,,1.8906,1.8906,1.8333,,,,,,
2000-05-22 00:00:00,,,,1.8542,1.8542,1.7969,,,,,,
2000-05-23 00:00:00,,,,1.8281,1.8906,1.8229,,,,,,
2000-05-24 00:00:00,,,,1.8437999999999999,1.8542,1.8281,,,,0,3,1
2000-05-25 00:00:00,,,,1.8385,1.875,1.7969,,,,,,
2000-05-26 00:00:00,,,,1.8542,1.9167,1.8542,,,,,,
2000-05-30 00:00:00,,,,1.9792,2.0104,1.9479,,,,,,
2000-05-31 00:00:00,,,,2.0208,2.0885,2.0156,,,,0,3,1
2000-06-01 00:00:00,,,,2.0729,2.0729,2.0104,,,,,,
2000-06-02 00:00:00,,,,1.9167,1.9167,1.75,,,,0,4,1
2000-06-05 00:00:00,,,,1.7708,1.849,1.6771,,,,0,5,1
2000-06-06 00:00:00,,,,1.8437999999999999,1.9583,1.8437999999999999,,,,0,5,1
2000-06-07 00:00:00,,,,1.8906,1.8906,1.7917,,,,,,
2000-06-08 00:00:00,,,,1.8333,1.8854,1.8125,,,,0,6,1
2000-06-09 00:00:00,,,,1.8958,1.9115,1.8698000000000001,,,,0,6,1
2000-06-12 00:00:00,,,,1.8698000000000001,1.9323000000000001,1.8698000000000001,,,,0,6,1
2000-06-13 00:00:00,,,,1.9375,1.9687999999999999,1.9271,,,,,,
