Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,54.063,59,52.875,,,,0,10,3
2000-05-02 00:00:00,,,,56.75,58.5,54.5,,,,,,
2000-05-03 00:00:00,,,,52.063,52.625,50.375,,,,0,10,3
2000-05-04 00:00:00,,,,51.563,52.375,46.313,,,,,,
2000-05-05 00:00:00,,,,47.813,50.875,47.125,,,,0,10,3
2000-05-08 00:00:00,,,,48.625,48.75,46.75,,,,,,
2000-05-09 00:00:00,,,,48.063,50.375,47.688,,,,,,
2000-05-10 00:00:00,,,,49,50.5,48.375,,,,0,11,3
2000-05-11 00:00:00,,,,49.5,50.25,48.5,,,,,,
2000-05-12 00:00:00,,,,49.5,50.125,47.75,,,,,,
2000-05-15 00:00:00,,,,47.875,49.438,47.063,,,,,,
2000-05-16 00:00:00,,,,49.688,52.5,49.625,,,,,,
2000-05-17 00:00:00,,,,50.313,50.313,47.375,,,,,,
2000-05-18 00:00:00,,,,47.75,48.375,46.5,,,,,,
2000-05-19 00:00:00,,,,45.828,46,44.813,,,,,,
2000-05-22 00:00:00,,,,45.25,45.5,41.75,,,,,,
2000-05-23 00:00:00,,,,42.938,44.25,40.563,,,,,,
2000-05-24 00:00:00,,,,29,33.375,25.938,,,,0,7,7
2000-05-25 00:00:00,,,,32,32.5,29.688,,,,0,7,7
2000-05-26 00:00:00,,,,30.625,31.375,30.063,,,,,,
2000-05-30 00:00:00,,,,31.75,32.875,31.313,,,,,,
2000-05-31 00:00:00,,,,32.5,32.813,31.625,,,,0,7,7
2000-06-01 00:00:00,,,,32.688,32.688,31.875,,,,0,7,7
2000-06-02 00:00:00,,,,32.938,34.438,32.375,,,,0,7,7
2000-06-05 00:00:00,,,,34.25,34.313,33,,,,1,7,7
2000-06-06 00:00:00,,,,33,33.063,31.75,,,,1,8,7
2000-06-07 00:00:00,,,,32.063,33.5,32,,,,,,
2000-06-08 00:00:00,,,,32.813,32.875,31.938,,,,,,
2000-06-09 00:00:00,,,,32.375,32.688,31.75,,,,1,8,7
2000-06-12 00:00:00,,,,32.25,32.25,31.313,,,,1,8,7
2000-06-13 00:00:00,,,,31.438,34.688,31.25,,,,,,
2000-06-14 00:00:00,,,,32.5,33.5,32,,,,,,
2000-06-15 00:00:00,,,,32.875,33.563,32,,,,,,
2000-06-16 00:00:00,,,,33.375,33.438,32.25,,,,1,8,7
2000-06-19 00:00:00,,,,32.25,32.938,31.938,,,,,,
2000-06-20 00:00:00,,,,32.563,32.625,31.375,,,,1,8,7
2000-06-21 00:00:00,,,,31.625,33,31.5,,,,,,
2000-06-22 00:00:00,,,,32.438,33.359,31.938,,,,,,
2000-06-23 00:00:00,,,,32.063,32.5,31.5,,,,,,
2000-06-26 00:00:00,,,,32.188,32.25,31.75,,,,1,8,7
2000-06-27 00:00:00,,,,31.875,33.188,31.813,,,,,,
2000-06-28 00:00:00,,,,33,33.125,32.063,,,,1,8,7
2000-06-29 00:00:00,,,,32.188,32.438,31.938,,,,,,
2000-06-30 00:00:00,,,,32.125,33.438,32,,,,1,8,7
2000-07-03 00:00:00,,,,33,34.25,32.875,,,,,,
2000-07-05 00:00:00,,,,34.375,34.375,32.938,,,,,,
2000-07-06 00:00:00,,,,33.188,33.188,32,,,,,,
2000-07-07 00:00:00,,,,32.875,34.875,32.375,,,,,,
2000-07-10 00:00:00,,,,34.688,37.125,34.25,,,,,,
2000-07-11 00:00:00,,,,37,37.125,34.625,,,,,,
2000-07-12 00:00:00,,,,35.75,36.813,34.875,,,,,,
2000-07-13 00:00:00,,,,36.125,36.625,35.188,,,,1,8,7
2000-07-14 00:00:00,,,,37.063,37.063,35.813,,,,,,
2000-07-17 00:00:00,,,,36,36.25,35.438,,,,,,
2000-07-18 00:00:00,,,,35.5,35.625,33.75,,,,1,8,7
2000-07-19 00:00:00,,,,34.031,34.125,32.625,,,,,,
2000-07-20 00:00:00,,,,33.063,33.625,32.75,,,,,,
2000-07-21 00:00:00,,,,32.75,33.125,31.25,,,,,,
2000-07-24 00:00:00,,,,32.313,32.313,31.313,,,,,,
2000-07-25 00:00:00,,,,31.875,32.063,31.5,,,,,,
2000-07-26 00:00:00,,,,31.813,32.313,31.188,,,,,,
