Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,39.625,40.125,38.375,,,,0,6,0
2000-05-02 00:00:00,,,,39.0938,39.75,37.25,,,,,,
2000-05-03 00:00:00,,,,37.25,37.5,35.5625,,,,,,
2000-05-04 00:00:00,,,,37.5,38.25,36.75,,,,,,
2000-05-05 00:00:00,,,,38.0625,40,37.5,,,,0,6,0
2000-05-08 00:00:00,,,,38.875,40.4375,37.4375,,,,,,
2000-05-09 00:00:00,,,,39.25,40.4375,37.5,,,,,,
2000-05-10 00:00:00,,,,39.1875,41.2969,39,,,,,,
2000-05-11 00:00:00,,,,39.5,40.0625,38.4375,,,,,,
2000-05-12 00:00:00,,,,39.6875,40.1875,39.0625,,,,,,
2000-05-15 00:00:00,,,,39.625,41.75,39.625,,,,,,
2000-05-16 00:00:00,,,,41.5,44.875,41.25,,,,,,
2000-05-17 00:00:00,,,,43.9375,44.125,41.9375,,,,,,
2000-05-18 00:00:00,,,,42.25,43,40.125,,,,,,
2000-05-19 00:00:00,,,,39.1875,41.875,39.1875,,,,0,6,0
2000-05-22 00:00:00,,,,40.5,41.9375,39.1875,,,,,,
2000-05-23 00:00:00,,,,41.75,43,39.25,,,,,,
2000-05-24 00:00:00,,,,39.375,44.25,38.75,,,,,,
2000-05-25 00:00:00,,,,42.125,43.375,40.375,,,,,,
2000-05-26 00:00:00,,,,41.625,42.75,39.8125,,,,,,
2000-05-30 00:00:00,,,,42.25,45.1875,42.1875,,,,0,6,0
2000-05-31 00:00:00,,,,43.6875,47.375,43.625,,,,,,
2000-06-01 00:00:00,,,,44.125,47.25,43.625,,,,0,6,1
2000-06-02 00:00:00,,,,47.3125,48.5,47.25,,,,0,6,1
2000-06-05 00:00:00,,,,48.125,48.875,45.0625,,,,0,6,1
2000-06-06 00:00:00,,,,46.5,46.6875,45.125,,,,,,
2000-06-07 00:00:00,,,,45.4375,45.625,43.75,,,,,,
2000-06-08 00:00:00,,,,44.7813,44.9375,40.8125,,,,,,
2000-06-09 00:00:00,,,,41.5938,43,41,,,,,,
2000-06-12 00:00:00,,,,43.125,43.375,40.8125,,,,,,
2000-06-13 00:00:00,,,,40.5313,42.5,40,,,,,,
2000-06-14 00:00:00,,,,42.375,43.625,40.125,,,,,,
2000-06-15 00:00:00,,,,40.75,41.0625,39.5,,,,,,
2000-06-16 00:00:00,,,,42.5,43.5625,41.125,,,,0,6,1
2000-06-19 00:00:00,,,,41.0313,44.1875,40.5,,,,,,
