Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,42.75,44.25,42.75,,,,0,12,1
2000-05-02 00:00:00,,,,43.5938,44.9688,43.5625,,,,,,
2000-05-03 00:00:00,,,,44.7188,44.7188,43.6563,,,,,,
2000-05-04 00:00:00,,,,43.7813,44.5625,43.7813,,,,,,
2000-05-05 00:00:00,,,,44.3125,45.375,44.0313,,,,,,
2000-05-08 00:00:00,,,,45.5313,46.4688,45.375,,,,,,
2000-05-09 00:00:00,,,,45.8438,45.875,44.4375,,,,,,
2000-05-10 00:00:00,,,,44.7188,45.9375,44.7188,,,,,,
2000-05-11 00:00:00,,,,45.4375,46.7188,45.4375,,,,,,
2000-05-12 00:00:00,,,,46.5,47.1563,46.3438,,,,,,
2000-05-15 00:00:00,,,,46.9063,47.375,46.7188,,,,,,
2000-05-16 00:00:00,,,,47,47,46.0313,,,,,,
2000-05-17 00:00:00,,,,45.375,45.8438,45.0313,,,,,,
2000-05-18 00:00:00,,,,45.7813,46.0313,45.1875,,,,,,
2000-05-19 00:00:00,,,,45.5,46.9688,45.3438,,,,0,13,1
2000-05-22 00:00:00,,,,46.9063,47.4375,46.6563,,,,,,
2000-05-23 00:00:00,,,,46.8438,46.8438,45.7813,,,,0,13,1
2000-05-24 00:00:00,,,,46.6875,47.2188,46.375,,,,0,13,1
2000-05-25 00:00:00,,,,46.9375,46.9375,45.75,,,,,,
2000-05-26 00:00:00,,,,46.9063,47,45.5625,,,,,,
2000-05-30 00:00:00,,,,45.7188,45.8438,45.2813,,,,,,
2000-05-31 00:00:00,,,,45.9063,46.7188,45.7813,,,,0,14,1
2000-06-01 00:00:00,,,,46.2188,46.2188,44.7188,,,,,,
2000-06-02 00:00:00,,,,45,45.2813,44.4063,,,,0,14,1
2000-06-05 00:00:00,,,,45.375,45.625,45.125,,,,,,
2000-06-06 00:00:00,,,,45.25,46.5938,45.2188,,,,,,
2000-06-07 00:00:00,,,,46.9375,46.9688,45.875,,,,,,
2000-06-08 00:00:00,,,,46.2188,46.5,45.9063,,,,,,
2000-06-09 00:00:00,,,,46.5,46.5938,45.75,,,,0,14,1
2000-06-12 00:00:00,,,,46.4063,47.25,46.4063,,,,,,
2000-06-13 00:00:00,,,,46,46.1563,45.7188,,,,0,13,2
2000-06-14 00:00:00,,,,46.0313,47.2188,46.0313,,,,,,
2000-06-15 00:00:00,,,,46.5313,46.9688,46,,,,,,
2000-06-16 00:00:00,,,,46.3125,47.3438,46.3125,,,,0,13,2
2000-06-19 00:00:00,,,,46.6563,46.7188,45.2188,,,,,,
2000-06-20 00:00:00,,,,45.6875,45.6875,44.8438,,,,,,
2000-06-21 00:00:00,,,,45.0625,45.9375,44.7813,,,,,,
2000-06-22 00:00:00,,,,45.9063,46.2813,44.6875,,,,,,
2000-06-23 00:00:00,,,,44.7813,45.2188,44.7188,,,,0,13,2
2000-06-26 00:00:00,,,,44.8438,45.25,44.3438,,,,,,
2000-06-27 00:00:00,,,,44.4375,44.4375,44.125,,,,,,
2000-06-28 00:00:00,,,,44.125,44.1875,43.5313,,,,,,
2000-06-29 00:00:00,,,,43.4375,43.9688,43.25,,,,0,13,2
2000-06-30 00:00:00,,,,43.3125,43.5625,42.2813,,,,0,13,2
2000-07-03 00:00:00,,,,42.5,43.3125,42.4375,,,,,,
2000-07-05 00:00:00,,,,42.5313,42.5313,41.0313,,,,0,13,2
2000-07-06 00:00:00,,,,41.4063,42.6875,41.4063,,,,,,
2000-07-07 00:00:00,,,,42,42.5938,41.9688,,,,0,13,2
2000-07-10 00:00:00,,,,42.0313,42.5938,42,,,,,,
2000-07-11 00:00:00,,,,42.0625,43.7813,42.0625,,,,,,
2000-07-12 00:00:00,,,,43.5313,43.5313,42.8438,,,,,,
2000-07-13 00:00:00,,,,42.9063,42.9688,41.625,,,,,,
2000-07-14 00:00:00,,,,41.8438,41.875,41.3438,,,,,,
2000-07-17 00:00:00,,,,42,42.25,41.3125,,,,,,
2000-07-18 00:00:00,,,,41.0313,41.7188,40.4688,,,,,,
2000-07-19 00:00:00,,,,40.9375,41.125,40.8125,,,,,,
2000-07-20 00:00:00,,,,41,41,40,,,,,,
2000-07-21 00:00:00,,,,40,40.125,39.25,,,,,,
2000-07-24 00:00:00,,,,39.3438,39.4688,38.6563,,,,,,
2000-07-25 00:00:00,,,,39,39.0625,38.4688,,,,0,13,2
2000-07-26 00:00:00,,,,39.25,39.4688,38.6563,,,,0,13,2
2000-07-27 00:00:00,,,,39,40.5625,38.9688,,,,0,13,2
2000-07-28 00:00:00,,,,40.625,41.1563,40.125,,,,,,
2000-07-31 00:00:00,,,,40,40.9063,39.3438,,,,,,
2000-08-01 00:00:00,,,,39.25,40.0938,39.25,,,,,,
2000-08-02 00:00:00,,,,39.6875,40.125,39.6875,,,,,,
2000-08-03 00:00:00,,,,40.125,40.5,39.4375,,,,,,
2000-08-04 00:00:00,,,,39.3438,40.125,38.8125,,,,,,
2000-08-07 00:00:00,,,,39.8438,40.7813,39.8125,,,,,,
2000-08-08 00:00:00,,,,40,40.375,39.8438,,,,,,
2000-08-09 00:00:00,,,,40.75,41.625,40.5313,,,,,,
2000-08-10 00:00:00,,,,41.3125,42.1563,41.3125,,,,,,
2000-08-11 00:00:00,,,,41.9063,42.2813,41.5625,,,,0,13,2
2000-08-14 00:00:00,,,,41.625,42.3438,41.625,,,,,,
2000-08-15 00:00:00,,,,42.25,42.625,41.75,,,,,,
2000-08-16 00:00:00,,,,41.8125,42.8125,41.8125,,,,,,
2000-08-17 00:00:00,,,,42.7188,43.875,42.5625,,,,,,
2000-08-18 00:00:00,,,,42.8438,43.4375,42.8438,,,,0,14,2
2000-08-21 00:00:00,,,,43.0938,43.5938,42.75,,,,,,
2000-08-22 00:00:00,,,,43.5,43.8438,43.125,,,,,,
2000-08-23 00:00:00,,,,43.8125,44.8438,43.5938,,,,,,
2000-08-24 00:00:00,,,,43.3125,43.4688,42.9688,,,,0,14,2
2000-08-25 00:00:00,,,,43.2813,43.75,42.8438,,,,0,14,2
2000-08-28 00:00:00,,,,43.0625,44.0313,42.9375,,,,,,
2000-08-29 00:00:00,,,,43.4375,43.6875,42.9688,,,,,,
2000-08-30 00:00:00,,,,42.9063,42.9688,42.4688,,,,,,
2000-08-31 00:00:00,,,,42.8125,42.9688,42.1875,,,,0,14,2
2000-09-01 00:00:00,,,,42.3438,43.2813,42.3438,,,,0,15,1
2000-09-05 00:00:00,,,,43.1563,43.5938,42.7188,,,,,,
2000-09-06 00:00:00,,,,43.2813,44.3438,43.2813,,,,0,15,1
2000-09-07 00:00:00,,,,44.75,44.75,44.0938,,,,0,15,1
2000-09-08 00:00:00,,,,43.6875,43.9375,43.125,,,,,,
2000-09-11 00:00:00,,,,43.3438,45,43.3438,,,,0,15,1
2000-09-12 00:00:00,,,,44.4375,44.75,43.9688,,,,0,15,1
2000-09-13 00:00:00,,,,44.375,44.7188,44.0625,,,,,,
2000-09-14 00:00:00,,,,44.3125,44.3125,43.6563,,,,,,
2000-09-15 00:00:00,,,,43.875,45.7188,43.875,,,,0,15,1
2000-09-18 00:00:00,,,,45.4375,46.1563,45.1875,,,,,,
2000-09-19 00:00:00,,,,44.8125,44.8438,44.0313,,,,,,
2000-09-20 00:00:00,,,,44.6875,45.3125,43.3438,,,,,,
2000-09-21 00:00:00,,,,43.3125,43.4063,42.3125,,,,,,
2000-09-22 00:00:00,,,,42.5625,43.2188,41.8438,,,,,,
2000-09-25 00:00:00,,,,41.5,41.8438,40.7813,,,,,,
2000-09-26 00:00:00,,,,41.875,42.4063,41.5313,,,,,,
2000-09-27 00:00:00,,,,41.7188,42.8125,41.4063,,,,,,
2000-09-28 00:00:00,,,,42.7188,42.9688,42,,,,,,
2000-09-29 00:00:00,,,,42.3438,43.4375,42.3438,,,,0,15,1
2000-10-02 00:00:00,,,,43.0938,43.7813,42.9375,,,,,,
2000-10-03 00:00:00,,,,43.5938,43.875,43.2188,,,,,,
2000-10-04 00:00:00,,,,43.75,43.7813,42.25,,,,,,
2000-10-05 00:00:00,,,,42.4063,42.9063,41.7188,,,,,,
2000-10-06 00:00:00,,,,42.75,43.5938,41.9063,,,,0,15,1
2000-10-09 00:00:00,,,,42.4063,43.1875,42.4063,,,,,,
2000-10-10 00:00:00,,,,43.25,44,42.8438,,,,,,
2000-10-11 00:00:00,,,,44.4688,44.4688,43.0313,,,,,,
2000-10-12 00:00:00,,,,43.3125,44.2813,43.2813,,,,0,15,1
2000-10-13 00:00:00,,,,43.3438,43.4688,42,,,,0,14,2
2000-10-16 00:00:00,,,,40,41,39.5313,,,,0,14,2
2000-10-17 00:00:00,,,,40.75,41.4375,40.375,,,,0,14,2
2000-10-18 00:00:00,,,,41.6875,41.6875,40.875,,,,,,
2000-10-19 00:00:00,,,,40.9375,41.5938,40.75,,,,,,
2000-10-20 00:00:00,,,,41.1563,41.875,41.125,,,,,,
