Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,23,23.25,22.65,,,,,,
2007-04-27 00:00:00,,,,21.5,21.51,20.88,,,,,,
2007-04-30 00:00:00,,,,20.5,20.7,20.01,,,,,,
2007-05-01 00:00:00,,,,19.75,20.15,19.05,,,,,,
2007-05-02 00:00:00,,,,19.75,20.75,19.55,,,,,,
2007-05-03 00:00:00,,,,21.75,21.8,20.55,,,,1,0,0
2007-05-04 00:00:00,,,,21.05,21.35,20.7,,,,,,
2007-05-07 00:00:00,,,,21.25,21.29,20.2,,,,2,0,0
2007-05-08 00:00:00,,,,19.8,19.93,19.3,,,,2,1,0
2007-05-09 00:00:00,,,,19.75,20.2,19.71,,,,,,
2007-05-10 00:00:00,,,,19.79,19.99,19.55,,,,,,
2007-05-11 00:00:00,,,,19.71,19.8,19.11,,,,,,
2007-05-14 00:00:00,,,,19.15,19.39,18.75,,,,,,
2007-05-15 00:00:00,,,,18.65,18.85,18.15,,,,,,
2007-05-16 00:00:00,,,,18.06,18.48,18.04,,,,,,
2007-05-17 00:00:00,,,,18.75,19.75,18.67,,,,2,3,0
2007-05-18 00:00:00,,,,19.25,19.49,18.55,,,,,,
2007-05-21 00:00:00,,,,19.2,19.34,19,,,,,,
2007-05-22 00:00:00,,,,19.1,19.53,19,,,,,,
2007-05-23 00:00:00,,,,19.5,19.7,19.1,,,,,,
2007-05-24 00:00:00,,,,19.21,19.33,18.85,,,,,,
2007-05-25 00:00:00,,,,19.02,19.05,18.69,,,,2,3,0
2007-05-29 00:00:00,,,,18.91,19.2,18.91,,,,,,
2007-05-30 00:00:00,,,,19.05,19.15,18.81,,,,2,4,1
2007-05-31 00:00:00,,,,19.15,19.28,19.05,,,,2,5,1
2007-06-01 00:00:00,,,,19.1,19.8,19.09,,,,,,
2007-06-04 00:00:00,,,,18.75,19.05,18.69,,,,,,
2007-06-05 00:00:00,,,,18.76,19.04,18.74,,,,2,5,1
2007-06-06 00:00:00,,,,18.7,18.93,18.65,,,,1,5,1
2007-06-07 00:00:00,,,,18.77,18.85,18.16,,,,,,
2007-06-08 00:00:00,,,,18.2,18.83,18.2,,,,,,
2007-06-11 00:00:00,,,,18.55,18.82,18.22,,,,,,
2007-06-12 00:00:00,,,,18.03,18.71,18.02,,,,,,
2007-06-13 00:00:00,,,,18.48,18.68,18.37,,,,1,5,1
2007-06-14 00:00:00,,,,18.5,19.01,18.45,,,,,,
2007-06-15 00:00:00,,,,18.89,19.14,18.48,,,,,,
2007-06-18 00:00:00,,,,18.65,18.9,18.5,,,,,,
2007-06-19 00:00:00,,,,18.59,19.07,18.57,,,,,,
2007-06-20 00:00:00,,,,19,19.49,18.82,,,,1,5,1
2007-06-21 00:00:00,,,,19.2,19.6,19.02,,,,,,
2007-06-22 00:00:00,,,,19.5,19.85,19.37,,,,1,5,1
2007-06-25 00:00:00,,,,19.69,19.74,19.11,,,,,,
2007-06-26 00:00:00,,,,19.43,19.66,19.27,,,,,,
2007-06-27 00:00:00,,,,19.4,19.59,19.13,,,,,,
2007-06-28 00:00:00,,,,19.75,19.89,19.63,,,,,,
2007-06-29 00:00:00,,,,19.55,19.83,19.52,,,,1,5,2
2007-07-02 00:00:00,,,,19.57,19.76,19.53,,,,,,
2007-07-03 00:00:00,,,,19.71,20.26,19.71,,,,,,
2007-07-05 00:00:00,,,,20.01,20.73,19.92,,,,1,5,2
2007-07-06 00:00:00,,,,20.55,20.9,20.38,,,,,,
2007-07-09 00:00:00,,,,20.94,21.39,20.88,,,,,,
2007-07-10 00:00:00,,,,21.18,21.23,20.53,,,,,,
2007-07-11 00:00:00,,,,20.18,20.59,20,,,,,,
2007-07-12 00:00:00,,,,20.43,20.63,20.11,,,,1,5,2
2007-07-13 00:00:00,,,,20.35,20.54,20.09,,,,,,
2007-07-16 00:00:00,,,,20.45,21,20.35,,,,,,
2007-07-17 00:00:00,,,,21,21.25,20.79,,,,0,5,3
2007-07-18 00:00:00,,,,21.42,21.47,21.15,,,,0,5,3
2007-07-19 00:00:00,,,,21.48,21.8,21.4,,,,,,
2007-07-20 00:00:00,,,,21.41,21.58,21.03,,,,,,
2007-07-23 00:00:00,,,,21.4,21.5,21.01,,,,0,5,3
2007-07-24 00:00:00,,,,21.15,21.6,20.73,,,,,,
2007-07-25 00:00:00,,,,21.3,21.3,20.45,,,,,,
2007-07-26 00:00:00,,,,20.56,20.56,18.87,,,,,,
2007-07-27 00:00:00,,,,19.71,19.72,18.39,,,,,,
2007-07-30 00:00:00,,,,18.5,18.59,17.32,,,,,,
2007-07-31 00:00:00,,,,18.28,18.54,17.72,,,,,,
2007-08-01 00:00:00,,,,18,18.65,17.18,,,,,,
2007-08-02 00:00:00,,,,18.84,19.5,18.26,,,,0,5,3
2007-08-03 00:00:00,,,,18.88,19.17,18.2,,,,,,
2007-08-06 00:00:00,,,,18.94,18.99,17.72,,,,0,5,3
2007-08-07 00:00:00,,,,17.85,18.77,17.85,,,,0,5,3
2007-08-08 00:00:00,,,,18.38,18.85,18.05,,,,,,
2007-08-09 00:00:00,,,,18.04,18.13,17.65,,,,,,
2007-08-10 00:00:00,,,,17.5,17.61,16.95,,,,,,
2007-08-13 00:00:00,,,,17.65,18.05,17.18,,,,,,
2007-08-14 00:00:00,,,,17.29,17.57,15.96,,,,,,
2007-08-15 00:00:00,,,,16.85,16.95,15.02,,,,0,5,4
2007-08-16 00:00:00,,,,15.25,16.19,14.94,,,,,,
2007-08-17 00:00:00,,,,16.55,16.6,15.02,,,,,,
2007-08-20 00:00:00,,,,16.1,16.65,15.88,,,,0,5,4
2007-08-21 00:00:00,,,,16.01,17.83,15.95,,,,0,5,4
2007-08-22 00:00:00,,,,18.15,18.65,17.64,,,,0,6,3
2007-08-23 00:00:00,,,,18,18.15,17.55,,,,0,6,3
2007-08-24 00:00:00,,,,17.79,18.28,17.62,,,,,,
2007-08-27 00:00:00,,,,17.61,18.23,17.5,,,,,,
2007-08-28 00:00:00,,,,17.55,17.68,17.23,,,,,,
2007-08-29 00:00:00,,,,17.46,17.63,17.32,,,,,,
2007-08-30 00:00:00,,,,17.05,17.3,16.82,,,,,,
2007-08-31 00:00:00,,,,17.05,17.27,16.82,,,,,,
2007-09-04 00:00:00,,,,17.04,17.68,17,,,,0,6,3
2007-09-05 00:00:00,,,,17.5,17.98,17.5,,,,0,6,3
2007-09-06 00:00:00,,,,17.75,18.3,17.26,,,,,,
2007-09-07 00:00:00,,,,17.58,17.74,17.39,,,,0,6,3
2007-09-10 00:00:00,,,,17.73,17.99,17.27,,,,0,7,3
2007-09-11 00:00:00,,,,17.4,17.9,17.31,,,,,,
2007-09-12 00:00:00,,,,17.65,17.65,17.06,,,,0,7,3
2007-09-13 00:00:00,,,,17.31,17.62,17.16,,,,0,7,3
2007-09-14 00:00:00,,,,17.34,17.7,17.27,,,,,,
2007-09-17 00:00:00,,,,17.57,17.67,17.11,,,,,,
2007-09-18 00:00:00,,,,17.35,17.56,16.87,,,,0,8,3
2007-09-19 00:00:00,,,,17.5,18.33,17.5,,,,,,
2007-09-20 00:00:00,,,,18.17,18.17,17.64,,,,,,
2007-09-21 00:00:00,,,,18.19,18.19,17.47,,,,0,8,3
2007-09-24 00:00:00,,,,17.52,17.57,16.01,,,,0,8,3
2007-09-25 00:00:00,,,,16.05,17.08,16.01,,,,,,
2007-09-26 00:00:00,,,,17.15,17.95,16.95,,,,,,
2007-09-27 00:00:00,,,,17.93,18.04,17.57,,,,0,8,3
2007-09-28 00:00:00,,,,17.5,17.96,17.28,,,,0,7,3
2007-10-01 00:00:00,,,,18,18.32,17.81,,,,,,
2007-10-02 00:00:00,,,,18.4,19,18.37,,,,0,7,3
2007-10-03 00:00:00,,,,18.82,19.28,18.53,,,,,,
2007-10-04 00:00:00,,,,19.12,19.55,18.4,,,,,,
2007-10-05 00:00:00,,,,19,19.7,18.83,,,,,,
2007-10-08 00:00:00,,,,19.12,19.65,19.12,,,,,,
2007-10-09 00:00:00,,,,19.42,19.78,19.22,,,,,,
2007-10-10 00:00:00,,,,19.25,19.69,19.22,,,,,,
2007-10-11 00:00:00,,,,19.64,19.65,19.24,,,,,,
2007-10-12 00:00:00,,,,19.25,19.98,19.08,,,,,,
2007-10-15 00:00:00,,,,19.78,20,19.17,,,,,,
2007-10-16 00:00:00,,,,20,20.5,19.35,,,,0,7,3
2007-10-17 00:00:00,,,,20.35,20.55,20.04,,,,0,8,3
2007-10-18 00:00:00,,,,20.35,20.4,19.8,,,,,,
2007-10-19 00:00:00,,,,20.04,20.04,19.5,,,,,,
2007-10-22 00:00:00,,,,19.21,20.25,19.2,,,,,,
2007-10-23 00:00:00,,,,20.18,21,20.1,,,,,,
2007-10-24 00:00:00,,,,20.73,21.04,20.47,,,,0,8,3
2007-10-25 00:00:00,,,,20.4,20.75,19.85,,,,,,
2007-10-26 00:00:00,,,,20.13,20.29,19.43,,,,,,
2007-10-29 00:00:00,,,,19.59,20.36,19.5,,,,,,
2007-10-30 00:00:00,,,,19.91,20.94,19.9,,,,,,
2007-10-31 00:00:00,,,,19.94,20.84,19.94,,,,,,
2007-11-01 00:00:00,,,,20.45,20.85,20.16,,,,,,
2007-11-02 00:00:00,,,,20.22,20.29,19.7,,,,,,
2007-11-05 00:00:00,,,,19.75,20.09,19.27,,,,,,
2007-11-06 00:00:00,,,,19.63,19.85,18.12,,,,,,
2007-11-07 00:00:00,,,,17.93,18,16.96,,,,,,
2007-11-08 00:00:00,,,,17.5,17.5,16.2,,,,0,8,3
2007-11-09 00:00:00,,,,16.4,17.14,16.4,,,,,,
2007-11-12 00:00:00,,,,16.8,17.96,16.8,,,,,,
2007-11-13 00:00:00,,,,18.23,19.12,18.08,,,,,,
