Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,28,30.5,28,,,,1,0,0
2007-06-15 00:00:00,,,,29.8,29.8,28.88,,,,1,1,0
2007-06-18 00:00:00,,,,29.32,30.2,29.3,,,,1,1,1
2007-06-19 00:00:00,,,,30,30.3,29.6,,,,1,1,1
2007-06-20 00:00:00,,,,30.04,30.1,29.57,,,,1,1,1
2007-06-21 00:00:00,,,,30.06,31.95,29.61,,,,,,
2007-06-22 00:00:00,,,,31.5,32.17,31.15,,,,1,1,2
2007-06-25 00:00:00,,,,31.5,32,31.01,,,,,,
2007-06-26 00:00:00,,,,31.3,31.65,30.25,,,,,,
2007-06-27 00:00:00,,,,30.6,30.8,29.57,,,,,,
2007-06-28 00:00:00,,,,29.88,29.9,29.16,,,,,,
2007-06-29 00:00:00,,,,29.99,30.3,27.93,,,,1,1,3
2007-07-02 00:00:00,,,,28.55,29.15,27.2,,,,1,1,4
2007-07-03 00:00:00,,,,27.5,27.5,26.17,,,,,,
2007-07-05 00:00:00,,,,26.25,26.92,25.75,,,,,,
2007-07-06 00:00:00,,,,25.64,25.86,25.27,,,,,,
2007-07-09 00:00:00,,,,25.75,26.54,25.44,,,,,,
2007-07-10 00:00:00,,,,25.45,25.48,24.8,,,,1,1,4
2007-07-11 00:00:00,,,,24.8,25.27,24.75,,,,0,1,5
2007-07-12 00:00:00,,,,25.59,26.59,25.5,,,,0,2,5
2007-07-13 00:00:00,,,,26.35,27.43,26.26,,,,,,
2007-07-16 00:00:00,,,,27.21,27.45,26.66,,,,,,
2007-07-17 00:00:00,,,,26.96,26.99,26.31,,,,,,
2007-07-18 00:00:00,,,,26.12,26.5,25.7,,,,,,
2007-07-19 00:00:00,,,,26.5,26.94,26.3,,,,,,
2007-07-20 00:00:00,,,,26.71,27.11,26.25,,,,,,
2007-07-23 00:00:00,,,,26.32,26.51,26.1,,,,1,2,5
2007-07-24 00:00:00,,,,25.24,25.4,24.94,,,,,,
2007-07-25 00:00:00,,,,24.75,24.84,23.75,,,,,,
2007-07-26 00:00:00,,,,23.26,24.88,22.75,,,,,,
2007-07-27 00:00:00,,,,24.05,24.37,23.33,,,,,,
2007-07-30 00:00:00,,,,22.5,23.88,22.37,,,,,,
2007-07-31 00:00:00,,,,23.65,24.1,22.84,,,,,,
2007-08-01 00:00:00,,,,22.68,23.07,22.05,,,,,,
2007-08-02 00:00:00,,,,22.5,24.05,22.48,,,,,,
2007-08-03 00:00:00,,,,22.98,23.09,21.53,,,,,,
2007-08-06 00:00:00,,,,23.53,23.53,21.25,,,,1,3,4
2007-08-07 00:00:00,,,,22.05,23.53,21.72,,,,,,
2007-08-08 00:00:00,,,,23.12,24.57,23,,,,,,
2007-08-09 00:00:00,,,,23.55,23.85,22.06,,,,1,4,4
2007-08-10 00:00:00,,,,21.75,21.95,20.35,,,,,,
2007-08-13 00:00:00,,,,21.57,22.29,21.46,,,,,,
2007-08-14 00:00:00,,,,22.29,22.66,21.71,,,,,,
2007-08-15 00:00:00,,,,21.89,22.4,21.24,,,,,,
2007-08-16 00:00:00,,,,20.5,23.14,20.48,,,,,,
2007-08-17 00:00:00,,,,23.78,23.99,22.91,,,,1,5,4
2007-08-20 00:00:00,,,,23,23.5,22.48,,,,1,5,5
2007-08-21 00:00:00,,,,23.09,23.96,23.07,,,,,,
2007-08-22 00:00:00,,,,23.66,24,23.25,,,,,,
2007-08-23 00:00:00,,,,23.94,24.02,23.18,,,,1,5,5
2007-08-24 00:00:00,,,,23.42,24.02,23.38,,,,,,
2007-08-27 00:00:00,,,,23.83,24.04,23.7,,,,,,
2007-08-28 00:00:00,,,,23.32,23.55,22.56,,,,,,
2007-08-29 00:00:00,,,,22.15,23.37,22.15,,,,,,
2007-08-30 00:00:00,,,,22.82,22.95,22.5,,,,,,
2007-08-31 00:00:00,,,,23.01,23.88,22.54,,,,,,
2007-09-04 00:00:00,,,,23.05,23.56,22.64,,,,,,
2007-09-05 00:00:00,,,,22.68,23.08,22.36,,,,,,
2007-09-06 00:00:00,,,,22.52,22.52,22.05,,,,,,
2007-09-07 00:00:00,,,,21.71,21.8,20.86,,,,,,
2007-09-10 00:00:00,,,,21.17,21.52,20.25,,,,,,
2007-09-11 00:00:00,,,,20.52,21.02,20.47,,,,,,
2007-09-12 00:00:00,,,,20.45,21.44,20.25,,,,1,5,5
2007-09-13 00:00:00,,,,21.1,21.73,21.05,,,,,,
2007-09-14 00:00:00,,,,21.29,21.56,21.01,,,,,,
2007-09-17 00:00:00,,,,21.21,21.41,20.5,,,,,,
2007-09-18 00:00:00,,,,21.5,23.09,21.16,,,,1,5,5
2007-09-19 00:00:00,,,,23.29,23.81,23.02,,,,,,
2007-09-20 00:00:00,,,,23.27,24,22.61,,,,1,5,5
2007-09-21 00:00:00,,,,22.75,22.76,21.98,,,,,,
2007-09-24 00:00:00,,,,22.94,23.45,22.24,,,,1,5,5
2007-09-25 00:00:00,,,,21.51,21.89,21.2,,,,1,5,5
2007-09-26 00:00:00,,,,21.65,21.88,21.22,,,,1,5,5
2007-09-27 00:00:00,,,,21.16,21.33,20.59,,,,,,
2007-09-28 00:00:00,,,,20.62,20.87,20.33,,,,1,5,5
2007-10-01 00:00:00,,,,21.02,21.59,20.72,,,,1,5,5
2007-10-02 00:00:00,,,,21.57,22.09,21.27,,,,,,
2007-10-03 00:00:00,,,,21.3,22.1,21.25,,,,1,5,6
2007-10-04 00:00:00,,,,21.5,22.07,21.38,,,,1,5,7
2007-10-05 00:00:00,,,,22.23,22.9,22.2,,,,,,
2007-10-08 00:00:00,,,,22.6,22.76,22.48,,,,,,
2007-10-09 00:00:00,,,,22.67,23.33,22.62,,,,,,
2007-10-10 00:00:00,,,,23,23.01,22.53,,,,,,
2007-10-11 00:00:00,,,,23.08,23.1,21.94,,,,,,
2007-10-12 00:00:00,,,,22.09,22.29,21.87,,,,,,
2007-10-15 00:00:00,,,,22.1,22.2,20.91,,,,1,5,7
2007-10-16 00:00:00,,,,21.34,21.37,20.77,,,,1,5,7
2007-10-17 00:00:00,,,,21.07,21.24,20.44,,,,,,
2007-10-18 00:00:00,,,,20.61,20.74,20.27,,,,,,
2007-10-19 00:00:00,,,,20.49,20.54,19.69,,,,,,
2007-10-22 00:00:00,,,,19.04,19.76,18.89,,,,1,4,8
2007-10-23 00:00:00,,,,20,20.15,19.07,,,,,,
2007-10-24 00:00:00,,,,19.39,19.5,17.79,,,,,,
