Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,14.4844,14.9375,14.4844,,,,0,3,0
2000-05-02 00:00:00,,,,14.75,15.1875,14.5,,,,,,
2000-05-03 00:00:00,,,,14.5,14.5,14.0313,,,,,,
2000-05-04 00:00:00,,,,14.1875,14.4844,14.0625,,,,,,
2000-05-05 00:00:00,,,,14.375,14.9688,14.375,,,,0,3,0
2000-05-08 00:00:00,,,,14.9688,15.1563,14.7813,,,,,,
2000-05-09 00:00:00,,,,14.8125,15.25,14.8125,,,,0,3,0
2000-05-10 00:00:00,,,,15.0781,15.25,14.375,,,,0,3,0
2000-05-11 00:00:00,,,,14.8438,15.7813,14.8438,,,,,,
2000-05-12 00:00:00,,,,15.7188,16.8125,15.7188,,,,,,
2000-05-15 00:00:00,,,,16.875,17.5,16.4063,,,,,,
2000-05-16 00:00:00,,,,17.1875,17.8438,16.75,,,,0,4,0
2000-05-17 00:00:00,,,,17.1875,17.375,16.9375,,,,,,
2000-05-18 00:00:00,,,,16.875,17,15.8281,,,,,,
2000-05-19 00:00:00,,,,16.2969,16.3438,14.5625,,,,,,
2000-05-22 00:00:00,,,,15.625,15.9063,15.0938,,,,,,
2000-05-23 00:00:00,,,,15.2656,15.3125,15.0625,,,,,,
2000-05-24 00:00:00,,,,15.2188,17.0313,15.2188,,,,,,
2000-05-25 00:00:00,,,,17.5,17.875,16.8125,,,,,,
2000-05-26 00:00:00,,,,17.5938,18.1875,17.5469,,,,0,4,0
2000-05-30 00:00:00,,,,17.7188,17.7188,16.9375,,,,0,4,0
2000-05-31 00:00:00,,,,17,17.0625,16.125,,,,,,
2000-06-01 00:00:00,,,,16.8438,17.4375,16.8438,,,,0,4,0
2000-06-02 00:00:00,,,,17.2813,17.4375,14.875,,,,,,
2000-06-05 00:00:00,,,,16.6563,16.6563,15.625,,,,,,
2000-06-06 00:00:00,,,,16.0625,16.125,15.25,,,,,,
2000-06-07 00:00:00,,,,15.5156,15.75,14.6875,,,,,,
2000-06-08 00:00:00,,,,15.25,15.5625,15,,,,,,
2000-06-09 00:00:00,,,,15.2188,15.4531,14.7656,,,,,,
2000-06-12 00:00:00,,,,15.125,15.25,13.5,,,,,,
2000-06-13 00:00:00,,,,15,15.6094,15,,,,,,
2000-06-14 00:00:00,,,,15.25,16.6875,14.3125,,,,,,
2000-06-15 00:00:00,,,,15.9063,16.3438,15.6563,,,,,,
2000-06-16 00:00:00,,,,16.2188,16.4375,15.5938,,,,,,
2000-06-19 00:00:00,,,,16.0938,17.5469,16.0938,,,,,,
2000-06-20 00:00:00,,,,17.4375,18.625,17.2813,,,,,,
2000-06-21 00:00:00,,,,18.5,18.625,18.2813,,,,,,
2000-06-22 00:00:00,,,,18.25,18.25,17.7188,,,,,,
2000-06-23 00:00:00,,,,17.7813,17.875,17.0938,,,,,,
2000-06-26 00:00:00,,,,17.6875,17.8125,17.3438,,,,,,
2000-06-27 00:00:00,,,,18.1875,18.5,17.625,,,,,,
2000-06-28 00:00:00,,,,17.75,18.2813,17.7031,,,,,,
2000-06-29 00:00:00,,,,18.1406,18.625,17.9688,,,,,,
2000-06-30 00:00:00,,,,18.125,18.6875,16.9531,,,,,,
2000-07-03 00:00:00,,,,18.375,18.5781,18.3125,,,,,,
2000-07-05 00:00:00,,,,18.5938,19.25,18.375,,,,,,
2000-07-06 00:00:00,,,,19.0313,19.5,18.8906,,,,,,
2000-07-07 00:00:00,,,,19.5,19.9375,19.3125,,,,0,4,0
2000-07-10 00:00:00,,,,19.625,20.8125,19.5625,,,,,,
2000-07-11 00:00:00,,,,22.5,24.25,22.2813,,,,0,4,0
2000-07-12 00:00:00,,,,23.875,24.875,22.9375,,,,0,4,0
2000-07-13 00:00:00,,,,24.375,24.9844,24.0313,,,,,,
2000-07-14 00:00:00,,,,24.7813,25.9844,24.6406,,,,,,
2000-07-17 00:00:00,,,,26,26.9219,25.6875,,,,,,
2000-07-18 00:00:00,,,,26.7656,26.875,25.5156,,,,,,
2000-07-19 00:00:00,,,,25.4063,25.7188,25.0938,,,,,,
2000-07-20 00:00:00,,,,25.625,26.25,25.25,,,,,,
2000-07-21 00:00:00,,,,25.4375,25.4375,24.6875,,,,,,
2000-07-24 00:00:00,,,,25.1094,25.9375,25.1094,,,,,,
2000-07-25 00:00:00,,,,25.4063,25.4063,23.7188,,,,0,4,0
2000-07-26 00:00:00,,,,24.625,26.2188,23.75,,,,0,4,0
2000-07-27 00:00:00,,,,25.5313,25.7188,25.2656,,,,,,
2000-07-28 00:00:00,,,,25.6094,25.6406,24.6875,,,,,,
2000-07-31 00:00:00,,,,25.2969,25.375,24.75,,,,0,4,0
2000-08-01 00:00:00,,,,25.5,26.5,25.25,,,,,,
2000-08-02 00:00:00,,,,26.4375,27.5,24.7969,,,,,,
2000-08-03 00:00:00,,,,24.5313,25.8125,23.9375,,,,,,
2000-08-04 00:00:00,,,,25.375,27.0625,25.375,,,,,,
2000-08-07 00:00:00,,,,27.8125,29.5,27.0625,,,,,,
2000-08-08 00:00:00,,,,29.125,30.0625,28.1406,,,,,,
2000-08-09 00:00:00,,,,28.5625,28.7188,27.625,,,,,,
2000-08-10 00:00:00,,,,27.8125,28.1094,27.1875,,,,,,
2000-08-11 00:00:00,,,,26.9375,27.375,25.9375,,,,,,
2000-08-14 00:00:00,,,,26.5938,26.875,26.4063,,,,,,
2000-08-15 00:00:00,,,,27,27.4375,26.6875,,,,,,
2000-08-16 00:00:00,,,,26.5,27,26.5,,,,,,
2000-08-17 00:00:00,,,,26.6875,27.1875,26.3125,,,,,,
2000-08-18 00:00:00,,,,27.1875,27.8438,27.0313,,,,,,
2000-08-21 00:00:00,,,,27.4375,28.4688,27.3125,,,,,,
2000-08-22 00:00:00,,,,27.9688,28.6563,27.9219,,,,0,4,0
2000-08-23 00:00:00,,,,28.4375,29.7188,28.0313,,,,,,
2000-08-24 00:00:00,,,,29.4688,29.4688,28.5625,,,,,,
2000-08-25 00:00:00,,,,28.75,29.9688,28.75,,,,,,
2000-08-28 00:00:00,,,,30.0625,31.875,30,,,,,,
2000-08-29 00:00:00,,,,31.25,31.25,29.8125,,,,,,
2000-08-30 00:00:00,,,,29.875,30.75,29.625,,,,,,
2000-08-31 00:00:00,,,,30.8125,32.625,30.75,,,,,,
2000-09-01 00:00:00,,,,32,32.7344,31.7656,,,,,,
2000-09-05 00:00:00,,,,32.75,35.1875,32.25,,,,0,4,0
2000-09-06 00:00:00,,,,32.375,33.875,31.8125,,,,,,
2000-09-07 00:00:00,,,,32.5781,32.5781,31.3438,,,,,,
2000-09-08 00:00:00,,,,31.875,32.1875,31.5313,,,,,,
2000-09-11 00:00:00,,,,31.9531,31.9688,31.3281,,,,,,
2000-09-12 00:00:00,,,,31.4375,31.6875,30.75,,,,,,
2000-09-13 00:00:00,,,,30.25,30.4844,29.5,,,,,,
2000-09-14 00:00:00,,,,29.75,30.5,29.25,,,,0,4,0
2000-09-15 00:00:00,,,,29.9844,29.9844,28.0625,,,,,,
2000-09-18 00:00:00,,,,28.5,28.6875,23.5,,,,0,4,0
2000-09-19 00:00:00,,,,25.125,26.4688,24.8906,,,,0,4,0
2000-09-20 00:00:00,,,,26.2188,27.1875,26.1875,,,,,,
2000-09-21 00:00:00,,,,26.25,26.3906,25,,,,,,
2000-09-22 00:00:00,,,,25.1875,28.1875,25.1875,,,,,,
2000-09-25 00:00:00,,,,26.75,28.125,26.4063,,,,,,
2000-09-26 00:00:00,,,,27,28.0625,27,,,,,,
2000-09-27 00:00:00,,,,28.125,30.125,27.6875,,,,,,
2000-09-28 00:00:00,,,,29.9375,30.625,29.0938,,,,,,
2000-09-29 00:00:00,,,,29.5313,30.75,28.6875,,,,,,
2000-10-02 00:00:00,,,,29,30,28.8438,,,,,,
2000-10-03 00:00:00,,,,29.6563,29.9844,29.1563,,,,,,
2000-10-04 00:00:00,,,,29.6875,29.9375,29.4063,,,,0,4,0
2000-10-05 00:00:00,,,,29.875,31.5625,29.875,,,,,,
2000-10-06 00:00:00,,,,30.75,32.375,30.5313,,,,,,
2000-10-09 00:00:00,,,,30.9375,30.9688,29.8125,,,,,,
2000-10-10 00:00:00,,,,30.1875,31.9688,30.1875,,,,,,
2000-10-11 00:00:00,,,,30.8125,32.75,30.4375,,,,,,
2000-10-12 00:00:00,,,,32.5,32.5781,31.125,,,,0,4,0
2000-10-13 00:00:00,,,,31,31.25,30.0313,,,,,,
2000-10-16 00:00:00,,,,30,34.25,29.9375,,,,,,
2000-10-17 00:00:00,,,,33.4688,34.75,32.75,,,,,,
2000-10-18 00:00:00,,,,32.3125,34.5938,31.625,,,,,,
2000-10-19 00:00:00,,,,33.9063,34.8438,33.5,,,,0,5,0
2000-10-20 00:00:00,,,,33.25,33.25,26.75,,,,0,5,0
2000-10-23 00:00:00,,,,28.375,28.375,24.125,,,,,,
2000-10-24 00:00:00,,,,25.8438,27.2188,25.75,,,,0,5,0
2000-10-25 00:00:00,,,,26.2813,27.0625,26.25,,,,,,
2000-10-26 00:00:00,,,,26.0625,26.9375,25.3125,,,,,,
2000-10-27 00:00:00,,,,25.7188,25.8125,22.25,,,,,,
2000-10-30 00:00:00,,,,22.8125,23.3125,20.6875,,,,,,
2000-10-31 00:00:00,,,,22.875,24.75,22.875,,,,0,5,0
2000-11-01 00:00:00,,,,23.8438,24.5,22.0625,,,,0,5,0
2000-11-02 00:00:00,,,,22.7969,24.4375,22.5313,,,,,,
2000-11-03 00:00:00,,,,24.0313,24.8125,24.0313,,,,,,
2000-11-06 00:00:00,,,,23.6875,25.3438,23.6875,,,,,,
2000-11-07 00:00:00,,,,24.5469,26.3125,23.7031,,,,,,
2000-11-08 00:00:00,,,,25.875,28.6719,25.6875,,,,,,
2000-11-09 00:00:00,,,,28.375,29.875,27.875,,,,,,
